Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
NSI,0,300,0.0,25425.0,7.89,2017-01-06
NSI,0,500,0.0,42500.0,3.16,2017-01-25
NSI,0,500,0.0,42500.0,3.73,2017-01-26
NSI,0,1000,0.0,84750.0,5.75,2017-01-31
NSI,0,100,0.0,8475.0,50.0,2017-02-03
NSI,400,2000,33800.0,169500.0,46.15,2017-02-06
NSI,300,0,25475.0,0.0,7.87,2017-02-07
NSI,2000,500,169500.0,42375.0,44.64,2017-02-08
NSI,0,200,0.0,17000.0,3.12,2017-02-14
NSI,1000,800,84750.0,67800.0,75.0,2017-02-15
NSI,1400,500,118300.0,42250.0,32.75,2017-02-16
NSI,100,500,8475.0,42500.0,9.09,2017-02-17
NSI,3000,0,257800.0,0.0,50.0,2017-02-23
NSI,700,0,58275.0,0.0,4.02,2017-02-27
NSI,6000,0,472500.0,0.0,49.97,2017-05-09
NSI,1000,0,77000.0,0.0,27.78,2017-08-07
NSI,1000,0,76500.0,0.0,6.75,2017-08-09
NSI,1500,0,114750.0,0.0,14.71,2017-08-10
NSI,1500,3500,122850.0,283500.0,10.25,2017-08-11
NSI,500,0,42125.0,0.0,2.01,2017-08-29
NSI,1000,0,85500.0,0.0,1.74,2017-09-05
NSI,2000,0,163500.0,0.0,4.33,2017-09-06
NSI,7800,0,637650.0,0.0,35.45,2017-09-12
NSI,0,1000,0.0,80500.0,2.02,2017-09-14
NSI,1000,0,81000.0,0.0,26.32,2017-09-22
NSI,2000,0,160000.0,0.0,18.18,2017-10-11
NSI,500,0,40400.0,0.0,5.21,2017-10-19
NSI,0,700,0.0,56000.0,50.0,2017-10-20
NSI,100,0,8025.0,0.0,16.67,2017-10-24
NSI,2500,0,199375.0,0.0,10.0,2018-01-04
NSI,500,0,40250.0,0.0,19.23,2018-01-12
NSI,200,0,16150.0,0.0,33.33,2018-02-26
NSI,1900,0,152475.0,0.0,16.96,2018-02-28
NSI,6000,500,480000.0,40000.0,44.53,2018-03-07
NSI,200,0,15600.0,0.0,1.75,2018-03-16
NSI,1000,0,80500.0,0.0,11.9,2018-05-17
NSI,0,1000,0.0,80750.0,8.62,2018-05-18
NSI,500,0,41125.0,0.0,5.43,2018-05-30
NSI,300,0,24675.0,0.0,5.36,2018-06-04
NSI,500,0,41500.0,0.0,16.95,2018-08-01
NSI,700,0,58800.0,0.0,9.67,2018-08-06
NSI,500,0,42000.0,0.0,35.71,2018-08-09
NSI,0,2000,0.0,161500.0,14.29,2018-08-14
NSI,0,500,0.0,40500.0,25.0,2018-08-15
NSI,100,0,8300.0,0.0,8.33,2018-09-06
NSI,400,2000,34000.0,164000.0,2.34,2018-11-23
NSI,0,400,0.0,31900.0,50.0,2018-12-03
NSI,300,0,22875.0,0.0,10.0,2019-01-14
NSI,200,0,15200.0,0.0,2.86,2019-01-16
NSI,500,0,38000.0,0.0,20.83,2019-01-28
NSI,0,1500,0.0,115000.0,25.0,2019-02-20
NSI,0,1000,0.0,77250.0,5.62,2019-02-25
NSI,5400,6000,421200.0,468000.0,86.36,2019-03-06
NSI,0,200,0.0,15700.0,6.66,2019-03-08
NSI,100,0,7700.0,0.0,8.32,2019-04-12
NSI,0,100,0.0,7700.0,12.5,2019-04-24
NSI,300,0,22875.0,0.0,3.33,2019-05-13
NSI,200,0,14850.0,0.0,4.35,2019-05-16
