Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
NWR,124400,21200,153654.0,26276.0,0.57,2017-01-04
NWR,75700,50000,94468.0,62000.0,2.09,2017-01-05
NWR,136100,111500,172677.0,143570.0,0.37,2017-01-06
NWR,185100,233012,240130.0,305803.36,1.21,2017-01-09
NWR,55000,190100,71250.0,250224.0,1.16,2017-01-10
NWR,126700,183900,170478.0,243225.0,0.76,2017-01-11
NWR,197300,2700,258218.0,3564.0,1.03,2017-01-12
NWR,58800,249000,76903.0,326139.0,3.17,2017-01-13
NWR,11300,23200,14916.0,30398.0,0.18,2017-01-16
NWR,200500,27700,263660.0,36475.0,0.8,2017-01-17
NWR,6700,122700,8911.0,162314.0,1.57,2017-01-18
NWR,50200,340200,64760.0,447886.0,1.26,2017-01-19
NWR,138500,119300,184205.0,159491.0,1.03,2017-01-20
NWR,93500,144500,130878.0,205497.0,0.17,2017-01-23
NWR,46500,1400,64324.0,1943.0,0.2,2017-01-24
NWR,100,20100,138.0,27339.0,0.16,2017-01-25
NWR,13800,25,18906.0,34.4,0.19,2017-01-26
NWR,78500,900,106806.0,1227.0,0.57,2017-01-27
NWR,205400,200,280627.0,274.0,2.65,2017-01-30
NWR,178500,55500,240824.0,75184.0,0.91,2017-01-31
NWR,10000,32800,13600.0,44759.0,0.31,2017-02-01
NWR,46900,203700,64585.0,281959.0,1.08,2017-02-02
NWR,25200,118900,34605.0,163382.0,1.74,2017-02-03
NWR,52800,50800,72521.0,70281.0,0.71,2017-02-06
NWR,117900,124500,162472.0,170565.0,2.24,2017-02-07
NWR,59000,16300,80830.0,22422.0,1.15,2017-02-08
NWR,42600,434500,58907.0,602442.0,1.17,2017-02-09
NWR,16700,45500,23380.0,63620.0,0.5,2017-02-10
NWR,91500,23700,126457.0,32706.0,1.32,2017-02-14
NWR,333500,156600,446925.0,211369.0,2.14,2017-02-15
NWR,41800,17700,56653.0,23928.0,0.55,2017-02-16
NWR,50100,129500,67640.0,175925.0,1.51,2017-02-17
NWR,6000,107800,8160.0,148414.0,0.57,2017-02-20
NWR,1630700,59700,2249365.0,82055.0,4.35,2017-02-21
NWR,0,1618900,0.0,2207753.0,15.91,2017-02-22
NWR,100,122300,134.0,166338.0,1.33,2017-02-23
NWR,2700,700,3618.0,937.0,0.04,2017-02-24
NWR,4800,8400,6310.0,11111.0,0.08,2017-02-27
NWR,226400,800,294326.0,1041.0,2.35,2017-02-28
NWR,7300,1000,9563.0,1313.0,0.12,2017-03-01
NWR,0,217000,0.0,290782.0,1.61,2017-03-02
NWR,16800,300,22425.0,396.0,0.21,2017-03-03
NWR,20000,0,26500.0,0.0,0.29,2017-03-06
NWR,51500,100,67600.0,133.0,0.36,2017-03-07
NWR,7500,0,9820.0,0.0,0.04,2017-03-08
NWR,34100,100,44330.0,130.0,0.43,2017-03-09
NWR,596200,67000,736612.0,83047.0,0.83,2017-03-10
NWR,108200,225400,132174.0,276253.0,1.93,2017-03-13
NWR,80000,44600,98349.0,55664.0,1.31,2017-03-14
NWR,33600,48000,41665.0,59791.0,0.72,2017-03-15
NWR,104300,43600,131416.0,54931.0,2.22,2017-03-16
NWR,109500,36500,137970.0,45994.0,4.54,2017-03-17
NWR,43300,100,54452.0,126.0,2.22,2017-03-20
NWR,92600,300,116676.0,378.0,2.63,2017-03-21
NWR,12100,3600,15399.0,4576.0,0.26,2017-03-22
NWR,9000,48300,11415.0,61823.0,0.83,2017-03-23
NWR,900,30200,1152.0,38656.0,0.92,2017-03-24
NWR,0,86200,0.0,110269.0,1.66,2017-03-27
NWR,0,20300,0.0,25984.0,0.33,2017-03-28
NWR,30600,100,39209.0,129.0,0.58,2017-03-29
NWR,86500,0,110648.0,0.0,2.98,2017-03-30
NWR,36900,0,47223.0,0.0,1.41,2017-03-31
NWR,36800,0,46748.0,0.0,1.8,2017-04-03
NWR,51000,100,65480.0,128.0,5.45,2017-04-04
NWR,3300,200000,4224.0,256000.0,11.15,2017-04-05
NWR,3000,2400,3820.0,3072.0,0.39,2017-04-07
NWR,0,34800,0.0,44350.0,1.56,2017-04-10
NWR,10000,13400,12800.0,17132.0,0.79,2017-04-11
NWR,3800,100,4847.0,128.0,0.05,2017-04-12
NWR,4,48200,5.2,61847.0,0.23,2017-04-17
NWR,1010,17100,1293.0,21924.0,0.23,2017-04-18
NWR,0,73200,0.0,93602.0,1.69,2017-04-19
NWR,5000,62700,6350.0,79790.0,1.23,2017-04-20
NWR,5000,29600,6350.0,37632.0,1.36,2017-04-21
NWR,0,27100,0.0,34443.0,0.61,2017-04-24
NWR,0,205200,0.0,258552.0,4.46,2017-04-25
NWR,10400,0,13000.0,0.0,0.2,2017-04-26
NWR,9200,0,11500.0,0.0,0.36,2017-04-27
NWR,2000,0,2500.0,0.0,0.06,2017-04-28
NWR,18400,0,23000.0,0.0,0.53,2017-05-02
