Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
NYT,234610,264200,3364414.0,3774070.0,11.87,2017-01-04
NYT,198400,10300,2825040.0,146220.0,6.23,2017-01-05
NYT,144100,8800,2049230.0,124960.0,9.32,2017-01-06
NYT,42800,1500,610810.0,21300.0,9.45,2017-01-09
NYT,349800,91361,5022490.0,1304606.2,10.23,2017-01-10
NYT,33800,18800,490450.0,272260.0,1.33,2017-01-11
NYT,10400,19200,148720.0,273820.0,3.06,2017-01-12
NYT,13000,322900,186210.0,4646080.0,14.84,2017-01-13
NYT,62800,900,888620.0,12710.0,2.66,2017-01-16
NYT,101600,70018,1443250.0,992093.8,12.24,2017-01-17
NYT,47300,20800,669760.0,295330.0,8.44,2017-01-18
NYT,600,156380,8390.0,2176407.1,5.55,2017-01-19
NYT,19800,30400,277200.0,425520.0,10.81,2017-01-20
NYT,0,21500,0.0,301110.0,7.38,2017-01-23
NYT,2800,48800,39540.0,684710.0,6.78,2017-01-24
NYT,29300,74500,414500.0,1054770.0,6.81,2017-01-25
NYT,9300,104000,132340.0,1472120.0,4.09,2017-01-26
NYT,14800,97300,210780.0,1385010.0,3.47,2017-01-27
NYT,5300,143000,76710.0,2067610.0,2.67,2017-01-30
NYT,79100,126600,1152530.0,1839720.0,3.62,2017-01-31
NYT,5000,11000,71210.0,158460.0,0.68,2017-02-01
NYT,10900,60000,155320.0,852500.0,11.49,2017-02-02
NYT,23100,4100,330490.0,58910.0,2.17,2017-02-03
NYT,6800,29800,99160.0,432760.0,0.62,2017-02-06
NYT,105600,8700,1615870.0,132820.0,0.44,2017-02-07
NYT,276600,226500,4275850.0,3501750.0,6.11,2017-02-08
NYT,154200,408800,2357200.0,6252690.0,14.25,2017-02-09
NYT,77100,454900,1148090.0,7021470.0,4.03,2017-02-10
NYT,68900,835423,1018180.0,12361192.7,19.81,2017-02-14
NYT,115900,790922,1741100.0,11813175.6,14.78,2017-02-15
NYT,98300,0,1479280.0,0.0,4.53,2017-02-16
NYT,20400,127900,306510.0,1953950.0,4.57,2017-02-17
NYT,3900,40100,59670.0,616480.0,6.04,2017-02-20
NYT,81600,91000,1249280.0,1389010.0,9.56,2017-02-21
NYT,300,16600,4500.0,251600.0,0.88,2017-02-22
NYT,55400,9000,837010.0,135760.0,1.35,2017-02-23
NYT,41100,39583,623530.0,598788.6,9.9,2017-02-24
NYT,173200,413200,2520780.0,5987460.0,12.62,2017-02-27
NYT,104000,696200,1530240.0,10216840.0,24.75,2017-02-28
NYT,41400,13200,609160.0,193270.0,9.61,2017-03-01
NYT,116900,47400,1778620.0,722370.0,5.23,2017-03-02
NYT,62900,74112,955830.0,1120700.0,10.43,2017-03-03
NYT,310100,114551,4700500.0,1725859.9,27.77,2017-03-06
NYT,23800,2600,357060.0,39100.0,1.49,2017-03-07
NYT,17600,37300,258860.0,549040.0,3.67,2017-03-08
NYT,3700,58400,54400.0,867360.0,10.01,2017-03-09
NYT,0,36300,0.0,538530.0,2.09,2017-03-10
NYT,1200,20400,17640.0,299880.0,3.9,2017-03-13
NYT,0,56100,0.0,833130.0,5.11,2017-03-14
NYT,200,16800,2980.0,250180.0,6.28,2017-03-15
NYT,0,55225,0.0,832424.0,9.68,2017-03-16
NYT,0,14800,0.0,220780.0,4.02,2017-03-17
NYT,2200,13900,33230.0,208240.0,2.61,2017-03-20
NYT,4200,20600,63250.0,309330.0,6.22,2017-03-21
NYT,17900,41300,270880.0,625850.0,3.34,2017-03-22
NYT,16300,190600,248170.0,2906140.0,5.61,2017-03-23
NYT,10000,174900,152990.0,2668460.0,5.14,2017-03-24
NYT,3400,151900,52430.0,2355600.0,2.23,2017-03-27
NYT,17400,9000,267210.0,139320.0,1.72,2017-03-28
NYT,23500,133191,353120.0,1998431.1,6.55,2017-03-29
NYT,21600,153271,327790.0,2335603.7,2.78,2017-03-30
NYT,23900,9800,365920.0,150920.0,3.51,2017-03-31
NYT,7800,78700,120480.0,1219850.0,8.45,2017-04-03
NYT,100,50100,1550.0,776540.0,4.24,2017-04-04
NYT,0,2800,0.0,43120.0,1.52,2017-04-05
NYT,0,14400,0.0,218570.0,19.15,2017-04-07
NYT,0,8200,0.0,123830.0,5.76,2017-04-10
NYT,0,8766,0.0,132353.4,4.1,2017-04-11
NYT,0,1200,0.0,18120.0,2.75,2017-04-12
NYT,10000,9300,149700.0,139290.0,2.25,2017-04-17
NYT,100,9000,1490.0,135400.0,1.4,2017-04-18
NYT,100,45234,1480.0,669903.4,7.02,2017-04-19
NYT,0,17200,0.0,253490.0,5.2,2017-04-20
NYT,0,19200,0.0,284160.0,6.4,2017-04-21
NYT,0,3700,0.0,54910.0,1.09,2017-04-24
NYT,0,28600,0.0,425600.0,8.37,2017-04-25
NYT,0,9000,0.0,133490.0,12.11,2017-04-26
NYT,100,15107,1480.0,223141.5,8.25,2017-04-27
NYT,10000,47353,149000.0,705259.7,25.89,2017-04-28
NYT,3000,200,44700.0,2980.0,2.47,2017-05-02
NYT,0,200,0.0,3000.0,0.06,2017-05-03
NYT,0,20800,0.0,313150.0,7.69,2017-05-04
NYT,0,30900,0.0,466320.0,5.96,2017-05-05
NYT,3700,600,54020.0,8740.0,1.15,2017-05-08
NYT,0,8300,0.0,121910.0,2.99,2017-05-09
NYT,6800,45300,100250.0,663750.0,7.03,2017-05-11
NYT,0,8300,0.0,119160.0,1.32,2017-05-12
NYT,100,5200,1430.0,73770.0,0.92,2017-05-15
NYT,0,8100,0.0,115940.0,11.64,2017-05-16
NYT,0,1000,0.0,14400.0,0.85,2017-05-17
NYT,0,28800,0.0,417760.0,12.06,2017-05-18
NYT,10100,6300,73220.0,45485.0,16.7,2017-05-19
NYT,2100,500,15160.0,3625.0,1.41,2017-05-22
NYT,8400,3600,60480.0,25985.0,10.15,2017-05-23
NYT,100,500,720.0,3605.0,0.81,2017-05-24
NYT,450000,6700,3236750.0,48075.0,17.86,2017-05-25
NYT,826200,5000,6047405.0,36475.0,17.6,2017-05-26
NYT,11300,600,80865.0,4360.0,2.07,2017-05-29
NYT,96200,65800,696105.0,475500.0,27.45,2017-05-30
NYT,900,51700,6480.0,382060.0,2.29,2017-05-31
NYT,25000,300,182250.0,2190.0,16.45,2017-06-01
NYT,13800,800,100050.0,5800.0,17.72,2017-06-05
NYT,0,200,0.0,1450.0,0.43,2017-06-06
NYT,295700,20100,2164450.0,145235.0,18.76,2017-06-07
NYT,600,26400,4265.0,185810.0,1.54,2017-06-09
NYT,10500,14800,72215.0,102110.0,1.98,2017-06-12
NYT,200,6000,1390.0,41415.0,5.57,2017-06-13
NYT,0,2100,0.0,14680.0,0.46,2017-06-14
NYT,13200,3400,92735.0,23855.0,3.25,2017-06-15
NYT,400,6700,2780.0,46750.0,1.99,2017-06-16
NYT,100,11928,700.0,83444.6,26.0,2017-06-19
NYT,100,4100,700.0,28705.0,0.64,2017-06-20
NYT,200,500,1400.0,3515.0,0.01,2017-06-21
NYT,0,73400,0.0,510280.0,4.63,2017-06-22
NYT,0,3059,0.0,21378.0,4.14,2017-06-23
NYT,2300,600,16005.0,4190.0,1.69,2017-06-26
NYT,10100,400,69690.0,2800.0,2.61,2017-06-27
NYT,200,10100,1370.0,69280.0,4.15,2017-06-28
NYT,0,13200,0.0,90420.0,12.36,2017-06-29
NYT,0,700,0.0,4825.0,1.04,2017-06-30
NYT,6500,100,44645.0,685.0,2.49,2017-07-03
NYT,57500,900,391125.0,6125.0,18.01,2017-07-04
NYT,6700,13200,45710.0,89760.0,6.03,2017-07-05
NYT,10300,192535,69170.0,1294276.25,4.23,2017-07-06
NYT,3100,0,20870.0,0.0,0.04,2017-07-07
NYT,1400,50000,8800.0,317500.0,1.45,2017-07-12
NYT,100,800,620.0,5000.0,0.03,2017-07-13
NYT,19500,275206,117160.0,1644706.7,4.28,2017-07-14
NYT,552000,5500,3305400.0,33270.0,11.85,2017-07-17
NYT,700,12800,4200.0,76590.0,0.2,2017-07-18
NYT,25000,0,148750.0,0.0,2.88,2017-07-19
NYT,700,0,4105.0,0.0,0.04,2017-07-20
NYT,1000,155500,5900.0,938550.0,1.61,2017-07-21
NYT,0,18000,0.0,108100.0,1.01,2017-07-24
NYT,5400,400,30800.0,2380.0,0.14,2017-07-25
NYT,230400,200,1324780.0,1140.0,20.53,2017-07-26
NYT,22200,300,126550.0,1725.0,1.16,2017-07-27
NYT,44800,39900,244705.0,218865.0,2.04,2017-07-31
NYT,13000,13200,70850.0,72340.0,3.17,2017-08-01
NYT,12100,0,67050.0,0.0,0.84,2017-08-02
NYT,63500,0,346085.0,0.0,2.26,2017-08-03
NYT,2100,13200,11445.0,71290.0,2.12,2017-08-04
NYT,13400,1000,71700.0,5350.0,0.94,2017-08-07
NYT,103800,400,535755.0,2115.0,1.85,2017-08-08
NYT,29800,31500,149185.0,158500.0,0.73,2017-08-09
NYT,16000,280400,83000.0,1453205.0,4.12,2017-08-10
NYT,18700,101200,97220.0,525310.0,3.16,2017-08-11
NYT,50900,233000,271730.0,1224375.0,4.93,2017-08-15
NYT,16100,22800,84535.0,120625.0,1.71,2017-08-16
NYT,20200,2100,110075.0,11130.0,0.22,2017-08-17
NYT,81300,740800,437400.0,3933325.0,7.54,2017-08-18
NYT,149200,50000,799105.0,270000.0,15.16,2017-08-21
NYT,8300,100,43990.0,530.0,1.01,2017-08-22
NYT,33000,139500,173185.0,731060.0,3.8,2017-08-23
NYT,23200,7500,118015.0,37875.0,0.26,2017-08-24
NYT,10000,93700,50500.0,474985.0,4.55,2017-08-25
NYT,38300,6900,195230.0,35190.0,0.86,2017-08-28
NYT,95300,86500,493535.0,447220.0,1.44,2017-08-29
NYT,93300,41300,482950.0,213710.0,1.46,2017-08-30
NYT,11300,2000,57630.0,10200.0,0.33,2017-08-31
NYT,71200,2300,366930.0,11825.0,1.25,2017-09-01
NYT,891700,63600,4754960.0,352040.0,0.9,2017-09-04
NYT,5267000,207100,28946460.0,1141470.0,11.05,2017-09-05
NYT,29100,2000,157845.0,10800.0,0.18,2017-09-06
NYT,93000,0,493945.0,0.0,0.7,2017-09-07
NYT,16800,96600,90710.0,518720.0,0.37,2017-09-08
NYT,86400,110600,480590.0,617840.0,0.65,2017-09-11
NYT,331100,64100,1839020.0,358460.0,1.83,2017-09-12
NYT,10881800,10903900,65313525.0,65218845.0,11.18,2017-09-13
NYT,360700,96400,2091905.0,562480.0,0.86,2017-09-14
NYT,1000,313900,5900.0,1853410.0,0.87,2017-09-15
NYT,93000,243900,552100.0,1440155.0,0.96,2017-09-18
NYT,245200,50600,1397305.0,293410.0,1.04,2017-09-19
NYT,459800,1183000,2652375.0,6825355.0,4.94,2017-09-20
NYT,39500,367700,236250.0,2200570.0,0.9,2017-09-21
NYT,383800,53900,2296420.0,321045.0,2.78,2017-09-22
NYT,257200,383500,1533340.0,2281225.0,5.83,2017-09-25
NYT,1841100,621200,11524995.0,3880205.0,4.85,2017-09-26
NYT,410500,1189400,2561060.0,7380785.0,8.77,2017-09-27
NYT,230700,649100,1424725.0,3996980.0,12.13,2017-09-28
NYT,293800,213500,1804880.0,1307740.0,7.74,2017-09-29
NYT,35300,161900,217920.0,994885.0,4.16,2017-10-02
NYT,26000,181900,159960.0,1123590.0,1.74,2017-10-03
NYT,147400,50000,906995.0,307500.0,1.76,2017-10-04
NYT,519900,80300,3108715.0,484410.0,5.17,2017-10-05
NYT,300100,100100,1751315.0,580160.0,1.01,2017-10-06
NYT,462000,53000,2623185.0,301560.0,5.19,2017-10-09
NYT,278400,80700,1624030.0,465745.0,4.19,2017-10-10
NYT,230000,117200,1347965.0,685590.0,7.86,2017-10-11
NYT,162600,89100,949250.0,519175.0,6.91,2017-10-12
NYT,125300,105100,720475.0,605700.0,3.25,2017-10-16
NYT,8900,66700,51175.0,381290.0,1.13,2017-10-17
NYT,59800,120200,345660.0,697885.0,0.77,2017-10-18
NYT,3431400,3429900,20577790.0,20308735.0,17.87,2017-10-19
NYT,277900,433000,1681525.0,2549345.0,1.49,2017-10-20
NYT,6000,199900,38950.0,1286185.0,0.69,2017-10-24
NYT,155200,500,1008820.0,3235.0,0.77,2017-10-25
NYT,25700,148800,165895.0,958325.0,1.81,2017-10-27
NYT,376700,112200,2329960.0,698830.0,2.21,2017-10-30
NYT,173100,254900,1084640.0,1602250.0,4.66,2017-10-31
NYT,51700,96600,326555.0,616050.0,2.31,2017-11-01
NYT,38700,89900,243380.0,569085.0,2.54,2017-11-02
NYT,47300,37200,297990.0,235725.0,1.38,2017-11-03
NYT,46100,68500,296835.0,436480.0,1.66,2017-11-06
