Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
ORI,5000,51533,40500.0,415534.0,1.85,2017-01-04
ORI,303700,111600,2542210.0,941780.0,0.92,2017-01-05
ORI,34500,150000,293165.0,1275750.0,0.48,2017-01-06
ORI,218300,3800,1809690.0,31540.0,2.18,2017-01-09
ORI,81700,62200,679855.0,518995.0,1.01,2017-01-10
ORI,733300,317666,6446820.0,2764177.5,2.69,2017-01-11
ORI,94700,153100,829905.0,1364410.0,0.43,2017-01-12
ORI,33200,20400,291095.0,179045.0,0.62,2017-01-13
ORI,29500,21500,259535.0,188820.0,0.57,2017-01-16
ORI,725302,790000,6673213.35,7220350.0,2.61,2017-01-17
ORI,156000,95500,1505495.0,895675.0,0.44,2017-01-18
ORI,567600,338200,5471425.0,3258105.0,4.81,2017-01-19
ORI,840800,1262466,8459890.0,12740906.6,4.78,2017-01-20
ORI,107700,115900,1128640.0,1216070.0,1.87,2017-01-23
ORI,1010200,1079400,11031460.0,11872030.0,5.28,2017-01-24
ORI,11900,629700,132140.0,6914870.0,3.43,2017-01-25
ORI,494200,383600,5458220.0,4179910.0,7.37,2017-01-26
ORI,183500,33800,2022560.0,372870.0,4.17,2017-01-27
ORI,59400,118000,692920.0,1372920.0,1.83,2017-01-30
ORI,125100,56034,1457550.0,650167.8,4.92,2017-01-31
ORI,261900,108000,3109440.0,1299670.0,5.82,2017-02-01
ORI,4900,59000,57820.0,696950.0,2.58,2017-02-02
ORI,256100,313400,3072510.0,3781590.0,20.72,2017-02-03
ORI,1192200,760500,12900320.0,8273300.0,10.53,2017-02-06
ORI,372200,101000,4082930.0,1110950.0,12.89,2017-02-07
ORI,366600,187600,4054340.0,2074940.0,23.19,2017-02-08
ORI,119400,107500,1305530.0,1177720.0,6.15,2017-02-09
ORI,46600,87900,523170.0,996380.0,2.68,2017-02-10
ORI,78900,163400,912870.0,1907110.0,6.51,2017-02-14
ORI,126000,21600,1450910.0,248330.0,4.0,2017-02-15
ORI,62400,12400,705940.0,140820.0,9.1,2017-02-16
ORI,109200,26100,1195890.0,285050.0,4.74,2017-02-17
ORI,1052800,875800,11615030.0,9558110.0,39.17,2017-02-20
ORI,23400,8700,260290.0,96110.0,12.4,2017-02-21
ORI,12000,11700,132460.0,128210.0,8.46,2017-02-22
ORI,1900,77932,20710.0,859848.8,6.86,2017-02-23
ORI,0,62700,0.0,691620.0,6.03,2017-02-24
ORI,0,22000,0.0,241850.0,7.78,2017-02-27
ORI,0,41600,0.0,452320.0,7.49,2017-02-28
ORI,47800,97500,521020.0,1074010.0,5.2,2017-03-01
ORI,101000,197800,1121020.0,2180920.0,6.16,2017-03-02
ORI,19400,181500,224190.0,2114050.0,1.84,2017-03-03
ORI,58900,195500,700280.0,2310110.0,4.12,2017-03-06
ORI,3500,64500,40000.0,734370.0,2.79,2017-03-07
ORI,0,77900,0.0,870380.0,3.02,2017-03-08
ORI,0,4900,0.0,55030.0,0.45,2017-03-09
ORI,38200,3500,431690.0,40080.0,3.96,2017-03-10
ORI,16300,67600,169250.0,717550.0,1.48,2017-03-13
ORI,77100,800,814440.0,8400.0,1.9,2017-03-14
ORI,107870,0,1171603.0,0.0,6.25,2017-03-15
ORI,30100,34800,326060.0,375320.0,4.04,2017-03-16
ORI,8000,18500,86400.0,201510.0,2.98,2017-03-17
ORI,22100,10600,239480.0,115540.0,0.13,2017-03-20
ORI,11400,158070,124260.0,1723123.0,5.11,2017-03-21
ORI,2400,1600,26160.0,17440.0,0.41,2017-03-22
ORI,4200,2700,45950.0,29460.0,0.54,2017-03-23
ORI,13900,1600,150120.0,17280.0,0.58,2017-03-24
ORI,18600,32200,197430.0,344250.0,3.25,2017-03-27
ORI,18400,37100,193740.0,389730.0,0.92,2017-03-28
ORI,6600,93500,71550.0,1003060.0,0.24,2017-03-29
ORI,163900,41700,2078390.0,480750.0,0.45,2017-03-30
ORI,7400,56100,94170.0,713600.0,0.27,2017-03-31
ORI,52600,4200,665040.0,53430.0,0.4,2017-04-03
ORI,98900,20500,1224870.0,254760.0,1.44,2017-04-04
ORI,316900,46500,4052490.0,581820.0,1.56,2017-04-05
ORI,32000,9000,397480.0,111600.0,1.07,2017-04-07
ORI,64400,34900,811480.0,441530.0,1.48,2017-04-10
ORI,29000,34100,364900.0,420090.0,0.78,2017-04-11
ORI,134400,52400,1650950.0,652780.0,4.07,2017-04-12
ORI,240600,500,2217975.0,4600.0,2.0,2017-04-17
ORI,420300,8800,4144445.0,86905.0,1.97,2017-04-18
ORI,387300,134900,3775630.0,1324070.0,4.06,2017-04-19
ORI,70900,115100,691405.0,1124140.0,3.86,2017-04-20
ORI,3282600,3318800,33663880.0,33890620.0,22.5,2017-04-21
ORI,778600,720800,8163480.0,7580900.0,12.09,2017-04-24
ORI,160200,65600,1659380.0,675860.0,3.31,2017-04-25
ORI,15000,137800,165200.0,1481930.0,1.45,2017-04-26
ORI,117800,92100,1297520.0,1038770.0,1.83,2017-04-27
ORI,12000,217800,130850.0,2367720.0,2.41,2017-04-28
ORI,3000,66400,33000.0,729290.0,0.98,2017-05-02
ORI,10000,145800,111000.0,1595900.0,1.98,2017-05-03
ORI,41400,198800,478820.0,2268490.0,1.19,2017-05-04
ORI,73300,77000,839360.0,882400.0,1.98,2017-05-05
ORI,135900,269700,1499980.0,2975000.0,2.83,2017-05-08
ORI,1301100,1180900,13926610.0,12777490.0,18.5,2017-05-09
ORI,279801,220500,2805320.0,2179720.0,3.4,2017-05-11
ORI,449000,156001,4390150.0,1516259.85,4.49,2017-05-12
ORI,25300,37200,262980.0,385960.0,1.66,2017-05-15
ORI,242200,123000,2537590.0,1281790.0,4.6,2017-05-16
ORI,3300,738600,35840.0,7974100.0,4.74,2017-05-17
ORI,51400,168700,575820.0,1883160.0,0.52,2017-05-18
ORI,297800,304100,3286500.0,3453390.0,3.91,2017-05-19
ORI,1094300,198300,12218440.0,2188060.0,8.8,2017-05-22
ORI,364200,2008600,4307320.0,24198160.0,3.15,2017-05-23
ORI,366000,537500,4679640.0,6807460.0,3.95,2017-05-24
ORI,963300,243660,13572680.0,3396434.0,2.77,2017-05-25
ORI,1420400,63400,19861180.0,890940.0,9.42,2017-05-26
ORI,1119700,164900,15616060.0,2304570.0,11.63,2017-05-29
ORI,1585300,791600,23520370.0,11542930.0,5.53,2017-05-30
ORI,1249650,73400,18096970.0,1073420.0,5.08,2017-05-31
ORI,804300,181000,11423190.0,2572580.0,4.31,2017-06-01
ORI,2089100,13840,28591500.0,188666.0,9.94,2017-06-02
ORI,1024300,230300,14191330.0,3199850.0,8.87,2017-06-05
ORI,942120,187700,12743546.0,2533130.0,11.59,2017-06-06
ORI,2158500,1371100,30092330.0,19232760.0,8.73,2017-06-07
ORI,1606000,40800,24348130.0,604620.0,2.99,2017-06-08
ORI,381700,430950,5884080.0,6700480.0,2.24,2017-06-09
ORI,112000,579700,1735370.0,8925510.0,6.61,2017-06-12
ORI,1493300,1838900,23472940.0,28721700.0,9.8,2017-06-13
ORI,699200,929800,10902730.0,14446760.0,4.98,2017-06-14
ORI,263700,453200,4104930.0,7032620.0,10.86,2017-06-15
ORI,1007700,585600,15580990.0,8975060.0,16.44,2017-06-16
ORI,801400,738300,12294950.0,11239230.0,12.08,2017-06-19
ORI,2402800,1926800,35364370.0,28392900.0,20.83,2017-06-20
