Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
PACE,110000,224400,369600.0,751348.0,1.55,2017-01-04
PACE,1980900,46500,6792610.0,158650.0,2.95,2017-01-05
PACE,12514600,19218400,45195924.0,68753316.0,12.07,2017-01-06
PACE,20134500,4105000,79362468.0,16198142.0,7.39,2017-01-09
PACE,2241800,1713100,8654044.0,6414568.0,1.53,2017-01-10
PACE,1120700,282700,4139298.0,1050340.0,1.34,2017-01-11
PACE,1167300,531300,4201956.0,1947252.0,1.55,2017-01-12
PACE,6523700,2556000,24751710.0,9755856.0,5.11,2017-01-13
PACE,105200,123700,388336.0,455690.0,1.18,2017-01-16
PACE,366800,5062884,1326102.0,18227721.2,10.52,2017-01-17
PACE,202000,8000,725120.0,28480.0,1.02,2017-01-18
PACE,143000,249300,503760.0,882712.0,2.82,2017-01-19
PACE,13200,506400,47776.0,1832912.0,4.87,2017-01-20
PACE,34200,0,122920.0,0.0,0.37,2017-01-23
PACE,1004700,88300,3622018.0,320774.0,4.73,2017-01-24
PACE,520000,291500,1902400.0,1064582.0,6.51,2017-01-25
PACE,5000,614300,18650.0,2285504.0,0.65,2017-01-26
PACE,23600,92600,87590.0,347418.0,0.58,2017-01-27
PACE,0,122300,0.0,451616.0,1.4,2017-01-30
PACE,10000,63900,36800.0,236698.0,0.89,2017-01-31
PACE,22500,221900,82070.0,814068.0,3.04,2017-02-01
PACE,72300,131800,260428.0,474060.0,2.83,2017-02-02
PACE,0,53100,0.0,189710.0,0.73,2017-02-03
PACE,70300,114800,253960.0,418154.0,2.18,2017-02-06
PACE,1,268400,3.8,1004412.0,0.35,2017-02-07
PACE,6700,121500,25226.0,458378.0,0.71,2017-02-08
PACE,18,2700,68.04,10098.0,0.02,2017-02-09
PACE,0,20036,0.0,76136.8,0.2,2017-02-10
PACE,0,29600,0.0,108896.0,0.41,2017-02-15
PACE,0,44400,0.0,168720.0,0.53,2017-02-17
PACE,1000,0,3740.0,0.0,0.01,2017-02-20
PACE,5700,0,21204.0,0.0,0.23,2017-02-22
PACE,14700,50000,54378.0,185000.0,0.51,2017-02-23
PACE,55000,10000,204300.0,37400.0,0.71,2017-02-24
PACE,15500,703500,59610.0,2653372.0,2.13,2017-02-27
PACE,107700,455800,397084.0,1716290.0,0.68,2017-02-28
