Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
PAP,243300,2900,1521750.0,18260.0,3.65,2017-01-04
PAP,20100,82600,124715.0,513530.0,2.59,2017-01-05
PAP,81900,0,515270.0,0.0,0.62,2017-01-06
PAP,12100,182100,75510.0,1136975.0,5.87,2017-01-09
PAP,260100,43000,1611465.0,266600.0,18.08,2017-01-10
PAP,389800,42000,2464760.0,262500.0,7.75,2017-01-11
PAP,150200,13000,940255.0,81030.0,8.75,2017-01-12
PAP,172300,45000,1067125.0,278635.0,12.47,2017-01-13
PAP,0,35300,0.0,217340.0,1.17,2017-01-16
PAP,66600,11900,402930.0,72690.0,4.55,2017-01-17
PAP,20000,89900,118250.0,531955.0,1.92,2017-01-18
PAP,223800,33500,1296010.0,194525.0,8.23,2017-01-19
PAP,0,39500,0.0,231455.0,1.24,2017-01-20
PAP,12400,12900,74295.0,76430.0,0.61,2017-01-23
PAP,36400,52500,226675.0,325550.0,0.92,2017-01-24
PAP,500,24100,3030.0,146880.0,1.12,2017-01-25
PAP,400,55100,2420.0,336020.0,2.9,2017-01-27
PAP,110000,7400,680460.0,45880.0,5.1,2017-01-30
PAP,108300,0,671285.0,0.0,5.58,2017-01-31
PAP,118500,248900,737465.0,1545305.0,7.62,2017-02-01
PAP,5700,12100,35360.0,75705.0,0.58,2017-02-02
PAP,51100,13800,316820.0,85855.0,4.48,2017-02-03
PAP,4800,2300,30040.0,14455.0,0.32,2017-02-06
PAP,160800,8700,1008915.0,54385.0,2.16,2017-02-07
PAP,100,10700,625.0,66875.0,0.61,2017-02-08
PAP,10400,16400,64520.0,101840.0,1.93,2017-02-09
PAP,37900,11300,239140.0,71760.0,1.4,2017-02-10
PAP,211500,12900,1347550.0,82115.0,6.62,2017-02-14
PAP,0,8500,0.0,53845.0,0.56,2017-02-15
PAP,144500,17100,924800.0,109415.0,6.68,2017-02-16
PAP,139000,175600,924300.0,1184000.0,1.87,2017-02-17
PAP,45400,14400,318800.0,101520.0,0.48,2017-02-20
PAP,308000,10000,2179605.0,70500.0,3.88,2017-02-21
PAP,315300,57600,2308000.0,424920.0,2.13,2017-02-22
PAP,298000,283100,2414315.0,2286610.0,1.03,2017-02-23
PAP,10500,116700,85600.0,948455.0,0.99,2017-02-24
PAP,813200,29900,6531650.0,240435.0,5.96,2017-02-27
PAP,141700,77000,1113470.0,602935.0,1.87,2017-02-28
PAP,126700,18000,968640.0,136800.0,1.29,2017-03-01
PAP,768800,80000,6079275.0,636500.0,6.27,2017-03-02
PAP,259900,520200,2051300.0,4145905.0,4.52,2017-03-03
PAP,170200,301300,1330050.0,2367010.0,2.56,2017-03-06
PAP,779500,136400,5094785.0,894605.0,6.7,2017-03-07
PAP,1115400,128700,6758370.0,779130.0,9.11,2017-03-08
PAP,415500,125100,2554125.0,766365.0,7.55,2017-03-09
PAP,973200,58600,5953800.0,358255.0,28.2,2017-03-10
PAP,457800,402200,2719785.0,2399860.0,18.92,2017-03-13
PAP,66700,111700,396915.0,669360.0,4.79,2017-03-14
PAP,232400,86500,1416785.0,529115.0,12.81,2017-03-15
PAP,40200,48400,248730.0,298720.0,5.22,2017-03-16
PAP,413100,220500,2603090.0,1390895.0,9.78,2017-03-17
PAP,21000,98600,132100.0,616855.0,3.15,2017-03-20
PAP,626600,63000,3852340.0,387510.0,13.82,2017-03-21
PAP,233000,68500,1414420.0,417330.0,23.9,2017-03-22
PAP,166100,20600,1010010.0,124815.0,13.14,2017-03-23
PAP,210200,61600,1282205.0,375880.0,18.88,2017-03-24
PAP,0,89900,0.0,544060.0,9.66,2017-03-27
PAP,0,82800,0.0,498825.0,4.23,2017-03-28
PAP,45000,32400,271750.0,195540.0,10.35,2017-03-29
PAP,10000,172700,59750.0,1033700.0,3.63,2017-03-30
PAP,50000,7400,300000.0,44400.0,6.03,2017-03-31
PAP,3400,40900,20325.0,242270.0,1.72,2017-04-03
PAP,0,35300,0.0,209250.0,3.04,2017-04-04
PAP,163500,41900,963615.0,245610.0,4.98,2017-04-05
PAP,1400,3700,8120.0,21460.0,0.32,2017-04-07
PAP,5400,12000,31560.0,69600.0,2.29,2017-04-10
PAP,0,40700,0.0,234025.0,7.82,2017-04-11
PAP,0,35000,0.0,201250.0,4.85,2017-04-12
PAP,25000,77600,143000.0,445950.0,9.0,2017-04-17
PAP,100,71500,570.0,410345.0,10.73,2017-04-18
PAP,0,37900,0.0,217280.0,5.37,2017-04-19
PAP,0,21700,0.0,123740.0,3.79,2017-04-20
PAP,0,31200,0.0,178995.0,11.08,2017-04-21
PAP,300,105100,1710.0,598655.0,12.66,2017-04-24
PAP,1000,110800,5585.0,627035.0,4.79,2017-04-25
PAP,30600,67600,170330.0,376180.0,7.09,2017-04-26
PAP,10000,26100,56000.0,145965.0,6.39,2017-04-27
PAP,10000,45100,56500.0,252560.0,7.94,2017-04-28
PAP,10000,45800,55500.0,255115.0,4.45,2017-05-02
PAP,25600,99500,146680.0,566440.0,3.7,2017-05-03
PAP,10000,8500,57000.0,48420.0,3.26,2017-05-04
PAP,10000,8100,57000.0,46120.0,3.79,2017-05-05
PAP,0,12600,0.0,72215.0,2.44,2017-05-08
PAP,1000,28500,5550.0,159655.0,2.89,2017-05-09
PAP,5000,28700,27250.0,160145.0,2.45,2017-05-11
PAP,57100,34500,294400.0,181220.0,3.71,2017-05-12
PAP,9700,4000,49310.0,20375.0,1.35,2017-05-15
PAP,22700,9100,115575.0,45474.0,1.67,2017-05-16
PAP,8900,24200,44274.0,120790.0,2.4,2017-05-17
PAP,4000,20000,19862.0,98788.0,2.08,2017-05-18
PAP,15700,19400,78406.0,96900.0,2.87,2017-05-19
PAP,13700,9700,69680.0,49335.0,2.03,2017-05-22
PAP,8600,7100,43860.0,35915.0,1.03,2017-05-23
PAP,500,1600,2525.0,8085.0,0.6,2017-05-24
PAP,2800,2400,14180.0,12165.0,0.66,2017-05-25
PAP,0,9600,0.0,48565.0,1.59,2017-05-26
PAP,35400,10100,179000.0,51425.0,6.25,2017-05-29
PAP,52000,4200,262500.0,21000.0,5.91,2017-05-30
PAP,0,339600,0.0,1702070.0,15.47,2017-05-31
PAP,2500,2000,12494.0,9960.0,0.97,2017-06-01
PAP,0,6500,0.0,32438.0,1.06,2017-06-02
PAP,200,14500,996.0,72322.0,3.18,2017-06-05
PAP,28900,43300,153360.0,228449.0,0.63,2017-06-06
PAP,4300,24600,22775.0,129750.0,0.79,2017-06-07
PAP,51500,139400,287390.0,762455.0,0.54,2017-06-08
PAP,33800,372800,201480.0,2228300.0,1.49,2017-06-09
PAP,27300,70200,161180.0,417885.0,1.68,2017-06-12
PAP,500,40600,2900.0,237770.0,1.14,2017-06-13
PAP,31800,40700,190720.0,247390.0,0.5,2017-06-14
PAP,8600,37200,50990.0,220715.0,1.13,2017-06-15
PAP,1200,33700,6965.0,197600.0,1.53,2017-06-16
PAP,14700,10100,84840.0,58580.0,1.03,2017-06-19
PAP,8800,6000,49425.0,34500.0,0.82,2017-06-20
PAP,18600,76800,104800.0,431890.0,5.02,2017-06-21
PAP,16500,1500,93355.0,8550.0,1.55,2017-06-22
PAP,0,106400,0.0,600580.0,12.07,2017-06-23
PAP,0,25100,0.0,141815.0,2.87,2017-06-26
PAP,11400,38700,66560.0,223715.0,1.02,2017-06-27
PAP,27200,39100,161480.0,233270.0,0.56,2017-06-28
PAP,5500,43300,32175.0,256025.0,2.23,2017-06-29
PAP,4800,47600,27360.0,271290.0,2.02,2017-06-30
PAP,7500,40600,42000.0,227625.0,8.27,2017-07-03
PAP,37500,14700,210920.0,85175.0,0.56,2017-07-04
PAP,21500,44000,121475.0,249445.0,3.14,2017-07-05
PAP,28600,36900,157440.0,204015.0,2.1,2017-07-06
PAP,4100,3300,22040.0,17740.0,0.27,2017-07-07
PAP,6100,0,33030.0,0.0,0.84,2017-07-11
PAP,0,5100,0.0,27960.0,0.72,2017-07-12
PAP,0,5600,0.0,30800.0,1.34,2017-07-13
PAP,700,17000,3815.0,92650.0,5.08,2017-07-14
PAP,0,6700,0.0,36850.0,0.9,2017-07-17
PAP,0,4000,0.0,22000.0,1.56,2017-07-18
PAP,600,3000,3270.0,16365.0,0.54,2017-07-19
PAP,1100,14900,5995.0,81700.0,2.78,2017-07-20
PAP,0,15400,0.0,85065.0,0.96,2017-07-24
PAP,3100,7300,17360.0,40515.0,0.91,2017-07-25
PAP,2000,12400,11165.0,68895.0,0.96,2017-07-26
PAP,300,0,1665.0,0.0,0.03,2017-07-27
PAP,0,14700,0.0,80850.0,1.86,2017-07-31
PAP,5000,2600,26750.0,14005.0,1.02,2017-08-01
PAP,0,17200,0.0,92550.0,2.28,2017-08-02
PAP,2300,200,12535.0,1095.0,0.55,2017-08-03
PAP,13200,0,71900.0,0.0,1.87,2017-08-04
PAP,6000,1000,32700.0,5450.0,0.98,2017-08-07
PAP,7000,500,37950.0,2725.0,1.15,2017-08-08
PAP,3600,1500,19620.0,8175.0,1.33,2017-08-09
PAP,6700,31400,33500.0,156974.0,0.59,2017-08-10
PAP,100,4300,496.0,21330.0,0.21,2017-08-11
PAP,300,19300,1498.0,96126.0,1.44,2017-08-15
PAP,0,2200,0.0,10956.0,0.41,2017-08-16
PAP,0,7800,0.0,38930.0,1.27,2017-08-17
PAP,106200,1000,532532.0,5000.0,11.6,2017-08-18
PAP,6600,0,33150.0,0.0,1.94,2017-08-21
PAP,12300,207800,62910.0,1074105.0,13.73,2017-08-22
PAP,2300,288100,12075.0,1518515.0,13.13,2017-08-23
PAP,0,161800,0.0,835635.0,13.03,2017-08-24
PAP,0,79500,0.0,412575.0,13.1,2017-08-25
PAP,9700,43800,50380.0,228485.0,15.53,2017-08-28
PAP,5500,74600,29020.0,394565.0,14.11,2017-08-29
PAP,11100,90200,58370.0,473060.0,14.15,2017-08-30
PAP,3300,43000,17355.0,225465.0,13.52,2017-08-31
PAP,7300,95900,38640.0,505460.0,15.56,2017-09-01
PAP,300,60000,1580.0,317220.0,10.23,2017-09-04
PAP,11000,169500,57980.0,893815.0,12.28,2017-09-05
PAP,11200,559100,59980.0,3016385.0,12.86,2017-09-06
PAP,12800,1100800,69655.0,6020010.0,13.72,2017-09-07
PAP,1800,256700,9815.0,1400650.0,13.09,2017-09-08
PAP,11300,86800,61600.0,471900.0,14.21,2017-09-11
PAP,5700,67500,31065.0,365800.0,11.1,2017-09-12
PAP,9300,52600,50650.0,285795.0,14.77,2017-09-13
PAP,18300,57200,99295.0,309435.0,13.26,2017-09-14
PAP,6700,113500,35905.0,608260.0,13.82,2017-09-15
PAP,2500,89900,13375.0,476705.0,10.38,2017-09-18
PAP,3000,84400,16035.0,446830.0,10.22,2017-09-19
PAP,500,28500,2675.0,151070.0,10.15,2017-09-20
PAP,9400,85800,49820.0,454565.0,11.45,2017-09-21
PAP,26700,444000,136610.0,2279170.0,10.74,2017-09-22
PAP,38700,139100,201025.0,719935.0,14.07,2017-09-25
PAP,4600,104000,23690.0,535840.0,13.27,2017-09-26
PAP,6600,70900,33990.0,364540.0,13.79,2017-09-27
PAP,2800,64000,14420.0,328015.0,10.43,2017-09-28
PAP,3700,82200,19425.0,424060.0,5.83,2017-09-29
