Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
PE,5000,0,4400.0,0.0,0.22,2017-01-11
PE,5000,0,4350.0,0.0,1.36,2017-01-16
PE,5000,5000,4350.0,4450.0,1.47,2017-01-17
PE,22000,12000,19560.0,10660.0,0.88,2017-01-18
PE,0,20000,0.0,18200.0,0.22,2017-01-19
PE,20800,0,18720.0,0.0,0.09,2017-01-23
PE,0,20800,0.0,18720.0,0.52,2017-01-24
PE,20000,0,17600.0,0.0,1.99,2017-01-30
PE,42600,0,36636.0,0.0,5.32,2017-02-03
PE,50000,0,42500.0,0.0,3.3,2017-02-06
PE,70000,0,57800.0,0.0,2.19,2017-02-07
PE,80000,0,66500.0,0.0,2.86,2017-02-09
PE,25600,20000,21960.0,17600.0,0.27,2017-02-10
PE,0,25600,0.0,22060.0,0.23,2017-02-14
PE,442600,1472600,425778.0,1428296.0,1.16,2017-02-16
PE,73300,132600,66600.0,121772.0,0.86,2017-02-17
PE,5000,21300,4400.0,19170.0,0.26,2017-02-20
PE,0,40000,0.0,34400.0,0.28,2017-02-21
PE,0,3000,0.0,2570.0,0.06,2017-02-22
PE,11000,2000,9190.0,1680.0,0.7,2017-02-23
PE,83600,0,68552.0,0.0,1.77,2017-02-27
PE,10000,0,7900.0,0.0,0.51,2017-03-01
PE,33900,10000,27599.0,8000.0,0.55,2017-03-07
PE,1100,0,847.0,0.0,0.1,2017-03-09
PE,100000,0,77000.0,0.0,7.92,2017-03-10
PE,5000,0,3700.0,0.0,0.24,2017-03-13
PE,73800,74800,60908.0,61536.0,0.58,2017-03-21
PE,73000,24600,59142.0,20172.0,1.73,2017-03-22
PE,32400,80000,25944.0,64000.0,3.63,2017-03-23
PE,30000,0,24000.0,0.0,2.21,2017-03-24
PE,20000,0,16000.0,0.0,2.69,2017-03-27
PE,1200,0,948.0,0.0,0.23,2017-03-31
PE,100,100,80.0,79.0,0.07,2017-04-05
PE,0,6000,0.0,4620.0,6.08,2017-04-26
PE,0,15000,0.0,11550.0,29.76,2017-05-03
PE,700,700,476.0,497.0,0.16,2017-05-16
PE,20000,0,14600.0,0.0,4.72,2017-05-22
PE,20000,20000,14400.0,14400.0,4.95,2017-05-24
PE,0,21700,0.0,16058.0,3.59,2017-05-31
PE,0,30000,0.0,22500.0,29.01,2017-06-02
PE,210400,10000,128544.0,6400.0,1.07,2017-06-16
PE,50000,0,30500.0,0.0,1.2,2017-06-19
PE,10000,0,6100.0,0.0,0.74,2017-06-20
PE,100,0,62.0,0.0,0.0,2017-06-21
PE,16500,10000,9900.0,6000.0,2.01,2017-06-22
PE,33500,10000,20100.0,6000.0,4.65,2017-06-23
PE,30000,0,16400.0,0.0,2.45,2017-07-03
PE,10000,0,5400.0,0.0,0.86,2017-07-04
PE,712000,544200,454983.0,366596.0,1.14,2017-07-05
PE,107200,299100,75046.0,221484.0,0.61,2017-07-06
PE,226200,112200,152816.0,74052.0,1.09,2017-07-07
PE,0,26200,0.0,17554.0,0.17,2017-07-11
PE,30000,20000,21100.0,14600.0,0.1,2017-07-12
PE,200,0,136.0,0.0,0.0,2017-07-13
PE,20000,0,13700.0,0.0,0.07,2017-07-14
PE,0,200,0.0,130.0,0.01,2017-07-17
PE,10000,0,6300.0,0.0,0.21,2017-07-19
PE,30000,0,17800.0,0.0,1.62,2017-07-24
PE,10000,0,5900.0,0.0,1.14,2017-07-26
PE,0,20000,0.0,11800.0,2.11,2017-07-27
PE,3400,0,1972.0,0.0,2.69,2017-08-01
PE,36600,18500,21228.0,11100.0,1.13,2017-08-02
PE,0,31500,0.0,19215.0,1.74,2017-08-04
PE,98000,50000,62720.0,35500.0,0.38,2017-08-07
PE,350000,38000,230000.0,23940.0,2.89,2017-08-08
PE,50000,160000,30000.0,96200.0,6.27,2017-08-11
PE,574000,224000,409580.0,159140.0,0.54,2017-08-22
PE,20000,530000,14400.0,366700.0,0.58,2017-08-23
PE,18000,3000,13510.0,2220.0,0.03,2017-08-24
PE,504300,500000,352970.0,340000.0,2.97,2017-08-25
PE,1000,0,690.0,0.0,0.01,2017-09-07
PE,0,18300,0.0,12850.0,0.14,2017-09-08
PE,24300,19000,19057.0,14560.0,0.03,2017-09-12
PE,201000,300,158760.0,237.0,0.42,2017-09-13
PE,0,200000,0.0,148000.0,2.49,2017-09-14
PE,100000,0,71000.0,0.0,2.24,2017-09-18
PE,100000,0,71000.0,0.0,2.91,2017-09-19
PE,0,200000,0.0,148500.0,1.01,2017-09-20
PE,50000,0,35000.0,0.0,3.48,2017-10-02
PE,0,50000,0.0,36800.0,0.45,2017-10-03
PE,30000,0,21000.0,0.0,4.1,2017-10-11
PE,50000,0,34000.0,0.0,4.05,2017-10-16
PE,5000,0,3350.0,0.0,0.49,2017-10-17
PE,10000,0,6700.0,0.0,0.88,2017-10-18
PE,5000,0,3300.0,0.0,0.63,2017-10-19
PE,40000,0,26200.0,0.0,2.1,2017-10-24
PE,0,20000,0.0,13200.0,2.01,2017-10-27
PE,0,20000,0.0,13400.0,0.7,2017-10-30
PE,24700,0,16372.0,0.0,2.2,2017-10-31
PE,270000,51700,185600.0,35156.0,6.64,2017-11-01
PE,16000,0,10720.0,0.0,1.42,2017-11-02
PE,30000,4000,19500.0,2640.0,1.32,2017-11-03
PE,0,20500,0.0,13940.0,0.44,2017-11-21
PE,0,9900,0.0,6633.0,0.6,2017-11-23
PE,0,10000,0.0,6100.0,3.36,2017-12-14
PE,30000,0,17071.0,0.0,2.86,2017-12-18
PE,0,39500,0.0,22910.0,4.38,2017-12-19
PE,10000,0,5800.0,0.0,0.44,2017-12-27
