Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
PG,0,3000,0.0,24900.0,36.57,2017-01-17
PG,1100,0,9185.0,0.0,26.19,2017-01-19
PG,900,0,7470.0,0.0,7.76,2017-01-24
PG,0,5500,0.0,45175.0,45.81,2017-01-26
PG,0,5000,0.0,41000.0,50.0,2017-01-30
PG,0,100,0.0,830.0,25.0,2017-02-10
PG,0,800,0.0,6640.0,50.0,2017-02-15
PG,0,14400,0.0,115260.0,38.1,2017-02-20
PG,300,300,2425.0,2430.0,5.88,2017-02-21
PG,0,31200,0.0,236645.0,23.04,2017-04-04
PG,1200,0,9180.0,0.0,35.29,2017-07-11
PG,0,1200,0.0,9180.0,1.5,2017-07-19
PG,0,20000,0.0,150000.0,24.45,2017-08-31
PG,0,100,0.0,790.0,5.0,2017-10-24
PG,15000,0,106500.0,0.0,50.0,2018-07-24
PG,40400,0,286840.0,0.0,50.0,2018-07-25
PG,2200,0,15620.0,0.0,25.0,2018-07-26
PG,212400,0,1508040.0,0.0,49.98,2018-08-01
PG,0,2000,0.0,14005.0,50.0,2018-09-05
PG,900,0,5265.0,0.0,7.38,2019-02-13
PG,0,900,0.0,4915.0,23.68,2019-02-18
PG,2000,0,11100.0,0.0,14.29,2019-04-25
PG,1900,2000,10545.0,11200.0,6.75,2019-04-30
PG,0,1900,0.0,11020.0,16.67,2019-05-03
