Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
PK,492100,368600,1928058.0,1456740.0,1.47,2017-01-04
PK,68100,301000,270852.0,1226280.0,0.7,2017-01-05
PK,0,25000,0.0,96300.0,0.34,2017-01-06
PK,15000,15500,59700.0,60930.0,0.16,2017-01-09
PK,6500,0,25480.0,0.0,0.04,2017-01-10
PK,40000,46500,158000.0,184400.0,1.09,2017-01-11
PK,10000,0,39200.0,0.0,0.39,2017-01-12
PK,0,3000,0.0,11760.0,0.14,2017-01-13
PK,147700,69000,592352.0,277380.0,1.4,2017-01-16
PK,0,6700,0.0,26934.0,0.18,2017-01-17
PK,0,40000,0.0,158400.0,2.9,2017-01-18
PK,28100,0,110714.0,0.0,0.89,2017-01-23
PK,35500,6000,140162.0,23400.0,1.81,2017-01-24
PK,79100,0,310690.0,0.0,6.83,2017-01-25
PK,2800,0,10912.0,0.0,0.23,2017-01-26
PK,17400,45000,67568.0,174600.0,6.09,2017-01-27
PK,47300,25000,184702.0,97500.0,6.38,2017-01-30
PK,13700,0,53620.0,0.0,0.24,2017-01-31
PK,3900,8200,15288.0,32054.0,0.7,2017-02-01
PK,0,17100,0.0,66708.0,1.62,2017-02-02
PK,0,3500,0.0,13578.0,0.4,2017-02-03
PK,100000,4900,391000.0,19050.0,10.72,2017-02-06
PK,0,12300,0.0,47966.0,1.32,2017-02-07
PK,200,0,780.0,0.0,0.01,2017-02-08
PK,6200,500,24180.0,1940.0,0.98,2017-02-09
PK,13700,0,53120.0,0.0,1.09,2017-02-10
PK,7100,0,27744.0,0.0,0.78,2017-02-14
PK,13500,20000,50408.0,74310.0,1.91,2017-02-15
PK,0,8200,0.0,30534.0,1.87,2017-02-16
PK,0,2500,0.0,9400.0,0.68,2017-02-17
PK,0,2400,0.0,8990.0,1.08,2017-02-20
PK,0,14200,0.0,52688.0,2.46,2017-02-21
PK,10000,3800,36400.0,13908.0,1.23,2017-02-22
PK,0,13700,0.0,50056.0,9.22,2017-02-23
PK,10000,17900,36800.0,66766.0,2.75,2017-02-24
PK,10000,3700,36000.0,13492.0,1.58,2017-02-27
PK,0,2800,0.0,10056.0,0.4,2017-02-28
PK,0,6100,0.0,21806.0,1.8,2017-03-01
PK,0,3000,0.0,10818.0,0.1,2017-03-02
PK,0,500,0.0,1846.0,0.08,2017-03-03
PK,0,7600,0.0,27662.0,1.16,2017-03-06
PK,20000,1400,70400.0,4990.0,3.47,2017-03-07
PK,59700,23400,206974.0,82360.0,3.81,2017-03-08
PK,600,1700,2066.0,5882.0,0.21,2017-03-09
PK,1100,2200,3740.0,7498.0,0.39,2017-03-13
PK,0,1200,0.0,4008.0,0.45,2017-03-14
PK,400,0,1348.0,0.0,0.07,2017-03-15
PK,7900,0,26936.0,0.0,2.62,2017-03-16
PK,10400,0,35762.0,0.0,7.5,2017-03-17
PK,1200,10000,4168.0,34818.0,12.7,2017-03-20
PK,4200,0,14734.0,0.0,3.4,2017-03-21
PK,100,0,352.0,0.0,0.07,2017-03-23
PK,0,100,0.0,354.0,0.11,2017-03-24
PK,10000,25600,35200.0,90534.0,34.9,2017-03-27
PK,0,6900,0.0,24232.0,7.19,2017-03-28
PK,56500,122500,213558.0,453200.0,2.49,2017-03-29
PK,0,11700,0.0,44592.0,0.56,2017-03-30
PK,0,8500,0.0,31656.0,1.03,2017-03-31
PK,102600,8600,397828.0,32864.0,1.86,2017-04-03
PK,0,16500,0.0,62504.0,1.2,2017-04-04
PK,11400,15300,43320.0,57618.0,0.22,2017-04-05
PK,0,24100,0.0,91346.0,2.0,2017-04-07
PK,3300,0,12672.0,0.0,0.04,2017-04-11
PK,0,3300,0.0,12606.0,0.15,2017-04-12
PK,0,33000,0.0,123420.0,1.11,2017-04-18
PK,0,2400,0.0,8688.0,0.19,2017-04-24
PK,3400,100,12932.0,366.0,0.1,2017-04-27
PK,16300,3400,62986.0,13040.0,0.13,2017-04-28
PK,8000,7300,30560.0,27886.0,1.36,2017-05-02
PK,1600,0,6080.0,0.0,0.04,2017-05-04
PK,0,1600,0.0,6112.0,0.62,2017-05-05
PK,0,17000,0.0,61200.0,0.7,2017-05-11
PK,55000,0,198000.0,0.0,7.76,2017-05-12
PK,152000,310500,673460.0,1403140.0,0.45,2017-05-15
PK,346620,464000,1741343.0,2348514.0,0.84,2017-05-16
PK,66000,71100,318820.0,347728.0,0.29,2017-05-17
PK,38200,80000,185728.0,396700.0,0.31,2017-05-18
PK,51800,139000,249230.0,678190.0,0.44,2017-05-19
PK,9034400,9201700,55302770.0,56981735.0,6.75,2017-05-22
PK,60500,77600,372660.0,485100.0,0.17,2017-05-23
PK,7381000,7316400,48881995.0,48247820.0,10.26,2017-05-24
PK,115500,123600,716460.0,785970.0,0.52,2017-05-25
PK,322000,343300,2089435.0,2196740.0,0.75,2017-05-26
PK,235400,174600,1511870.0,1131560.0,1.0,2017-05-29
PK,153700,121300,978235.0,764905.0,1.32,2017-05-30
PK,422600,180700,2777455.0,1185360.0,0.87,2017-05-31
PK,252000,283900,1730660.0,1904695.0,0.44,2017-06-01
PK,41100,285000,281925.0,1980090.0,0.58,2017-06-02
PK,49300,113720,341915.0,788931.0,0.26,2017-06-05
PK,85900,44500,581605.0,304000.0,0.25,2017-06-06
PK,118500,42600,773470.0,280770.0,0.7,2017-06-07
PK,184000,203100,1180610.0,1301650.0,2.5,2017-06-08
PK,130700,150500,829650.0,958980.0,2.68,2017-06-09
PK,381500,325000,2535515.0,2174670.0,1.29,2017-06-12
PK,207400,232100,1427405.0,1605580.0,1.18,2017-06-13
PK,123500,148600,844475.0,1021725.0,1.06,2017-06-14
PK,125200,108500,853980.0,751025.0,1.22,2017-06-15
PK,2100,600,13860.0,4050.0,0.03,2017-06-16
PK,39500,33600,266110.0,226750.0,0.44,2017-06-19
PK,235500,99500,1625485.0,692350.0,1.0,2017-06-20
PK,75400,24400,515715.0,167140.0,0.85,2017-06-21
PK,500,116600,3425.0,782455.0,0.59,2017-06-22
PK,0,49700,0.0,333735.0,0.63,2017-06-23
PK,64800,62600,434160.0,419420.0,1.71,2017-06-26
PK,7090500,6717200,51025815.0,49260195.0,10.33,2017-06-27
PK,304500,308000,2141520.0,2183600.0,1.11,2017-06-28
PK,139600,234000,952300.0,1578070.0,2.37,2017-06-29
PK,98700,197200,641615.0,1308185.0,1.62,2017-06-30
PK,110800,95600,731460.0,622815.0,0.89,2017-07-03
PK,73900,215000,487345.0,1423375.0,2.33,2017-07-04
PK,149700,151600,990535.0,987075.0,5.04,2017-07-05
PK,60300,104600,386130.0,674540.0,3.01,2017-07-06
PK,155600,193800,1045630.0,1290855.0,1.75,2017-07-07
PK,126900,201900,869265.0,1368435.0,1.39,2017-07-11
PK,71100,108500,482350.0,736405.0,1.54,2017-07-12
PK,103100,155100,708590.0,1041785.0,1.44,2017-07-13
PK,2000,0,13300.0,0.0,0.04,2017-07-14
PK,149000,162200,1023880.0,1111420.0,1.32,2017-07-17
PK,109500,155800,759125.0,1052530.0,2.39,2017-07-18
PK,27000,0,176100.0,0.0,0.58,2017-07-21
PK,0,2000,0.0,13100.0,0.09,2017-07-24
PK,2500,7200,16250.0,46440.0,0.63,2017-07-25
PK,0,4900,0.0,31605.0,0.27,2017-07-26
PK,124400,62000,817910.0,410445.0,1.04,2017-07-27
PK,225400,201200,1535100.0,1364970.0,1.31,2017-07-31
PK,18800,86600,125960.0,578960.0,1.32,2017-08-01
PK,0,48800,0.0,326285.0,1.61,2017-08-02
PK,8300,0,55610.0,0.0,0.32,2017-08-03
PK,208000,109600,1432050.0,767420.0,0.68,2017-08-04
PK,524300,33500,3602050.0,228970.0,3.76,2017-08-07
PK,17300,59200,115045.0,392810.0,0.85,2017-08-08
PK,36000,16100,237000.0,104650.0,0.77,2017-08-09
PK,50000,47300,332500.0,311150.0,1.21,2017-08-10
PK,0,29000,0.0,187700.0,0.3,2017-08-11
PK,93600,3000,583145.0,18600.0,0.76,2017-08-15
PK,112000,11200,646885.0,65500.0,0.73,2017-08-16
PK,55000,50100,312595.0,282135.0,1.05,2017-08-17
PK,35000,0,194250.0,0.0,1.56,2017-08-18
PK,77300,60300,404220.0,321595.0,2.08,2017-08-21
PK,325400,244300,1697575.0,1266010.0,2.1,2017-08-22
