Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
PLAT,20000,290100,143915.0,2090300.0,5.83,2017-01-04
PLAT,0,48900,0.0,348295.0,3.18,2017-01-05
PLAT,112100,127600,790305.0,895105.0,4.31,2017-01-06
PLAT,0,80200,0.0,559425.0,2.51,2017-01-09
PLAT,27600,121400,192260.0,850595.0,2.48,2017-01-10
PLAT,141300,113800,995240.0,805290.0,2.66,2017-01-11
PLAT,250700,515300,1772550.0,3636670.0,12.6,2017-01-12
PLAT,10000,91100,70920.0,646280.0,3.68,2017-01-13
PLAT,3300,2100,23265.0,14810.0,1.22,2017-01-16
PLAT,2200,21600,15510.0,153075.0,0.67,2017-01-17
PLAT,3300,24800,23280.0,174010.0,1.31,2017-01-18
PLAT,900,143000,6255.0,992105.0,5.23,2017-01-19
PLAT,16000,46300,111400.0,321815.0,3.33,2017-01-20
PLAT,3700,114000,25875.0,798125.0,9.99,2017-01-23
PLAT,1600,58200,11210.0,408385.0,5.07,2017-01-24
PLAT,53300,62900,375790.0,441885.0,10.89,2017-01-25
PLAT,3800,277600,26170.0,1912490.0,4.12,2017-01-26
PLAT,31100,86000,212000.0,585910.0,1.59,2017-01-27
PLAT,59500,260000,414020.0,1825420.0,4.27,2017-01-30
PLAT,0,3000,0.0,21150.0,0.12,2017-01-31
PLAT,30100,53200,206410.0,367890.0,1.77,2017-02-01
PLAT,25900,9900,180755.0,68805.0,3.2,2017-02-02
PLAT,0,2600,0.0,18200.0,0.57,2017-02-03
PLAT,272600,39700,1914155.0,274960.0,9.58,2017-02-06
PLAT,181300,5900,1266785.0,41040.0,8.3,2017-02-07
PLAT,33100,1500,231380.0,10425.0,2.07,2017-02-08
PLAT,28600,10100,201140.0,71710.0,0.76,2017-02-09
PLAT,35700,59600,257030.0,429315.0,1.1,2017-02-10
PLAT,485600,210100,3528355.0,1534225.0,5.52,2017-02-14
PLAT,130200,16600,917950.0,118325.0,1.27,2017-02-15
PLAT,12200,0,86760.0,0.0,0.63,2017-02-16
PLAT,51600,175500,368725.0,1254325.0,9.56,2017-02-17
PLAT,140100,84600,1008220.0,608345.0,19.42,2017-02-20
PLAT,40200,47900,286595.0,340730.0,11.72,2017-02-21
PLAT,0,85700,0.0,608470.0,4.94,2017-02-22
PLAT,0,2100,0.0,14910.0,0.36,2017-02-23
PLAT,0,7900,0.0,55475.0,0.17,2017-02-24
PLAT,0,52900,0.0,370300.0,0.68,2017-02-27
PLAT,50300,100,354615.0,705.0,0.15,2017-02-28
PLAT,13000,10800,91650.0,76140.0,1.69,2017-03-01
PLAT,200,113100,1440.0,813670.0,2.67,2017-03-02
PLAT,0,15900,0.0,114475.0,0.81,2017-03-03
PLAT,5500,0,39050.0,0.0,1.08,2017-03-07
PLAT,26300,15500,188155.0,110325.0,1.37,2017-03-08
PLAT,5100,27700,36600.0,200230.0,0.31,2017-03-09
PLAT,4200,16900,30030.0,122695.0,0.68,2017-03-10
PLAT,6000,139100,42600.0,984090.0,8.01,2017-03-13
PLAT,9000,0,63900.0,0.0,1.08,2017-03-15
PLAT,4600,6000,32890.0,43200.0,0.68,2017-03-16
PLAT,0,10000,0.0,71500.0,2.2,2017-03-17
PLAT,1564100,1994000,11765580.0,14932800.0,4.94,2017-03-20
PLAT,1478700,1250000,11297405.0,9437500.0,5.13,2017-03-21
PLAT,64000,700,483715.0,5285.0,0.66,2017-03-22
PLAT,153700,0,1161575.0,0.0,2.9,2017-03-23
PLAT,218900,0,1660820.0,0.0,0.68,2017-03-24
PLAT,196100,114800,1456265.0,852255.0,3.05,2017-03-27
PLAT,258900,106000,1894570.0,773630.0,11.8,2017-03-28
PLAT,40200,99600,293460.0,725760.0,4.52,2017-03-29
PLAT,18400,119000,134320.0,876270.0,7.4,2017-03-30
PLAT,12700,67400,92960.0,495075.0,2.0,2017-03-31
PLAT,50900,67100,372150.0,488065.0,3.11,2017-04-03
PLAT,28800,46600,206710.0,339250.0,0.88,2017-04-04
PLAT,10600,29000,76445.0,208950.0,1.24,2017-04-05
PLAT,25000,58900,178750.0,421745.0,2.31,2017-04-07
PLAT,83200,87900,589110.0,626430.0,1.21,2017-04-10
PLAT,12200,8500,86020.0,59990.0,0.57,2017-04-11
PLAT,20600,2900,147250.0,20590.0,0.62,2017-04-12
PLAT,0,30000,0.0,213480.0,1.44,2017-04-17
PLAT,0,308600,0.0,2186380.0,6.39,2017-04-18
PLAT,70000,31100,497000.0,220595.0,3.29,2017-04-19
PLAT,6000,25800,42600.0,183180.0,1.18,2017-04-20
PLAT,0,40200,0.0,285180.0,1.49,2017-04-21
PLAT,23600,24100,168160.0,171010.0,2.58,2017-04-24
PLAT,90000,40700,636115.0,287375.0,4.15,2017-04-25
PLAT,33700,87700,238825.0,618285.0,5.85,2017-04-26
PLAT,105900,0,751875.0,0.0,7.21,2017-04-27
PLAT,73400,63400,521360.0,449930.0,8.13,2017-04-28
PLAT,88400,39800,627955.0,281620.0,3.79,2017-05-02
PLAT,0,68400,0.0,484460.0,1.37,2017-05-03
PLAT,155000,137300,1084950.0,964605.0,6.71,2017-05-04
PLAT,73800,98200,514150.0,686850.0,6.31,2017-05-05
PLAT,4500,22100,31500.0,153605.0,4.3,2017-05-08
PLAT,4900,26400,34295.0,183815.0,1.35,2017-05-09
PLAT,340200,63300,2327410.0,432400.0,5.97,2017-05-11
PLAT,62400,29000,422270.0,195440.0,2.18,2017-05-12
PLAT,43900,18700,295295.0,125995.0,3.13,2017-05-15
PLAT,174900,10000,1181910.0,67405.0,2.89,2017-05-16
PLAT,11200,34200,76315.0,233375.0,8.71,2017-05-17
PLAT,70400,147400,484580.0,1010550.0,22.54,2017-05-18
PLAT,4300,155200,29680.0,1083515.0,5.33,2017-05-19
PLAT,37000,92100,259000.0,645845.0,6.23,2017-05-22
PLAT,109800,84400,758110.0,585890.0,6.58,2017-05-23
PLAT,55400,85000,385030.0,589135.0,5.66,2017-05-24
PLAT,24300,123000,169995.0,863280.0,5.33,2017-05-25
PLAT,197900,28000,1376640.0,194530.0,16.23,2017-05-26
PLAT,6200,0,43090.0,0.0,1.03,2017-05-29
PLAT,3800,97300,26410.0,673125.0,13.63,2017-05-30
PLAT,18100,91700,124275.0,628145.0,4.51,2017-05-31
PLAT,1200,14300,8280.0,98670.0,1.09,2017-06-01
PLAT,61200,0,425045.0,0.0,12.71,2017-06-02
PLAT,600,3000,4170.0,20850.0,0.33,2017-06-05
PLAT,2700,0,18690.0,0.0,0.26,2017-06-06
PLAT,2300,25900,15870.0,177415.0,1.49,2017-06-07
PLAT,10000,12100,69000.0,83490.0,1.67,2017-06-08
PLAT,0,67700,0.0,467015.0,6.1,2017-06-09
PLAT,0,32300,0.0,222320.0,2.38,2017-06-12
PLAT,300,1400,2070.0,9590.0,0.18,2017-06-13
PLAT,1400,27500,9660.0,192440.0,0.52,2017-06-14
PLAT,28000,8500,196630.0,59330.0,1.1,2017-06-15
PLAT,11100,0,77700.0,0.0,1.09,2017-06-16
PLAT,4000,0,28200.0,0.0,0.34,2017-06-19
PLAT,0,54700,0.0,380875.0,2.33,2017-06-20
PLAT,0,2900,0.0,20155.0,1.91,2017-06-21
PLAT,600,1200,4170.0,8340.0,0.5,2017-06-22
PLAT,4800,0,33360.0,0.0,0.4,2017-06-23
PLAT,18900,0,131355.0,0.0,1.29,2017-06-26
PLAT,0,3500,0.0,24325.0,0.22,2017-06-27
PLAT,2800,14000,19320.0,96600.0,0.67,2017-06-28
PLAT,6400,42400,44070.0,294680.0,3.68,2017-06-29
PLAT,2300,20900,16100.0,145810.0,1.22,2017-06-30
PLAT,800,0,5600.0,0.0,0.16,2017-07-03
PLAT,7600,28900,52825.0,202180.0,3.98,2017-07-05
PLAT,0,18300,0.0,128100.0,0.71,2017-07-06
PLAT,16100,72000,115030.0,515215.0,1.17,2017-07-07
PLAT,19900,0,142525.0,0.0,0.55,2017-07-11
PLAT,12500,3700,88750.0,26270.0,1.28,2017-07-12
PLAT,700,0,4945.0,0.0,0.1,2017-07-13
PLAT,4700,80000,33595.0,576000.0,3.83,2017-07-14
PLAT,9900,0,70730.0,0.0,0.9,2017-07-17
