Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
PM,300000,0,2695010.0,0.0,24.86,2017-01-04
PM,34000,1000,307700.0,9100.0,8.05,2017-01-05
PM,25800,20000,235080.0,183700.0,2.93,2017-01-06
PM,30000,17600,274500.0,161365.0,5.83,2017-01-09
PM,32200,30000,299460.0,278250.0,4.44,2017-01-10
PM,4000,0,37400.0,0.0,0.48,2017-01-11
PM,5600,2000,52295.0,18500.0,0.89,2017-01-12
PM,11500,51800,108870.0,484450.0,1.13,2017-01-13
PM,0,76200,0.0,732640.0,2.55,2017-01-17
PM,42800,52000,409580.0,502250.0,0.67,2017-01-18
PM,0,22400,0.0,213920.0,1.19,2017-01-19
PM,400,0,3820.0,0.0,0.06,2017-01-23
PM,18800,0,177520.0,0.0,1.49,2017-01-24
PM,7400,0,70490.0,0.0,0.39,2017-01-25
PM,0,50000,0.0,477500.0,8.03,2017-01-26
PM,27000,0,252350.0,0.0,2.15,2017-01-30
PM,0,25000,0.0,236250.0,5.91,2017-01-31
PM,31000,0,291400.0,0.0,5.27,2017-02-01
PM,331800,306800,3203690.0,2973630.0,12.75,2017-02-02
PM,63700,99,618605.0,915.75,4.19,2017-02-03
PM,10700,0,101900.0,0.0,0.52,2017-02-06
PM,4900,0,46760.0,0.0,0.87,2017-02-07
PM,35000,42000,341250.0,406700.0,1.95,2017-02-09
PM,1100,200,10595.0,1920.0,0.3,2017-02-14
PM,159400,284400,1669175.0,2966320.0,1.51,2017-02-15
PM,200000,52400,2128240.0,551630.0,0.91,2017-02-16
PM,53300,300,555080.0,3120.0,0.75,2017-02-17
PM,515200,9700,5423250.0,101360.0,7.16,2017-02-20
PM,347400,52700,3737370.0,575430.0,2.88,2017-02-21
PM,232200,140500,2461530.0,1477200.0,14.16,2017-02-22
PM,0,15200,0.0,159240.0,0.6,2017-02-23
PM,16200,6700,170100.0,70350.0,1.9,2017-02-24
PM,101400,40000,1019945.0,408000.0,1.65,2017-02-27
PM,68400,1000,689940.0,10100.0,3.28,2017-02-28
PM,25300,38000,257520.0,384300.0,1.83,2017-03-01
PM,15600,20700,146855.0,195000.0,0.89,2017-03-02
PM,3000,300,28050.0,2805.0,0.23,2017-03-03
PM,160400,29000,1494720.0,269855.0,25.81,2017-03-06
PM,16400,12400,150595.0,113205.0,1.8,2017-03-07
PM,168000,14500,1516800.0,130800.0,4.36,2017-03-08
PM,18100,300,163020.0,2735.0,2.97,2017-03-09
PM,167000,30000,1539930.0,276385.0,11.13,2017-03-10
PM,33400,123100,308280.0,1132440.0,12.76,2017-03-13
PM,35500,20200,330020.0,187145.0,10.92,2017-03-14
PM,121200,88100,1125395.0,814475.0,10.25,2017-03-15
PM,73000,0,677260.0,0.0,6.97,2017-03-16
PM,500,2600,4630.0,24055.0,0.86,2017-03-17
PM,14500,800,134480.0,7400.0,8.42,2017-03-21
PM,36600,4300,337435.0,39775.0,5.79,2017-03-22
PM,12700,3500,117375.0,32230.0,4.13,2017-03-23
PM,0,4200,0.0,38535.0,0.55,2017-03-27
PM,16300,1600,148330.0,14640.0,1.76,2017-03-28
PM,32600,3700,298295.0,33855.0,6.8,2017-03-29
PM,4500,600,41405.0,5520.0,0.83,2017-03-30
PM,4400,14600,40700.0,135600.0,2.65,2017-03-31
PM,100,27500,925.0,254865.0,1.54,2017-04-03
PM,800,33200,7440.0,308755.0,2.61,2017-04-04
PM,1500,1500,13950.0,14010.0,1.17,2017-04-05
PM,3500,28200,32425.0,262260.0,10.26,2017-04-07
PM,0,12000,0.0,111600.0,7.22,2017-04-10
PM,21000,3300,194200.0,30525.0,10.08,2017-04-11
PM,8900,22200,82330.0,206440.0,9.4,2017-04-12
PM,28900,9900,265185.0,92025.0,15.81,2017-04-17
PM,25400,5000,234970.0,46500.0,5.43,2017-04-18
PM,0,300,0.0,2775.0,0.36,2017-04-19
PM,0,22300,0.0,206610.0,16.42,2017-04-20
PM,100,7600,925.0,70300.0,0.94,2017-04-21
PM,0,1000,0.0,9275.0,0.18,2017-04-24
PM,3700,38200,34080.0,350625.0,1.72,2017-04-25
PM,0,102600,0.0,930710.0,37.78,2017-04-26
PM,21000,0,192150.0,0.0,12.0,2017-04-27
PM,4800,111400,43810.0,1016330.0,49.28,2017-04-28
PM,400,55900,3640.0,508690.0,7.51,2017-05-02
PM,13400,29600,124605.0,275980.0,3.91,2017-05-03
PM,3500,20600,32510.0,192520.0,2.43,2017-05-04
PM,5300,0,48925.0,0.0,0.84,2017-05-05
PM,1400,0,12975.0,0.0,0.75,2017-05-08
PM,4900,0,45570.0,0.0,1.01,2017-05-09
PM,300,12200,2775.0,112310.0,1.86,2017-05-11
PM,200,9200,1840.0,83885.0,1.24,2017-05-12
PM,8300,34500,82965.0,335050.0,0.33,2017-05-15
PM,100,31000,950.0,298610.0,1.2,2017-05-16
PM,37700,100,363955.0,970.0,2.62,2017-05-17
PM,99400,127000,985055.0,1250975.0,5.71,2017-05-18
PM,54200,24800,539465.0,246710.0,3.64,2017-05-19
PM,32000,0,316600.0,0.0,2.2,2017-05-22
PM,52600,0,515145.0,0.0,7.63,2017-05-23
PM,26400,75700,262695.0,764745.0,1.56,2017-05-24
PM,16300,718600,168080.0,7401680.0,13.67,2017-05-25
PM,55300,0,564520.0,0.0,5.49,2017-05-26
PM,35100,500,356420.0,5100.0,6.69,2017-05-29
PM,19100,22800,193610.0,232560.0,8.55,2017-05-30
PM,54800,995900,570500.0,10394010.0,11.91,2017-05-31
PM,24400,0,256580.0,0.0,3.35,2017-06-01
PM,19700,44600,211550.0,485740.0,1.28,2017-06-02
PM,10200,3000,111180.0,32800.0,0.41,2017-06-05
PM,8200,12800,89280.0,139800.0,0.86,2017-06-06
PM,93200,18300,1046510.0,206320.0,1.92,2017-06-07
PM,12700,5000,144850.0,57200.0,0.6,2017-06-08
PM,19500,19800,221690.0,229000.0,1.37,2017-06-09
PM,58300,21400,680730.0,248690.0,2.72,2017-06-12
PM,146400,7900,1688510.0,90130.0,5.25,2017-06-13
PM,55200,3000,650030.0,35500.0,0.79,2017-06-14
PM,102400,56400,1222120.0,679590.0,1.29,2017-06-15
PM,59100,900,702700.0,10620.0,1.23,2017-06-16
PM,263100,30200,3150480.0,362540.0,4.89,2017-06-19
PM,43900,52300,538200.0,637240.0,1.03,2017-06-20
PM,18900,0,231490.0,0.0,0.82,2017-06-21
PM,55200,34200,681160.0,430530.0,1.73,2017-06-22
PM,32600,34900,407760.0,439620.0,1.5,2017-06-23
PM,21300,13800,262090.0,169740.0,0.86,2017-06-26
PM,122300,21500,1462090.0,260050.0,1.45,2017-06-27
PM,173900,15200,2026100.0,178590.0,5.07,2017-06-28
PM,58500,12400,691470.0,146210.0,2.28,2017-06-29
PM,250200,5400,2960880.0,63730.0,15.03,2017-06-30
PM,27400,31500,323400.0,371360.0,5.24,2017-07-03
PM,471700,39400,5725820.0,475480.0,9.42,2017-07-04
PM,4600,52700,57310.0,652380.0,2.46,2017-07-05
PM,22600,35300,274060.0,433780.0,2.22,2017-07-06
PM,101000,175600,1289010.0,2225620.0,1.04,2017-07-07
PM,218100,201700,2880440.0,2652950.0,1.68,2017-07-11
PM,32300,130300,415200.0,1658960.0,1.26,2017-07-12
PM,43500,0,551510.0,0.0,0.83,2017-07-13
PM,129900,29100,1630620.0,366900.0,1.9,2017-07-14
PM,76000,23400,941640.0,290320.0,1.93,2017-07-17
PM,91600,3100,1125220.0,37840.0,4.63,2017-07-18
PM,57000,38200,696260.0,467080.0,1.35,2017-07-19
PM,7100,43000,87230.0,531560.0,1.44,2017-07-20
PM,118700,47000,1388910.0,561850.0,2.2,2017-07-21
PM,347800,78200,3949000.0,885380.0,3.93,2017-07-24
PM,93000,18500,1051960.0,211620.0,2.02,2017-07-25
PM,75200,111100,881420.0,1311140.0,2.28,2017-07-26
PM,41500,68100,481480.0,787940.0,3.16,2017-07-27
PM,9300,29100,106960.0,334680.0,2.42,2017-07-31
PM,219900,54300,2559580.0,630270.0,8.11,2017-08-01
PM,252900,85800,2933830.0,995190.0,12.47,2017-08-02
PM,603400,102500,7164120.0,1205950.0,10.79,2017-08-03
PM,174500,191400,2061860.0,2256860.0,12.83,2017-08-04
PM,140200,48100,1631570.0,563890.0,6.34,2017-08-07
PM,18100,54000,208380.0,622880.0,2.66,2017-08-08
PM,34300,53000,404350.0,628300.0,1.09,2017-08-09
PM,116200,223600,1397300.0,2721480.0,1.32,2017-08-10
PM,8000,57500,92810.0,668330.0,0.7,2017-08-11
PM,100400,34700,1144390.0,392190.0,0.9,2017-08-15
PM,496100,388700,5644150.0,4434710.0,12.6,2017-08-16
PM,245400,269500,2769860.0,3040640.0,8.12,2017-08-17
PM,168300,177600,1884780.0,1993490.0,8.73,2017-08-18
PM,450400,328100,5054780.0,3689090.0,8.97,2017-08-21
PM,68800,49300,749920.0,537370.0,3.97,2017-08-22
PM,186700,133300,1999630.0,1432270.0,8.66,2017-08-23
PM,156800,256500,1675450.0,2742430.0,12.25,2017-08-24
PM,152300,192700,1651600.0,2094430.0,12.66,2017-08-25
PM,134200,138700,1468350.0,1518540.0,11.88,2017-08-28
PM,157500,185800,1703260.0,2006090.0,9.53,2017-08-29
PM,160000,130800,1715400.0,1403500.0,15.12,2017-08-30
PM,92300,58100,993240.0,627480.0,11.18,2017-08-31
PM,291700,324600,3149380.0,3505440.0,18.97,2017-09-01
PM,202400,1202304,2211950.0,13111123.0,19.67,2017-09-04
PM,273600,328800,3020440.0,3628690.0,8.15,2017-09-05
PM,80900,205700,874610.0,2247530.0,7.88,2017-09-06
PM,346700,428600,3825540.0,4714800.0,11.31,2017-09-07
PM,148700,285000,1634980.0,3140130.0,10.61,2017-09-08
PM,308400,308900,3409150.0,3421670.0,9.31,2017-09-11
PM,180000,304700,2022110.0,3433050.0,10.23,2017-09-12
PM,1242900,834000,14291880.0,9597370.0,8.43,2017-09-13
PM,841000,702100,9836650.0,8219530.0,13.12,2017-09-14
PM,351400,268500,4145460.0,3173850.0,9.41,2017-09-15
PM,56800,157600,678110.0,1881140.0,1.42,2017-09-18
PM,866200,748000,10702660.0,9251370.0,6.35,2017-09-19
PM,1034400,692700,12508630.0,8354010.0,9.44,2017-09-20
PM,234900,266300,2899370.0,3263810.0,2.21,2017-09-21
PM,6429100,2387200,84363430.0,31441900.0,15.79,2017-09-22
PM,1510500,2081400,20952330.0,28870190.0,10.33,2017-09-25
PM,1091400,876800,14686830.0,11821810.0,11.49,2017-09-26
PM,1080300,572900,14790970.0,7819010.0,11.3,2017-09-27
PM,364000,363100,4971880.0,4955890.0,9.52,2017-09-28
PM,484000,457200,6620440.0,6247360.0,10.38,2017-09-29
PM,1352000,643300,17880900.0,8483450.0,11.01,2017-10-02
PM,1774100,502400,23455950.0,6624930.0,19.3,2017-10-03
PM,1988200,16400,26624170.0,219290.0,24.63,2017-10-04
PM,2440500,733100,33734930.0,10244880.0,12.87,2017-10-05
PM,141100,304500,2010910.0,4320420.0,3.24,2017-10-06
PM,181600,193100,2523030.0,2703590.0,3.88,2017-10-09
PM,20000,276900,279000.0,3845100.0,3.52,2017-10-10
PM,150000,131400,2111760.0,1847650.0,3.61,2017-10-11
PM,80600,46000,1128710.0,644000.0,4.48,2017-10-12
PM,94200,279800,1299560.0,3853460.0,5.63,2017-10-16
PM,178700,74500,2436200.0,1013300.0,4.66,2017-10-17
PM,227000,19400,3050780.0,260570.0,6.09,2017-10-18
PM,338400,3276300,4436300.0,43004860.0,24.93,2017-10-19
PM,248600,10000,3238370.0,127670.0,4.56,2017-10-20
PM,268000,1129400,3522430.0,14824770.0,24.14,2017-10-24
PM,349600,98300,4713380.0,1334450.0,7.03,2017-10-25
