Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
POST,1000,0,3660.0,0.0,11.9,2017-01-09
POST,15500,0,60450.0,0.0,28.6,2017-02-10
POST,5900,0,23600.0,0.0,37.34,2017-02-15
POST,27900,0,111600.0,0.0,48.06,2017-02-21
POST,100,0,400.0,0.0,25.0,2017-02-22
POST,200,0,800.0,0.0,33.33,2017-02-23
POST,0,900,0.0,3996.0,0.53,2017-03-15
POST,0,2100,0.0,9408.0,30.88,2017-03-22
POST,0,1000,0.0,4860.0,12.82,2017-03-30
POST,2600,0,13890.0,0.0,1.79,2017-04-07
POST,5000,0,28000.0,0.0,12.94,2017-04-10
POST,500,0,2550.0,0.0,31.21,2017-04-12
POST,0,1000,0.0,5200.0,5.49,2017-05-03
POST,0,7600,0.0,39870.0,24.84,2017-05-19
POST,28800,0,144000.0,0.0,7.77,2017-06-19
POST,1000,0,3540.0,0.0,0.18,2017-07-18
POST,18000,0,62480.0,0.0,7.74,2017-07-19
POST,7500,0,24140.0,0.0,2.6,2017-07-20
POST,1000,0,3100.0,0.0,0.62,2017-07-21
POST,2500,1000,8000.0,3220.0,9.02,2017-07-24
POST,5000,0,16000.0,0.0,26.32,2017-07-25
POST,70000,0,264600.0,0.0,36.65,2017-08-01
POST,1700,0,5916.0,0.0,13.49,2017-08-15
POST,2800,0,9744.0,0.0,25.45,2017-08-16
POST,1900,0,6270.0,0.0,47.5,2017-08-25
POST,4400,0,15146.0,0.0,17.32,2017-09-08
POST,3700,0,12654.0,0.0,31.36,2017-09-11
POST,2000,0,7080.0,0.0,15.38,2017-09-12
POST,1000,0,3400.0,0.0,7.46,2017-09-14
POST,400,0,1360.0,0.0,1.94,2017-09-15
POST,400,0,1352.0,0.0,1.82,2017-09-18
POST,13300,0,46318.0,0.0,29.42,2017-09-19
POST,7500,0,25240.0,0.0,10.74,2017-09-20
POST,2800,0,9408.0,0.0,3.85,2017-09-21
POST,4100,0,13940.0,0.0,50.0,2017-09-26
POST,5000,0,16800.0,0.0,8.02,2017-09-29
POST,300,0,1014.0,0.0,1.61,2017-10-06
POST,100,0,342.0,0.0,50.0,2017-10-18
POST,0,10000,0.0,34400.0,34.25,2017-10-20
POST,5000,15000,17500.0,52200.0,17.86,2017-10-24
POST,0,2000,0.0,6880.0,50.0,2017-10-27
POST,0,2700,0.0,9126.0,36.49,2017-11-08
POST,0,1400,0.0,4760.0,1.74,2017-11-14
POST,0,7000,0.0,23800.0,44.3,2017-11-20
POST,0,10000,0.0,34000.0,46.73,2017-11-21
POST,0,5000,0.0,17200.0,9.96,2017-11-23
POST,0,100,0.0,346.0,12.5,2017-12-04
POST,0,100,0.0,342.0,0.13,2017-12-07
POST,0,100,0.0,340.0,50.0,2017-12-15
POST,0,200,0.0,680.0,3.12,2017-12-22
POST,0,1100,0.0,3740.0,50.0,2018-01-05
POST,0,100,0.0,342.0,12.5,2018-01-08
POST,100,600,352.0,2060.0,7.77,2018-01-09
POST,0,2700,0.0,9450.0,35.53,2018-01-10
POST,0,100,0.0,346.0,25.0,2018-01-19
POST,1000,0,3300.0,0.0,6.17,2018-02-05
POST,0,100,0.0,344.0,3.12,2018-02-07
POST,600,0,1980.0,0.0,9.38,2018-02-08
POST,1400,0,4368.0,0.0,9.86,2018-02-21
POST,400,0,1232.0,0.0,28.57,2018-02-26
POST,2600,0,7956.0,0.0,16.88,2018-03-02
POST,8500,0,26050.0,0.0,22.85,2018-03-06
POST,1000,0,3060.0,0.0,5.05,2018-03-07
POST,200,0,544.0,0.0,1.79,2018-05-18
POST,2800,0,8120.0,0.0,17.07,2018-05-22
POST,2000,0,5840.0,0.0,49.21,2018-05-25
POST,100,0,268.0,0.0,50.0,2018-07-05
POST,200,0,544.0,0.0,50.0,2018-07-16
POST,200,0,548.0,0.0,3.85,2018-07-19
POST,1600,0,4424.0,0.0,9.09,2018-07-20
POST,3400,0,9160.0,0.0,20.48,2018-08-09
POST,5500,0,14510.0,0.0,41.04,2018-08-14
POST,4500,0,11134.0,0.0,4.65,2018-08-15
POST,1400,0,3472.0,0.0,6.6,2018-08-16
POST,300,0,750.0,0.0,1.42,2018-08-17
POST,200,0,496.0,0.0,33.33,2018-08-21
POST,1000,0,2480.0,0.0,17.24,2018-08-22
POST,1000,0,2420.0,0.0,20.83,2018-09-03
POST,1000,1000,2500.0,2580.0,5.65,2018-09-04
POST,100,0,294.0,0.0,0.19,2018-09-05
POST,2100,0,4830.0,0.0,42.0,2018-11-05
POST,2800,0,6440.0,0.0,40.0,2018-11-06
POST,1000,0,2300.0,0.0,17.24,2018-11-13
POST,200,0,460.0,0.0,8.33,2018-11-15
POST,1100,0,2530.0,0.0,50.0,2018-11-16
POST,0,100,0.0,240.0,7.14,2018-11-26
POST,500,0,1114.0,0.0,8.93,2019-01-25
POST,100,0,204.0,0.0,1.25,2019-03-12
POST,400,0,751.0,0.0,3.5,2019-03-19
POST,100,0,254.0,0.0,50.0,2019-05-07
POST,0,100,0.0,234.0,0.12,2019-05-08
