Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
PPPM,110100,69300,954150.0,604535.0,1.91,2017-01-04
PPPM,87300,59900,751375.0,523200.0,2.47,2017-01-05
PPPM,25200,2200,219740.0,19140.0,1.48,2017-01-06
PPPM,461400,0,4011125.0,0.0,12.18,2017-01-09
PPPM,11200,1100,97810.0,9570.0,1.02,2017-01-10
PPPM,52500,60000,463800.0,528095.0,7.14,2017-01-11
PPPM,31200,576500,290420.0,5167550.0,2.33,2017-01-12
PPPM,16000,300000,152925.0,2910000.0,1.47,2017-01-13
PPPM,0,44800,0.0,407510.0,0.28,2017-01-16
PPPM,0,2300,0.0,20830.0,0.04,2017-01-17
PPPM,0,31900,0.0,294610.0,0.43,2017-01-18
PPPM,0,40800,0.0,371075.0,1.5,2017-01-19
PPPM,65900,425000,641240.0,4190500.0,1.56,2017-01-20
PPPM,52000,820000,518150.0,8413000.0,3.53,2017-01-23
PPPM,20900,463700,225860.0,4946800.0,1.87,2017-01-24
PPPM,5200,844600,61600.0,9997610.0,2.46,2017-01-25
PPPM,58800,419700,695920.0,5053830.0,2.01,2017-01-26
PPPM,167400,1657800,2140670.0,21343380.0,5.34,2017-01-27
PPPM,479100,1120800,6477490.0,15366580.0,5.31,2017-01-30
PPPM,596800,335200,8288070.0,4726060.0,3.37,2017-01-31
PPPM,54100,255000,773220.0,3606250.0,2.5,2017-02-01
PPPM,1110300,807500,15600340.0,11457960.0,3.6,2017-02-02
PPPM,419800,125000,5674550.0,1690000.0,5.59,2017-02-03
PPPM,172000,316800,2425500.0,4504720.0,3.11,2017-02-06
PPPM,17600,77200,250720.0,1099150.0,0.8,2017-02-07
PPPM,220000,319000,3123290.0,4484060.0,5.26,2017-02-08
PPPM,20000,79200,282000.0,1128140.0,1.69,2017-02-09
PPPM,340300,296300,4805730.0,4160590.0,5.88,2017-02-10
PPPM,8800,0,123360.0,0.0,0.19,2017-02-14
PPPM,356200,20100,4864020.0,274960.0,2.92,2017-02-15
PPPM,75000,264100,1028830.0,3593080.0,11.72,2017-02-16
PPPM,113300,93100,1558740.0,1277400.0,8.05,2017-02-17
PPPM,228000,0,3169200.0,0.0,7.96,2017-02-20
PPPM,309800,158400,4212380.0,2187280.0,6.43,2017-02-21
PPPM,18200,108700,242460.0,1448460.0,1.62,2017-02-22
PPPM,196500,169800,2666130.0,2281000.0,7.37,2017-02-23
PPPM,45200,1351800,640740.0,19133120.0,6.17,2017-02-24
PPPM,78000,459600,1118480.0,6606780.0,4.06,2017-02-27
PPPM,425000,163700,5761210.0,2212810.0,0.9,2017-02-28
PPPM,12900,337000,179310.0,4676580.0,3.12,2017-03-01
PPPM,40600,0,563690.0,0.0,0.87,2017-03-02
PPPM,167800,101000,2348670.0,1404000.0,8.06,2017-03-03
PPPM,100400,774600,1387250.0,11024310.0,4.0,2017-03-06
PPPM,103600,211900,1408980.0,2887720.0,4.85,2017-03-07
PPPM,1021800,539300,13398070.0,6953390.0,3.39,2017-03-08
PPPM,922100,124600,11628480.0,1560530.0,7.57,2017-03-09
PPPM,367900,210000,4360400.0,2512270.0,4.36,2017-03-10
PPPM,1357300,73800,14259650.0,760800.0,3.95,2017-03-13
PPPM,624900,751100,6686185.0,8556030.0,1.8,2017-03-14
PPPM,49000,883400,554210.0,10195850.0,2.56,2017-03-15
PPPM,147000,282400,1698980.0,3246160.0,1.86,2017-03-16
PPPM,130600,91200,1499930.0,1043760.0,3.47,2017-03-17
PPPM,152300,34000,1722880.0,388240.0,3.45,2017-03-20
PPPM,30500,217100,332440.0,2412960.0,1.77,2017-03-21
PPPM,227800,301600,2438170.0,3237440.0,1.53,2017-03-22
PPPM,515500,608400,5709200.0,6714560.0,5.97,2017-03-23
PPPM,600,246700,6720.0,2769170.0,1.77,2017-03-24
PPPM,0,122400,0.0,1338510.0,3.08,2017-03-27
PPPM,15400,34900,171400.0,388370.0,0.61,2017-03-28
PPPM,200000,83842,2200000.0,919598.1,3.18,2017-03-29
PPPM,81800,8000,883740.0,85580.0,1.57,2017-03-30
PPPM,171000,10800,1829160.0,115560.0,6.47,2017-03-31
PPPM,26600,3000,278790.0,31500.0,0.77,2017-04-03
PPPM,212500,0,2261480.0,0.0,4.13,2017-04-04
PPPM,303900,200,3197850.0,2100.0,9.42,2017-04-05
PPPM,404900,54300,4215730.0,568760.0,8.47,2017-04-07
PPPM,161600,44300,1664480.0,455440.0,1.38,2017-04-10
PPPM,57600,120600,597330.0,1256870.0,8.26,2017-04-11
PPPM,113000,819600,1227170.0,8770190.0,5.8,2017-04-12
PPPM,11700,174600,124870.0,1878220.0,3.25,2017-04-17
PPPM,49500,136800,536040.0,1483020.0,3.68,2017-04-18
PPPM,240600,301000,2526200.0,3182150.0,10.07,2017-04-19
PPPM,12400,772400,128990.0,8104620.0,14.58,2017-04-20
PPPM,331000,74000,3431880.0,765520.0,11.89,2017-04-21
PPPM,46300,224700,458155.0,2222895.0,1.58,2017-04-24
PPPM,233800,13800,2287340.0,135200.0,3.07,2017-04-25
PPPM,5200,196300,52000.0,1953485.0,3.61,2017-04-26
PPPM,16800,76900,171530.0,784670.0,1.08,2017-04-27
PPPM,8000,300,81600.0,3060.0,0.52,2017-04-28
PPPM,5105600,20600,51057120.0,210380.0,22.45,2017-05-02
PPPM,10800,7900,111240.0,81050.0,0.43,2017-05-03
PPPM,503500,28300,5441500.0,300510.0,3.09,2017-05-04
PPPM,1088600,123000,12131070.0,1373780.0,3.01,2017-05-05
PPPM,395500,26700,4393850.0,304230.0,1.97,2017-05-08
PPPM,376500,71500,3931470.0,758740.0,2.16,2017-05-09
PPPM,187600,70900,1877395.0,707130.0,2.1,2017-05-11
PPPM,21800,71500,213710.0,706580.0,0.76,2017-05-12
PPPM,21000,42000,203550.0,413700.0,1.56,2017-05-15
PPPM,312620,21000,3061506.0,206710.0,3.17,2017-05-16
PPPM,14100,7800,139760.0,76555.0,0.94,2017-05-17
PPPM,187400,200,1923750.0,1990.0,2.56,2017-05-18
PPPM,83100,101100,867360.0,1050250.0,2.0,2017-05-19
PPPM,91400,20900,929580.0,214460.0,2.81,2017-05-22
PPPM,123000,68500,1271890.0,705280.0,4.27,2017-05-23
PPPM,549900,129100,5808930.0,1357040.0,6.33,2017-05-24
PPPM,344700,119800,3680830.0,1270410.0,5.76,2017-05-25
PPPM,504800,749300,5518490.0,8168090.0,5.26,2017-05-26
