Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
PRG,500,0,6100.0,0.0,12.5,2017-01-16
PRG,1000,10000,12100.0,121000.0,50.0,2017-02-22
PRG,100,0,1220.0,0.0,49.02,2017-03-01
PRG,0,100,0.0,1200.0,25.0,2017-03-07
PRG,2000,0,24100.0,0.0,41.67,2017-03-08
PRG,1000,0,12100.0,0.0,49.9,2017-03-09
PRG,7100,0,86520.0,0.0,32.27,2017-03-14
PRG,0,200,0.0,2510.0,0.88,2017-03-17
PRG,100,0,1200.0,0.0,3.84,2017-03-20
PRG,0,500,0.0,6050.0,50.0,2017-03-29
PRG,4000,0,48000.0,0.0,50.0,2017-05-05
PRG,14300,0,165880.0,0.0,48.97,2017-05-16
PRG,100,0,1200.0,0.0,41.32,2017-05-17
PRG,4000,0,50000.0,0.0,40.0,2017-05-29
PRG,0,100,0.0,1200.0,16.67,2017-06-06
PRG,0,100,0.0,1200.0,25.0,2017-08-04
PRG,0,100,0.0,1200.0,25.0,2017-08-07
PRG,0,1900,0.0,24240.0,45.24,2017-08-09
PRG,0,400,0.0,4960.0,50.0,2017-08-15
PRG,0,7200,0.0,92160.0,50.0,2017-08-16
PRG,0,4000,0.0,48800.0,23.81,2017-08-17
PRG,0,10000,0.0,130000.0,47.17,2017-10-04
PRG,0,10000,0.0,130000.0,36.5,2017-10-05
PRG,2500,0,33000.0,0.0,6.54,2017-10-06
PRG,0,2500,0.0,34750.0,4.04,2017-10-09
PRG,0,4000,0.0,56000.0,9.89,2017-10-10
PRG,4600,2000,64400.0,28000.0,22.61,2017-10-24
PRG,200,0,2760.0,0.0,24.57,2017-10-25
PRG,400,0,5500.0,0.0,33.33,2017-10-27
PRG,100,0,1430.0,0.0,2.57,2017-10-31
PRG,0,700,0.0,10080.0,50.0,2017-11-06
PRG,0,1300,0.0,18470.0,26.0,2017-11-10
PRG,0,100,0.0,1450.0,25.0,2017-11-15
PRG,0,4600,0.0,65320.0,32.86,2018-01-12
PRG,0,100,0.0,1380.0,50.0,2018-04-18
PRG,0,500,0.0,7000.0,41.67,2018-04-19
PRG,0,5000,0.0,69000.0,37.88,2018-05-16
PRG,0,200,0.0,2780.0,1.33,2018-05-17
PRG,0,11000,0.0,151170.0,47.41,2018-05-18
PRG,0,5900,0.0,80830.0,47.58,2018-05-21
PRG,4800,0,65760.0,0.0,47.91,2018-05-25
PRG,5000,0,68500.0,0.0,50.0,2018-05-28
PRG,5000,0,68500.0,0.0,41.67,2018-06-01
PRG,8000,0,110820.0,0.0,50.0,2018-08-27
PRG,15700,0,220800.0,0.0,48.76,2018-08-28
PRG,15800,0,223300.0,0.0,50.0,2018-08-29
PRG,17000,0,242800.0,0.0,50.0,2018-08-30
PRG,1500,0,21300.0,0.0,50.0,2018-08-31
PRG,1000,0,14300.0,0.0,41.67,2018-09-03
PRG,200,0,2840.0,0.0,50.0,2018-09-17
PRG,4200,0,60060.0,0.0,48.84,2018-09-18
PRG,1000,0,14000.0,0.0,31.25,2018-09-19
PRG,9000,0,127200.0,0.0,50.0,2018-09-20
PRG,12300,0,172220.0,0.0,50.0,2018-09-21
PRG,15400,15400,215600.0,215600.0,99.35,2018-09-24
PRG,100,0,1400.0,0.0,0.25,2018-10-02
PRG,200,0,2760.0,0.0,2.44,2018-10-12
PRG,0,20700,0.0,288860.0,23.42,2018-10-16
PRG,4100,0,55130.0,0.0,7.0,2018-10-17
PRG,100,0,1310.0,0.0,0.53,2018-11-01
PRG,200,0,2620.0,0.0,8.33,2019-03-26
PRG,100,0,1280.0,0.0,1.0,2019-05-08
