Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
PRM,61720140,55490810,663461647.0,594018183.2,7.05,2017-09-14
PRM,32530000,37150522,364593470.0,417687192.0,10.49,2017-09-15
PRM,19293800,19034500,205893560.0,204801060.0,11.52,2017-09-18
PRM,10606800,10267858,114142620.0,110613938.0,7.48,2017-09-19
PRM,1336100,777600,14247320.0,8278570.0,1.59,2017-09-20
PRM,2369400,2515000,25550860.0,27131780.0,3.98,2017-09-21
PRM,13445700,14153000,147794850.0,156224060.0,10.24,2017-09-22
PRM,11786200,8063200,135855380.0,93093570.0,5.29,2017-09-25
PRM,5999600,8510200,66288550.0,94192750.0,7.39,2017-09-26
PRM,861200,841300,9523510.0,9264920.0,1.53,2017-09-27
PRM,1300800,459000,14182290.0,5042500.0,1.76,2017-09-28
PRM,1103300,418900,11893980.0,4529350.0,2.45,2017-09-29
PRM,224500,670000,2443700.0,7360700.0,1.87,2017-10-02
PRM,469700,416800,5165120.0,4544320.0,1.18,2017-10-03
PRM,1642400,1574000,17799230.0,17165170.0,5.64,2017-10-04
PRM,10638900,9378710,120137140.0,105690274.0,6.64,2017-10-05
PRM,14477519,15646819,167219082.3,181066014.7,7.51,2017-10-06
PRM,3491700,3619100,39390760.0,40863340.0,9.29,2017-10-09
PRM,12811705,13492840,150697259.5,159287250.0,8.08,2017-10-10
PRM,7205400,7190000,86082580.0,86346420.0,7.59,2017-10-11
PRM,9480400,8957500,118376300.0,111647020.0,6.94,2017-10-12
PRM,3865400,4282900,49285880.0,54656590.0,4.32,2017-10-16
PRM,13553500,12843200,179446970.0,170417440.0,11.63,2017-10-17
PRM,8690800,6333600,115150380.0,83620470.0,11.56,2017-10-18
PRM,7117600,9301500,91875540.0,119958730.0,9.13,2017-10-19
PRM,5864700,5690900,76085330.0,74282460.0,9.19,2017-10-20
PRM,11867100,12087700,160324520.0,163793040.0,15.61,2017-10-24
PRM,4578300,4628300,62882500.0,63706990.0,7.6,2017-10-25
PRM,14966117,14855800,209031278.0,207448920.0,22.83,2017-10-27
PRM,5520500,5207200,74401900.0,70323220.0,8.12,2017-10-30
PRM,6403400,4306400,87382960.0,58582400.0,11.78,2017-10-31
PRM,6322500,5676922,85638000.0,77127335.4,11.37,2017-11-01
PRM,4558400,3338600,61634690.0,45181840.0,9.76,2017-11-02
PRM,11504300,10835400,147890990.0,139538550.0,11.62,2017-11-03
PRM,4998400,4852700,63935140.0,61986360.0,10.38,2017-11-06
PRM,5719900,5013200,72481390.0,63349110.0,9.84,2017-11-07
PRM,3834700,3926700,48837270.0,50067180.0,10.55,2017-11-08
PRM,2542300,2381300,32939360.0,30829190.0,6.69,2017-11-09
PRM,2743600,1972600,35021250.0,25185420.0,7.37,2017-11-10
PRM,3330800,3015900,40544810.0,36584750.0,8.68,2017-11-13
PRM,1049700,507200,12555490.0,5963830.0,1.65,2017-11-14
PRM,10985200,8720200,135941700.0,108072750.0,15.44,2017-11-15
PRM,6219700,5621900,78000770.0,70614670.0,19.6,2017-11-16
PRM,2281600,1955400,28573200.0,24530590.0,10.18,2017-11-17
PRM,1183600,1046800,14670850.0,13019220.0,10.06,2017-11-20
PRM,1791300,1242600,22086420.0,15268630.0,6.05,2017-11-21
PRM,2968900,2471100,36638360.0,30422770.0,7.72,2017-11-22
PRM,4135500,3555600,49269210.0,42368920.0,8.11,2017-11-23
PRM,2454400,1880400,28670040.0,22021560.0,8.42,2017-11-24
PRM,2284600,1954700,25645040.0,21961610.0,6.98,2017-11-27
PRM,2607800,2355700,29105750.0,26213460.0,8.77,2017-11-28
PRM,4363000,3576400,49935420.0,40890820.0,9.02,2017-11-29
PRM,1734200,2125100,19447640.0,23827640.0,9.18,2017-11-30
PRM,712500,1533700,8020250.0,17316080.0,7.98,2017-12-01
PRM,8134300,8339400,85553470.0,88312815.0,9.1,2017-12-04
PRM,2627450,2710650,26357350.0,27143925.0,5.76,2017-12-06
PRM,1628800,704700,16391550.0,7084240.0,10.96,2017-12-07
PRM,4832000,4336900,49844380.0,44633110.0,9.93,2017-12-08
PRM,6430400,6832200,63030470.0,67165920.0,15.08,2017-12-12
PRM,2574634,3422700,25783783.2,34190620.0,10.29,2017-12-13
PRM,495000,510300,4975100.0,5149200.0,11.08,2017-12-14
PRM,1172900,755834,11773350.0,7580611.5,15.01,2017-12-15
PRM,2089900,1093400,21505710.0,11186190.0,17.19,2017-12-18
PRM,1091500,2820700,11096770.0,28800210.0,20.68,2017-12-19
PRM,1813800,3444000,18251370.0,34679180.0,12.54,2017-12-20
PRM,368700,549500,3687000.0,5512000.0,10.12,2017-12-21
PRM,149000,316600,1484480.0,3154595.0,6.5,2017-12-22
PRM,464300,505900,4635660.0,5073000.0,7.68,2017-12-25
PRM,877300,1105700,8890710.0,11180300.0,7.46,2017-12-26
PRM,537600,590800,5414760.0,5961890.0,10.47,2017-12-27
PRM,614000,635500,6124280.0,6352175.0,7.42,2017-12-28
PRM,284700,374200,2890275.0,3790210.0,5.98,2017-12-29
PRM,1584500,1916100,15858550.0,19195940.0,11.42,2018-01-03
PRM,19649700,17846300,207077150.0,188759350.0,19.38,2018-01-04
PRM,1389200,1533000,15070610.0,16637810.0,7.01,2018-01-05
PRM,9893900,9821900,112099380.0,112042170.0,19.8,2018-01-08
PRM,6504400,5640500,72599500.0,62997680.0,19.2,2018-01-09
PRM,4825600,7254300,54044660.0,81127320.0,26.69,2018-01-10
PRM,1499200,2648400,16673540.0,29553440.0,16.22,2018-01-11
PRM,994100,1324600,11126070.0,14831120.0,10.76,2018-01-12
PRM,8449800,8644600,90131550.0,92524390.0,22.1,2018-01-15
PRM,1810700,983400,19116530.0,10351150.0,10.18,2018-01-16
PRM,1633300,895200,17074180.0,9368520.0,13.43,2018-01-17
PRM,839900,983200,8949940.0,10442610.0,8.37,2018-01-18
PRM,488500,770900,5072650.0,8035510.0,8.47,2018-01-19
PRM,1586900,1639300,16657560.0,17209700.0,34.8,2018-01-22
PRM,1373700,757600,14370800.0,7869030.0,15.78,2018-01-23
PRM,2073600,2545200,22255390.0,27318370.0,7.39,2018-01-24
PRM,747700,1516100,8180430.0,16589460.0,8.48,2018-01-25
PRM,885600,1857300,9512780.0,19863570.0,17.87,2018-01-26
PRM,3192400,3664400,35704640.0,41002390.0,8.76,2018-01-29
PRM,1276200,1567000,14337550.0,17615760.0,7.26,2018-01-30
PRM,12273100,11160300,143047490.0,130078780.0,15.98,2018-01-31
PRM,2206900,2818800,25883540.0,33164840.0,8.94,2018-02-01
PRM,3596600,2663600,42315370.0,31566240.0,6.74,2018-02-02
PRM,2182000,1523600,24391570.0,17080310.0,6.2,2018-02-05
PRM,2518200,1522100,27052370.0,16424370.0,5.08,2018-02-06
PRM,1179300,1310500,12945010.0,14409950.0,6.18,2018-02-07
PRM,379500,179400,4098600.0,1937860.0,4.77,2018-02-08
PRM,594200,750400,6346280.0,8081030.0,7.7,2018-02-09
PRM,592900,859700,6526900.0,9478450.0,5.59,2018-02-12
PRM,897000,894700,10000020.0,9986980.0,4.45,2018-02-13
PRM,448700,535000,4940110.0,5910310.0,7.21,2018-02-14
PRM,163350,239100,1780810.9,2612420.0,5.03,2018-02-15
PRM,130400,522600,1410760.0,5653800.0,6.42,2018-02-16
PRM,75210,388900,809967.0,4158490.0,4.33,2018-02-19
PRM,911000,1805300,10001200.0,19701110.0,10.25,2018-02-20
PRM,967500,971100,10166450.0,10223220.0,8.13,2018-02-21
PRM,3840300,2654600,38467690.0,26631505.0,13.67,2018-02-22
PRM,422300,734200,4254820.0,7417020.0,7.77,2018-02-23
PRM,31100,775900,317590.0,7882860.0,5.69,2018-02-26
PRM,347200,871000,3457545.0,8756555.0,4.34,2018-02-27
PRM,16100,260200,160950.0,2601615.0,5.81,2018-02-28
PRM,269700,277300,2681410.0,2766655.0,7.59,2018-03-02
PRM,1220400,1505600,11461625.0,13867175.0,4.04,2018-03-05
PRM,172200,170500,1621150.0,1607215.0,2.32,2018-03-06
PRM,267000,672400,2455350.0,6195875.0,7.81,2018-03-07
PRM,3928731,1226000,33022539.2,10248315.0,7.58,2018-03-08
PRM,387700,348031,3223840.0,2886934.55,6.64,2018-03-09
PRM,413100,424800,3555765.0,3635740.0,4.05,2018-03-12
PRM,235100,420400,2093485.0,3727385.0,6.63,2018-03-13
PRM,717000,1264800,6456250.0,11392755.0,6.94,2018-03-14
PRM,115800,155400,1050615.0,1402360.0,3.51,2018-03-15
PRM,343100,240900,3136710.0,2196820.0,7.95,2018-03-16
PRM,60200,154400,539070.0,1387990.0,6.2,2018-03-19
PRM,78700,108400,702430.0,968370.0,9.1,2018-03-20
PRM,554045,1138900,5162803.0,10606815.0,8.59,2018-03-21
PRM,313500,716700,2956880.0,6778185.0,7.91,2018-03-22
PRM,1178800,1358100,11240385.0,12946610.0,8.14,2018-03-23
PRM,357100,1056800,3333930.0,9845675.0,8.49,2018-03-26
PRM,217700,817600,2017990.0,7552770.0,9.92,2018-03-27
PRM,228200,330000,2075775.0,2992290.0,6.76,2018-03-28
PRM,357500,240300,3178415.0,2145245.0,9.43,2018-03-29
PRM,71000,77500,634150.0,692975.0,4.09,2018-03-30
PRM,105200,85400,930675.0,752740.0,5.53,2018-04-02
PRM,89800,108100,773940.0,931635.0,4.34,2018-04-03
PRM,136000,178000,1151045.0,1506780.0,4.78,2018-04-04
PRM,124600,88000,1059360.0,748315.0,3.59,2018-04-05
PRM,55900,71200,478405.0,610315.0,2.95,2018-04-09
PRM,78800,57900,680705.0,499415.0,6.6,2018-04-10
PRM,132400,166100,1153525.0,1444565.0,5.32,2018-04-11
PRM,58900,36000,504915.0,308775.0,8.4,2018-04-12
PRM,107200,98900,923680.0,851215.0,6.26,2018-04-17
PRM,105500,161400,909750.0,1400730.0,6.86,2018-04-18
PRM,367800,2000,3223140.0,17200.0,3.47,2018-04-19
PRM,85500,776300,767460.0,7035850.0,4.2,2018-04-20
PRM,70500,505200,648585.0,4643500.0,6.28,2018-04-23
PRM,0,55000,0.0,502980.0,2.83,2018-04-24
PRM,0,114400,0.0,1029565.0,7.22,2018-04-25
PRM,0,800,0.0,7160.0,0.04,2018-04-26
PRM,1600,1000,14270.0,8900.0,0.16,2018-04-27
PRM,0,600,0.0,5370.0,0.03,2018-04-30
PRM,63300,5800,557040.0,50750.0,7.22,2018-05-02
PRM,69700,54500,612550.0,476965.0,2.96,2018-05-03
PRM,86400,17600,752525.0,153065.0,4.22,2018-05-04
PRM,16400,6000,142035.0,51915.0,0.88,2018-05-07
PRM,34500,73300,305325.0,653705.0,0.6,2018-05-08
PRM,62000,78900,554900.0,707540.0,1.46,2018-05-09
PRM,103000,600,906100.0,5370.0,2.14,2018-05-10
PRM,1700,85700,14790.0,752450.0,1.4,2018-05-11
PRM,127100,3500,1129180.0,30975.0,4.71,2018-05-14
PRM,881300,238400,8040970.0,2169180.0,7.34,2018-05-15
PRM,224460,176700,2025719.0,1593960.0,6.74,2018-05-16
PRM,369700,201600,3340295.0,1818555.0,11.65,2018-05-17
PRM,393371,0,3527398.2,0.0,10.91,2018-05-18
PRM,482300,2100,4346335.0,18900.0,9.9,2018-05-21
PRM,409076,8000,3669916.6,72000.0,12.37,2018-05-22
PRM,490600,13200,4344540.0,116085.0,5.7,2018-05-23
PRM,374676,39200,3249842.6,340395.0,4.97,2018-05-24
PRM,354700,21800,3042825.0,187005.0,14.02,2018-05-25
PRM,675646,30000,5925819.8,260785.0,9.24,2018-05-28
PRM,294500,27200,2565060.0,236345.0,10.81,2018-05-30
PRM,3290700,4246629,27691585.0,35722272.15,52.63,2018-05-31
PRM,210800,382700,1776785.0,3202505.0,7.4,2018-06-01
PRM,134900,164500,1103755.0,1342040.0,5.52,2018-06-04
PRM,52900,164100,418915.0,1284260.0,2.05,2018-06-05
PRM,62000,30300,505300.0,246445.0,1.24,2018-06-06
PRM,0,76800,0.0,627325.0,2.14,2018-06-07
PRM,0,30000,0.0,241500.0,2.06,2018-06-08
PRM,0,12200,0.0,98210.0,1.8,2018-06-11
PRM,6000,17300,48600.0,140630.0,2.32,2018-06-12
PRM,5500,12000,44520.0,96645.0,3.89,2018-06-13
PRM,48900,92600,387680.0,732470.0,3.81,2018-06-14
PRM,32200,72900,251675.0,571105.0,4.46,2018-06-15
PRM,0,31600,0.0,246480.0,1.95,2018-06-18
PRM,8500,58600,64975.0,445930.0,1.15,2018-06-19
PRM,65000,15000,480500.0,111750.0,1.34,2018-06-20
PRM,2500,17400,18375.0,127205.0,0.65,2018-06-21
PRM,154000,1500,1082300.0,10470.0,1.63,2018-06-22
PRM,20400,100000,145150.0,706590.0,7.06,2018-06-25
PRM,12400,290200,83690.0,1944340.0,4.95,2018-06-26
PRM,44300,0,301190.0,0.0,2.18,2018-06-27
PRM,120500,133400,788915.0,873325.0,5.99,2018-06-28
PRM,97700,493200,590420.0,2958450.0,5.81,2018-06-29
PRM,81700,0,498825.0,0.0,2.2,2018-07-02
PRM,516000,15800,3353645.0,101280.0,6.35,2018-07-03
PRM,28500,63500,185250.0,412790.0,4.65,2018-07-04
PRM,78400,141200,502000.0,897955.0,9.25,2018-07-05
PRM,62100,51500,381365.0,316145.0,5.52,2018-07-06
PRM,73500,4900,456370.0,30470.0,4.6,2018-07-09
PRM,113300,7400,704375.0,46330.0,3.7,2018-07-10
PRM,174500,25100,1097420.0,155580.0,2.22,2018-07-11
PRM,244300,1500,1549430.0,9375.0,2.04,2018-07-12
PRM,214300,364200,1431960.0,2388375.0,5.56,2018-07-13
PRM,148000,196400,982895.0,1295780.0,10.09,2018-07-16
PRM,8000,70800,51200.0,454320.0,3.15,2018-07-17
PRM,32800,10400,210480.0,66560.0,2.38,2018-07-18
PRM,179500,5500,1173665.0,35925.0,1.67,2018-07-19
PRM,287900,437300,1977985.0,2928395.0,1.88,2018-07-20
PRM,73000,205300,482815.0,1359545.0,3.38,2018-07-23
PRM,336400,90000,2275790.0,603170.0,2.82,2018-07-24
PRM,159100,89600,1078575.0,605100.0,2.2,2018-07-25
PRM,164500,97700,1098300.0,652305.0,3.93,2018-07-26
PRM,85300,36600,566455.0,243275.0,5.75,2018-07-31
PRM,1923100,497600,13395500.0,3484745.0,6.64,2018-08-01
PRM,370700,184300,2671325.0,1330995.0,2.53,2018-08-02
PRM,83600,431400,603570.0,3129260.0,6.35,2018-08-03
PRM,50600,112000,360490.0,799670.0,3.29,2018-08-06
PRM,131900,62000,924605.0,434900.0,3.85,2018-08-07
PRM,158700,388000,1148590.0,2792125.0,6.36,2018-08-08
PRM,79600,66900,569140.0,478335.0,4.25,2018-08-09
PRM,516100,520000,3810715.0,3802460.0,5.6,2018-08-10
PRM,12300,445600,85865.0,3116690.0,5.77,2018-08-14
PRM,18300,265400,129720.0,1862520.0,3.58,2018-08-15
PRM,170608,191200,1237492.6,1370950.0,4.63,2018-08-16
PRM,48300,151000,349985.0,1093370.0,3.54,2018-08-17
