Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
PSH,314100,2636200,7057870.0,59144170.0,30.9,2017-01-04
PSH,712600,3281900,16082580.0,74040990.0,25.44,2017-01-05
PSH,162900,2379100,3692150.0,53847290.0,28.83,2017-01-06
PSH,130900,23700,3002650.0,545740.0,1.1,2017-01-09
PSH,1067300,608300,25274160.0,14519000.0,3.75,2017-01-10
PSH,3573000,63500,86959770.0,1547860.0,14.25,2017-01-11
PSH,259400,144200,6242390.0,3487260.0,7.01,2017-01-12
PSH,812500,1743700,19343460.0,41396210.0,30.34,2017-01-13
PSH,116100,948700,2745960.0,22361750.0,14.93,2017-01-16
PSH,394800,665488,9363130.0,15748317.0,12.6,2017-01-17
PSH,90800,658054,2165780.0,15724365.2,5.55,2017-01-18
PSH,1204300,276282,28882020.0,6623681.6,13.7,2017-01-19
PSH,192800,442856,4681330.0,10710124.0,6.44,2017-01-20
PSH,158700,223100,3868100.0,5456510.0,5.1,2017-01-23
PSH,92800,345283,2276670.0,8470006.9,6.63,2017-01-24
PSH,155000,103200,3786550.0,2518660.0,6.46,2017-01-25
PSH,750400,1236500,18018700.0,29672590.0,8.55,2017-01-26
PSH,411000,58000,9757850.0,1374600.0,11.54,2017-01-27
PSH,60900,234700,1441690.0,5546010.0,8.15,2017-01-30
PSH,186600,103400,4350200.0,2405830.0,2.27,2017-01-31
PSH,85900,102300,2007450.0,2385670.0,3.18,2017-02-01
PSH,136300,43200,3189250.0,1009980.0,2.76,2017-02-02
PSH,438100,300255,10341950.0,7070106.6,13.51,2017-02-03
PSH,16600,179800,390940.0,4206880.0,3.75,2017-02-06
PSH,303900,106400,7119070.0,2483660.0,13.07,2017-02-07
PSH,600,261000,14000.0,6082260.0,8.71,2017-02-08
PSH,215000,490060,5045890.0,11512128.5,11.52,2017-02-09
PSH,731397,2559872,17084509.5,59664762.0,45.81,2017-02-10
PSH,940500,1515200,21715180.0,35042100.0,20.9,2017-02-14
PSH,405000,866800,9306100.0,19939070.0,18.97,2017-02-15
PSH,228000,745400,5228140.0,17104180.0,8.65,2017-02-16
PSH,1309819,1258400,29291195.6,28213130.0,7.5,2017-02-17
PSH,371300,505900,8338750.0,11379960.0,4.83,2017-02-20
PSH,64860,853700,1458950.0,19204270.0,21.1,2017-02-21
PSH,336200,563300,7504140.0,12581060.0,13.48,2017-02-22
PSH,1184800,584150,26221020.0,12901906.7,14.64,2017-02-23
PSH,1104200,531271,24598890.0,11750849.9,24.76,2017-02-24
PSH,676000,541900,14937060.0,11940010.0,14.55,2017-02-27
PSH,427126,715300,9405278.8,15631630.0,19.66,2017-02-28
PSH,105800,11300,2319570.0,248530.0,3.21,2017-03-01
PSH,263700,1832800,5850270.0,40648370.0,22.83,2017-03-02
PSH,90300,814710,1981910.0,17866789.0,20.84,2017-03-03
PSH,237900,1333700,5186270.0,29077970.0,26.76,2017-03-06
PSH,895600,2568000,19387150.0,55743540.0,30.65,2017-03-07
PSH,500600,1729800,10845160.0,37371490.0,28.43,2017-03-08
PSH,109800,590293,2379230.0,12779477.2,22.37,2017-03-09
PSH,133200,171800,2903760.0,3737540.0,8.32,2017-03-10
PSH,207900,424400,4546930.0,9288740.0,12.87,2017-03-13
PSH,53800,411500,1172990.0,9008840.0,20.03,2017-03-14
PSH,327700,245600,7244890.0,5429930.0,9.41,2017-03-15
PSH,106937,752800,2399255.1,16813710.0,7.23,2017-03-16
PSH,127511,164500,2879195.3,3708510.0,6.43,2017-03-17
PSH,51000,180500,1152700.0,4092110.0,7.96,2017-03-20
PSH,13300,43900,300580.0,991460.0,1.72,2017-03-21
PSH,5600,126109,126690.0,2853072.5,3.2,2017-03-22
PSH,11548,9800,262114.8,222210.0,1.9,2017-03-23
PSH,515100,32100,11664210.0,725780.0,15.52,2017-03-24
PSH,29300,107200,659270.0,2408650.0,3.11,2017-03-27
PSH,310300,45600,6954150.0,1020710.0,6.58,2017-03-28
PSH,11500,85900,258720.0,1927780.0,6.34,2017-03-29
PSH,679900,61200,15455660.0,1387530.0,9.31,2017-03-30
PSH,376622,528600,8609317.2,12020370.0,8.55,2017-03-31
PSH,346200,955200,7825450.0,21571200.0,15.7,2017-04-03
