Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
PT,3600,9300,42100.0,108810.0,1.74,2017-01-04
PT,3800,0,44210.0,0.0,0.59,2017-01-05
PT,276200,200,3148790.0,2280.0,11.88,2017-01-06
PT,5500,850000,63820.0,9775000.0,24.44,2017-01-09
PT,12100,1319800,145440.0,15954900.0,17.53,2017-01-10
PT,784300,141600,9697310.0,1754890.0,33.42,2017-01-11
PT,100,10500,1250.0,131250.0,0.94,2017-01-12
PT,2300,0,28290.0,0.0,0.24,2017-01-13
PT,27400,30700,343160.0,391860.0,0.97,2017-01-16
PT,28700,11900,357570.0,148680.0,1.18,2017-01-17
PT,0,13100,0.0,162370.0,1.84,2017-01-18
PT,0,11100,0.0,135320.0,0.84,2017-01-19
PT,2700,12000,32940.0,146800.0,2.98,2017-01-20
PT,8000,0,97950.0,0.0,1.85,2017-01-23
PT,5900,1600,71980.0,19370.0,0.31,2017-01-24
PT,500,2000,6100.0,24440.0,0.66,2017-01-25
PT,0,1100,0.0,13420.0,0.24,2017-01-26
PT,0,1500,0.0,18150.0,0.37,2017-01-27
PT,2700,0,32940.0,0.0,0.74,2017-01-30
PT,2700,0,32680.0,0.0,0.77,2017-01-31
PT,3600,275700,43920.0,3375550.0,17.79,2017-02-01
PT,0,500,0.0,6130.0,0.2,2017-02-02
PT,0,2500,0.0,30500.0,1.68,2017-02-03
PT,0,11600,0.0,142680.0,1.29,2017-02-06
PT,15000,22200,186600.0,273420.0,0.71,2017-02-07
PT,0,641300,0.0,8067380.0,13.86,2017-02-08
PT,6200,173200,80400.0,2204790.0,1.77,2017-02-09
PT,17900,0,230970.0,0.0,0.55,2017-02-10
PT,8000,200,102560.0,2560.0,0.52,2017-02-14
PT,500,4400,6400.0,56200.0,0.31,2017-02-15
PT,26300,16900,383010.0,245410.0,0.16,2017-02-16
PT,51200,35100,754250.0,529970.0,0.3,2017-02-17
PT,567200,53000,8626300.0,795630.0,3.14,2017-02-20
PT,454000,361100,6823000.0,5417430.0,11.54,2017-02-21
PT,442900,221000,6553950.0,3257800.0,10.22,2017-02-22
PT,738300,471100,10676490.0,6812840.0,10.24,2017-02-23
PT,142100,608900,2061100.0,8767340.0,9.58,2017-02-24
PT,57100,112300,821130.0,1610940.0,2.31,2017-02-27
PT,125500,61900,1818680.0,895210.0,2.09,2017-02-28
PT,114200,27700,1600610.0,389500.0,0.97,2017-03-01
PT,707200,58600,5043565.0,417660.0,3.53,2017-03-02
PT,167300,56000,1202175.0,400500.0,3.67,2017-03-03
PT,16000,68600,114450.0,498125.0,3.39,2017-03-06
PT,6000,101000,42600.0,717645.0,6.55,2017-03-07
PT,76500,181600,528805.0,1262765.0,6.13,2017-03-08
PT,10700,19700,73360.0,136310.0,3.77,2017-03-09
PT,27700,77700,190015.0,531350.0,3.51,2017-03-10
PT,0,116500,0.0,801940.0,4.82,2017-03-13
PT,1800,14200,12570.0,98560.0,1.16,2017-03-14
PT,32300,400,225775.0,2780.0,1.23,2017-03-15
PT,5000,300,35020.0,2100.0,0.54,2017-03-16
PT,135400,20900,965015.0,147205.0,3.49,2017-03-17
PT,0,43400,0.0,305970.0,5.89,2017-03-20
PT,0,9400,0.0,66270.0,1.48,2017-03-21
PT,100,4400,700.0,31020.0,0.63,2017-03-22
PT,48100,0,338405.0,0.0,4.48,2017-03-23
PT,60000,10700,415090.0,74365.0,4.79,2017-03-24
PT,68300,16400,468635.0,111745.0,3.93,2017-03-27
PT,0,4600,0.0,31510.0,0.63,2017-03-28
PT,12500,219700,85125.0,1489815.0,22.99,2017-03-29
PT,5000,5700,34000.0,38760.0,1.4,2017-03-30
PT,0,3000,0.0,20545.0,0.21,2017-03-31
PT,28600,2300,195910.0,15760.0,0.92,2017-04-03
PT,0,18600,0.0,127410.0,1.93,2017-04-04
PT,31100,0,211530.0,0.0,3.45,2017-04-05
PT,0,4800,0.0,32590.0,0.84,2017-04-07
PT,20000,14000,136000.0,94965.0,10.63,2017-04-10
PT,215500,96200,1508830.0,670630.0,2.62,2017-04-11
PT,229300,52800,1623245.0,376915.0,5.1,2017-04-12
PT,35100,32500,245700.0,228720.0,3.11,2017-04-17
PT,300,1500,2100.0,10530.0,0.43,2017-04-18
PT,30000,29700,205500.0,204790.0,2.71,2017-04-19
PT,60200,53300,414880.0,367655.0,24.78,2017-04-20
PT,0,33200,0.0,229080.0,8.52,2017-04-21
PT,0,10700,0.0,73830.0,1.34,2017-04-24
PT,0,103300,0.0,716330.0,4.63,2017-04-25
PT,25000,1000,172500.0,6895.0,3.88,2017-04-26
PT,0,34000,0.0,232900.0,4.84,2017-04-27
PT,0,107200,0.0,728975.0,13.64,2017-04-28
PT,0,40000,0.0,275975.0,2.21,2017-05-02
PT,0,10600,0.0,73670.0,1.62,2017-05-03
PT,50000,18100,350000.0,125990.0,1.26,2017-05-04
PT,100000,164300,687500.0,1139190.0,5.45,2017-05-05
PT,102300,66000,713485.0,452100.0,2.56,2017-05-08
PT,100000,122000,682500.0,821000.0,7.63,2017-05-09
PT,53000,101200,352300.0,672550.0,6.99,2017-05-11
PT,0,68700,0.0,447725.0,3.64,2017-05-12
PT,15000,53800,98250.0,351195.0,7.3,2017-05-15
PT,0,7800,0.0,51480.0,0.74,2017-05-16
PT,100,0,660.0,0.0,0.02,2017-05-17
PT,10000,6500,64750.0,42640.0,0.58,2017-05-18
PT,15500,10000,100500.0,65250.0,3.25,2017-05-19
PT,98400,59500,658415.0,396675.0,5.8,2017-05-22
PT,127205,109100,830532.25,707100.0,3.39,2017-05-23
PT,281300,426100,1858090.0,2827650.0,4.93,2017-05-24
PT,202300,285000,1345530.0,1882250.0,13.88,2017-05-25
PT,28600,500,186330.0,3275.0,0.73,2017-05-26
PT,0,12100,0.0,78840.0,0.28,2017-05-29
PT,20000,30000,129000.0,192005.0,1.03,2017-05-30
PT,0,49500,0.0,316800.0,2.23,2017-05-31
PT,20000,37000,126000.0,236450.0,1.67,2017-06-01
PT,33000,66200,216550.0,427915.0,0.94,2017-06-02
PT,72300,51000,476010.0,334945.0,1.3,2017-06-05
PT,378000,81900,2499100.0,537455.0,8.91,2017-06-06
PT,60000,61100,400500.0,400210.0,3.72,2017-06-07
PT,7400,6500,48565.0,42250.0,0.61,2017-06-08
PT,600,18600,3900.0,120900.0,1.64,2017-06-09
PT,5800,2100,38020.0,13685.0,0.26,2017-06-12
PT,2200,0,14380.0,0.0,0.28,2017-06-13
PT,13700,50200,90225.0,333800.0,1.34,2017-06-14
PT,144900,365200,982325.0,2476410.0,2.4,2017-06-15
PT,33000,49400,225835.0,335635.0,1.77,2017-06-16
PT,1700,416400,11560.0,2882260.0,4.81,2017-06-19
PT,600,2700,4110.0,18630.0,0.11,2017-06-20
PT,3000,2900,20400.0,19720.0,0.43,2017-06-21
PT,45000,10000,306065.0,69000.0,0.77,2017-06-22
PT,0,85400,0.0,597865.0,1.46,2017-06-23
PT,30000,34000,205500.0,236370.0,2.04,2017-06-26
PT,0,296500,0.0,2060565.0,8.41,2017-06-27
PT,17100,59400,114115.0,403595.0,0.64,2017-06-28
PT,41300,8800,272430.0,58080.0,2.55,2017-06-29
PT,28300,21600,181855.0,138435.0,0.7,2017-06-30
PT,17200,49100,110280.0,318205.0,3.72,2017-07-03
PT,1500,18100,9750.0,118290.0,1.27,2017-07-04
PT,3800,8700,25625.0,56985.0,0.1,2017-07-05
PT,1900000,3800,12802010.0,25650.0,31.93,2017-07-06
PT,280000,100,1895000.0,680.0,4.43,2017-07-07
PT,34900,27400,236320.0,186440.0,2.6,2017-07-11
PT,24800,0,167400.0,0.0,3.87,2017-07-12
PT,1023300,7600,7006200.0,51885.0,31.73,2017-07-13
PT,0,10000,0.0,68000.0,1.41,2017-07-14
PT,230900,25900,1549900.0,174825.0,16.21,2017-07-18
PT,444200,1600,2999740.0,10800.0,41.63,2017-07-19
PT,326700,800,2214040.0,5440.0,26.9,2017-07-20
PT,279600,14600,1910125.0,99280.0,20.81,2017-07-21
PT,200,2200,1350.0,14955.0,0.27,2017-07-24
PT,300,15700,1985.0,104830.0,0.4,2017-07-25
PT,29000,634400,188510.0,4123600.0,16.73,2017-07-26
PT,11100,3500,72150.0,22925.0,1.55,2017-07-27
PT,0,24900,0.0,163095.0,5.3,2017-07-31
PT,3100,3200,20150.0,20800.0,0.81,2017-08-01
PT,5000,201000,32645.0,1309050.0,18.11,2017-08-02
PT,19100,10000,125800.0,66000.0,2.26,2017-08-03
PT,4100,0,27060.0,0.0,1.01,2017-08-04
PT,4100,3600,27060.0,23580.0,1.27,2017-08-07
PT,0,3800,0.0,24890.0,0.61,2017-08-08
PT,0,8700,0.0,56985.0,1.01,2017-08-09
PT,150000,5100,983320.0,33715.0,3.48,2017-08-10
PT,1044100,19000,6368495.0,115590.0,7.21,2017-08-11
PT,19500,300000,122170.0,1876940.0,10.19,2017-08-15
PT,106300,380000,665900.0,2375000.0,29.33,2017-08-16
PT,68600,0,428750.0,0.0,7.3,2017-08-17
PT,1900,0,11855.0,0.0,0.1,2017-08-18
PT,4500,2000,28100.0,12500.0,0.54,2017-08-21
PT,4900,900,30380.0,5625.0,0.38,2017-08-22
PT,24900,0,154605.0,0.0,2.52,2017-08-23
PT,1400,368700,8890.0,2398330.0,7.94,2017-08-24
PT,3300,3700,20955.0,23680.0,0.57,2017-08-25
PT,5500,0,35200.0,0.0,0.57,2017-08-28
PT,25100,7200,161385.0,45785.0,1.71,2017-08-29
PT,8300,0,52865.0,0.0,1.11,2017-08-30
PT,2500,0,15960.0,0.0,0.6,2017-08-31
PT,7200,0,46080.0,0.0,1.71,2017-09-01
PT,5300,13000,34450.0,84650.0,0.82,2017-09-04
