Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
Q-CON,0,5000,0.0,33250.0,0.15,2017-01-10
Q-CON,36300,8700,256825.0,61885.0,0.31,2017-01-11
Q-CON,7200,14800,49950.0,102120.0,0.47,2017-01-12
Q-CON,8400,5200,58040.0,37020.0,0.18,2017-01-13
Q-CON,0,7400,0.0,50320.0,0.53,2017-01-16
Q-CON,0,16000,0.0,103305.0,0.77,2017-01-17
Q-CON,0,16900,0.0,105665.0,1.21,2017-01-24
Q-CON,117000,4900,740500.0,30625.0,10.2,2017-01-25
Q-CON,4000,0,24800.0,0.0,2.46,2017-01-26
Q-CON,35000,35000,215250.0,215250.0,41.32,2017-02-01
Q-CON,1200,0,7260.0,0.0,2.13,2017-02-06
Q-CON,2000,0,11800.0,0.0,0.94,2017-02-08
Q-CON,2000,0,11400.0,0.0,18.18,2017-02-28
Q-CON,1000,1000,5600.0,5500.0,4.33,2017-03-13
Q-CON,0,2000,0.0,11000.0,2.62,2017-03-15
Q-CON,18000,0,104900.0,0.0,23.08,2017-03-20
Q-CON,5000,0,29250.0,0.0,1.71,2017-03-23
Q-CON,10000,0,55750.0,0.0,1.43,2017-03-28
Q-CON,7300,2000,43210.0,12400.0,0.13,2017-04-11
Q-CON,12200,7000,76010.0,40950.0,0.57,2017-04-12
Q-CON,4000,3200,24900.0,18720.0,0.37,2017-04-17
Q-CON,8000,26000,48240.0,158600.0,1.0,2017-04-27
Q-CON,5000,3200,28500.0,18720.0,0.51,2017-04-28
Q-CON,0,1000,0.0,5600.0,0.68,2017-05-03
Q-CON,2000,0,11300.0,0.0,1.49,2017-05-04
Q-CON,3000,0,16200.0,0.0,2.44,2017-05-12
Q-CON,0,10000,0.0,55500.0,19.23,2017-05-16
Q-CON,0,10000,0.0,54500.0,12.41,2017-05-22
Q-CON,0,15000,0.0,83265.0,17.24,2017-05-24
Q-CON,57400,3000,336550.0,17550.0,2.37,2017-05-25
Q-CON,45100,2400,258815.0,13920.0,21.36,2017-05-26
Q-CON,200,0,1140.0,0.0,0.23,2017-05-29
Q-CON,0,600,0.0,3360.0,0.92,2017-05-30
Q-CON,100,0,555.0,0.0,0.41,2017-06-05
Q-CON,1000,0,5700.0,0.0,0.85,2017-06-15
Q-CON,200,0,1120.0,0.0,0.16,2017-06-20
Q-CON,1900,0,10595.0,0.0,2.76,2017-06-22
Q-CON,0,1400,0.0,7910.0,1.13,2017-06-23
Q-CON,1500,0,8325.0,0.0,1.9,2017-06-26
Q-CON,43400,45400,288005.0,295115.0,0.25,2017-06-27
