Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
QH,875100,729600,2285928.0,1907404.0,5.77,2017-01-04
QH,621400,2966500,1631406.0,7760178.0,4.92,2017-01-05
QH,290300,591700,760612.0,1548932.0,2.92,2017-01-06
QH,779000,1860400,2041152.0,4867046.0,11.77,2017-01-09
QH,7960900,7849800,21310320.0,20979752.0,11.38,2017-01-10
QH,6053200,4421400,16304934.0,11924926.0,7.76,2017-01-11
QH,5006300,8661900,13582670.0,23487932.0,15.45,2017-01-12
QH,857100,5791500,2316440.0,15667170.0,15.56,2017-01-13
QH,2039100,3265200,5521540.0,8842928.0,20.51,2017-01-16
QH,1113900,415666,3015736.0,1123094.88,9.83,2017-01-17
QH,2710200,3303730,7233622.0,8833478.4,7.22,2017-01-18
QH,8197400,6787527,21574202.0,17857426.74,21.9,2017-01-19
QH,1734100,3533100,4605332.0,9387496.0,24.34,2017-01-20
QH,5285000,8259400,14298900.0,22295396.0,16.42,2017-01-23
QH,3866800,8979900,10433008.0,24241536.0,25.6,2017-01-24
QH,1548900,8688600,4177332.0,23481713.42,34.55,2017-01-25
QH,1440900,3653700,3860882.0,9807168.0,13.65,2017-01-26
QH,2121200,2774600,5593066.0,7329392.0,7.08,2017-01-27
QH,528900,943200,1396296.0,2488632.0,4.27,2017-01-30
QH,880400,947000,2312136.0,2498848.0,7.94,2017-01-31
QH,5478272,4513200,14155578.4,11700480.0,10.28,2017-02-01
QH,735000,700300,1904210.0,1811452.0,3.11,2017-02-02
QH,3233500,7303700,8309962.0,18724234.0,13.81,2017-02-03
QH,2171000,1789000,5560560.0,4589026.0,8.81,2017-02-06
QH,2781400,6403800,7065468.0,16232708.0,13.39,2017-02-07
QH,3307700,6261200,8442248.0,16034394.0,9.5,2017-02-08
QH,12913300,7276300,34373546.0,19272416.0,14.69,2017-02-09
QH,3588600,6478000,9462548.0,17043060.0,14.71,2017-02-10
QH,3112800,2663200,8199266.0,7026896.0,11.77,2017-02-14
QH,12399700,3628600,32408174.0,9496242.0,32.24,2017-02-15
QH,6990000,5022900,18307238.0,13153978.0,30.13,2017-02-16
QH,1615257,1796500,4247825.34,4721978.0,6.35,2017-02-17
QH,638700,639000,1686168.0,1691606.0,5.48,2017-02-20
QH,1451066,894000,3830791.56,2362026.0,8.28,2017-02-21
QH,3900800,4856506,10124406.0,12661575.6,10.08,2017-02-22
QH,6186000,3976100,16268090.0,10476330.0,10.41,2017-02-23
QH,4602110,8906645,12008860.4,23320323.0,16.39,2017-02-24
QH,2362000,3731400,6167980.0,9776184.0,9.28,2017-02-27
QH,373200,3325600,977814.0,8664084.0,11.68,2017-02-28
QH,2198400,4604400,5757928.0,12055300.0,9.53,2017-03-01
QH,367300,222700,966914.0,587926.0,5.24,2017-03-02
QH,781400,1715545,2044046.0,4495147.0,7.85,2017-03-03
QH,2983100,4591363,7716232.0,11885425.08,12.6,2017-03-06
QH,478200,2353600,1235404.0,6064330.0,17.27,2017-03-07
QH,2260100,2735300,5822008.0,7066228.0,11.47,2017-03-08
QH,474600,1494540,1215408.0,3848688.4,11.18,2017-03-09
QH,1302300,1607700,3340046.0,4135028.0,15.25,2017-03-10
QH,5228200,6870300,13295762.0,17543320.0,29.44,2017-03-13
QH,5434000,3905800,13716934.0,9861062.0,11.84,2017-03-14
QH,2901800,3626500,7338338.0,9165016.0,7.74,2017-03-15
QH,15659800,11495700,40508424.0,29522300.0,16.94,2017-03-16
QH,6947868,5381342,18095013.68,14098149.6,18.14,2017-03-17
QH,335600,764800,877590.0,1991432.0,13.33,2017-03-20
QH,4288100,4206006,11113168.0,10867931.42,23.92,2017-03-21
QH,1448100,966400,3741210.0,2493312.0,11.41,2017-03-22
QH,5880600,3192999,15158802.0,8253316.8,12.92,2017-03-23
QH,1752400,7953696,4500596.0,20410533.76,17.79,2017-03-24
QH,2172000,1891900,5609718.0,4901848.0,11.2,2017-03-27
QH,1827100,522800,4744126.0,1359280.0,16.96,2017-03-28
QH,6297100,4631100,16283870.0,11978986.0,16.14,2017-03-29
QH,4326100,1897700,11222878.0,4912896.0,20.95,2017-03-30
QH,1947100,3275308,5074682.0,8556232.64,9.57,2017-03-31
QH,8343300,862400,21860270.0,2260878.0,27.96,2017-04-03
QH,3164900,2969800,8269626.0,7752444.0,15.88,2017-04-04
QH,3942400,4167771,10255778.0,10850998.6,19.75,2017-04-05
QH,4049800,3227800,10507140.0,8390570.0,11.44,2017-04-07
QH,1713800,1794684,4457340.0,4668790.4,17.33,2017-04-10
QH,181100,26000,472060.0,67720.0,1.14,2017-04-11
QH,2186500,1374500,5678118.0,3586596.0,9.0,2017-04-12
QH,2072600,2146900,5389000.0,5601176.0,8.51,2017-04-17
QH,703800,6634300,1842570.0,17252946.0,21.61,2017-04-18
QH,12955200,1555000,34050818.0,4096048.0,27.55,2017-04-19
QH,3175400,1397000,8383056.0,3706740.0,8.18,2017-04-20
QH,443200,1565700,1162938.0,4119260.0,4.02,2017-04-21
QH,6184200,3134594,15531224.0,7872221.12,8.42,2017-04-24
QH,2726000,1106600,6820214.0,2766500.0,17.6,2017-04-25
QH,4221600,1537718,10596014.0,3874922.64,21.32,2017-04-26
QH,6258100,2809100,15723262.0,7080354.0,14.83,2017-04-27
QH,5328000,1053700,13558098.0,2693020.0,19.75,2017-04-28
QH,1635500,240700,4200180.0,618268.0,11.11,2017-05-02
QH,164000,16700,421154.0,42752.0,0.75,2017-05-03
QH,641000,1365689,1652368.0,3511930.2,13.56,2017-05-04
QH,1301800,1331500,3335008.0,3424614.0,18.85,2017-05-05
QH,366800,391318,946250.0,1009597.2,3.19,2017-05-08
QH,1723700,2302800,4421416.0,5906924.0,13.57,2017-05-09
QH,3980400,3382200,10036062.0,8516002.0,9.0,2017-05-11
QH,2102400,1217900,5246216.0,3041944.0,11.06,2017-05-12
QH,7673500,7823618,18710004.0,19214479.0,12.45,2017-05-15
QH,2118600,1727900,5222790.0,4257254.0,9.67,2017-05-16
QH,3485500,3084359,8559360.0,7552244.26,14.95,2017-05-17
QH,4349501,4276463,10498592.44,10355104.48,17.32,2017-05-18
QH,1087000,1004000,2648312.0,2449426.0,12.75,2017-05-19
QH,1028100,1489200,2507748.0,3622102.0,12.99,2017-05-22
QH,5822900,2654300,14241300.0,6497114.0,21.01,2017-05-23
QH,1665700,666300,4086012.0,1639098.0,7.45,2017-05-24
QH,1307000,1737766,3241360.0,4292773.2,12.11,2017-05-25
QH,5804100,5081366,14183218.0,12370078.36,14.87,2017-05-26
QH,4656500,4854601,11294102.0,11767250.44,16.15,2017-05-29
QH,2244400,2079166,5516856.0,5100436.08,8.45,2017-05-30
QH,6757700,3833200,16883936.0,9569408.0,14.8,2017-05-31
QH,2776600,4454568,6945638.0,11140224.0,19.22,2017-06-01
QH,3465900,4373235,8611156.0,10882221.18,14.34,2017-06-02
QH,2199600,1744424,5501546.0,4359737.16,12.46,2017-06-05
QH,2192500,2671400,5514090.0,6698498.0,9.47,2017-06-06
QH,4103800,3005642,10401976.0,7591543.0,24.15,2017-06-07
QH,19023300,16179266,47960726.0,40802723.0,40.84,2017-06-08
QH,5506100,7402000,14146914.0,18963180.0,15.71,2017-06-09
QH,1902300,4398600,4875580.0,11298454.0,17.82,2017-06-12
QH,1425500,2417816,3631514.0,6180528.64,13.8,2017-06-13
QH,4159300,1892300,10686756.0,4864238.0,19.77,2017-06-14
QH,1877400,2448227,4818476.0,6269114.88,14.65,2017-06-15
QH,13304690,24404426,34032493.28,62442756.6,41.65,2017-06-16
QH,3260700,5621523,8322148.0,14364499.96,13.03,2017-06-19
QH,15356000,5823522,39309720.0,14872237.46,40.05,2017-06-20
QH,15776300,2356100,40385688.0,6031968.0,39.11,2017-06-21
QH,9028538,3674400,23292247.28,9470900.0,20.75,2017-06-22
QH,1880000,3659832,4879164.0,9517160.56,17.42,2017-06-23
QH,286900,109300,741200.0,283614.0,2.47,2017-06-26
QH,3819262,18538900,9832635.96,47846564.0,30.33,2017-06-27
QH,3533100,7674769,9136994.0,19872400.42,12.18,2017-06-28
QH,2182000,7026073,5653440.0,18138442.88,27.72,2017-06-29
QH,650100,5533800,1664256.0,14197912.0,14.97,2017-06-30
QH,1588100,2208000,4057796.0,5644616.0,20.16,2017-07-03
QH,944000,1093716,2403950.0,2797162.5,14.59,2017-07-04
QH,2709000,2796858,6857094.0,7083356.68,16.04,2017-07-05
QH,3042000,2998778,7689442.0,7558330.56,29.16,2017-07-06
QH,1931400,2342400,4864528.0,5905494.0,24.79,2017-07-07
QH,519600,942859,1321010.0,2391118.9,13.62,2017-07-11
QH,942950,1142926,2381318.0,2894474.0,21.55,2017-07-12
QH,10299550,2570846,26154943.0,6532226.2,43.89,2017-07-13
QH,5913700,4201555,14828414.0,10508303.58,13.81,2017-07-14
QH,4811000,3056188,12061062.0,7663383.0,23.03,2017-07-17
QH,3319400,4037295,8215890.0,10000837.38,11.26,2017-07-18
QH,1900800,6703379,4705554.0,16616077.46,43.03,2017-07-19
QH,5761600,13423719,14170246.0,32953122.56,22.5,2017-07-20
QH,1804000,5423353,4403234.0,13243728.56,32.68,2017-07-21
QH,1464100,3137747,3578754.0,7690771.98,11.11,2017-07-24
QH,10098300,5882300,24456918.0,14257192.0,10.32,2017-07-25
QH,1980500,2985597,4830982.0,7277109.86,8.13,2017-07-26
QH,1622675,2057116,4008442.5,5079045.62,15.21,2017-07-27
QH,9192600,16662418,22430116.0,40445096.18,19.97,2017-07-31
QH,2465700,2700800,6066632.0,6637574.0,13.23,2017-08-01
QH,2565300,3329420,6360012.0,8254845.76,22.76,2017-08-02
QH,5043200,4483958,12455176.0,11101682.0,33.23,2017-08-03
QH,4642700,5192462,11501072.0,12849535.76,17.56,2017-08-04
QH,4521000,341900,11122182.0,841074.0,17.43,2017-08-07
QH,1621600,4635093,3988072.0,11402305.6,18.97,2017-08-08
QH,1923100,202663,4746052.0,500624.26,3.68,2017-08-09
QH,4991100,2805626,12267748.0,6916116.08,13.96,2017-08-10
QH,5218200,2339918,12816198.0,5731993.92,18.95,2017-08-11
QH,2941800,2863872,7236136.0,7058605.92,12.11,2017-08-15
QH,2280700,906058,5644918.0,2245265.6,26.82,2017-08-16
QH,2895400,3784100,7166192.0,9384170.0,23.3,2017-08-17
QH,7769500,10263064,19095726.0,25231350.08,17.72,2017-08-18
QH,14664910,6267900,34955652.0,14932498.0,19.48,2017-08-21
QH,3021600,1575816,7251958.0,3784914.08,10.64,2017-08-22
QH,5110515,2156452,12244276.3,5175783.76,18.56,2017-08-23
QH,3318110,2122300,7954548.4,5114480.0,21.17,2017-08-24
QH,4292200,2411938,10186916.0,5757118.44,7.67,2017-08-25
QH,3842610,3968277,9151526.2,9446223.72,10.03,2017-08-28
QH,7527700,9446254,18190504.0,22922599.38,14.29,2017-08-29
QH,7452000,3801176,18076186.0,9206635.98,19.04,2017-08-30
QH,9967900,3396638,23943548.0,8172796.8,21.67,2017-08-31
QH,3669300,3240520,8890030.0,7860690.4,17.85,2017-09-01
QH,4224610,6287176,10308048.4,15340076.88,10.96,2017-09-04
QH,1802900,328179,4396734.0,799360.42,6.1,2017-09-05
QH,5858800,2608409,14245204.0,6353104.94,10.69,2017-09-06
QH,10340300,3287200,25198692.0,8018960.0,17.72,2017-09-07
QH,22092000,12117806,53833356.0,29597382.28,22.63,2017-09-08
QH,26045200,26277200,64962862.0,65700768.0,15.08,2017-09-11
QH,26995605,12990559,68312914.7,32877102.32,22.12,2017-09-12
QH,16537692,6490267,41879684.7,16439753.6,23.13,2017-09-13
QH,8577800,7082804,21876340.0,18053707.92,20.55,2017-09-14
QH,24440766,4215600,62335831.56,10804228.0,25.17,2017-09-15
QH,10406600,16494045,27100732.0,43590012.9,6.66,2017-09-18
QH,11634100,14412200,30779494.0,38115100.0,19.17,2017-09-19
QH,19203700,14215900,50602460.0,37388296.0,39.93,2017-09-20
QH,14273600,18399221,38494526.0,49621297.44,12.34,2017-09-21
