Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
RCL,0,39000,0.0,203675.0,8.03,2017-01-04
RCL,18400,304500,98665.0,1638355.0,12.8,2017-01-05
RCL,2200,270300,12100.0,1484550.0,11.17,2017-01-06
RCL,6900,462700,37330.0,2515595.0,10.77,2017-01-09
RCL,9200,135600,49555.0,727305.0,10.68,2017-01-10
RCL,44300,211800,241915.0,1156995.0,15.18,2017-01-11
RCL,14700,169300,80030.0,917730.0,11.64,2017-01-12
RCL,5000,40300,27175.0,218715.0,12.07,2017-01-13
RCL,6000,27700,33220.0,152195.0,1.64,2017-01-16
RCL,225100,107400,1376645.0,618455.0,1.85,2017-01-17
RCL,305500,75600,1890940.0,463580.0,4.24,2017-01-18
RCL,13000,118500,77770.0,710820.0,3.59,2017-01-19
RCL,2400,179700,14510.0,1083060.0,8.24,2017-01-20
RCL,34600,475900,235275.0,3272070.0,0.92,2017-01-23
RCL,228700,58900,1589170.0,408715.0,1.2,2017-01-24
RCL,59300,44300,395145.0,299160.0,0.58,2017-01-25
RCL,29500,1900,193525.0,12715.0,0.4,2017-01-26
RCL,48300,7100,318850.0,47920.0,0.65,2017-01-27
RCL,23200,19900,160790.0,138290.0,0.43,2017-01-30
RCL,17400,70600,120870.0,492555.0,0.49,2017-01-31
RCL,21000,44300,144900.0,308485.0,1.24,2017-02-01
RCL,74700,30400,500860.0,205170.0,2.24,2017-02-02
RCL,101900,70400,677345.0,467280.0,5.4,2017-02-03
RCL,17300,61800,115310.0,409075.0,2.51,2017-02-06
RCL,4600,48900,30370.0,322910.0,2.43,2017-02-07
RCL,37800,6200,250920.0,41085.0,1.13,2017-02-08
RCL,47300,800,313790.0,5360.0,2.01,2017-02-09
RCL,15200,1400,100435.0,9300.0,0.8,2017-02-10
RCL,21700,400,138305.0,2610.0,0.41,2017-02-14
RCL,16800,2500,105675.0,15750.0,0.44,2017-02-15
RCL,60100,2000,386120.0,12850.0,3.42,2017-02-16
RCL,14700,400,94415.0,2600.0,1.11,2017-02-17
RCL,85900,12600,575250.0,83355.0,1.89,2017-02-20
RCL,25900,24900,173520.0,169500.0,0.44,2017-02-21
RCL,15900,24100,106200.0,160670.0,0.72,2017-02-22
RCL,25300,8400,170315.0,56720.0,1.46,2017-02-23
RCL,11900,37200,81285.0,253230.0,1.67,2017-02-24
RCL,20800,140700,133060.0,900090.0,1.94,2017-02-27
RCL,31000,66700,192945.0,410650.0,5.3,2017-02-28
RCL,23900,26500,148180.0,164385.0,4.73,2017-03-01
RCL,4900,35800,30835.0,223450.0,2.6,2017-03-02
RCL,0,18800,0.0,119970.0,1.13,2017-03-03
RCL,0,25000,0.0,160070.0,2.16,2017-03-06
RCL,200,6400,1270.0,40960.0,1.26,2017-03-07
RCL,3600,10800,22900.0,68850.0,0.49,2017-03-08
RCL,1900,10300,12285.0,66975.0,0.81,2017-03-09
RCL,400,6000,2590.0,39260.0,0.24,2017-03-10
RCL,1400,6500,9230.0,43305.0,0.22,2017-03-13
RCL,400,59500,2610.0,390780.0,5.11,2017-03-14
RCL,4300,15200,27690.0,98270.0,0.57,2017-03-15
RCL,33535,1600,219001.0,10520.0,0.46,2017-03-16
RCL,4100,6800,26950.0,44580.0,0.51,2017-03-17
RCL,24700,2000,159480.0,13200.0,1.21,2017-03-20
RCL,7900,2000,51350.0,13000.0,1.74,2017-03-21
RCL,3100,500,20080.0,3250.0,0.61,2017-03-22
RCL,77600,10600,535060.0,72680.0,0.36,2017-03-23
RCL,13200,54000,93095.0,378175.0,0.35,2017-03-24
RCL,751900,743200,5620940.0,5580245.0,3.21,2017-03-27
RCL,73400,94500,540980.0,688400.0,1.18,2017-03-28
RCL,12600,7400,92600.0,54400.0,0.32,2017-03-29
RCL,21000,26500,156060.0,197330.0,0.49,2017-03-30
RCL,56800,10000,408650.0,74800.0,0.71,2017-03-31
RCL,42700,13300,305070.0,95095.0,3.62,2017-04-03
RCL,191700,200,1334405.0,1400.0,3.75,2017-04-04
RCL,93500,400,654015.0,2810.0,2.11,2017-04-05
RCL,400,9500,2770.0,66725.0,0.95,2017-04-07
RCL,154200,167000,1046750.0,1128840.0,5.71,2017-04-10
RCL,37800,3300,260810.0,22765.0,1.76,2017-04-11
RCL,2700,1200,18675.0,8360.0,0.33,2017-04-12
RCL,800,38300,5480.0,263335.0,2.5,2017-04-17
RCL,32300,35700,221325.0,245345.0,2.78,2017-04-18
RCL,400,46700,2670.0,311725.0,0.93,2017-04-19
RCL,1200,3300,7970.0,21945.0,0.33,2017-04-20
RCL,200,8000,1320.0,53135.0,0.34,2017-04-21
RCL,2000,47500,12800.0,310595.0,1.03,2017-04-24
RCL,16900,2100,107850.0,13390.0,0.56,2017-04-25
RCL,30300,4100,192420.0,26425.0,2.57,2017-04-26
RCL,10000,3700,64500.0,24000.0,2.21,2017-04-27
RCL,0,20000,0.0,129410.0,8.29,2017-04-28
RCL,0,14900,0.0,97100.0,1.68,2017-05-02
RCL,400,12000,2570.0,77365.0,0.78,2017-05-03
RCL,3000,3000,18900.0,19125.0,0.69,2017-05-04
RCL,400,12200,2550.0,78775.0,1.42,2017-05-05
RCL,0,1000,0.0,6595.0,0.16,2017-05-08
RCL,400,14500,2610.0,95525.0,1.95,2017-05-09
RCL,1400,267600,8830.0,1705995.0,9.37,2017-05-11
RCL,3400,6000,20740.0,37425.0,0.38,2017-05-12
RCL,4200,13900,25830.0,85935.0,1.75,2017-05-15
RCL,1200,3100,7390.0,19185.0,0.2,2017-05-16
RCL,0,61100,0.0,379075.0,7.96,2017-05-17
RCL,5400,4600,33200.0,28365.0,0.58,2017-05-18
RCL,6000,30200,37230.0,185750.0,1.99,2017-05-19
RCL,400,15900,2500.0,99320.0,1.59,2017-05-22
RCL,3000,12800,18750.0,79570.0,7.6,2017-05-23
RCL,10100,600,63810.0,3810.0,0.57,2017-05-24
RCL,5700,6200,36705.0,39495.0,0.56,2017-05-25
RCL,1400,23400,9300.0,154235.0,0.93,2017-05-26
RCL,50200,10100,341330.0,67380.0,4.06,2017-05-29
RCL,22200,30900,154510.0,216225.0,0.4,2017-05-30
RCL,11000,61000,76990.0,427735.0,1.16,2017-05-31
RCL,6907,22600,48599.0,158515.0,0.74,2017-06-01
RCL,600,16500,4140.0,115270.0,0.64,2017-06-02
RCL,6700,16207,47640.0,114489.7,0.36,2017-06-05
RCL,1398800,1496600,10644785.0,11445455.0,6.99,2017-06-06
RCL,139500,115200,1096000.0,913715.0,0.84,2017-06-07
RCL,9600,27700,73415.0,215085.0,0.23,2017-06-08
RCL,26700,8300,204510.0,63220.0,0.21,2017-06-09
RCL,125200,49700,1002100.0,395955.0,0.46,2017-06-12
RCL,110500,72000,883245.0,577265.0,0.83,2017-06-13
RCL,52800,52500,420155.0,419160.0,1.68,2017-06-14
RCL,98600,46200,788260.0,367585.0,0.8,2017-06-15
RCL,81600,33300,629205.0,258160.0,1.08,2017-06-16
RCL,72800,362700,548720.0,2742475.0,8.0,2017-06-19
RCL,16300,0,120045.0,0.0,0.42,2017-06-20
RCL,338300,3700,2560185.0,28020.0,3.65,2017-06-21
RCL,92600,1200,699345.0,9115.0,1.46,2017-06-22
RCL,52800,40000,409760.0,310190.0,0.84,2017-06-23
RCL,120500,122700,923815.0,946000.0,5.59,2017-06-26
RCL,8200,141000,64720.0,1081965.0,1.68,2017-06-27
RCL,729100,845800,6032820.0,6936565.0,3.03,2017-06-28
RCL,191600,82300,1550890.0,678430.0,2.22,2017-06-29
RCL,101200,302100,789280.0,2355165.0,2.55,2017-06-30
RCL,34600,101000,272275.0,797650.0,6.14,2017-07-03
RCL,244700,103400,1928370.0,817445.0,2.81,2017-07-04
RCL,28100,80200,218470.0,622935.0,5.74,2017-07-05
RCL,192700,148700,1445290.0,1111790.0,4.13,2017-07-06
RCL,25300,244000,193535.0,1865650.0,13.2,2017-07-07
RCL,23600,83500,181990.0,647010.0,6.52,2017-07-11
RCL,313000,79200,2426310.0,615500.0,16.66,2017-07-12
RCL,357600,49700,2855590.0,393810.0,4.44,2017-07-13
RCL,5600,45400,44030.0,357730.0,1.02,2017-07-14
RCL,0,48400,0.0,383810.0,3.51,2017-07-17
RCL,2100,44800,16400.0,350410.0,1.2,2017-07-18
RCL,88900,29800,695615.0,235860.0,3.52,2017-07-19
RCL,149000,70000,1191970.0,559970.0,4.4,2017-07-20
RCL,303200,830800,2489570.0,6818160.0,3.91,2017-07-21
RCL,160400,89400,1339950.0,742570.0,1.23,2017-07-24
RCL,286100,86900,2395610.0,733455.0,1.54,2017-07-25
RCL,137500,58900,1139900.0,490360.0,1.23,2017-07-26
RCL,110600,181800,913620.0,1507005.0,1.51,2017-07-27
RCL,333700,70500,2775860.0,588425.0,3.03,2017-07-31
RCL,173300,27300,1445525.0,226800.0,3.1,2017-08-01
RCL,266100,134300,2275090.0,1161215.0,1.28,2017-08-02
RCL,216000,60400,1891995.0,526535.0,1.75,2017-08-03
RCL,620000,57400,5591465.0,513840.0,2.46,2017-08-04
RCL,936700,120100,8483190.0,1091755.0,2.53,2017-08-07
RCL,930900,101500,7878010.0,863835.0,7.6,2017-08-08
RCL,724000,235500,6317465.0,2060830.0,7.28,2017-08-09
RCL,238600,35900,2069100.0,311280.0,4.85,2017-08-10
RCL,22900,332900,194275.0,2791545.0,2.5,2017-08-11
RCL,1297800,207200,11346160.0,1808990.0,9.07,2017-08-15
RCL,608100,196700,5259785.0,1703690.0,18.87,2017-08-16
RCL,269400,553800,2320585.0,4761800.0,8.16,2017-08-17
RCL,663800,379900,5848865.0,3359565.0,7.79,2017-08-18
RCL,1065700,667000,9231815.0,5779005.0,18.27,2017-08-21
RCL,620900,665200,5165800.0,5575680.0,7.56,2017-08-22
RCL,792400,338700,6576915.0,2806350.0,12.91,2017-08-23
RCL,210200,31400,1759075.0,261425.0,8.33,2017-08-24
RCL,498000,72000,4123210.0,600960.0,14.5,2017-08-25
RCL,711300,107300,5919780.0,887830.0,9.29,2017-08-28
RCL,683100,811600,5638635.0,6691795.0,19.04,2017-08-29
RCL,142000,71700,1165675.0,586515.0,8.69,2017-08-30
RCL,221400,903900,1703780.0,6954410.0,3.8,2017-08-31
RCL,258900,174500,2020575.0,1355950.0,3.82,2017-09-01
RCL,51100,33000,392055.0,252745.0,2.01,2017-09-04
RCL,180700,69100,1415355.0,542460.0,4.89,2017-09-05
RCL,94500,253600,744800.0,2003455.0,9.96,2017-09-06
RCL,23300,259400,187180.0,2068120.0,3.58,2017-09-07
RCL,101800,945900,819300.0,7588810.0,10.96,2017-09-08
RCL,254900,78600,2012010.0,619830.0,6.12,2017-09-11
RCL,134300,11600,1043745.0,89990.0,2.4,2017-09-12
RCL,77700,214400,601545.0,1656120.0,12.95,2017-09-13
RCL,44100,513000,334690.0,3865470.0,5.37,2017-09-14
RCL,201300,230400,1532650.0,1753315.0,3.94,2017-09-15
RCL,84700,196200,663280.0,1533605.0,2.7,2017-09-18
RCL,26400,283900,207355.0,2238285.0,3.81,2017-09-19
RCL,51100,52100,404110.0,412325.0,2.18,2017-09-20
RCL,36100,264500,293040.0,2139340.0,1.1,2017-09-21
RCL,73600,556600,593635.0,4532240.0,4.2,2017-09-22
RCL,892200,78400,7136740.0,626215.0,9.94,2017-09-25
RCL,228100,1498700,1792265.0,11805235.0,20.44,2017-09-26
RCL,24800,570100,196920.0,4523960.0,6.01,2017-09-27
RCL,54500,222000,430950.0,1752925.0,7.05,2017-09-28
RCL,10800,75100,84230.0,586060.0,2.09,2017-09-29
RCL,50500,137600,394965.0,1073395.0,7.58,2017-10-02
RCL,55000,588200,429500.0,4589275.0,22.93,2017-10-03
RCL,22800,103200,179600.0,814225.0,3.51,2017-10-04
RCL,92200,223100,740895.0,1788650.0,3.19,2017-10-05
RCL,150000,70300,1211440.0,577875.0,1.52,2017-10-06
RCL,139200,6200,1120085.0,49910.0,3.8,2017-10-09
RCL,48900,3900,393760.0,31315.0,3.09,2017-10-10
RCL,48400,587500,403525.0,4790305.0,4.1,2017-10-11
RCL,525100,593400,4409885.0,4931895.0,8.13,2017-10-12
RCL,66600,112100,540760.0,902905.0,1.17,2017-10-16
RCL,40200,614169,325435.0,4935171.0,14.39,2017-10-17
RCL,381600,815202,3138620.0,6731436.1,5.42,2017-10-18
RCL,566000,226229,4686675.0,1883330.9,3.39,2017-10-19
RCL,24100,590000,195555.0,4780765.0,5.8,2017-10-20
RCL,23100,149000,187595.0,1208820.0,9.57,2017-10-24
RCL,54300,88600,440565.0,717680.0,5.35,2017-10-25
RCL,26100,900,212840.0,7345.0,1.34,2017-10-27
RCL,195800,76500,1670365.0,655740.0,2.03,2017-10-30
RCL,25100,79600,210615.0,676710.0,1.11,2017-10-31
RCL,50100,37700,419745.0,315565.0,2.63,2017-11-01
RCL,24000,145600,199590.0,1196735.0,3.95,2017-11-02
RCL,0,98000,0.0,803135.0,6.89,2017-11-03
RCL,31000,108300,253440.0,895265.0,2.65,2017-11-06
RCL,36200,50800,295425.0,416520.0,2.27,2017-11-07
RCL,32400,600,269965.0,5010.0,0.85,2017-11-08
RCL,139200,58300,1184745.0,483935.0,2.29,2017-11-09
RCL,78400,58900,654530.0,485695.0,2.37,2017-11-10
RCL,348800,489900,3017515.0,4143305.0,3.73,2017-11-13
RCL,800,78600,6600.0,649440.0,0.62,2017-11-14
RCL,8500,30200,71985.0,259710.0,0.97,2017-11-15
RCL,37300,8100,316910.0,68895.0,1.78,2017-11-16
RCL,5600,600,47550.0,5110.0,0.16,2017-11-17
RCL,1800,200,15120.0,1710.0,0.11,2017-11-20
RCL,4400,5200,36960.0,43870.0,0.52,2017-11-21
RCL,54200,26000,461730.0,221010.0,2.33,2017-11-22
RCL,14500,28900,122510.0,244170.0,5.5,2017-11-23
RCL,474700,277900,4264975.0,2563695.0,1.84,2017-11-24
RCL,112800,148800,1070275.0,1427125.0,1.03,2017-11-27
RCL,318100,4400,3098035.0,43185.0,2.94,2017-11-28
RCL,181000,400,1736525.0,3880.0,2.44,2017-11-29
RCL,320600,162800,2982860.0,1574325.0,2.54,2017-11-30
RCL,251600,40900,2288320.0,374410.0,4.01,2017-12-01
RCL,207700,39800,1888035.0,363005.0,4.7,2017-12-04
RCL,149700,6100,1356455.0,55205.0,4.6,2017-12-06
RCL,69600,58700,618555.0,520445.0,2.16,2017-12-07
RCL,666300,210300,6135445.0,1952995.0,5.13,2017-12-08
RCL,49100,170600,468010.0,1648265.0,3.95,2017-12-12
RCL,40400,22000,384140.0,209460.0,2.55,2017-12-13
RCL,89200,52900,814670.0,494955.0,3.76,2017-12-14
RCL,87400,115000,798895.0,1048170.0,7.99,2017-12-15
RCL,23200,136200,215120.0,1269170.0,7.65,2017-12-18
RCL,18000,275200,170900.0,2590320.0,13.49,2017-12-19
RCL,700,172200,6545.0,1607880.0,12.07,2017-12-20
RCL,3600,1700,33475.0,15895.0,0.54,2017-12-21
RCL,11800,84700,109705.0,787055.0,2.84,2017-12-22
RCL,160700,68500,1446215.0,616895.0,6.82,2017-12-25
RCL,247000,53600,2169610.0,472465.0,5.01,2017-12-26
