Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
RICHY,5000,0,7150.0,0.0,3.47,2017-01-04
RICHY,10000,0,14400.0,0.0,2.28,2017-01-05
RICHY,14200,1000,21618.0,1600.0,0.18,2017-01-06
RICHY,441000,239400,814110.0,433854.0,0.5,2017-01-09
RICHY,35300,52000,59800.0,88780.0,0.56,2017-01-10
RICHY,169000,54300,299030.0,98225.0,0.38,2017-01-11
RICHY,0,56000,0.0,97440.0,0.88,2017-01-12
RICHY,0,38000,0.0,63840.0,2.98,2017-01-16
RICHY,20000,0,33900.0,0.0,0.6,2017-01-18
RICHY,0,5000,0.0,8150.0,0.64,2017-01-19
RICHY,15000,0,24900.0,0.0,2.06,2017-01-20
RICHY,3000,0,5040.0,0.0,0.12,2017-01-23
RICHY,500,0,830.0,0.0,0.06,2017-01-27
RICHY,5000,0,8200.0,0.0,0.87,2017-01-30
RICHY,3600,0,5868.0,0.0,0.58,2017-01-31
RICHY,10000,0,16200.0,0.0,1.12,2017-02-07
RICHY,7000,0,11440.0,0.0,0.67,2017-02-15
RICHY,25100,0,40010.0,0.0,4.47,2017-02-21
RICHY,900,0,1422.0,0.0,0.31,2017-02-22
RICHY,14000,0,20720.0,0.0,0.46,2017-02-24
RICHY,0,5000,0.0,7350.0,1.63,2017-02-27
RICHY,5000,0,7400.0,0.0,0.44,2017-03-02
RICHY,0,10000,0.0,14800.0,1.84,2017-03-06
RICHY,5000,0,7400.0,0.0,1.24,2017-03-08
RICHY,0,10000,0.0,15400.0,0.62,2017-03-09
RICHY,30000,10000,48800.0,15700.0,0.33,2017-03-10
RICHY,0,30000,0.0,48000.0,1.32,2017-03-13
RICHY,10000,0,16400.0,0.0,0.48,2017-03-15
RICHY,5000,0,8050.0,0.0,0.9,2017-03-16
RICHY,0,20000,0.0,31800.0,2.69,2017-03-17
RICHY,5000,0,8000.0,0.0,1.02,2017-03-21
RICHY,5000,0,7950.0,0.0,2.6,2017-03-28
RICHY,0,11000,0.0,17710.0,2.06,2017-04-03
RICHY,16200,5000,26558.0,8300.0,0.13,2017-04-05
RICHY,302300,40900,518388.0,68750.0,1.21,2017-04-07
RICHY,71900,297200,123958.0,499448.0,1.56,2017-04-10
RICHY,27000,20900,45800.0,35948.0,1.36,2017-04-11
RICHY,23200,50000,39892.0,84000.0,0.77,2017-04-17
RICHY,0,100,0.0,168.0,0.0,2017-04-18
RICHY,0,62100,0.0,101844.0,8.59,2017-04-21
RICHY,100000,0,163000.0,0.0,3.4,2017-04-27
RICHY,1024100,10000,1704191.0,16600.0,11.52,2017-04-28
RICHY,300,551700,420.0,781444.0,10.94,2017-05-02
RICHY,7300,88700,10290.0,124567.0,4.99,2017-05-03
RICHY,0,15300,0.0,21573.0,1.15,2017-05-04
RICHY,0,220000,0.0,307488.0,19.52,2017-05-05
RICHY,3000,140000,4200.0,195600.0,11.95,2017-05-08
RICHY,10000,43200,14000.0,60512.0,5.45,2017-05-09
RICHY,0,18000,0.0,25020.0,3.43,2017-05-11
RICHY,8000,35600,11920.0,51302.0,0.52,2017-05-15
RICHY,0,8000,0.0,11600.0,0.2,2017-05-16
RICHY,3000,0,4680.0,0.0,0.06,2017-05-17
RICHY,7200,0,11016.0,0.0,0.34,2017-05-18
RICHY,15000,0,23100.0,0.0,2.99,2017-05-19
RICHY,0,19200,0.0,30336.0,0.69,2017-05-25
RICHY,2000,1400,3080.0,2170.0,0.16,2017-05-26
RICHY,20000,0,28400.0,0.0,0.45,2017-05-30
RICHY,0,20000,0.0,29000.0,0.97,2017-05-31
RICHY,0,20000,0.0,28600.0,1.87,2017-06-01
RICHY,80000,0,113350.0,0.0,5.31,2017-06-05
RICHY,60000,20000,86300.0,28800.0,8.68,2017-06-06
RICHY,39900,0,56981.0,0.0,6.6,2017-06-07
RICHY,60151,40874,85512.26,58050.6,6.24,2017-06-08
RICHY,60000,14000,86300.0,20020.0,7.49,2017-06-09
RICHY,10000,0,14300.0,0.0,4.33,2017-06-12
RICHY,10000,0,14892.0,0.0,0.21,2017-06-13
RICHY,20100,320800,29749.0,477984.0,6.78,2017-06-14
RICHY,55867,10800,84540.52,16156.0,0.15,2017-06-19
RICHY,8,3205616,11.6,4662807.59,25.73,2017-06-20
RICHY,2813,307986,4162.85,455065.34,4.99,2017-06-21
RICHY,0,400000,0.0,585971.0,16.41,2017-06-22
RICHY,0,1900,0.0,2793.0,0.13,2017-06-23
RICHY,0,66900,0.0,99681.0,1.0,2017-06-26
RICHY,0,36900,0.0,54435.0,2.08,2017-06-27
RICHY,0,2700,0.0,4050.0,0.09,2017-06-28
RICHY,0,100000,0.0,149000.0,8.0,2017-07-03
RICHY,0,5000,0.0,7450.0,0.63,2017-07-04
RICHY,0,102000,0.0,153000.0,2.35,2017-07-06
RICHY,14275,619300,21444.89,921780.0,4.46,2017-07-07
RICHY,0,1139969,0.0,1700255.69,9.57,2017-07-11
RICHY,0,230000,0.0,341000.0,3.96,2017-07-12
RICHY,300,0,447.0,0.0,0.01,2017-07-13
RICHY,0,15058,0.0,21984.68,0.45,2017-07-19
RICHY,0,2500,0.0,3675.0,0.02,2017-07-20
RICHY,100000,0,144000.0,0.0,2.04,2017-07-26
RICHY,300000,0,430000.0,0.0,8.57,2017-07-27
RICHY,10000,34000,14400.0,48960.0,3.88,2017-08-09
RICHY,10000,0,14300.0,0.0,1.26,2017-08-10
RICHY,33800,72053,48334.0,105676.85,0.29,2017-08-11
RICHY,0,133830,0.0,195877.2,1.68,2017-08-15
RICHY,20000,0,28600.0,0.0,0.62,2017-08-16
RICHY,60000,0,85300.0,0.0,1.42,2017-08-17
RICHY,0,30000,0.0,43200.0,1.53,2017-08-22
RICHY,25,0,36.25,0.0,0.0,2017-08-28
RICHY,0,1100,0.0,1617.0,0.09,2017-08-29
RICHY,0,5500,0.0,8085.0,0.79,2017-09-01
RICHY,36900,0,54612.0,0.0,1.77,2017-09-06
RICHY,113900,300,170856.0,453.0,0.8,2017-09-07
RICHY,100000,13600,149000.0,20400.0,2.35,2017-09-08
RICHY,9200,0,13984.0,0.0,0.05,2017-09-11
RICHY,4700,109200,7191.0,166984.0,1.07,2017-09-12
RICHY,6300,104700,9513.0,160191.0,0.84,2017-09-13
RICHY,0,6300,0.0,9513.0,0.21,2017-09-14
RICHY,200000,0,301000.0,0.0,3.3,2017-09-20
RICHY,200000,0,302000.0,0.0,3.71,2017-09-26
RICHY,0,200000,0.0,300000.0,3.86,2017-09-27
RICHY,0,70000,0.0,102900.0,2.48,2017-09-29
RICHY,0,50000,0.0,74000.0,2.71,2017-10-02
RICHY,120000,150000,174200.0,218000.0,8.69,2017-10-03
RICHY,0,116900,0.0,168336.0,1.57,2017-10-04
RICHY,100000,0,143000.0,0.0,4.56,2017-10-05
RICHY,50000,130000,71500.0,189800.0,3.39,2017-10-06
RICHY,0,40000,0.0,58800.0,1.76,2017-10-09
RICHY,0,100000,0.0,145815.0,7.95,2017-10-10
RICHY,200000,0,294000.0,0.0,3.22,2017-10-12
RICHY,0,170000,0.0,250900.0,9.26,2017-10-19
RICHY,0,150000,0.0,222000.0,12.39,2017-10-20
RICHY,0,66250,0.0,98049.0,1.63,2017-10-25
RICHY,100000,0,151000.0,0.0,1.83,2017-10-30
RICHY,24400,0,37332.0,0.0,0.18,2017-11-01
RICHY,428200,13000,661864.0,19890.0,1.49,2017-11-02
RICHY,0,28200,0.0,42582.0,1.11,2017-11-03
RICHY,101000,1000,154530.0,1540.0,1.76,2017-11-06
RICHY,480000,420000,768268.0,670300.0,2.91,2017-11-09
RICHY,320000,250000,523940.0,409120.0,2.13,2017-11-10
RICHY,428000,646000,726610.0,1098088.0,2.15,2017-11-13
RICHY,207900,544200,355311.0,929462.0,6.55,2017-11-14
RICHY,111600,285700,189104.0,491000.0,3.18,2017-11-15
RICHY,0,11600,0.0,19604.0,0.12,2017-11-16
RICHY,121117,103200,216750.45,184406.0,0.46,2017-11-17
RICHY,245400,183400,441974.0,336074.0,1.52,2017-11-20
RICHY,460100,290300,832380.0,524502.0,5.1,2017-11-21
RICHY,35600,0,64456.0,0.0,0.23,2017-11-22
RICHY,361600,14600,655602.0,26572.0,5.33,2017-11-23
RICHY,204900,49983,369875.0,92967.65,0.57,2017-11-24
RICHY,100900,55500,179939.0,98891.0,1.84,2017-11-27
RICHY,973400,244800,1769965.0,443924.0,7.59,2017-11-28
RICHY,573900,17000,1053448.0,31130.0,5.48,2017-11-29
RICHY,200600,376900,363340.0,671254.0,3.87,2017-11-30
RICHY,50300,29600,90882.0,53312.0,1.42,2017-12-01
RICHY,62200,857133,114563.0,1585117.1,4.7,2017-12-04
RICHY,16000,397617,29760.0,739137.45,3.74,2017-12-06
RICHY,77000,425800,141361.0,789380.0,8.67,2017-12-07
RICHY,161500,73202,299442.0,135500.72,1.24,2017-12-08
RICHY,44500,101900,81968.0,189151.0,1.31,2017-12-12
RICHY,540400,250600,919356.0,433790.0,1.66,2017-12-13
RICHY,371000,254600,620289.0,433790.0,3.96,2017-12-14
RICHY,33800,211300,57798.0,363321.0,4.78,2017-12-15
RICHY,180400,125000,306105.0,213983.0,6.39,2017-12-18
RICHY,80700,72000,136690.0,122484.0,4.32,2017-12-19
RICHY,748600,359200,1272469.0,613521.0,21.28,2017-12-20
RICHY,0,62200,0.0,105165.0,2.5,2017-12-21
RICHY,50100,191100,83667.0,319726.0,14.41,2017-12-22
RICHY,57500,196500,98291.0,335121.0,1.87,2017-12-25
RICHY,15800,163000,27966.0,285230.0,1.53,2017-12-26
RICHY,6900,21600,12084.0,37989.0,0.34,2017-12-27
RICHY,0,73100,0.0,127441.0,2.3,2017-12-28
RICHY,17400,2700,30642.0,4752.0,0.42,2017-12-29
RICHY,0,900,0.0,1612.0,0.02,2018-01-03
RICHY,22400,73300,40320.0,131940.0,1.41,2018-01-04
RICHY,0,57700,0.0,104088.0,1.86,2018-01-05
RICHY,57600,35100,103444.0,62897.0,3.35,2018-01-08
RICHY,5500,11000,9722.0,19690.0,0.42,2018-01-09
RICHY,63900,10400,114377.0,18604.0,1.02,2018-01-10
RICHY,75100,8500,133872.0,15215.0,3.72,2018-01-11
RICHY,276600,53200,503708.0,96924.0,2.41,2018-01-12
RICHY,20600,25900,36537.0,46249.0,0.71,2018-01-15
RICHY,10300,6700,18334.0,11795.0,0.82,2018-01-16
RICHY,20400,47000,36516.0,84285.0,2.04,2018-01-17
RICHY,101300,48800,182423.0,88231.0,3.18,2018-01-18
RICHY,3100,60291,5580.0,108620.5,1.24,2018-01-19
RICHY,565000,64000,1051871.0,119340.0,1.95,2018-01-22
RICHY,351900,164500,687149.0,319398.0,1.69,2018-01-23
RICHY,233900,103700,457399.5,201073.0,1.55,2018-01-24
RICHY,66800,268900,128944.0,519223.0,4.03,2018-01-25
RICHY,80300,28700,154738.0,55452.0,1.3,2018-01-26
RICHY,461400,286700,931283.0,580566.0,1.76,2018-01-29
RICHY,318600,90900,659134.0,187944.0,1.7,2018-01-30
RICHY,194600,279500,409868.0,584244.0,2.27,2018-01-31
RICHY,147000,109800,297271.0,225928.0,0.83,2018-02-01
RICHY,433900,56200,852386.0,109714.0,2.76,2018-02-02
RICHY,201600,27200,387299.0,52227.0,3.48,2018-02-05
RICHY,289400,107300,531185.0,196899.0,2.19,2018-02-06
RICHY,198800,75600,366058.0,138737.0,4.73,2018-02-07
RICHY,68432,2900,126793.2,5423.0,1.09,2018-02-08
RICHY,73000,2800,133685.0,5124.0,1.32,2018-02-09
RICHY,86400,54200,159170.0,99746.0,4.92,2018-02-12
RICHY,4700,59100,8617.0,108906.0,1.84,2018-02-13
RICHY,38020,17600,70091.5,32516.0,2.18,2018-02-14
RICHY,0,72900,0.0,134124.0,2.45,2018-02-15
RICHY,5900,111900,11033.0,209286.0,2.29,2018-02-16
RICHY,53548,148800,103381.74,288508.0,2.68,2018-02-19
