Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
ROBINS,189500,96400,12078800.0,6196900.0,7.54,2017-01-04
ROBINS,236791,174100,15003749.0,11046775.0,10.1,2017-01-05
ROBINS,205000,514000,12675450.0,31791575.0,15.79,2017-01-06
ROBINS,662600,185800,40627900.0,11403350.0,16.38,2017-01-09
ROBINS,573100,114000,34129925.0,6784850.0,12.98,2017-01-10
ROBINS,349686,599000,20709838.5,35438225.0,20.05,2017-01-11
ROBINS,214086,97200,12713088.25,5773350.0,19.94,2017-01-12
ROBINS,387767,98000,23287095.0,5871075.0,15.39,2017-01-13
ROBINS,62400,94500,3721200.0,5645200.0,7.8,2017-01-16
ROBINS,336200,178692,19780900.0,10509705.25,10.65,2017-01-17
ROBINS,91900,161500,5418575.0,9505150.0,4.07,2017-01-18
ROBINS,366000,229900,21475500.0,13497025.0,18.15,2017-01-19
ROBINS,112138,295700,6613964.5,17408250.0,15.27,2017-01-20
ROBINS,139600,103982,8358475.0,6216295.0,4.13,2017-01-23
ROBINS,175300,508000,10406400.0,30235800.0,18.12,2017-01-24
ROBINS,250300,357100,14776750.0,21083400.0,14.57,2017-01-25
ROBINS,242600,155300,14343675.0,9187500.0,15.05,2017-01-26
ROBINS,132100,294600,7772700.0,17326025.0,18.64,2017-01-27
ROBINS,201200,448800,11663325.0,26046875.0,16.53,2017-01-30
ROBINS,312200,531700,18108689.8,30792289.8,24.26,2017-01-31
ROBINS,266500,272150,15688500.0,16007966.0,23.47,2017-02-01
ROBINS,565400,409700,34048175.0,24646475.0,12.32,2017-02-02
ROBINS,428000,415549,25198100.0,24471229.25,18.24,2017-02-03
ROBINS,364400,421900,21949525.0,25387875.0,9.81,2017-02-06
ROBINS,170900,94900,10243400.0,5676650.0,10.99,2017-02-07
ROBINS,312200,194900,18598500.0,11601050.0,14.25,2017-02-08
ROBINS,69300,97000,4157525.0,5815475.0,13.86,2017-02-09
ROBINS,99600,256400,5994350.0,15380200.0,18.23,2017-02-10
ROBINS,239178,453900,14229933.0,27016025.0,20.93,2017-02-14
ROBINS,217700,319200,12766125.0,18695500.0,16.79,2017-02-15
ROBINS,354600,523800,20939900.0,30903250.0,29.44,2017-02-16
ROBINS,504600,125200,30740725.0,7588550.0,3.61,2017-02-17
ROBINS,148100,69000,8890525.0,4157600.0,4.29,2017-02-20
ROBINS,361200,305800,21833425.0,18494925.0,13.22,2017-02-21
ROBINS,435400,265900,26702850.0,16221150.0,10.49,2017-02-22
ROBINS,340000,322200,21055225.0,19981625.0,13.47,2017-02-23
ROBINS,115600,406000,7110875.0,25043625.0,22.24,2017-02-24
ROBINS,81200,285600,4969250.0,17488050.0,19.56,2017-02-27
ROBINS,302500,451400,18542600.0,27642186.75,28.96,2017-02-28
ROBINS,167875,559200,10255093.6,34103244.6,22.13,2017-03-01
ROBINS,567800,908942,34753878.0,55642015.0,34.05,2017-03-02
ROBINS,352300,744900,21465850.0,45381375.0,28.48,2017-03-03
ROBINS,232600,691556,14150500.0,41967103.25,26.07,2017-03-06
ROBINS,230300,879996,13911250.0,53171223.75,27.36,2017-03-07
ROBINS,439900,1394929,25922025.0,82558264.0,26.55,2017-03-08
ROBINS,183200,1139700,10885900.0,67609950.0,26.06,2017-03-09
ROBINS,280700,1482800,16872925.0,88884375.0,20.62,2017-03-10
ROBINS,765482,2004500,46581006.5,121828975.0,32.41,2017-03-13
ROBINS,289793,2046515,17750214.75,125203739.25,27.72,2017-03-14
ROBINS,463000,562641,28482500.0,34621951.25,19.69,2017-03-15
ROBINS,453600,479619,28423425.0,30029643.5,14.84,2017-03-16
ROBINS,364687,348224,22965630.0,21902568.0,29.16,2017-03-17
ROBINS,194700,68400,12339600.0,4340050.0,16.32,2017-03-20
ROBINS,312226,139400,19972239.0,8931425.0,7.94,2017-03-21
ROBINS,494300,428935,31532500.0,27352303.0,40.37,2017-03-22
ROBINS,90700,151530,5838275.0,9733572.5,6.57,2017-03-23
ROBINS,134300,132415,8577025.0,8443127.5,19.96,2017-03-24
ROBINS,173901,12300,11035338.25,781350.0,12.43,2017-03-27
ROBINS,327401,37200,20994138.5,2381175.0,12.49,2017-03-28
ROBINS,348005,121700,22410246.0,7824900.0,29.99,2017-03-29
ROBINS,1008200,130600,64752850.0,8368600.0,33.87,2017-03-30
ROBINS,54101,72400,3462813.75,4625575.0,6.22,2017-03-31
ROBINS,214701,97500,13733038.5,6210300.0,12.0,2017-04-03
ROBINS,178300,124700,11456175.0,8004725.0,21.78,2017-04-04
ROBINS,385700,606700,24763400.0,38836300.0,30.77,2017-04-05
ROBINS,73201,612500,4644138.25,38859300.0,14.87,2017-04-07
ROBINS,124601,249400,7748961.75,15503625.0,8.64,2017-04-10
ROBINS,196100,175500,12219600.0,10907675.0,10.32,2017-04-11
