Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
ROJNA,14500,27500,65670.0,125272.0,2.73,2017-01-04
ROJNA,5100,30600,23412.0,140816.0,0.48,2017-01-05
ROJNA,21100,29900,98200.0,138774.0,3.68,2017-01-06
ROJNA,15400,16700,71606.0,77990.0,1.1,2017-01-09
ROJNA,18000,103800,85112.0,492300.0,3.71,2017-01-10
ROJNA,37300,3006,177364.0,14368.32,2.17,2017-01-11
ROJNA,5100,11100,24560.0,53636.0,0.6,2017-01-12
ROJNA,6700,4300,32066.0,20614.0,0.56,2017-01-13
ROJNA,14600,2500,71616.0,12340.0,0.24,2017-01-16
ROJNA,1500,7900,7350.0,38830.0,0.31,2017-01-17
ROJNA,12500,5800,60500.0,28526.0,0.76,2017-01-18
ROJNA,10000,1500,47400.0,7132.0,0.5,2017-01-19
ROJNA,0,200,0.0,948.0,0.01,2017-01-20
ROJNA,20400,24800,98476.0,119884.0,3.67,2017-01-23
ROJNA,29500,94600,142534.0,456228.0,6.09,2017-01-24
ROJNA,15100,3500,73006.0,16940.0,1.51,2017-01-25
ROJNA,3800,0,18314.0,0.0,0.26,2017-01-26
ROJNA,4800,0,23094.0,0.0,3.72,2017-01-27
ROJNA,17500,5600,84756.0,27216.0,2.31,2017-01-30
ROJNA,6400,0,30858.0,0.0,0.43,2017-01-31
ROJNA,0,300,0.0,1440.0,0.06,2017-02-01
ROJNA,2000,800,9640.0,3840.0,0.27,2017-02-02
ROJNA,0,16600,0.0,79060.0,0.83,2017-02-03
ROJNA,12000,24800,57160.0,119034.0,3.94,2017-02-06
ROJNA,0,50600,0.0,243480.0,2.12,2017-02-07
ROJNA,191800,45000,934666.0,222000.0,5.68,2017-02-08
ROJNA,7800,3600,38228.0,17712.0,0.73,2017-02-09
ROJNA,11300,0,55488.0,0.0,0.55,2017-02-10
ROJNA,104200,2000,514766.0,9840.0,7.25,2017-02-14
ROJNA,0,18000,0.0,88294.0,2.02,2017-02-15
ROJNA,0,3000,0.0,14682.0,0.67,2017-02-16
ROJNA,16000,600,78080.0,2940.0,2.74,2017-02-17
ROJNA,200,2000,980.0,9800.0,0.23,2017-02-20
ROJNA,10200,106800,49572.0,520998.0,6.1,2017-02-21
ROJNA,0,34200,0.0,166166.0,4.41,2017-02-22
ROJNA,10000,30600,48400.0,148580.0,4.1,2017-02-23
ROJNA,17100,31700,82764.0,154460.0,5.56,2017-02-24
ROJNA,0,24200,0.0,117264.0,3.94,2017-02-27
ROJNA,0,27000,0.0,130540.0,1.71,2017-02-28
ROJNA,104000,126500,493620.0,599886.0,18.41,2017-03-01
ROJNA,0,17900,0.0,85354.0,3.47,2017-03-02
ROJNA,20000,107900,96400.0,516488.0,12.02,2017-03-03
ROJNA,110100,20200,527880.0,96748.0,16.92,2017-03-06
ROJNA,21500,4400,102370.0,21044.0,5.38,2017-03-07
