Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
SAMCO,49700,56300,187946.0,209870.0,0.13,2017-01-06
SAMCO,3000,37200,10860.0,139128.0,0.36,2017-01-09
SAMCO,36400,0,133168.0,0.0,0.52,2017-01-10
SAMCO,4200,16400,15456.0,60768.0,0.43,2017-01-11
SAMCO,131900,150200,499652.0,576000.0,0.61,2017-01-12
SAMCO,0,28900,0.0,106730.0,1.12,2017-01-13
SAMCO,500,0,1840.0,0.0,0.08,2017-01-24
SAMCO,12700,0,46898.0,0.0,0.33,2017-01-30
SAMCO,100,2800,366.0,10270.0,0.21,2017-01-31
SAMCO,9100,10500,34398.0,40288.0,0.1,2017-02-01
SAMCO,158200,9100,602104.0,34580.0,1.98,2017-02-02
SAMCO,0,8200,0.0,30504.0,0.58,2017-02-03
SAMCO,300,0,1068.0,0.0,0.03,2017-02-15
SAMCO,10000,150000,35400.0,526600.0,10.53,2017-02-16
SAMCO,700,0,2464.0,0.0,0.08,2017-02-20
SAMCO,10000,0,35200.0,0.0,1.84,2017-02-21
SAMCO,500,0,1750.0,0.0,0.21,2017-02-24
SAMCO,10000,0,35000.0,0.0,3.65,2017-03-03
SAMCO,0,10000,0.0,35000.0,3.37,2017-03-06
SAMCO,10000,0,34200.0,0.0,3.73,2017-03-08
SAMCO,100,0,344.0,0.0,0.05,2017-03-10
SAMCO,0,1000,0.0,3460.0,0.77,2017-03-17
SAMCO,0,600,0.0,2076.0,0.16,2017-03-22
SAMCO,10000,0,34600.0,0.0,2.9,2017-03-23
SAMCO,0,20000,0.0,70400.0,3.7,2017-04-03
SAMCO,0,1800,0.0,6372.0,1.03,2017-04-04
SAMCO,3400,0,12240.0,0.0,0.09,2017-04-05
SAMCO,23400,35400,85260.0,131372.0,0.52,2017-04-07
SAMCO,0,10400,0.0,37856.0,0.45,2017-04-10
SAMCO,0,8200,0.0,28700.0,0.48,2017-04-11
SAMCO,10000,0,36200.0,0.0,0.17,2017-04-17
SAMCO,12000,0,43680.0,0.0,0.42,2017-04-18
SAMCO,0,4300,0.0,14362.0,1.0,2017-04-25
SAMCO,0,17700,0.0,58764.0,1.88,2017-04-26
SAMCO,0,1955,0.0,6017.5,0.11,2017-05-16
SAMCO,13300,0,41762.0,0.0,4.6,2017-05-19
SAMCO,0,10000,0.0,32200.0,0.82,2017-05-24
SAMCO,0,208,0.0,685.6,0.06,2017-05-29
SAMCO,1000,0,3290.0,0.0,0.45,2017-06-05
SAMCO,0,900,0.0,2970.0,0.12,2017-06-06
SAMCO,172500,1100,592906.0,3814.0,0.45,2017-06-07
SAMCO,97500,87500,331300.0,299250.0,3.96,2017-06-08
SAMCO,0,20000,0.0,66080.0,1.01,2017-06-12
