Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
SAWANG,5200,0,83400.0,0.0,38.24,2017-01-04
SAWANG,2000,300,32000.0,4800.0,31.08,2017-01-10
SAWANG,0,2000,0.0,32000.0,18.18,2017-01-11
SAWANG,0,1000,0.0,16000.0,25.0,2017-01-12
SAWANG,0,2000,0.0,32100.0,6.21,2017-01-13
SAWANG,0,400,0.0,6400.0,4.65,2017-01-18
SAWANG,2900,1300,46090.0,21300.0,4.23,2017-01-19
SAWANG,3400,0,55040.0,0.0,6.59,2017-01-20
SAWANG,1100,0,17600.0,0.0,22.92,2017-01-23
SAWANG,3700,0,58940.0,0.0,23.41,2017-01-24
SAWANG,2100,0,32640.0,0.0,14.79,2017-01-27
SAWANG,1500,0,23930.0,0.0,25.86,2017-01-30
SAWANG,2600,300,40620.0,4800.0,16.86,2017-01-31
SAWANG,200,0,3120.0,0.0,16.67,2017-02-01
SAWANG,3700,0,57350.0,0.0,20.33,2017-02-02
SAWANG,300,300,4710.0,4710.0,75.0,2017-02-03
SAWANG,4100,200,64640.0,3180.0,44.79,2017-02-06
SAWANG,700,0,10920.0,0.0,20.59,2017-02-07
SAWANG,2500,0,38050.0,0.0,9.84,2017-02-08
SAWANG,2600,0,38470.0,0.0,50.0,2017-02-22
SAWANG,800,0,11360.0,0.0,9.52,2017-02-24
SAWANG,0,1000,0.0,15000.0,16.13,2017-03-23
SAWANG,1900,0,27030.0,0.0,43.18,2017-03-24
SAWANG,1200,0,17260.0,0.0,40.0,2017-03-29
SAWANG,600,0,8640.0,0.0,11.54,2017-03-31
SAWANG,600,0,8690.0,0.0,50.0,2017-04-10
SAWANG,500,0,7040.0,0.0,25.0,2017-04-21
SAWANG,500,0,7190.0,0.0,8.33,2017-04-25
SAWANG,0,100,0.0,1460.0,10.0,2017-04-28
SAWANG,1000,0,14000.0,0.0,1.59,2017-05-02
SAWANG,0,100,0.0,1470.0,1.67,2017-05-04
SAWANG,0,100,0.0,1470.0,16.67,2017-05-05
SAWANG,0,100,0.0,1470.0,25.0,2017-05-08
SAWANG,200,0,2880.0,0.0,0.48,2017-05-09
SAWANG,100,0,1440.0,0.0,0.22,2017-05-18
SAWANG,0,1900,0.0,28200.0,32.76,2017-05-22
SAWANG,0,100,0.0,1470.0,0.12,2017-05-23
SAWANG,0,200,0.0,2940.0,0.46,2017-05-25
SAWANG,200,0,2860.0,0.0,5.88,2017-05-29
SAWANG,0,1000,0.0,14900.0,5.32,2017-06-01
SAWANG,0,2000,0.0,29700.0,17.24,2017-06-02
SAWANG,0,1700,0.0,25400.0,12.14,2017-06-05
SAWANG,0,100,0.0,1540.0,6.25,2017-07-05
SAWANG,800,0,11650.0,0.0,50.0,2017-09-05
SAWANG,800,0,11820.0,0.0,49.94,2017-09-06
SAWANG,200,0,2940.0,0.0,50.0,2017-09-12
SAWANG,500,0,7350.0,0.0,50.0,2017-09-13
SAWANG,0,300,0.0,4260.0,0.76,2017-10-19
SAWANG,700,0,10080.0,0.0,43.75,2017-10-27
SAWANG,200,0,2880.0,0.0,11.11,2017-11-02
SAWANG,300,0,4290.0,0.0,15.0,2017-11-06
