Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
SCI,59600,26800,712180.0,316100.0,0.91,2017-01-04
SCI,271600,210000,3304080.0,2562000.0,3.44,2017-01-05
SCI,5900,0,69560.0,0.0,0.06,2017-01-06
SCI,17800,9700,214380.0,115540.0,0.48,2017-01-09
SCI,0,23500,0.0,279290.0,0.54,2017-01-10
SCI,3400,50600,40910.0,604700.0,1.0,2017-01-11
SCI,4400,551500,52800.0,6563450.0,9.61,2017-01-12
SCI,0,523400,0.0,6099480.0,7.65,2017-01-13
SCI,14800,26200,170500.0,301420.0,1.3,2017-01-16
SCI,1500,12500,17400.0,146250.0,0.56,2017-01-17
SCI,2500,30000,29000.0,348000.0,3.15,2017-01-18
SCI,0,66600,0.0,752000.0,0.71,2017-01-19
SCI,57000,20500,631140.0,227780.0,1.16,2017-01-20
SCI,23400,12700,271030.0,144470.0,0.59,2017-01-23
SCI,19900,10000,233810.0,118000.0,0.79,2017-01-24
SCI,11400,43800,131240.0,510080.0,0.74,2017-01-25
SCI,2700,6500,31590.0,75500.0,0.2,2017-01-26
SCI,57400,28000,671390.0,326700.0,2.12,2017-01-27
SCI,270800,1682800,3374820.0,21008460.0,3.69,2017-01-30
SCI,86500,126700,1093810.0,1602940.0,0.43,2017-01-31
SCI,155600,21500,1946400.0,272160.0,0.5,2017-02-01
SCI,29000,140100,356110.0,1701870.0,0.7,2017-02-02
SCI,283000,86300,3454460.0,1061680.0,1.77,2017-02-03
SCI,65800,10400,834140.0,131680.0,0.53,2017-02-06
SCI,1706000,2572000,22128430.0,33249940.0,13.11,2017-02-07
SCI,12600,113300,157500.0,1417320.0,1.47,2017-02-08
SCI,18400,83000,228160.0,1036940.0,1.69,2017-02-09
SCI,27600,110300,343390.0,1376340.0,3.1,2017-02-10
SCI,67300,44700,842230.0,559710.0,2.23,2017-02-14
SCI,166400,160800,2002480.0,1951060.0,1.99,2017-02-15
