Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
SHANG,0,400,0.0,25400.0,3.64,2017-01-06
SHANG,100,0,6375.0,0.0,49.5,2017-01-09
SHANG,100,0,6650.0,0.0,0.55,2017-01-17
SHANG,100,0,6625.0,0.0,25.0,2017-01-18
SHANG,200,0,13250.0,0.0,11.11,2017-02-03
SHANG,0,1000,0.0,67000.0,45.45,2017-02-20
SHANG,1000,0,62500.0,0.0,16.12,2017-03-08
SHANG,0,1500,0.0,102000.0,26.79,2017-03-14
SHANG,100,0,6975.0,0.0,2.78,2017-04-03
SHANG,300,0,20400.0,0.0,14.99,2017-05-15
SHANG,300,0,20400.0,0.0,8.82,2017-05-22
SHANG,0,100,0.0,6800.0,1.25,2017-05-26
SHANG,0,100,0.0,6900.0,0.19,2017-05-29
SHANG,100,0,6775.0,0.0,0.52,2017-06-05
SHANG,4000,0,272000.0,0.0,50.0,2017-06-08
SHANG,500,0,34500.0,0.0,1.91,2017-07-05
SHANG,0,100,0.0,6900.0,0.56,2017-07-17
SHANG,0,300,0.0,21000.0,4.05,2017-07-18
SHANG,100,0,6800.0,0.0,0.55,2017-07-27
SHANG,0,300,0.0,20675.0,5.56,2017-09-08
SHANG,100,0,6850.0,0.0,2.17,2017-09-15
SHANG,2000,0,135500.0,0.0,9.71,2017-09-27
SHANG,200,0,13650.0,0.0,33.11,2017-09-28
SHANG,4000,0,270000.0,0.0,37.03,2017-09-29
SHANG,5000,0,337500.0,0.0,27.47,2017-10-02
SHANG,9600,0,640800.0,0.0,17.52,2017-10-05
SHANG,100,0,6725.0,0.0,0.82,2017-10-10
SHANG,2400,0,160000.0,0.0,4.96,2017-11-02
SHANG,0,100,0.0,6625.0,3.33,2017-11-07
SHANG,0,500,0.0,33125.0,35.71,2017-11-09
SHANG,2000,100,135950.0,6800.0,24.42,2017-11-14
SHANG,2000,0,136000.0,0.0,14.71,2017-11-15
SHANG,500,0,36375.0,0.0,0.28,2017-11-17
SHANG,500,0,36050.0,0.0,1.53,2017-11-20
SHANG,800,0,58000.0,0.0,1.53,2017-11-21
SHANG,100,0,7275.0,0.0,1.39,2017-11-22
SHANG,800,0,58550.0,0.0,2.87,2017-11-23
SHANG,400,0,29600.0,0.0,1.69,2017-11-27
SHANG,0,100,0.0,7350.0,3.85,2017-12-01
SHANG,0,100,0.0,7300.0,2.44,2017-12-07
SHANG,0,100,0.0,7300.0,9.07,2017-12-13
SHANG,100,0,7325.0,0.0,25.0,2017-12-14
SHANG,0,200,0.0,14400.0,2.63,2017-12-27
SHANG,0,200,0.0,14500.0,33.33,2017-12-28
SHANG,0,200,0.0,14550.0,9.09,2017-12-29
SHANG,0,100,0.0,7300.0,5.56,2018-01-04
SHANG,0,300,0.0,21875.0,3.19,2018-01-10
SHANG,4000,0,280000.0,0.0,45.05,2018-01-22
SHANG,5000,400,348750.0,27875.0,12.62,2018-01-24
SHANG,100,0,7000.0,0.0,8.33,2018-01-25
SHANG,0,100,0.0,7275.0,8.33,2018-02-02
SHANG,0,100,0.0,7250.0,50.0,2018-02-08
SHANG,0,300,0.0,21600.0,4.84,2018-02-13
SHANG,0,300,0.0,21675.0,11.45,2018-02-14
SHANG,200,0,14100.0,0.0,9.09,2018-02-26
SHANG,10000,400,683750.0,27400.0,18.53,2018-02-27
SHANG,3800,0,254600.0,0.0,10.21,2018-02-28
SHANG,4000,0,266000.0,0.0,9.17,2018-03-02
SHANG,2100,0,139700.0,0.0,10.61,2018-03-05
SHANG,100,0,6700.0,0.0,1.14,2018-03-07
SHANG,21800,0,1498200.0,0.0,48.23,2018-03-12
SHANG,600,0,41950.0,0.0,50.0,2018-03-22
SHANG,100,0,6975.0,0.0,1.06,2018-03-28
SHANG,100,0,6975.0,0.0,49.5,2018-04-09
SHANG,3000,500,208500.0,34750.0,56.43,2018-04-17
SHANG,0,100,0.0,7025.0,7.14,2018-04-18
SHANG,0,100,0.0,7025.0,6.25,2018-04-27
SHANG,0,600,0.0,42000.0,13.64,2018-05-02
SHANG,0,300,0.0,21000.0,30.0,2018-05-11
SHANG,1500,0,105000.0,0.0,10.14,2018-05-15
SHANG,2000,0,140000.0,0.0,37.04,2018-05-16
SHANG,0,400,0.0,28200.0,4.44,2018-05-28
SHANG,0,200,0.0,13950.0,3.85,2018-06-12
SHANG,2000,0,140000.0,0.0,41.67,2018-06-13
SHANG,0,200,0.0,13950.0,2.17,2018-06-14
SHANG,0,200,0.0,13900.0,3.7,2018-06-15
SHANG,100,0,6775.0,0.0,23.81,2018-06-22
SHANG,0,400,0.0,27000.0,1.3,2018-06-25
SHANG,100,0,6800.0,0.0,0.41,2018-06-29
SHANG,200,0,13500.0,0.0,25.0,2018-07-02
SHANG,100,800,6700.0,54000.0,2.69,2018-07-10
SHANG,0,100,0.0,6900.0,2.5,2018-07-18
SHANG,400,0,29600.0,0.0,1.14,2018-08-07
SHANG,800,0,59800.0,0.0,1.39,2018-08-08
SHANG,200,0,15700.0,0.0,0.71,2018-08-09
SHANG,600,0,47550.0,0.0,1.76,2018-08-14
SHANG,200,500,15675.0,38750.0,7.14,2018-08-22
SHANG,0,600,0.0,46200.0,23.08,2018-08-27
SHANG,0,400,0.0,30600.0,2.53,2018-08-28
SHANG,0,500,0.0,38250.0,31.25,2018-08-29
SHANG,0,200,0.0,15050.0,25.0,2018-09-12
SHANG,0,300,0.0,22800.0,3.0,2018-09-18
SHANG,0,100,0.0,7850.0,0.98,2018-09-28
SHANG,0,600,0.0,45875.0,21.43,2018-10-16
SHANG,0,300,0.0,22900.0,18.75,2018-10-18
SHANG,0,300,0.0,22800.0,7.5,2018-10-22
SHANG,0,100,0.0,7400.0,2.63,2018-10-31
SHANG,0,200,0.0,14750.0,12.5,2018-11-21
SHANG,0,200,0.0,14600.0,12.5,2018-11-23
SHANG,0,1000,0.0,77500.0,45.45,2019-01-29
SHANG,0,100,0.0,8500.0,0.34,2019-02-13
SHANG,0,100,0.0,8500.0,0.82,2019-02-18
SHANG,100,0,8475.0,0.0,3.12,2019-02-21
SHANG,0,10500,0.0,892500.0,21.6,2019-02-27
SHANG,200,20000,17000.0,1700000.0,39.3,2019-02-28
SHANG,0,200,0.0,17000.0,1.89,2019-04-05
