Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
SKR,50000,0,2545000.0,0.0,23.92,2017-01-04
SKR,0,108,0.0,5650.0,0.12,2017-01-05
SKR,13500,0,705400.0,0.0,7.53,2017-01-06
SKR,9100,0,474600.0,0.0,10.13,2017-01-09
SKR,13000,0,670250.0,0.0,9.85,2017-01-11
SKR,24000,0,1238750.0,0.0,8.6,2017-01-12
SKR,34000,2000,1745500.0,104000.0,23.25,2017-01-13
SKR,5000,0,257500.0,0.0,0.43,2017-01-17
SKR,3900,0,200125.0,0.0,7.71,2017-01-18
SKR,18000,0,915750.0,0.0,22.11,2017-01-19
SKR,9500,900,484375.0,45900.0,2.88,2017-01-20
SKR,4000,0,204500.0,0.0,2.29,2017-01-23
SKR,8000,0,407750.0,0.0,18.52,2017-01-25
SKR,4200,0,211050.0,0.0,6.46,2017-02-02
SKR,0,900,0.0,45225.0,1.31,2017-02-03
SKR,9000,0,450500.0,0.0,15.85,2017-02-06
SKR,5000,0,250000.0,0.0,6.64,2017-02-07
SKR,2000,0,100000.0,0.0,1.47,2017-02-08
SKR,2000,0,100000.0,0.0,3.33,2017-02-09
SKR,13000,0,654500.0,0.0,23.05,2017-02-14
SKR,13000,0,655500.0,0.0,10.23,2017-02-15
SKR,8000,0,400500.0,0.0,14.34,2017-02-16
SKR,6500,0,327400.0,0.0,17.11,2017-02-21
SKR,2000,0,102500.0,0.0,1.78,2017-03-02
SKR,13000,0,666250.0,0.0,10.96,2017-03-03
SKR,11500,5500,592250.0,287900.0,10.42,2017-03-06
SKR,0,34,0.0,1666.0,0.02,2017-03-09
SKR,16000,4000,820750.0,206000.0,38.01,2017-03-13
SKR,0,5000,0.0,253750.0,14.96,2017-03-15
SKR,0,5000,0.0,252500.0,2.17,2017-03-16
SKR,8506,3600,425306.0,180950.0,24.6,2017-03-17
SKR,0,7800,0.0,395225.0,0.38,2017-03-22
SKR,9000,1500,450750.0,75750.0,0.26,2017-03-23
SKR,0,8000,0.0,403200.0,0.2,2017-03-24
SKR,0,12000,0.0,605675.0,25.97,2017-03-27
SKR,17100,10000,845500.0,501850.0,24.9,2017-03-28
SKR,0,16500,0.0,828875.0,21.77,2017-03-29
SKR,600,0,29575.0,0.0,0.39,2017-03-30
SKR,0,4000,0.0,199000.0,20.41,2017-04-03
SKR,0,3000,0.0,149250.0,14.21,2017-04-04
SKR,6100,17300,298900.0,856425.0,21.04,2017-04-05
SKR,3000,10900,148125.0,537300.0,15.58,2017-04-07
SKR,6900,500,334650.0,24625.0,17.05,2017-04-10
SKR,0,7000,0.0,344325.0,32.71,2017-04-12
SKR,10500,9000,512625.0,443450.0,26.24,2017-04-17
SKR,0,10500,0.0,516500.0,41.7,2017-04-18
SKR,8100,16700,400325.0,823825.0,23.53,2017-04-19
SKR,2000,17500,99000.0,867500.0,16.09,2017-04-20
SKR,0,4500,0.0,224000.0,18.0,2017-04-21
SKR,0,100,0.0,4975.0,1.03,2017-04-24
SKR,0,3000,0.0,148500.0,6.42,2017-04-25
SKR,0,19500,0.0,960375.0,36.52,2017-04-26
SKR,700,48800,34475.0,2405725.0,35.03,2017-04-27
SKR,0,200,0.0,9900.0,0.43,2017-04-28
SKR,10000,0,493500.0,0.0,2.81,2017-05-02
SKR,0,2000,0.0,100000.0,2.34,2017-05-09
SKR,18700,0,920975.0,0.0,18.89,2017-05-11
