Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
SMIT,0,14100,0.0,59784.0,0.68,2017-01-05
SMIT,144100,15100,695254.0,72476.0,1.37,2017-01-06
SMIT,13600,3600,62560.0,15912.0,1.21,2017-01-09
SMIT,50000,0,228176.0,0.0,10.54,2017-01-10
SMIT,15600,0,69952.0,0.0,4.21,2017-01-11
SMIT,14400,9000,63360.0,39600.0,10.4,2017-01-13
SMIT,15000,1000,65840.0,4400.0,5.88,2017-01-16
SMIT,20000,0,86800.0,0.0,5.42,2017-01-17
SMIT,32000,0,138580.0,0.0,4.3,2017-01-18
SMIT,10000,0,42000.0,0.0,1.36,2017-01-19
SMIT,10000,0,41400.0,0.0,7.57,2017-01-20
SMIT,0,20000,0.0,85600.0,3.46,2017-01-26
SMIT,300,0,1278.0,0.0,0.71,2017-02-08
SMIT,5000,0,21200.0,0.0,4.3,2017-02-09
SMIT,91400,30000,406388.0,134200.0,2.91,2017-02-17
SMIT,52000,7000,229840.0,30940.0,5.63,2017-02-20
SMIT,7100,0,31372.0,0.0,1.64,2017-02-21
SMIT,0,60000,0.0,264000.0,13.19,2017-02-24
SMIT,10000,20000,44200.0,88000.0,8.7,2017-03-08
SMIT,0,25000,0.0,111700.0,1.53,2017-03-13
SMIT,0,48500,0.0,216820.0,3.0,2017-03-15
SMIT,10700,2200,47750.0,9900.0,2.24,2017-03-16
SMIT,5000,0,22200.0,0.0,2.86,2017-03-17
SMIT,10000,0,44400.0,0.0,9.82,2017-03-20
SMIT,25000,15000,109600.0,66400.0,10.64,2017-03-22
SMIT,8800,0,38544.0,0.0,2.48,2017-03-23
SMIT,6200,0,27156.0,0.0,1.6,2017-03-24
SMIT,20000,0,87800.0,0.0,6.5,2017-03-27
SMIT,0,20000,0.0,88000.0,4.61,2017-03-29
SMIT,10000,0,44000.0,0.0,9.33,2017-04-03
SMIT,10000,0,43800.0,0.0,2.53,2017-04-04
SMIT,77700,274800,377803.0,1302754.0,1.06,2017-04-05
SMIT,69600,65100,361820.0,334790.0,0.41,2017-04-07
SMIT,35200,71600,186040.0,381635.0,0.66,2017-04-10
SMIT,14900,74600,75970.0,384190.0,1.15,2017-04-11
SMIT,3100,14000,15400.0,70140.0,0.41,2017-04-12
SMIT,400,7000,1956.0,34440.0,0.24,2017-04-17
SMIT,30000,37000,156300.0,191309.0,0.43,2017-04-18
SMIT,4800,12000,24705.0,63600.0,0.08,2017-04-19
SMIT,169600,122500,881700.0,639530.0,1.04,2017-04-20
SMIT,110200,75200,559270.0,388560.0,1.76,2017-04-21
SMIT,3000,5000,15600.0,26000.0,0.08,2017-04-24
