Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
SMT,160000,1293000,1140400.0,9292400.0,5.06,2017-01-04
SMT,20300,164200,148060.0,1191105.0,1.14,2017-01-05
SMT,197100,1219000,1409535.0,8777450.0,13.75,2017-01-06
SMT,949400,1205900,7162890.0,9045955.0,3.64,2017-01-09
SMT,2390600,2416800,18755055.0,19027880.0,5.43,2017-01-10
SMT,182800,217000,1484000.0,1757900.0,1.62,2017-01-11
SMT,2038200,1438500,15985365.0,11413670.0,7.3,2017-01-12
SMT,287800,51300,2261110.0,407235.0,1.21,2017-01-13
SMT,256900,389400,2081020.0,3172515.0,1.55,2017-01-16
SMT,43701,1184900,366960.0,9918700.0,3.32,2017-01-17
SMT,381800,220400,3061065.0,1790990.0,1.67,2017-01-18
SMT,810200,121600,6506450.0,977640.0,3.54,2017-01-19
SMT,393600,246200,3198395.0,2001935.0,5.19,2017-01-20
SMT,222500,656800,1823250.0,5383450.0,7.36,2017-01-23
SMT,61800,99300,506805.0,816905.0,1.2,2017-01-24
SMT,29200,162900,240485.0,1328975.0,2.06,2017-01-25
SMT,653800,125600,5183660.0,987900.0,2.54,2017-01-26
SMT,179900,159000,1435255.0,1265675.0,3.51,2017-01-27
SMT,74200,32500,594375.0,260680.0,2.43,2017-01-30
SMT,350300,28500,2792810.0,227235.0,6.64,2017-01-31
SMT,664900,118500,5312665.0,945635.0,7.01,2017-02-01
SMT,590300,140200,4641540.0,1107910.0,8.5,2017-02-02
SMT,540500,135900,4255965.0,1075790.0,5.4,2017-02-03
SMT,2338000,1894100,17456600.0,14205220.0,7.49,2017-02-06
SMT,1714800,160600,12350290.0,1155910.0,5.86,2017-02-07
SMT,180800,175800,1317835.0,1281875.0,1.96,2017-02-08
SMT,250100,391400,1802695.0,2821975.0,5.12,2017-02-09
SMT,60600,451200,440250.0,3280720.0,6.96,2017-02-10
SMT,27700,355600,200550.0,2573975.0,7.64,2017-02-14
SMT,1055900,1389600,7397255.0,9791890.0,11.9,2017-02-15
SMT,3000,378300,21300.0,2696210.0,6.35,2017-02-16
SMT,80600,104100,571615.0,738655.0,3.16,2017-02-17
SMT,92300,99500,649850.0,697605.0,5.41,2017-02-20
SMT,21100,191300,147615.0,1337660.0,6.1,2017-02-21
SMT,16600,194000,116190.0,1341345.0,6.26,2017-02-22
SMT,21800,100600,152635.0,702000.0,3.57,2017-02-23
SMT,425100,324800,2842545.0,2161430.0,2.33,2017-02-24
SMT,87100,106800,579430.0,710710.0,1.96,2017-02-27
SMT,402400,83900,2773440.0,578060.0,2.95,2017-02-28
SMT,174000,190700,1211285.0,1325725.0,5.73,2017-03-01
SMT,123600,270400,849900.0,1889910.0,6.4,2017-03-02
SMT,179800,148100,1250920.0,1032310.0,4.64,2017-03-03
SMT,322300,181000,2216460.0,1248055.0,13.4,2017-03-06
SMT,85100,160500,587050.0,1106015.0,13.94,2017-03-07
SMT,152100,292000,1011465.0,1958390.0,5.3,2017-03-08
SMT,59400,89600,399265.0,603215.0,8.23,2017-03-09
SMT,383900,29400,2542520.0,197125.0,7.24,2017-03-10
SMT,192100,181800,1193710.0,1130550.0,2.55,2017-03-13
SMT,257100,38400,1638005.0,243055.0,4.49,2017-03-14
