Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
SNC,5300,0,78870.0,0.0,0.43,2017-01-04
SNC,6300,0,93870.0,0.0,1.05,2017-01-05
SNC,0,8300,0.0,123670.0,2.89,2017-01-06
SNC,3500,44400,52400.0,663880.0,6.86,2017-01-10
SNC,2500,177500,37400.0,2648240.0,15.87,2017-01-11
SNC,27100,0,407170.0,0.0,0.18,2017-01-12
SNC,4300,900,64930.0,13590.0,0.27,2017-01-13
SNC,35700,32600,555250.0,501260.0,0.66,2017-01-16
SNC,102800,1200,1600220.0,18600.0,2.56,2017-01-17
SNC,20000,76400,307420.0,1185850.0,1.07,2017-01-18
SNC,33600,17200,533000.0,277400.0,0.17,2017-01-19
SNC,58200,27500,934420.0,442000.0,0.59,2017-01-20
SNC,310400,26100,5080020.0,427540.0,1.63,2017-01-23
SNC,93100,232100,1515850.0,3772320.0,2.4,2017-01-24
SNC,42700,53800,685120.0,863110.0,1.54,2017-01-25
SNC,123000,9900,2013880.0,162010.0,2.01,2017-01-26
SNC,40100,600,653290.0,9780.0,1.25,2017-01-27
SNC,120900,31000,1955890.0,499020.0,4.71,2017-01-30
SNC,156900,22900,2480050.0,361520.0,2.8,2017-01-31
SNC,236600,52200,3804580.0,841900.0,2.2,2017-02-01
SNC,201100,49200,3250150.0,792120.0,6.82,2017-02-02
SNC,40600,48000,654160.0,775710.0,3.62,2017-02-03
SNC,40200,89700,648190.0,1446110.0,5.1,2017-02-06
SNC,740600,217800,12286060.0,3587650.0,2.53,2017-02-07
SNC,656200,196700,10823280.0,3233730.0,3.08,2017-02-08
SNC,1412600,1099300,23023350.0,17962090.0,25.0,2017-02-09
SNC,1749200,1183800,27769270.0,18562550.0,15.21,2017-02-10
SNC,6500,182500,103200.0,2890870.0,2.5,2017-02-14
SNC,24800,125300,391840.0,1994600.0,1.42,2017-02-15
SNC,49700,40300,790310.0,640230.0,1.12,2017-02-16
SNC,5200,125200,80600.0,1969600.0,1.95,2017-02-17
SNC,20000,135200,319990.0,2162240.0,3.4,2017-02-20
SNC,421500,77900,6669550.0,1230730.0,14.46,2017-02-21
SNC,318300,61600,5053750.0,976620.0,16.15,2017-02-22
SNC,165300,39700,2609580.0,626170.0,6.67,2017-02-23
SNC,4500,128200,70200.0,2010010.0,5.38,2017-02-24
SNC,0,132500,0.0,2093340.0,3.8,2017-02-27
SNC,1300,218400,20540.0,3425400.0,10.0,2017-02-28
SNC,0,32700,0.0,513390.0,5.52,2017-03-01
SNC,0,28300,0.0,447110.0,3.57,2017-03-02
SNC,33000,12700,521400.0,200610.0,3.75,2017-03-03
SNC,15400,185600,238460.0,2887420.0,6.65,2017-03-06
SNC,105200,16300,1633970.0,253940.0,3.89,2017-03-07
SNC,85500,32300,1314260.0,494410.0,2.27,2017-03-08
SNC,10800,164500,167140.0,2581160.0,2.39,2017-03-09
SNC,1000,277600,15900.0,4395030.0,4.76,2017-03-10
SNC,135600,13000,2173980.0,208510.0,2.7,2017-03-13
SNC,105100,205800,1728210.0,3310150.0,2.46,2017-03-14
SNC,202200,25000,3358810.0,416590.0,1.51,2017-03-15
SNC,86500,263100,1436750.0,4378820.0,5.01,2017-03-16
SNC,184300,222100,3066900.0,3703990.0,4.95,2017-03-17
SNC,1866400,1483300,32084490.0,25456800.0,7.8,2017-03-20
SNC,93700,559100,1626680.0,9706960.0,3.97,2017-03-21
SNC,109400,307000,1903560.0,5326490.0,4.07,2017-03-22
SNC,5199200,5831400,90593140.0,101538700.0,33.53,2017-03-23
SNC,882100,1651100,14890120.0,27939160.0,16.9,2017-03-24
SNC,26300,308700,441070.0,5160170.0,9.98,2017-03-27
SNC,117400,217000,1951910.0,3602960.0,8.23,2017-03-28
SNC,32800,105400,545740.0,1772280.0,2.93,2017-03-29
SNC,100000,0,1680000.0,0.0,6.81,2017-03-31
SNC,65400,22300,1082640.0,367920.0,1.22,2017-04-03
SNC,21000,38000,344530.0,624630.0,1.74,2017-04-04
SNC,80000,900,1312000.0,14780.0,3.62,2017-04-05
SNC,143400,90800,2314010.0,1470770.0,4.58,2017-04-07
SNC,52200,800,841380.0,12880.0,2.39,2017-04-10
SNC,11800,10300,191620.0,166520.0,2.42,2017-04-11
SNC,2300,6400,37490.0,104150.0,3.86,2017-04-12
SNC,14900,62900,239890.0,1015880.0,3.39,2017-04-17
SNC,12300,20900,199330.0,338300.0,2.69,2017-04-18
SNC,27200,94900,435980.0,1521340.0,6.97,2017-04-19
SNC,48700,17600,776730.0,280210.0,3.12,2017-04-20
SNC,50500,25200,803670.0,401860.0,6.44,2017-04-21
SNC,59700,97200,933730.0,1521100.0,4.2,2017-04-24
SNC,134300,27600,2093680.0,428860.0,6.68,2017-04-25
SNC,53200,253800,832230.0,3971420.0,6.23,2017-04-26
SNC,11300,138400,181410.0,2197210.0,5.77,2017-04-27
SNC,28400,60600,448720.0,956600.0,7.72,2017-04-28
SNC,5800,54400,92440.0,864960.0,4.14,2017-05-02
SNC,17300,14300,275070.0,226980.0,4.31,2017-05-03
SNC,2000,53000,31900.0,845370.0,6.3,2017-05-04
SNC,2500,26800,39800.0,426670.0,2.75,2017-05-05
SNC,17400,30100,273880.0,474900.0,4.03,2017-05-08
SNC,192100,67400,2889640.0,1012130.0,1.86,2017-05-09
SNC,145200,21400,2129980.0,315230.0,2.46,2017-05-11
SNC,22900,173800,331740.0,2510200.0,6.64,2017-05-12
SNC,7200,18200,103540.0,264820.0,0.86,2017-05-15
SNC,97600,3200,1423450.0,46610.0,4.28,2017-05-16
SNC,41000,46200,598600.0,674600.0,7.88,2017-05-17
SNC,3000,30300,43800.0,441710.0,5.07,2017-05-18
SNC,4000,18600,58410.0,270850.0,2.92,2017-05-19
SNC,6300,45800,92980.0,676000.0,4.07,2017-05-22
SNC,2100,78600,30910.0,1158580.0,4.28,2017-05-23
SNC,5100,45200,74970.0,661830.0,4.65,2017-05-24
SNC,1000,28500,14650.0,416100.0,1.53,2017-05-25
SNC,8500,64300,124370.0,942600.0,4.36,2017-05-26
SNC,12300,125000,183130.0,1856340.0,2.61,2017-05-29
SNC,1100,89500,16370.0,1329660.0,6.44,2017-05-30
SNC,7400,81900,108290.0,1204100.0,2.34,2017-05-31
SNC,1400,30700,20300.0,445360.0,1.54,2017-06-01
SNC,13200,4400,194310.0,65120.0,0.51,2017-06-02
SNC,6100,6100,89380.0,88470.0,1.36,2017-06-05
SNC,0,1700,0.0,24820.0,0.23,2017-06-06
SNC,0,60700,0.0,886170.0,8.62,2017-06-07
SNC,18400,21900,268440.0,319740.0,4.85,2017-06-08
SNC,1700,30000,24900.0,443790.0,1.14,2017-06-09
SNC,0,16400,0.0,241080.0,2.59,2017-06-12
SNC,4300,24700,63210.0,363090.0,2.43,2017-06-13
SNC,12200,18600,182960.0,278880.0,0.64,2017-06-14
SNC,500,11000,7600.0,165530.0,0.2,2017-06-15
SNC,47000,73100,723120.0,1129130.0,0.48,2017-06-16
SNC,0,564000,0.0,8746210.0,8.34,2017-06-19
SNC,9000,15200,139500.0,235070.0,0.56,2017-06-20
SNC,1700,10200,26060.0,157240.0,0.38,2017-06-21
SNC,10600,22000,163240.0,339400.0,0.81,2017-06-22
SNC,25600,41800,386320.0,635200.0,0.95,2017-06-23
SNC,14800,12900,219780.0,192210.0,0.67,2017-06-26
SNC,6000,1400,88500.0,20720.0,0.57,2017-06-27
SNC,16700,60300,247160.0,892440.0,6.81,2017-06-28
SNC,7900,76600,115590.0,1123600.0,2.87,2017-06-29
