Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
SPACK,50300,25400,142432.0,73364.0,0.41,2017-01-04
SPACK,10400,17000,29552.0,49300.0,0.54,2017-01-05
SPACK,5800,65800,16356.0,185680.0,1.07,2017-01-06
SPACK,0,26400,0.0,72964.0,0.63,2017-01-09
SPACK,0,44700,0.0,126054.0,0.45,2017-01-10
SPACK,21000,0,54960.0,0.0,0.48,2017-01-12
SPACK,2000,2000,5040.0,5040.0,0.14,2017-01-13
SPACK,14700,0,37656.0,0.0,0.8,2017-01-16
SPACK,41000,0,106234.0,0.0,3.35,2017-01-17
SPACK,18500,300,47098.0,750.0,0.38,2017-01-18
SPACK,0,7300,0.0,18048.0,0.56,2017-01-19
SPACK,1000,7500,2420.0,18184.0,1.02,2017-01-20
SPACK,3500,0,8610.0,0.0,0.15,2017-01-23
SPACK,300,5400,758.0,13528.0,0.49,2017-01-24
SPACK,41600,43400,112704.0,115364.0,0.39,2017-01-25
SPACK,14000,44000,36200.0,115374.0,2.98,2017-01-26
SPACK,11000,1700,28360.0,4382.0,2.06,2017-01-27
SPACK,0,100,0.0,256.0,0.02,2017-01-30
SPACK,15000,11200,39500.0,30376.0,0.55,2017-01-31
SPACK,0,2100,0.0,5456.0,0.21,2017-02-01
SPACK,0,1100,0.0,2830.0,0.13,2017-02-02
SPACK,0,1400,0.0,3554.0,0.12,2017-02-03
SPACK,0,500,0.0,1270.0,0.08,2017-02-06
SPACK,4200,6600,10332.0,16236.0,1.3,2017-02-07
SPACK,0,1100,0.0,2750.0,0.97,2017-02-08
SPACK,0,200,0.0,492.0,0.13,2017-02-09
SPACK,0,800,0.0,1968.0,0.22,2017-02-14
SPACK,0,800,0.0,1952.0,0.12,2017-02-15
SPACK,200,100,492.0,244.0,0.07,2017-02-21
SPACK,0,3100,0.0,7442.0,0.72,2017-02-23
SPACK,100,0,240.0,0.0,0.08,2017-02-24
SPACK,100,0,236.0,0.0,0.01,2017-02-28
SPACK,8000,0,17280.0,0.0,1.05,2017-03-15
SPACK,1000,0,2240.0,0.0,0.32,2017-03-16
SPACK,0,16200,0.0,39204.0,14.78,2017-03-24
SPACK,0,200,0.0,460.0,0.07,2017-04-05
SPACK,9800,0,22344.0,0.0,10.96,2017-04-10
SPACK,78700,10000,209776.0,26600.0,0.9,2017-04-12
SPACK,94500,144600,269194.0,399866.0,0.35,2017-04-17
SPACK,232700,185500,722194.0,586140.0,0.63,2017-04-18
SPACK,449600,251200,1456416.0,799856.0,1.15,2017-04-19
SPACK,94400,84400,287308.0,267964.0,1.28,2017-04-20
SPACK,28500,39100,88316.0,120530.0,0.28,2017-04-21
SPACK,41100,30200,126962.0,91216.0,0.7,2017-04-24
SPACK,0,342900,0.0,962088.0,4.01,2017-04-25
SPACK,53600,83600,155488.0,248816.0,0.9,2017-04-26
SPACK,12000,15400,34320.0,43744.0,0.44,2017-04-28
SPACK,5000,50000,14300.0,139456.0,1.57,2017-05-02
SPACK,11000,12000,29040.0,32640.0,0.49,2017-05-03
SPACK,27400,28000,78636.0,80040.0,0.28,2017-05-04
SPACK,2000,14400,5800.0,41760.0,0.29,2017-05-05
SPACK,60300,40700,180624.0,119680.0,0.23,2017-05-09
SPACK,15000,49600,44700.0,149396.0,0.32,2017-05-11
SPACK,10000,10000,27000.0,27600.0,0.51,2017-05-12
SPACK,10000,0,24200.0,0.0,0.21,2017-05-15
SPACK,20600,0,49438.0,0.0,0.17,2017-05-17
SPACK,5300,0,12614.0,0.0,0.14,2017-05-19
SPACK,114700,55300,283688.0,137144.0,1.26,2017-05-22
SPACK,98100,64200,246096.0,161874.0,2.25,2017-05-23
SPACK,200,0,496.0,0.0,0.01,2017-05-24
SPACK,50800,500,125978.0,1230.0,3.35,2017-05-25
SPACK,231100,213300,631810.0,582386.0,0.95,2017-05-26
SPACK,22500,166300,61166.0,448832.0,1.37,2017-05-29
SPACK,25200,15400,67492.0,41888.0,1.06,2017-05-30
SPACK,34400,10000,89476.0,26800.0,0.93,2017-05-31
SPACK,6700,8700,17216.0,22496.0,0.57,2017-06-01
SPACK,6400,52200,16896.0,140936.0,0.76,2017-06-02
SPACK,20000,9300,52000.0,24656.0,1.8,2017-06-05
SPACK,0,500,0.0,1310.0,0.03,2017-06-06
SPACK,40000,21900,105600.0,59036.0,3.87,2017-06-07
SPACK,0,1000,0.0,2620.0,0.09,2017-06-08
SPACK,4900,0,12082.0,0.0,0.25,2017-06-09
SPACK,4900,3200,12118.0,7990.0,1.26,2017-06-12
SPACK,700,100,1752.0,252.0,0.12,2017-06-13
SPACK,1800,0,4536.0,0.0,0.37,2017-06-14
SPACK,0,12400,0.0,31022.0,7.13,2017-06-15
SPACK,0,7600,0.0,19780.0,0.17,2017-06-16
SPACK,300,0,768.0,0.0,0.02,2017-06-19
SPACK,1300,9800,3378.0,25284.0,1.98,2017-06-20
SPACK,300,0,762.0,0.0,0.03,2017-06-22
SPACK,100,1700,252.0,4448.0,0.11,2017-06-23
SPACK,7200,0,17962.0,0.0,0.75,2017-06-26
SPACK,0,57500,0.0,143746.0,2.5,2017-06-29
SPACK,500,2000,1220.0,4920.0,0.52,2017-07-03
SPACK,25200,10000,64664.0,27200.0,0.25,2017-07-04
SPACK,0,13200,0.0,33528.0,0.27,2017-07-05
SPACK,2000,0,5000.0,0.0,0.13,2017-07-07
SPACK,0,2000,0.0,4880.0,0.51,2017-07-11
SPACK,0,100,0.0,248.0,0.05,2017-07-12
SPACK,2800,0,6944.0,0.0,1.79,2017-07-14
SPACK,1500,9500,3668.0,23380.0,1.76,2017-07-17
SPACK,0,1900,0.0,4674.0,1.53,2017-07-18
SPACK,0,600,0.0,1466.0,0.18,2017-07-19
SPACK,0,300,0.0,738.0,0.35,2017-07-20
SPACK,500,0,1214.0,0.0,0.06,2017-07-21
SPACK,0,900,0.0,2166.0,1.47,2017-07-24
SPACK,0,100,0.0,242.0,0.01,2017-07-25
SPACK,0,1500,0.0,3544.0,0.24,2017-07-26
SPACK,1000,0,2290.0,0.0,0.23,2017-07-27
SPACK,78800,101100,206348.0,275352.0,0.42,2017-08-07
SPACK,121000,58200,302220.0,149448.0,1.73,2017-08-08
SPACK,24400,127900,59848.0,320138.0,2.51,2017-08-09
SPACK,4000,5500,10040.0,13750.0,0.5,2017-08-10
SPACK,2000,0,4960.0,0.0,0.12,2017-08-11
SPACK,7000,5000,18020.0,12100.0,0.32,2017-08-16
SPACK,30100,38300,72242.0,92656.0,5.76,2017-08-17
SPACK,13000,0,31200.0,0.0,0.79,2017-08-18
SPACK,1000,0,2420.0,0.0,0.19,2017-08-21
SPACK,5000,13000,11900.0,31460.0,5.03,2017-08-23
SPACK,94200,42000,230424.0,106240.0,0.54,2017-08-24
SPACK,110800,140000,266228.0,338290.0,3.19,2017-08-25
SPACK,68600,51500,166012.0,124624.0,5.82,2017-08-28
SPACK,0,11400,0.0,27588.0,0.22,2017-08-29
SPACK,62100,62100,150364.0,150344.0,7.96,2017-08-30
SPACK,126000,86000,302404.0,206516.0,12.9,2017-08-31
SPACK,48700,48700,118828.0,118828.0,3.31,2017-09-01
