Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
SPALI,344600,359400,8683475.0,9006950.0,11.07,2017-01-04
SPALI,1105300,142100,27768678.75,3555525.0,15.49,2017-01-05
SPALI,96100,1042000,2405065.0,26045200.0,15.89,2017-01-06
SPALI,581800,241900,14460020.0,5999250.0,11.11,2017-01-09
SPALI,1115900,415900,28211350.0,10541365.0,6.67,2017-01-10
SPALI,876600,357200,22958175.0,9334275.0,7.24,2017-01-11
SPALI,545600,98207,14052450.0,2532307.0,6.81,2017-01-12
SPALI,123100,921000,3152300.0,23601800.0,14.0,2017-01-13
SPALI,232700,1352706,5830690.0,33979791.5,18.88,2017-01-16
SPALI,225400,4509375,5755075.0,114926800.0,29.15,2017-01-17
SPALI,1025100,2770300,26014425.0,70995625.0,18.65,2017-01-18
SPALI,529700,1227620,13411850.0,31034375.0,7.79,2017-01-19
SPALI,775700,178100,19731100.0,4502600.0,9.73,2017-01-20
SPALI,483500,270600,12372675.0,6918275.0,8.88,2017-01-23
SPALI,1213300,1251700,31267575.0,32100875.0,28.39,2017-01-24
SPALI,516600,711000,12968175.0,17956140.0,5.72,2017-01-25
SPALI,710600,343600,17946075.0,8658475.0,12.8,2017-01-26
SPALI,327000,662400,7988160.0,16141960.0,5.62,2017-01-27
SPALI,55300,320000,1341130.0,7760990.0,2.53,2017-01-30
SPALI,152300,517800,3690760.0,12514000.0,3.47,2017-01-31
SPALI,1515300,672500,37546040.0,16520440.0,8.6,2017-02-01
SPALI,374100,266500,9244270.0,6591640.0,8.19,2017-02-02
SPALI,443700,160800,10930510.0,3961550.0,9.32,2017-02-03
SPALI,1731000,888500,43207605.0,22143810.0,20.25,2017-02-06
SPALI,122200,197700,3054050.0,4924850.0,8.22,2017-02-07
SPALI,135000,192000,3373480.0,4786880.0,5.71,2017-02-08
SPALI,165500,770900,4103830.0,19136900.0,13.67,2017-02-09
SPALI,937900,1236200,23439535.0,30855990.0,13.89,2017-02-10
SPALI,282900,830100,7044025.0,20513850.0,10.38,2017-02-14
SPALI,183200,1177600,4491830.0,28888490.0,10.53,2017-02-15
SPALI,293900,470500,7253500.0,11598460.0,17.5,2017-02-16
SPALI,158000,176700,3946510.0,4398330.0,6.81,2017-02-17
SPALI,29800,3228200,740100.0,80062740.0,30.81,2017-02-20
SPALI,124400,174500,3051120.0,4297280.0,6.31,2017-02-21
SPALI,1095400,2640737,26651650.0,64175795.4,22.54,2017-02-22
SPALI,2662900,481016,65843100.0,11852578.5,16.08,2017-02-23
SPALI,578500,1810493,14178200.0,44367672.9,18.34,2017-02-24
SPALI,601900,1194700,14809020.0,29407180.0,22.51,2017-02-27
SPALI,1199900,1852500,30057860.0,46339900.0,34.43,2017-02-28
SPALI,2377500,2188900,60019835.0,55274640.0,44.93,2017-03-01
SPALI,968000,513500,24534725.0,13029075.0,22.53,2017-03-02
SPALI,551300,193772,13655600.0,4793324.9,12.05,2017-03-03
SPALI,357300,187793,8913030.0,4675353.1,14.8,2017-03-06
SPALI,618900,84500,15416350.0,2100430.0,35.61,2017-03-07
SPALI,433200,244400,10732700.0,6050360.0,15.94,2017-03-08
SPALI,251800,83300,6243170.0,2070540.0,5.9,2017-03-09
SPALI,185300,70600,4592110.0,1750340.0,16.74,2017-03-10
SPALI,207500,248300,5118150.0,6141080.0,30.28,2017-03-13
SPALI,282500,630100,7046620.0,15755845.0,10.28,2017-03-14
SPALI,1004500,644900,25587550.0,16431000.0,13.66,2017-03-15
SPALI,3859100,3983400,100516225.0,104387175.0,17.73,2017-03-16
SPALI,1267733,1762100,33277574.25,45988375.0,19.74,2017-03-17
SPALI,612500,1081898,15968950.0,28084563.0,26.81,2017-03-20
SPALI,680500,3231557,17408625.0,82341164.25,32.08,2017-03-21
SPALI,667400,1264569,16942925.0,32048625.0,27.14,2017-03-22
SPALI,338000,781600,8547375.0,19629825.0,19.96,2017-03-23
SPALI,292900,467500,7402975.0,11774300.0,9.09,2017-03-24
SPALI,220300,579576,5522525.0,14489775.0,9.53,2017-03-27
SPALI,732900,1375086,18342045.0,34250258.0,18.38,2017-03-28
SPALI,985900,1320560,24969225.0,33367975.0,18.34,2017-03-29
SPALI,523500,781902,13384900.0,19881424.2,24.8,2017-03-30
SPALI,3755817,4627874,94813425.5,116605758.5,57.99,2017-03-31
SPALI,907800,166600,23217175.0,4212575.0,17.85,2017-04-03
SPALI,396200,146700,10274475.0,3777575.0,20.95,2017-04-04
SPALI,685700,777000,17811925.0,20120725.0,15.38,2017-04-05
SPALI,694800,559174,17878050.0,14329243.5,34.71,2017-04-07
SPALI,445000,135600,11545975.0,3499500.0,9.74,2017-04-10
SPALI,20400,400661,530400.0,10390820.75,8.78,2017-04-11
SPALI,954400,2322363,23792475.0,58055955.75,13.31,2017-04-12
SPALI,667700,1099000,16795160.0,27691530.0,15.49,2017-04-17
SPALI,765300,236000,19286500.0,5932350.0,22.87,2017-04-18
SPALI,2695200,305700,68792175.0,7775150.0,21.94,2017-04-19
SPALI,585500,553366,14497725.0,13667655.4,7.18,2017-04-20
SPALI,971300,1571292,23822970.0,38581776.4,19.92,2017-04-21
SPALI,879400,937190,21800760.0,23213784.2,19.16,2017-04-24
SPALI,480800,540100,11818940.0,13271070.0,14.99,2017-04-25
SPALI,1035600,1209200,25572760.0,29790070.0,32.61,2017-04-26
SPALI,97500,276652,2409150.0,6832854.4,9.57,2017-04-27
SPALI,629200,1170015,15537610.0,28875519.1,30.09,2017-04-28
SPALI,762700,1235300,18898670.0,30509870.0,41.43,2017-05-02
SPALI,116500,291600,2919040.0,7298355.0,4.99,2017-05-03
SPALI,57100,563340,1429100.0,14089535.0,11.84,2017-05-04
SPALI,94000,92200,2371175.0,2305000.0,9.33,2017-05-05
SPALI,774800,313524,19413975.0,7837569.0,15.23,2017-05-08
SPALI,195400,557591,4838820.0,13814950.7,22.08,2017-05-09
SPALI,405900,4717094,9922730.0,114543002.4,17.2,2017-05-11
SPALI,31100,1046700,764020.0,25664400.0,14.14,2017-05-12
SPALI,38100,671173,930640.0,16431720.5,14.59,2017-05-15
SPALI,360824,565000,8914682.8,13982350.0,16.36,2017-05-16
SPALI,212000,954645,5253200.0,23644305.3,14.45,2017-05-17
SPALI,86800,1049499,2152500.0,26042715.3,19.74,2017-05-18
SPALI,67900,853800,1697940.0,21312540.0,22.57,2017-05-19
SPALI,1271500,585846,32518525.0,14931036.5,17.32,2017-05-22
SPALI,481800,862800,12336875.0,21999150.0,36.25,2017-05-23
SPALI,616500,322639,15818025.0,8260444.5,23.4,2017-05-24
SPALI,551100,321400,14111375.0,8150150.0,23.67,2017-05-25
SPALI,606100,419500,15477850.0,10703125.0,39.48,2017-05-26
SPALI,279700,261620,7123300.0,6638623.0,40.26,2017-05-29
SPALI,641300,894900,16340650.0,22705600.0,22.54,2017-05-30
SPALI,839321,451400,21708152.25,11644400.0,32.99,2017-05-31
SPALI,1400,281893,35925.0,7182745.0,14.85,2017-06-01
SPALI,1212000,251800,31079650.0,6406350.0,29.15,2017-06-02
SPALI,613300,785500,15815175.0,20225650.0,34.93,2017-06-05
SPALI,613700,84713,15793100.0,2171141.25,23.21,2017-06-06
SPALI,1025400,50600,26382025.0,1300050.0,26.08,2017-06-07
SPALI,770900,346100,20553050.0,9201450.0,6.29,2017-06-08
SPALI,1374700,88500,37061400.0,2372875.0,13.63,2017-06-09
SPALI,81400,145800,2214900.0,3972450.0,2.44,2017-06-12
SPALI,796300,460514,21660750.0,12477478.0,12.17,2017-06-13
SPALI,27200,196300,731975.0,5249425.0,5.95,2017-06-14
SPALI,36000,45300,967150.0,1213350.0,16.92,2017-06-15
SPALI,270100,480500,7256625.0,12900175.0,13.02,2017-06-16
SPALI,26000,107939,690400.0,2862229.5,2.26,2017-06-19
SPALI,552100,594232,14537525.0,15671499.0,8.3,2017-06-20
SPALI,749000,593800,19512975.0,15508475.0,20.19,2017-06-21
SPALI,32300,15000,855950.0,397625.0,4.37,2017-06-22
SPALI,5500,47300,147775.0,1279100.0,1.44,2017-06-23
SPALI,346300,177900,9283225.0,4778800.0,22.93,2017-06-26
SPALI,164900,154500,4434500.0,4160850.0,11.82,2017-06-27
SPALI,704000,340300,18764000.0,9076850.0,13.38,2017-06-28
SPALI,357500,218300,9550650.0,5819900.0,14.05,2017-06-29
SPALI,1064500,706000,27722225.0,18379950.0,21.84,2017-06-30
SPALI,741300,557500,19751000.0,14829775.0,13.65,2017-07-03
SPALI,744900,353300,19462200.0,9202400.0,10.01,2017-07-04
SPALI,354100,895500,9241550.0,23152925.0,13.18,2017-07-05
SPALI,135200,265500,3547400.0,6926775.0,6.25,2017-07-06
SPALI,47900,427400,1257325.0,11174775.0,15.18,2017-07-07
SPALI,29600,204000,784400.0,5378925.0,3.57,2017-07-11
SPALI,3174500,13367500,76630530.0,322180570.0,14.57,2017-07-12
SPALI,3002510,2060300,73848745.0,50537720.0,19.39,2017-07-13
SPALI,223500,723900,5497290.0,17746170.0,6.75,2017-07-14
SPALI,529700,1166000,13007280.0,28585360.0,31.37,2017-07-17
SPALI,137000,403100,3341050.0,9837320.0,7.48,2017-07-18
SPALI,301800,162800,7313380.0,3946570.0,6.61,2017-07-19
SPALI,871100,2220800,20866370.0,53367250.0,16.71,2017-07-20
SPALI,1678900,6410009,39955930.0,152491226.0,35.3,2017-07-21
SPALI,2483400,712500,59702730.0,17070570.0,46.5,2017-07-24
SPALI,48100,1372400,1146230.0,32612760.0,16.09,2017-07-25
SPALI,128800,527600,3071130.0,12598220.0,9.74,2017-07-26
SPALI,76600,877800,1824640.0,20871970.0,11.03,2017-07-27
SPALI,282300,469700,6716400.0,11147280.0,18.99,2017-07-31
SPALI,186200,765900,4409230.0,18129900.0,10.77,2017-08-01
SPALI,88800,827800,2103190.0,19643170.0,9.84,2017-08-02
SPALI,212400,814600,4997220.0,19176870.0,5.92,2017-08-03
SPALI,154900,256700,3621800.0,5996540.0,7.45,2017-08-04
SPALI,795400,57000,18563630.0,1332620.0,4.61,2017-08-07
SPALI,413000,517600,9600460.0,12035610.0,6.37,2017-08-08
SPALI,1063900,114300,25178700.0,2707850.0,7.05,2017-08-09
SPALI,635600,279800,15061040.0,6632980.0,8.85,2017-08-10
SPALI,1737612,710000,40936812.8,16750150.0,24.44,2017-08-11
SPALI,1882100,472600,45002060.0,11281830.0,13.5,2017-08-15
SPALI,445800,235700,10679040.0,5635850.0,14.98,2017-08-16
SPALI,384700,394300,9156440.0,9383650.0,12.5,2017-08-17
SPALI,1321700,179800,31432010.0,4275950.0,17.48,2017-08-18
SPALI,182200,63000,4321770.0,1493240.0,8.84,2017-08-21
SPALI,161400,177300,3842040.0,4219480.0,11.44,2017-08-22
SPALI,272100,352600,6470400.0,8358540.0,9.13,2017-08-23
SPALI,427100,86300,10161100.0,2048520.0,3.9,2017-08-24
SPALI,462700,574800,10972460.0,13624890.0,6.75,2017-08-25
SPALI,539000,313500,12862580.0,7481470.0,12.33,2017-08-28
SPALI,2403200,1013500,58224290.0,24519380.0,13.63,2017-08-29
SPALI,675900,217100,16579970.0,5319550.0,7.5,2017-08-30
SPALI,1397945,805888,34597495.0,20136424.6,10.9,2017-08-31
SPALI,793900,3256000,19733210.0,80694135.0,19.57,2017-09-01
SPALI,30500,209566,761020.0,5222773.6,3.59,2017-09-04
SPALI,173700,1474600,4433390.0,37762355.0,4.26,2017-09-05
SPALI,19100,1369766,491825.0,35231241.5,14.8,2017-09-06
SPALI,1766600,661600,45092200.0,16961975.0,8.49,2017-09-07
SPALI,2681800,559993,68419775.0,14395265.7,12.68,2017-09-08
SPALI,305600,1621400,7894725.0,41772700.0,6.35,2017-09-11
SPALI,287300,2731382,7439500.0,70880370.5,8.61,2017-09-12
SPALI,820700,948100,21306750.0,24575900.0,8.09,2017-09-13
SPALI,708300,980990,18517600.0,25713370.0,6.42,2017-09-14
SPALI,1489385,1798700,39372187.5,47581525.0,8.13,2017-09-15
SPALI,1489300,3329500,34161140.0,76507750.0,5.17,2017-09-18
SPALI,2224800,3174000,51419790.0,73241380.0,8.46,2017-09-19
SPALI,3460000,465900,80570650.0,10849860.0,8.68,2017-09-20
SPALI,616500,962700,14255050.0,22231170.0,8.63,2017-09-21
SPALI,187810,239600,4334481.0,5531180.0,4.33,2017-09-22
SPALI,73300,688489,1699470.0,15958058.5,4.28,2017-09-25
SPALI,965500,1200800,22614790.0,27976890.0,6.84,2017-09-26
SPALI,168200,176500,3918480.0,4095130.0,1.74,2017-09-27
SPALI,254200,302100,5869690.0,6976600.0,2.81,2017-09-28
SPALI,1333600,893600,30813070.0,20640480.0,14.77,2017-09-29
SPALI,2731790,1584400,64394416.0,37285240.0,7.13,2017-10-02
SPALI,5569020,4070310,134618503.0,97582984.0,16.65,2017-10-03
SPALI,508990,715900,12409462.0,17467660.0,4.74,2017-10-04
SPALI,201600,227300,4931220.0,5558350.0,6.13,2017-10-05
SPALI,2307100,1849122,56962990.0,45647959.0,22.31,2017-10-06
SPALI,476205,431200,11556792.0,10494270.0,7.21,2017-10-09
SPALI,1056000,253900,25746730.0,6177250.0,12.65,2017-10-10
SPALI,5745422,750700,140529265.5,18337210.0,20.69,2017-10-11
SPALI,1188500,1130100,28998910.0,27516340.0,17.63,2017-10-12
SPALI,2575800,1950300,62373050.0,47194330.0,20.0,2017-10-16
SPALI,1146900,1222300,27989440.0,29816520.0,22.5,2017-10-17
SPALI,1556000,1834509,37327370.0,44004407.8,12.96,2017-10-18
SPALI,978500,1105660,23296320.0,26329214.0,15.39,2017-10-19
SPALI,6445009,1781700,154980931.4,42826770.0,43.18,2017-10-20
SPALI,2160100,790000,52386340.0,19136010.0,23.93,2017-10-24
SPALI,1158700,1417300,28308590.0,34711140.0,21.29,2017-10-25
SPALI,2192400,1347200,53554260.0,32978050.0,22.79,2017-10-27
SPALI,1097635,2048000,26334706.4,49036120.0,21.82,2017-10-30
SPALI,6582705,3605700,160809448.5,87450450.0,22.37,2017-10-31
SPALI,3883600,2530910,97267466.64,63432735.64,9.91,2017-11-01
SPALI,410300,490172,10379325.0,12420786.0,5.32,2017-11-02
SPALI,844900,1140800,21465725.0,28987550.0,12.56,2017-11-03
SPALI,1037600,605800,26778525.0,15606475.0,9.41,2017-11-06
SPALI,674800,419900,17074425.0,10700975.0,6.33,2017-11-07
SPALI,4094210,634600,101144916.0,15611450.0,6.64,2017-11-08
SPALI,1018662,253200,24823096.6,6167150.0,7.81,2017-11-09
SPALI,2468300,621127,59460780.0,14945310.7,16.43,2017-11-10
SPALI,85000,614800,2048340.0,14807470.0,6.31,2017-11-13
SPALI,646200,330200,15769100.0,8069430.0,3.63,2017-11-14
SPALI,364300,701600,8891450.0,17102240.0,7.29,2017-11-15
SPALI,269300,989900,6546700.0,24016270.0,7.73,2017-11-16
SPALI,189700,1356610,4703520.0,33675179.0,8.15,2017-11-17
SPALI,380500,512800,9398060.0,12709220.0,5.35,2017-11-20
SPALI,675428,768473,16416668.6,18666661.2,7.28,2017-11-21
SPALI,881978,612100,21539075.5,14916480.0,6.12,2017-11-22
SPALI,257800,158900,6255650.0,3859080.0,3.56,2017-11-23
SPALI,687300,354200,16474670.0,8488920.0,6.63,2017-11-24
SPALI,1135205,404151,26802027.5,9617238.5,5.98,2017-11-27
SPALI,676400,280849,15985350.0,6671026.4,6.34,2017-11-28
SPALI,463700,160600,11036370.0,3832450.0,6.42,2017-11-29
SPALI,457800,496600,10854080.0,11770470.0,6.98,2017-11-30
SPALI,598300,419500,14161400.0,9938260.0,6.43,2017-12-01
SPALI,2210600,1867900,51630140.0,43748450.0,25.31,2017-12-04
SPALI,2724200,1168100,64696230.0,27730030.0,14.86,2017-12-06
SPALI,572300,316500,13436120.0,7436170.0,5.53,2017-12-07
SPALI,801800,81507,18700910.0,1901135.2,6.29,2017-12-08
SPALI,549650,684613,12896199.4,16020820.6,11.75,2017-12-12
SPALI,562800,190000,13124290.0,4440280.0,13.87,2017-12-13
SPALI,916023,363400,21215864.4,8428780.0,10.0,2017-12-14
SPALI,518202,885000,11998666.4,20459070.0,21.11,2017-12-15
SPALI,505600,271410,11766640.0,6318904.0,19.38,2017-12-18
SPALI,848300,647700,19863830.0,15150380.0,12.5,2017-12-19
SPALI,1562200,1662232,36692630.0,38995655.2,32.83,2017-12-20
SPALI,826700,1583500,19501730.0,37353790.0,16.45,2017-12-21
SPALI,363100,497120,8578370.0,11739032.0,14.99,2017-12-22
SPALI,119800,535219,2821300.0,12598496.5,15.53,2017-12-25
SPALI,221400,517900,5246000.0,12225470.0,7.19,2017-12-26
SPALI,599900,1592561,14323290.0,37967201.8,11.38,2017-12-27
SPALI,394100,1192400,9372880.0,28328670.0,19.23,2017-12-28
SPALI,466400,605300,11059690.0,14365410.0,8.91,2017-12-29
SPALI,1334200,1324500,31374580.0,31129190.0,15.09,2018-01-03
