Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
SPCG,16200,53300,347510.0,1142710.0,4.07,2017-01-04
SPCG,7300,44400,156780.0,953320.0,1.56,2017-01-05
SPCG,27600,185300,583180.0,3938180.0,4.38,2017-01-06
SPCG,104900,21900,2224940.0,464710.0,7.09,2017-01-09
SPCG,6700,32200,142550.0,680930.0,0.72,2017-01-10
SPCG,91700,210000,1965810.0,4494000.0,7.88,2017-01-11
SPCG,0,11100,0.0,237030.0,1.06,2017-01-12
SPCG,2300,354900,48770.0,7526380.0,9.13,2017-01-13
SPCG,17100,398700,360790.0,8412590.0,8.95,2017-01-16
SPCG,52500,666800,1107360.0,14004210.0,20.72,2017-01-17
SPCG,13000,321500,273000.0,6750170.0,16.49,2017-01-18
SPCG,8200,40700,171460.0,852970.0,2.61,2017-01-19
SPCG,1900,240500,39900.0,5050710.0,8.15,2017-01-20
SPCG,9300,81900,197160.0,1735900.0,15.42,2017-01-23
SPCG,72800,407100,1538750.0,8629810.0,15.64,2017-01-24
SPCG,33300,554500,704540.0,11753110.0,15.67,2017-01-25
SPCG,31546,57400,669055.2,1216880.0,4.11,2017-01-26
SPCG,17100,42800,362710.0,907510.0,2.58,2017-01-27
SPCG,25500,2700,542420.0,57460.0,2.3,2017-01-30
SPCG,14500,3400,307870.0,72100.0,1.3,2017-01-31
SPCG,5200,68800,110590.0,1465050.0,4.58,2017-02-01
SPCG,77100,4500,1649020.0,96300.0,2.29,2017-02-02
SPCG,119400,35700,2586840.0,772980.0,1.3,2017-02-03
SPCG,125000,227100,2762760.0,5003780.0,4.3,2017-02-06
SPCG,86200,275800,1895910.0,6064380.0,5.34,2017-02-07
SPCG,164300,22546,3647410.0,500201.8,4.84,2017-02-08
SPCG,197700,9022,4405430.0,200618.4,4.62,2017-02-09
SPCG,129300,21924,2895230.0,489112.8,2.79,2017-02-10
SPCG,177400,107900,3930000.0,2381520.0,4.91,2017-02-14
SPCG,164800,0,3642390.0,0.0,6.54,2017-02-15
SPCG,8100,0,179820.0,0.0,0.64,2017-02-16
SPCG,73000,53200,1621350.0,1185740.0,7.46,2017-02-17
SPCG,12800,105400,282880.0,2325470.0,14.18,2017-02-20
SPCG,315500,170000,6995640.0,3765820.0,14.92,2017-02-21
SPCG,88800,66200,1970600.0,1466410.0,8.95,2017-02-22
SPCG,12300,93000,272420.0,2055540.0,4.35,2017-02-23
SPCG,28300,208800,631340.0,4680280.0,2.41,2017-02-24
SPCG,19300,122800,431630.0,2756710.0,2.72,2017-02-27
SPCG,160400,63100,3611940.0,1419540.0,5.05,2017-02-28
SPCG,238000,270600,5327070.0,6047280.0,5.6,2017-03-01
SPCG,281600,91201,6287530.0,2030112.3,5.89,2017-03-02
SPCG,1166100,14000,25829900.0,308850.0,12.69,2017-03-03
SPCG,361700,25000,7990280.0,550630.0,7.72,2017-03-06
SPCG,269000,100600,5953250.0,2227670.0,13.62,2017-03-07
SPCG,1021300,143900,22668680.0,3185570.0,23.3,2017-03-08
SPCG,360000,48200,8048240.0,1076760.0,13.23,2017-03-09
SPCG,296700,46700,6621470.0,1042650.0,15.46,2017-03-10
SPCG,304600,147200,6768747.02,3270740.0,14.09,2017-03-13
SPCG,269900,73100,6025710.0,1625010.0,4.79,2017-03-14
SPCG,521800,137000,11674670.0,3058510.0,11.53,2017-03-15
SPCG,330800,117100,7127850.0,2520310.0,9.29,2017-03-16
SPCG,561200,184900,12100780.0,3992400.0,27.5,2017-03-17
SPCG,134300,70400,2897650.0,1520600.0,16.37,2017-03-20
SPCG,135800,35470,2928730.0,764668.0,13.1,2017-03-21
SPCG,187900,105900,4047850.0,2281120.0,17.65,2017-03-22
SPCG,227500,11700,4898800.0,252690.0,12.28,2017-03-23
SPCG,86300,12400,1845630.0,265360.0,5.17,2017-03-24
SPCG,309100,54200,6597550.0,1154330.0,10.8,2017-03-27
SPCG,298500,47900,6327580.0,1016460.0,9.47,2017-03-28
SPCG,288300,56800,6170860.0,1216440.0,6.87,2017-03-29
SPCG,40100,20200,856500.0,431950.0,5.58,2017-03-30
SPCG,99500,20100,2129240.0,428130.0,23.11,2017-03-31
SPCG,78300,26400,1679360.0,565690.0,3.03,2017-04-03
SPCG,1800,43600,38660.0,934330.0,1.87,2017-04-04
SPCG,137200,19400,2932880.0,413920.0,6.05,2017-04-05
