Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
SPG,200,0,3780.0,0.0,0.83,2017-01-10
SPG,100,0,1940.0,0.0,0.05,2017-01-13
SPG,0,63000,0.0,1197000.0,49.53,2017-01-16
SPG,300,0,5850.0,0.0,24.96,2017-01-17
SPG,0,100,0.0,1910.0,16.67,2017-02-14
SPG,0,200,0.0,3820.0,3.7,2017-02-15
SPG,0,100,0.0,1920.0,0.49,2017-02-17
SPG,200,0,3820.0,0.0,16.61,2017-02-28
SPG,0,1600,0.0,30400.0,12.7,2017-03-08
SPG,0,100,0.0,1860.0,1.11,2017-03-13
SPG,0,1000,0.0,18900.0,33.33,2017-03-16
SPG,0,100,0.0,1870.0,3.33,2017-03-27
SPG,20000,71000,370100.0,1315980.0,64.08,2017-03-30
SPG,3000,40300,55500.0,746950.0,51.18,2017-03-31
SPG,2000,8200,37000.0,151700.0,55.43,2017-04-03
SPG,100,3700,1850.0,68450.0,40.43,2017-04-04
SPG,4000,12500,74000.0,231250.0,66.0,2017-04-05
SPG,1000,8200,18500.0,151740.0,56.1,2017-04-07
SPG,0,3400,0.0,62900.0,50.0,2017-04-10
SPG,0,1300,0.0,24050.0,26.0,2017-04-12
SPG,0,11500,0.0,212750.0,50.0,2017-04-18
SPG,0,500,0.0,9250.0,6.25,2017-04-19
SPG,0,200,0.0,3700.0,8.33,2017-04-24
SPG,0,1000,0.0,18500.0,49.9,2017-04-26
SPG,0,10000,0.0,185000.0,45.45,2017-04-27
SPG,0,700,0.0,12950.0,18.41,2017-04-28
SPG,0,8100,0.0,149850.0,50.0,2017-05-02
SPG,0,2100,0.0,38850.0,50.0,2017-05-03
SPG,300,300,5550.0,5550.0,100.0,2017-05-04
SPG,0,20200,0.0,373700.0,50.0,2017-05-08
SPG,0,3400,0.0,62900.0,50.0,2017-05-11
SPG,0,27200,0.0,503200.0,47.89,2017-05-15
SPG,0,100,0.0,1850.0,50.0,2017-05-16
SPG,0,6300,0.0,116550.0,50.0,2017-05-17
SPG,0,200,0.0,3700.0,4.55,2017-05-18
SPG,0,13900,0.0,257150.0,45.13,2017-05-19
SPG,0,100,0.0,1850.0,2.38,2017-05-22
SPG,0,55500,0.0,1027250.0,49.55,2017-05-23
SPG,0,15100,0.0,279350.0,40.16,2017-05-24
SPG,0,5000,0.0,92500.0,27.17,2017-05-25
SPG,0,400,0.0,7400.0,5.13,2017-05-26
SPG,0,6000,0.0,111000.0,50.0,2017-05-29
SPG,0,11000,0.0,203500.0,40.15,2017-05-30
SPG,0,2400,0.0,44400.0,50.0,2017-05-31
SPG,0,6800,0.0,125800.0,50.0,2017-06-01
SPG,0,17700,0.0,327450.0,46.09,2017-06-02
SPG,0,30000,0.0,561000.0,38.07,2017-06-06
SPG,100,0,1880.0,0.0,1.14,2017-06-07
SPG,0,100,0.0,1870.0,1.22,2017-07-07
SPG,0,100,0.0,1910.0,1.61,2017-08-08
SPG,900,0,17040.0,0.0,1.29,2017-08-18
SPG,0,1000,0.0,19000.0,6.02,2017-08-30
SPG,0,100,0.0,1900.0,1.39,2017-09-05
SPG,0,100,0.0,1890.0,0.53,2017-09-08
SPG,0,100,0.0,1900.0,0.79,2017-09-13
SPG,0,200,0.0,3800.0,50.0,2017-09-14
SPG,0,100,0.0,2000.0,0.68,2017-09-21
SPG,0,300,0.0,5850.0,0.33,2017-10-09
SPG,200,0,3900.0,0.0,11.1,2017-10-10
SPG,8500,0,165850.0,0.0,32.69,2017-10-16
SPG,0,200,0.0,3900.0,4.0,2017-10-25
SPG,200,0,3900.0,0.0,5.56,2017-10-27
SPG,0,200,0.0,3900.0,1.06,2017-11-06
SPG,100,0,1900.0,0.0,0.21,2017-11-08
SPG,800,0,14960.0,0.0,3.51,2017-11-09
SPG,100,100,1790.0,1790.0,16.67,2017-11-17
SPG,0,200,0.0,3600.0,4.17,2017-11-21
SPG,0,200,0.0,3580.0,1.92,2017-11-28
SPG,100,0,1780.0,0.0,4.55,2017-11-29
SPG,0,400,0.0,7160.0,3.57,2017-11-30
SPG,0,100,0.0,1730.0,3.85,2017-12-07
SPG,0,200,0.0,3540.0,50.0,2017-12-22
SPG,100,0,1770.0,0.0,25.0,2018-03-06
SPG,0,100,0.0,1790.0,1.79,2018-03-13
SPG,100,0,1800.0,0.0,50.0,2018-04-10
SPG,100,0,1750.0,0.0,50.0,2018-05-10
SPG,500,0,8500.0,0.0,0.67,2018-06-14
SPG,1500,0,24000.0,0.0,5.73,2018-07-12
SPG,1500,0,23700.0,0.0,1.26,2018-07-16
SPG,3000,500,46650.0,7950.0,10.74,2018-07-17
SPG,2000,0,30700.0,0.0,5.99,2018-07-18
SPG,1000,0,15100.0,0.0,2.18,2018-07-19
SPG,0,100,0.0,1490.0,0.45,2018-07-23
SPG,2500,0,36300.0,0.0,3.78,2018-07-25
SPG,400,1000,5840.0,15000.0,8.43,2018-07-26
SPG,500,0,7300.0,0.0,2.29,2018-07-31
SPG,2100,0,30660.0,0.0,3.09,2018-08-01
SPG,10400,0,149760.0,0.0,18.51,2018-08-03
SPG,100,0,1430.0,0.0,0.12,2018-08-06
SPG,1000,0,14200.0,0.0,1.69,2018-08-07
SPG,500,0,7100.0,0.0,1.91,2018-08-09
SPG,500,0,7050.0,0.0,3.12,2018-08-10
SPG,0,1000,0.0,14100.0,17.86,2018-08-15
SPG,0,100,0.0,1400.0,2.08,2018-08-16
SPG,200,0,2750.0,0.0,8.33,2018-08-28
SPG,0,200,0.0,2800.0,2.22,2018-08-31
SPG,100,0,1420.0,0.0,5.56,2018-09-19
SPG,200,0,2760.0,0.0,3.84,2018-09-24
SPG,0,100,0.0,1390.0,9.8,2018-10-02
SPG,500,0,6900.0,0.0,50.0,2018-12-25
SPG,100,0,1310.0,0.0,25.0,2019-01-10
SPG,8500,0,121550.0,0.0,49.42,2019-02-27
SPG,900,0,13050.0,0.0,50.0,2019-03-01
SPG,200,0,2780.0,0.0,0.84,2019-03-21
SPG,100,800,1320.0,10560.0,5.06,2019-04-01
SPG,0,2300,0.0,30360.0,50.0,2019-04-03
SPG,0,6900,0.0,90390.0,31.36,2019-04-05
