Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
SQ,60000,4000,249600.0,16720.0,0.21,2017-01-04
SQ,3196600,3797300,13598944.0,16156218.0,4.22,2017-01-05
SQ,1910000,478000,8425868.0,2085280.0,1.59,2017-01-06
SQ,15554200,14489700,71019378.0,65737084.0,8.65,2017-01-09
SQ,7006500,3055500,32632242.0,14304270.0,3.7,2017-01-10
SQ,1372001,97500,6441204.66,457124.0,1.3,2017-01-11
SQ,607300,711400,2930756.0,3401442.0,1.56,2017-01-12
SQ,69900,96100,326992.0,448712.0,0.52,2017-01-13
SQ,931300,983300,4480182.0,4742864.0,1.76,2017-01-16
SQ,48000,115000,232680.0,557500.0,0.17,2017-01-17
SQ,560000,506000,2740400.0,2469280.0,2.15,2017-01-18
SQ,559200,560000,2757300.0,2762966.0,1.58,2017-01-19
SQ,210000,235000,1032800.0,1148200.0,1.95,2017-01-20
SQ,4814700,4818400,24212762.0,24272920.0,16.5,2017-01-23
SQ,109000,5100,553170.0,25920.0,0.19,2017-01-24
SQ,563400,159500,2828735.0,810888.0,0.8,2017-01-25
SQ,305100,46200,1514264.0,230732.0,0.97,2017-01-26
SQ,1200,229200,6000.0,1136240.0,0.85,2017-01-27
SQ,163200,194300,832340.0,979252.0,0.34,2017-01-30
SQ,35500,395800,184600.0,2057200.0,0.71,2017-01-31
SQ,20500,62000,106675.0,323435.0,0.22,2017-02-01
SQ,61600,29600,329470.0,159585.0,0.16,2017-02-02
SQ,100000,20900,530000.0,110780.0,0.73,2017-02-03
SQ,605000,664800,3130750.0,3429820.0,3.45,2017-02-06
SQ,408800,317100,2073745.0,1617210.0,1.64,2017-02-07
SQ,72300,1700,366505.0,8660.0,0.27,2017-02-08
SQ,1336700,1799800,6641310.0,9012427.0,3.74,2017-02-09
SQ,3581415,2167200,18609987.35,11180160.0,3.63,2017-02-10
SQ,966100,596100,5022630.0,3068030.0,4.32,2017-02-14
SQ,3843700,4098100,18945934.0,20241934.0,8.03,2017-02-15
SQ,30,37300,149.4,184654.0,0.13,2017-02-16
SQ,500200,212400,2500988.0,1059340.0,2.06,2017-02-17
SQ,100,18000,496.0,88920.0,0.13,2017-02-20
SQ,2451000,1040100,12179154.0,5139296.0,17.35,2017-02-21
SQ,2857000,37100,14577660.0,186415.0,5.46,2017-02-22
SQ,567500,0,2950625.0,0.0,1.44,2017-02-23
SQ,0,14000,0.0,70700.0,0.08,2017-02-24
SQ,132000,0,672375.0,0.0,0.37,2017-02-27
SQ,242600,23000,1249390.0,118350.0,1.33,2017-02-28
SQ,1982355,2827100,11020769.65,15658330.0,2.64,2017-03-01
SQ,62100,150200,338340.0,815780.0,0.5,2017-03-02
SQ,533800,3189100,3016530.0,17856600.0,3.07,2017-03-03
SQ,922600,293700,5266095.0,1668810.0,2.81,2017-03-06
SQ,259500,94500,1429800.0,516795.0,0.46,2017-03-07
SQ,2267800,1839200,12258185.0,9866335.0,4.42,2017-03-08
SQ,195200,218800,1104130.0,1249985.0,0.46,2017-03-09
SQ,2001000,1684800,11863850.0,10021005.0,3.25,2017-03-10
SQ,549000,4143400,3131100.0,23576420.0,6.29,2017-03-13
SQ,588400,157700,3363300.0,895425.0,1.54,2017-03-14
SQ,546000,692400,3244600.0,4117420.0,1.43,2017-03-15
SQ,2379800,2101100,14501685.0,12860680.0,4.81,2017-03-16
SQ,492500,438200,3020775.0,2693435.0,0.96,2017-03-17
SQ,3240000,3002200,19230280.0,17786705.0,8.29,2017-03-20
SQ,312300,58900,1873765.0,353015.0,0.87,2017-03-21
SQ,947300,345600,5601435.0,2041550.0,2.7,2017-03-22
SQ,7908100,7978200,45718815.0,46270385.0,21.04,2017-03-23
SQ,1253800,1144400,7329455.0,6694740.0,9.83,2017-03-24
SQ,610000,10000,3588500.0,59000.0,1.27,2017-03-27
SQ,1122300,1036000,6729085.0,6217800.0,4.8,2017-03-28
SQ,428400,126400,2610400.0,764640.0,1.24,2017-03-29
SQ,30000,28400,177750.0,170400.0,0.39,2017-03-30
SQ,37900,46300,223610.0,273170.0,0.39,2017-03-31
SQ,111000,348600,664000.0,2077635.0,1.24,2017-04-03
SQ,20200,332500,121710.0,2014380.0,0.56,2017-04-04
SQ,15000,328700,90000.0,1970355.0,2.11,2017-04-05
SQ,0,32900,0.0,197400.0,0.19,2017-04-07
SQ,129700,42300,771715.0,251685.0,1.73,2017-04-10
SQ,0,131600,0.0,789600.0,0.66,2017-04-11
SQ,0,79000,0.0,474000.0,0.76,2017-04-12
SQ,20000,31600,120000.0,189435.0,0.18,2017-04-17
SQ,0,19700,0.0,117740.0,0.13,2017-04-18
SQ,3800,17100,22510.0,100040.0,0.17,2017-04-19
SQ,2629700,2432200,14843015.0,13855565.0,6.7,2017-04-20
SQ,1909200,501000,10638830.0,2780600.0,8.05,2017-04-21
SQ,3202600,2443000,17910910.0,13627050.0,15.8,2017-04-24
SQ,1615000,1933300,8924010.0,10749810.0,12.3,2017-04-25
SQ,245600,31500,1396155.0,177975.0,1.0,2017-04-26
SQ,78900,1047000,443100.0,5871845.0,4.51,2017-04-27
SQ,1394600,230200,8198905.0,1343160.0,1.75,2017-04-28
SQ,10000,388400,57500.0,2239285.0,3.8,2017-05-02
SQ,56600,168900,326240.0,979050.0,3.6,2017-05-03
SQ,100600,704000,593755.0,4167330.0,3.93,2017-05-04
SQ,68700,12800,404740.0,75370.0,0.95,2017-05-05
SQ,198800,169400,1163135.0,984480.0,6.54,2017-05-08
SQ,1958400,1598800,11104615.0,9095475.0,10.53,2017-05-09
SQ,241600,216100,1371970.0,1217370.0,2.96,2017-05-11
SQ,179400,100600,998225.0,555030.0,1.6,2017-05-12
SQ,123500,168800,697970.0,942510.0,1.62,2017-05-15
SQ,1386900,223700,8315815.0,1335785.0,2.22,2017-05-16
SQ,673200,1141700,3990580.0,6772665.0,7.56,2017-05-17
SQ,650900,456500,3805920.0,2645560.0,2.1,2017-05-18
SQ,387300,299700,2271400.0,1761315.0,2.6,2017-05-19
SQ,2365800,586400,14298070.0,3511440.0,4.54,2017-05-22
SQ,64700,694000,394210.0,4193360.0,0.88,2017-05-23
SQ,1386600,451900,8323255.0,2715210.0,3.54,2017-05-24
SQ,261600,212600,1559035.0,1262155.0,1.74,2017-05-25
SQ,264400,84900,1556115.0,499220.0,0.53,2017-05-26
SQ,216100,200400,1278560.0,1182345.0,1.54,2017-05-29
SQ,187700,284200,1099550.0,1649490.0,2.0,2017-05-30
SQ,833000,75200,4789785.0,433950.0,1.84,2017-05-31
SQ,514200,10100,2938730.0,57595.0,4.04,2017-06-01
SQ,619600,192900,3595520.0,1119820.0,2.2,2017-06-02
SQ,353100,53100,2052925.0,308700.0,1.51,2017-06-05
SQ,107200,60700,632230.0,354830.0,0.78,2017-06-06
SQ,1635800,457700,9729515.0,2696955.0,3.35,2017-06-07
SQ,884300,655200,5216595.0,3865680.0,6.5,2017-06-08
SQ,89200,292800,525095.0,1727520.0,4.2,2017-06-09
SQ,290600,402900,1711755.0,2364930.0,8.89,2017-06-12
SQ,364500,179100,2141940.0,1048935.0,2.4,2017-06-13
SQ,235600,154000,1376830.0,900900.0,3.07,2017-06-14
SQ,492900,296200,2879085.0,1729855.0,7.01,2017-06-15
SQ,251800,126000,1469250.0,736815.0,1.41,2017-06-16
SQ,1258700,96700,7371240.0,566330.0,4.64,2017-06-19
SQ,109700,881200,641090.0,5155020.0,16.29,2017-06-20
SQ,2452900,2142700,14148265.0,12403370.0,14.26,2017-06-21
SQ,34400,1053000,197800.0,6054825.0,9.22,2017-06-22
SQ,4166100,5868900,23541760.0,33301280.0,24.03,2017-06-23
SQ,79200,1421100,450440.0,8108050.0,5.05,2017-06-26
SQ,53300,77100,303265.0,438670.0,1.72,2017-06-27
SQ,1232200,1377100,6890770.0,7703695.0,8.78,2017-06-28
SQ,0,1465500,0.0,8198395.0,8.23,2017-06-29
SQ,17200,82800,96320.0,463915.0,0.25,2017-06-30
SQ,144900,68000,801975.0,380140.0,1.04,2017-07-03
SQ,1385300,1557500,7550535.0,8550335.0,9.17,2017-07-04
SQ,557800,300200,3063720.0,1651100.0,4.76,2017-07-05
SQ,163400,154200,906870.0,853425.0,1.34,2017-07-06
SQ,66400,122300,368795.0,682355.0,1.23,2017-07-07
SQ,80500,837300,450800.0,4699940.0,2.71,2017-07-11
SQ,60600,134500,345435.0,765530.0,0.66,2017-07-12
SQ,43900,138600,248640.0,787215.0,1.77,2017-07-13
SQ,45200,84900,256005.0,478590.0,1.41,2017-07-14
SQ,6500,268800,36525.0,1504230.0,1.78,2017-07-17
SQ,32200,252300,180320.0,1420720.0,2.25,2017-07-18
SQ,19600,351600,110875.0,1990335.0,2.38,2017-07-19
SQ,0,109600,0.0,623720.0,1.88,2017-07-20
SQ,78800,256600,456805.0,1492135.0,0.73,2017-07-21
SQ,191900,146200,1122615.0,853500.0,1.4,2017-07-24
SQ,127800,349700,735655.0,2009305.0,2.85,2017-07-25
SQ,10000,149500,57500.0,858625.0,2.34,2017-07-26
SQ,26400,206700,150480.0,1182970.0,2.2,2017-07-27
SQ,108100,20600,611615.0,116505.0,1.61,2017-07-31
SQ,12600,150500,71405.0,856730.0,2.76,2017-08-01
SQ,526600,315800,3047885.0,1821025.0,6.91,2017-08-02
SQ,1115000,748400,6550375.0,4378515.0,3.75,2017-08-03
SQ,38300,0,222990.0,0.0,0.74,2017-08-04
SQ,8600,99700,50225.0,582370.0,1.28,2017-08-07
SQ,85000,38300,493595.0,220915.0,2.69,2017-08-08
SQ,57600,6900,334095.0,40020.0,0.58,2017-08-09
SQ,58700,54500,337525.0,313035.0,2.12,2017-08-10
SQ,1036700,1215300,5805815.0,6807125.0,10.56,2017-08-11
SQ,105900,284500,606370.0,1621540.0,5.22,2017-08-15
SQ,358600,232500,2062790.0,1333665.0,2.25,2017-08-16
SQ,50000,227500,288250.0,1312190.0,1.42,2017-08-17
SQ,419600,5900,2411700.0,33905.0,4.11,2017-08-18
SQ,8754000,2474800,52390560.0,14869900.0,8.39,2017-08-21
