Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
SSF,0,214100,0.0,2240170.0,11.05,2017-01-16
SSF,32000,0,315200.0,0.0,20.94,2017-01-19
SSF,80000,0,816000.0,0.0,8.51,2017-01-23
SSF,87500,0,907100.0,0.0,30.26,2017-01-25
SSF,7000,264400,80700.0,3025930.0,7.94,2017-01-26
SSF,5000,3000,58000.0,34800.0,1.11,2017-01-27
SSF,4500,32000,53100.0,377600.0,5.52,2017-01-30
SSF,21200,50000,256800.0,600000.0,5.06,2017-01-31
SSF,3000,1200,36000.0,14160.0,4.66,2017-02-01
SSF,0,6500,0.0,78000.0,4.88,2017-02-02
SSF,3900,17700,47830.0,217710.0,11.88,2017-02-03
SSF,52600,0,642520.0,0.0,6.1,2017-02-06
SSF,4000,0,49600.0,0.0,0.55,2017-02-07
SSF,4000,0,50000.0,0.0,1.11,2017-02-10
SSF,3100,12000,38130.0,147600.0,5.52,2017-02-14
SSF,2500,0,30500.0,0.0,1.11,2017-02-15
SSF,0,15000,0.0,176900.0,6.22,2017-02-16
SSF,26900,0,306660.0,0.0,37.57,2017-02-27
SSF,234400,0,2554960.0,0.0,6.11,2017-02-28
SSF,10000,0,111000.0,0.0,15.34,2017-03-01
SSF,20000,0,218000.0,0.0,16.08,2017-03-08
SSF,12000,0,130800.0,0.0,29.27,2017-03-10
SSF,0,50000,0.0,525000.0,30.71,2017-03-15
SSF,0,32000,0.0,348800.0,33.4,2017-03-24
SSF,32000,45000,342400.0,481500.0,81.57,2017-04-03
SSF,0,12000,0.0,130800.0,49.59,2017-04-11
SSF,0,19700,0.0,214730.0,34.56,2017-04-12
SSF,0,100,0.0,1090.0,16.67,2017-04-17
SSF,7200,200,77040.0,2180.0,4.82,2017-04-20
SSF,0,7200,0.0,78480.0,21.05,2017-04-24
SSF,0,900,0.0,9630.0,26.47,2017-05-03
SSF,1000,30000,12400.0,363000.0,2.75,2017-05-25
SSF,2500,51000,32500.0,636800.0,4.39,2017-05-26
SSF,4300,0,57190.0,0.0,1.23,2017-05-29
SSF,0,10000,0.0,133000.0,3.61,2017-05-30
SSF,2000,0,26600.0,0.0,2.13,2017-05-31
SSF,0,3500,0.0,45850.0,9.46,2017-06-05
SSF,0,3500,0.0,45150.0,2.53,2017-06-06
SSF,0,1800,0.0,23760.0,1.1,2017-06-08
SSF,0,35000,0.0,455260.0,47.81,2017-06-09
SSF,0,3700,0.0,47730.0,4.87,2017-06-19
SSF,0,2250,0.0,26050.0,12.57,2017-07-06
SSF,2000,0,23400.0,0.0,3.66,2017-10-11
SSF,20000,0,214000.0,0.0,10.8,2017-11-02
SSF,11300,30000,120910.0,324000.0,44.12,2017-11-03
SSF,700,0,7490.0,0.0,0.4,2017-11-13
SSF,0,2300,0.0,21275.0,10.27,2018-01-25
SSF,6000,0,51600.0,0.0,30.93,2018-03-29
SSF,4000,0,34200.0,0.0,20.2,2018-03-30
SSF,1000,0,8300.0,0.0,2.07,2018-04-05
SSF,500000,500000,4200000.0,4200000.0,99.7,2018-04-12
SSF,4900,0,41160.0,0.0,3.31,2018-04-17
SSF,0,100,0.0,870.0,50.0,2018-04-25
SSF,3400,800,29750.0,7000.0,8.54,2018-04-26
SSF,0,15000,0.0,132750.0,21.87,2018-04-30
SSF,2000,0,16600.0,0.0,8.7,2018-05-15
SSF,0,3400,0.0,30260.0,39.53,2018-06-07
SSF,0,50,0.0,402.5,0.38,2018-06-14
SSF,500,0,4300.0,0.0,1.91,2018-07-11
SSF,0,500,0.0,4275.0,2.48,2018-07-12
SSF,700,0,6055.0,0.0,2.99,2018-07-13
SSF,1000,0,8700.0,0.0,9.09,2018-07-16
SSF,100,0,845.0,0.0,0.15,2018-07-20
SSF,1900,0,16055.0,0.0,4.75,2018-07-23
SSF,500,0,4175.0,0.0,5.43,2018-07-31
SSF,100,0,840.0,0.0,8.0,2018-08-06
SSF,1000,0,8700.0,0.0,49.95,2018-08-07
SSF,400,0,3355.0,0.0,13.33,2018-08-14
SSF,0,2500,0.0,21000.0,50.0,2018-09-03
SSF,0,100,0.0,860.0,0.31,2018-09-10
SSF,0,2000,0.0,17200.0,14.29,2018-09-11
SSF,0,4200,0.0,35700.0,11.35,2018-10-12
SSF,1500,0,10495.0,0.0,0.35,2018-11-14
SSF,0,1500,0.0,9190.0,5.4,2018-11-16
SSF,100,0,650.0,0.0,0.47,2019-02-12
SSF,700,0,4620.0,0.0,3.72,2019-02-13
SSF,1200,0,7920.0,0.0,42.86,2019-02-14
SSF,200,0,1340.0,0.0,0.96,2019-04-04
SSF,400,0,2760.0,0.0,50.0,2019-05-15
SSF,500,0,3450.0,0.0,50.0,2019-05-16
SSF,0,2500,0.0,17250.0,25.0,2019-05-23
SSF,100,0,760.0,0.0,50.0,2019-06-05
SSF,600,0,4560.0,0.0,0.58,2019-06-07
