Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
SSSC,200,2500,8100.0,100250.0,0.73,2017-01-05
SSSC,0,1600,0.0,65600.0,1.9,2017-01-06
SSSC,0,34,0.0,1353.5,0.21,2017-01-11
SSSC,2000,0,82000.0,0.0,6.02,2017-01-12
SSSC,3300,800,134550.0,33000.0,16.94,2017-01-13
SSSC,3000,13000,120000.0,520000.0,14.57,2017-01-23
SSSC,2000,0,80500.0,0.0,3.15,2017-01-30
SSSC,5000,0,200000.0,0.0,9.76,2017-02-06
SSSC,3500,0,140750.0,0.0,4.27,2017-02-08
SSSC,6000,3000,246000.0,120750.0,2.71,2017-02-10
SSSC,1000,0,41250.0,0.0,1.56,2017-02-14
SSSC,2000,0,81000.0,0.0,9.8,2017-02-15
SSSC,1000,0,40500.0,0.0,4.55,2017-02-16
SSSC,0,1000,0.0,40500.0,1.26,2017-02-17
SSSC,1000,1500,40750.0,60250.0,0.89,2017-02-23
SSSC,4100,12000,167075.0,494000.0,5.74,2017-02-24
SSSC,2500,4100,102625.0,169425.0,1.47,2017-02-27
SSSC,11700,1400,491400.0,58600.0,4.21,2017-02-28
SSSC,3400,0,143825.0,0.0,4.68,2017-03-01
SSSC,2000,500,84500.0,21375.0,5.71,2017-03-02
SSSC,0,100,0.0,4225.0,0.47,2017-03-03
SSSC,18300,1500,774000.0,63875.0,8.74,2017-03-06
SSSC,3500,800,148750.0,34200.0,10.05,2017-03-07
SSSC,5500,0,232500.0,0.0,13.14,2017-03-08
SSSC,3500,0,147875.0,0.0,18.62,2017-03-10
SSSC,2000,0,84000.0,0.0,34.48,2017-03-13
SSSC,3000,0,126750.0,0.0,16.3,2017-03-15
SSSC,4000,0,172000.0,0.0,3.4,2017-03-21
SSSC,0,1500,0.0,64125.0,7.65,2017-03-22
SSSC,4000,0,170500.0,0.0,5.41,2017-03-29
SSSC,0,2600,0.0,110500.0,5.51,2017-04-03
SSSC,0,3000,0.0,127500.0,25.0,2017-04-04
SSSC,0,200,0.0,8500.0,1.96,2017-04-05
SSSC,0,4000,0.0,170000.0,10.87,2017-04-07
SSSC,2000,0,85000.0,0.0,4.03,2017-04-12
SSSC,1000,300,42500.0,12900.0,0.55,2017-04-17
SSSC,10500,1000,441125.0,42000.0,30.1,2017-04-19
SSSC,600,0,25500.0,0.0,1.96,2017-04-20
SSSC,0,2000,0.0,84000.0,5.15,2017-04-26
SSSC,0,1000,0.0,42025.0,1.03,2017-04-28
SSSC,20000,0,840000.0,0.0,11.92,2017-05-02
SSSC,10000,0,420000.0,0.0,2.44,2017-05-03
SSSC,0,2600,0.0,109850.0,0.66,2017-05-04
SSSC,19100,0,758625.0,0.0,10.63,2017-05-05
SSSC,100,0,3950.0,0.0,0.37,2017-05-12
SSSC,500,0,19500.0,0.0,2.6,2017-05-16
SSSC,15000,0,581250.0,0.0,27.47,2017-05-17
SSSC,1000,0,39250.0,0.0,15.15,2017-05-18
SSSC,2000,0,79000.0,0.0,3.73,2017-05-23
SSSC,4400,0,181300.0,0.0,2.55,2017-05-26
SSSC,35000,15000,143000.0,63300.0,1.49,2017-05-29
SSSC,0,5000,0.0,20700.0,0.32,2017-06-06
SSSC,872500,771300,4079188.0,3707832.0,1.15,2017-06-08
SSSC,111300,152300,502636.0,690150.0,0.87,2017-06-09
SSSC,136600,133100,623200.0,610344.0,0.53,2017-06-12
SSSC,63700,50000,284102.0,226000.0,1.09,2017-06-13
SSSC,559600,443300,2575862.0,2046256.0,1.99,2017-06-14
SSSC,40000,30000,182200.0,138600.0,0.56,2017-06-15
SSSC,14500,90000,66180.0,410400.0,1.23,2017-06-16
SSSC,92000,82000,420900.0,373020.0,1.89,2017-06-19
SSSC,3700,106500,16638.0,478950.0,2.08,2017-06-20
SSSC,28000,35000,124940.0,156800.0,1.24,2017-06-21
SSSC,60000,61800,268800.0,278396.0,1.95,2017-06-22
SSSC,75000,85000,338300.0,386000.0,1.44,2017-06-23
SSSC,8400,4900,37532.0,21796.0,0.26,2017-06-27
SSSC,0,20000,0.0,85200.0,2.29,2017-07-03
SSSC,25000,8400,104500.0,34932.0,0.61,2017-07-05
SSSC,10000,0,41400.0,0.0,2.69,2017-07-06
SSSC,1000,200,4140.0,828.0,0.14,2017-07-07
SSSC,17200,300000,71248.0,1243190.0,35.62,2017-07-11
SSSC,47600,315000,197732.0,1310642.0,14.47,2017-07-12
SSSC,16700,600000,68998.0,2487666.0,33.18,2017-07-13
SSSC,400,657000,1656.0,2740120.0,9.62,2017-07-14
SSSC,0,2700,0.0,11286.0,0.27,2017-07-17
SSSC,30000,600000,123300.0,2469354.0,27.12,2017-07-18
SSSC,0,607900,0.0,2490130.0,29.29,2017-07-19
SSSC,0,600000,0.0,2451114.0,41.93,2017-07-20
SSSC,1700,602800,6902.0,2455820.0,27.28,2017-07-21
SSSC,50000,612300,201000.0,2469404.0,29.93,2017-07-24
SSSC,2700,4000,10908.0,16028.0,1.5,2017-07-25
SSSC,27500,12600,110700.0,50904.0,8.32,2017-07-31
SSSC,500,8700,2020.0,35148.0,2.85,2017-08-01
SSSC,600,0,2436.0,0.0,0.17,2017-08-02
