Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
STEC,394500,381100,11125400.0,10722650.0,4.1,2017-01-04
STEC,639700,2046900,17527075.0,55730025.0,8.72,2017-01-05
STEC,89900,1167600,2463500.0,32034825.0,12.05,2017-01-06
STEC,395800,296300,10777375.0,8052750.0,17.81,2017-01-09
STEC,686400,1426300,18442600.0,38426375.0,15.95,2017-01-10
STEC,2873400,847000,77496275.0,22768750.0,10.51,2017-01-11
STEC,562500,278800,14738875.0,7357300.0,6.71,2017-01-12
STEC,254500,1075500,6667450.0,28026175.0,19.1,2017-01-13
STEC,852500,691700,21797200.0,17689375.0,8.51,2017-01-16
STEC,551700,327671,14210675.0,8429085.5,4.76,2017-01-17
STEC,638000,1533200,16749175.0,40175525.0,11.93,2017-01-18
STEC,799900,873000,20192700.0,22191575.0,5.9,2017-01-19
STEC,172300,66200,4370025.0,1675475.0,2.6,2017-01-20
STEC,779600,764900,19948975.0,19576550.0,10.25,2017-01-23
STEC,326100,189400,8325850.0,4837200.0,4.04,2017-01-24
STEC,1288700,522600,32395045.0,13108195.0,7.21,2017-01-25
STEC,3807700,3260000,95209520.0,81552540.0,20.52,2017-01-26
STEC,483700,175600,11945630.0,4351530.0,2.76,2017-01-27
STEC,201100,69500,5008710.0,1724210.0,0.93,2017-01-30
STEC,1994400,215000,49083490.0,5289400.0,11.56,2017-01-31
STEC,2691200,281500,66606250.0,7007750.0,8.58,2017-02-01
STEC,4102900,429200,103798775.0,10870610.0,21.03,2017-02-02
STEC,665110,352613,17285107.5,9081906.5,3.96,2017-02-03
STEC,213100,391899,5560900.0,10182020.0,3.9,2017-02-06
STEC,516400,191100,13317400.0,4922925.0,7.61,2017-02-07
STEC,1126700,714900,29298775.0,18738700.0,8.83,2017-02-08
STEC,4429100,839400,116180725.0,22107450.0,18.14,2017-02-09
STEC,629800,547557,16968450.0,14761935.5,3.89,2017-02-10
STEC,1787300,157342,48009975.0,4172709.0,9.77,2017-02-14
STEC,1072800,702200,28444650.0,18577325.0,9.27,2017-02-15
STEC,407100,60700,10822175.0,1616175.0,4.33,2017-02-16
STEC,549500,190800,14540300.0,5051750.0,6.95,2017-02-17
STEC,394200,88500,10507600.0,2348950.0,10.62,2017-02-20
STEC,549685,605450,14619923.75,16084475.0,17.69,2017-02-21
STEC,828600,1182050,22273775.0,31799500.0,16.37,2017-02-22
STEC,262500,160900,7047875.0,4286875.0,7.78,2017-02-23
STEC,1103200,263600,28658950.0,6803875.0,5.6,2017-02-24
STEC,1446702,140900,36459150.5,3529530.0,5.52,2017-02-27
STEC,274300,142512,6981900.0,3604031.0,7.39,2017-02-28
STEC,456300,2278502,11633600.0,57779776.0,21.32,2017-03-01
STEC,1642600,1979300,41888450.0,50473550.0,39.79,2017-03-02
STEC,1896500,2087200,47251760.0,52087110.0,17.2,2017-03-03
STEC,1893500,514078,46725195.0,12590284.4,11.53,2017-03-06
STEC,208600,1300416,5024590.0,31365987.2,6.72,2017-03-07
STEC,509500,2710764,12183290.0,64477733.2,11.77,2017-03-08
STEC,1062700,1468400,25752960.0,35588000.0,17.61,2017-03-09
STEC,581400,528700,14139040.0,12850030.0,16.84,2017-03-10
STEC,520600,727200,12701160.0,17713490.0,15.42,2017-03-13
