Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
SVI,1631300,2631600,8706560.0,14002315.0,8.29,2017-01-04
SVI,1234000,985400,6642960.0,5350420.0,5.9,2017-01-05
SVI,503100,864000,2715880.0,4634325.0,8.44,2017-01-06
SVI,439400,201657,2376260.0,1091467.8,3.94,2017-01-09
SVI,1150500,845000,6457495.0,4763405.0,2.48,2017-01-10
SVI,948400,217600,5428715.0,1240710.0,3.55,2017-01-11
SVI,1589800,1557100,8930570.0,8749100.0,11.03,2017-01-12
SVI,2662500,1941928,15140110.0,11059263.8,9.17,2017-01-13
SVI,3629400,3570700,21305175.0,20966585.0,9.38,2017-01-16
SVI,2747300,2494300,15901415.0,14446130.0,10.33,2017-01-17
SVI,3330000,3728100,19497390.0,21837640.0,8.46,2017-01-18
SVI,2979000,2223400,16885370.0,12590345.0,18.98,2017-01-19
SVI,1858200,411800,10640560.0,2360700.0,21.22,2017-01-20
SVI,1322000,1139700,7535085.0,6535640.0,10.65,2017-01-23
SVI,1334400,731800,7582385.0,4154260.0,17.95,2017-01-24
SVI,2624500,349000,14890195.0,1979775.0,24.36,2017-01-25
SVI,1169900,929100,6496690.0,5173085.0,10.21,2017-01-26
SVI,1438600,290300,7799545.0,1574395.0,16.22,2017-01-27
SVI,1048000,367700,5859300.0,2069110.0,14.59,2017-01-30
SVI,665200,441900,3703335.0,2460125.0,16.44,2017-01-31
SVI,1095100,951800,6117975.0,5321445.0,16.22,2017-02-01
SVI,2230800,697500,12616090.0,3938505.0,24.19,2017-02-02
SVI,640500,624100,3619815.0,3533095.0,17.41,2017-02-03
SVI,2279900,1055714,12972135.0,5995912.7,28.11,2017-02-06
SVI,2331400,3329400,13774035.0,19684555.0,5.8,2017-02-07
SVI,6395600,4368000,39445680.0,26951340.0,7.27,2017-02-08
SVI,2338400,960300,14334500.0,5901100.0,9.24,2017-02-09
SVI,2219100,677000,13642435.0,4159725.0,12.21,2017-02-10
SVI,3543400,1440600,21716460.0,8855415.0,25.35,2017-02-14
SVI,2781500,2462200,16664565.0,14766040.0,19.0,2017-02-15
SVI,1752900,294800,10536330.0,1772275.0,18.39,2017-02-16
SVI,3774200,3132900,23269900.0,19247905.0,16.3,2017-02-17
SVI,1417100,386500,8537440.0,2325520.0,13.43,2017-02-20
SVI,2981700,1117400,17786435.0,6649490.0,24.61,2017-02-21
SVI,811900,356600,4820925.0,2114645.0,30.8,2017-02-22
SVI,1625900,1122200,9791450.0,6746920.0,16.03,2017-02-23
SVI,1595800,826600,9566940.0,4950550.0,15.49,2017-02-24
SVI,2768800,1396000,15587250.0,7825315.0,9.91,2017-02-27
SVI,1627100,2185600,9071260.0,12216685.0,11.03,2017-02-28
SVI,813100,1354900,4586715.0,7644400.0,16.55,2017-03-01
SVI,270000,801100,1524410.0,4526425.0,21.61,2017-03-02
SVI,282900,1002700,1578510.0,5575380.0,15.66,2017-03-03
SVI,679700,1694793,3716560.0,9266117.1,22.21,2017-03-06
SVI,240500,949000,1321440.0,5220490.0,25.36,2017-03-07
SVI,843300,805600,4582865.0,4381030.0,12.54,2017-03-08
SVI,634300,1200400,3505690.0,6644310.0,11.98,2017-03-09
SVI,175600,485700,971910.0,2691945.0,17.67,2017-03-10
SVI,698300,1292400,3755445.0,6946645.0,11.07,2017-03-13
SVI,1796200,542400,9841915.0,2943945.0,19.52,2017-03-14
SVI,186600,252900,1015465.0,1383035.0,5.6,2017-03-15
SVI,809200,1138200,4583335.0,6450585.0,13.09,2017-03-16
SVI,472900,1010400,2685485.0,5710835.0,10.8,2017-03-17
SVI,110600,324500,617775.0,1811000.0,10.11,2017-03-20
SVI,636300,1226800,3499865.0,6735900.0,11.78,2017-03-21
SVI,663400,1129047,3611145.0,6115633.8,11.61,2017-03-22
SVI,1242700,712300,6843555.0,3903685.0,20.85,2017-03-23
SVI,327500,244400,1814735.0,1357340.0,16.11,2017-03-24
SVI,458700,313400,2546210.0,1737975.0,16.99,2017-03-27
SVI,323100,784000,1793200.0,4336120.0,21.28,2017-03-28
SVI,241300,329900,1342695.0,1834870.0,11.46,2017-03-29
SVI,163100,423000,910455.0,2359105.0,15.13,2017-03-30
SVI,307700,717900,1694050.0,3953105.0,23.68,2017-03-31
SVI,519900,970200,2822135.0,5270605.0,13.71,2017-04-03
SVI,222500,446000,1204545.0,2413225.0,14.8,2017-04-04
SVI,358600,763266,1949000.0,4142276.6,21.78,2017-04-05
SVI,570800,1244795,3136625.0,6840643.0,15.44,2017-04-07
SVI,255800,783400,1388955.0,4244345.0,19.41,2017-04-10
SVI,1071300,1732430,5987350.0,9709273.5,16.11,2017-04-11
SVI,378800,804800,2136645.0,4538865.0,18.19,2017-04-12
SVI,265700,327300,1479445.0,1823010.0,11.27,2017-04-17
SVI,48500,44800,270085.0,248560.0,5.93,2017-04-18
SVI,433000,1512863,2415655.0,8447318.9,15.61,2017-04-19
