Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
SVOA,200,0,280.0,0.0,0.0,2017-01-04
SVOA,3900,4000,5460.0,5640.0,0.34,2017-01-05
SVOA,0,300,0.0,426.0,0.01,2017-01-06
SVOA,0,60000,0.0,85200.0,0.74,2017-01-09
SVOA,0,50200,0.0,74294.0,0.16,2017-01-10
SVOA,5000,60000,7600.0,92900.0,0.11,2017-01-11
SVOA,1000,100,1490.0,151.0,0.01,2017-01-12
SVOA,1000,0,1470.0,0.0,0.02,2017-01-16
SVOA,100,0,146.0,0.0,0.0,2017-01-17
SVOA,0,100,0.0,147.0,0.0,2017-01-18
SVOA,100000,0,149000.0,0.0,0.61,2017-01-24
SVOA,0,107000,0.0,156290.0,5.59,2017-01-27
SVOA,150000,0,226200.0,0.0,3.52,2017-02-01
SVOA,0,150000,0.0,226500.0,4.39,2017-02-07
SVOA,0,200000,0.0,320000.0,0.53,2017-02-08
SVOA,35000,25000,57300.0,41300.0,0.1,2017-02-15
SVOA,29800,0,48425.0,0.0,0.1,2017-02-16
SVOA,0,25400,0.0,41402.0,0.3,2017-02-17
SVOA,15000,20000,24050.0,32200.0,0.55,2017-02-20
SVOA,0,15000,0.0,24450.0,0.12,2017-02-21
SVOA,200,0,321.0,0.0,0.01,2017-02-23
SVOA,800,0,1272.0,0.0,0.05,2017-02-24
SVOA,4000,115100,5740.0,171997.0,0.34,2017-02-27
SVOA,1300,0,1800.0,0.0,0.01,2017-02-28
SVOA,5000,0,6800.0,0.0,0.09,2017-03-01
SVOA,100,0,138.0,0.0,0.0,2017-03-02
SVOA,400,0,546.0,0.0,0.04,2017-03-03
SVOA,4500,0,6105.0,0.0,0.33,2017-03-06
SVOA,5700,4000,7713.0,5400.0,1.1,2017-03-07
SVOA,2900,5300,3915.0,7000.0,0.16,2017-03-08
SVOA,9400,3000,12408.0,3960.0,1.6,2017-03-09
SVOA,39200,2000,51689.0,2640.0,2.42,2017-03-10
SVOA,9600,690600,12241.0,881254.0,23.4,2017-03-13
SVOA,11900,309400,15162.0,396032.0,10.26,2017-03-14
SVOA,100,0,130.0,0.0,0.03,2017-03-15
SVOA,12700,0,16736.0,0.0,0.51,2017-03-16
SVOA,5300,0,7102.0,0.0,0.38,2017-03-17
SVOA,900,6400,1224.0,8760.0,0.31,2017-03-20
SVOA,0,57600,0.0,79605.0,1.47,2017-03-21
SVOA,0,16100,0.0,22331.0,0.25,2017-03-22
SVOA,0,13500,0.0,18763.0,0.62,2017-03-23
SVOA,0,2000,0.0,2771.0,0.16,2017-03-24
SVOA,0,1000,0.0,1360.0,0.04,2017-03-27
SVOA,1200,0,1632.0,0.0,0.08,2017-03-28
SVOA,1100,600,1507.0,828.0,0.16,2017-03-29
SVOA,100,0,138.0,0.0,0.01,2017-03-30
SVOA,1300,0,1781.0,0.0,0.34,2017-03-31
SVOA,6400,0,8768.0,0.0,0.32,2017-04-03
SVOA,4300,0,5934.0,0.0,0.58,2017-04-04
SVOA,20500,0,28047.0,0.0,2.24,2017-04-05
SVOA,14000,0,19045.0,0.0,0.64,2017-04-07
SVOA,1100,0,1485.0,0.0,0.05,2017-04-10
SVOA,2400,200,3260.0,272.0,0.09,2017-04-11
SVOA,80300,50500,112887.0,70837.0,0.47,2017-04-12
SVOA,0,53600,0.0,75207.0,0.4,2017-04-17
SVOA,0,26500,0.0,37119.0,1.01,2017-04-18
SVOA,40000,46700,57400.0,66380.0,1.1,2017-04-19
SVOA,15000,0,21000.0,0.0,0.76,2017-04-21
SVOA,0,15000,0.0,21750.0,0.04,2017-04-28
SVOA,100,100,149.0,147.0,0.0,2017-05-02
SVOA,0,5000,0.0,7400.0,0.06,2017-05-04
