Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
SYNTEC,235300,909680,1261255.0,4902196.0,3.99,2017-01-04
SYNTEC,18800,890831,102760.0,4858132.4,5.92,2017-01-05
SYNTEC,27800,1004931,150420.0,5500634.3,7.13,2017-01-06
SYNTEC,4300,1055370,24245.0,5980944.0,4.71,2017-01-09
SYNTEC,245200,738570,1386880.0,4200050.5,8.16,2017-01-10
SYNTEC,275300,902279,1517115.0,5013930.4,6.94,2017-01-11
SYNTEC,686600,857978,3638110.0,4563122.8,4.2,2017-01-12
SYNTEC,178600,1012041,955200.0,5417062.3,6.01,2017-01-13
SYNTEC,236700,431740,1257580.0,2304817.0,9.03,2017-01-16
SYNTEC,978900,1057700,5014995.0,5505710.0,7.56,2017-01-17
SYNTEC,2326300,1001400,11692804.0,5078686.0,5.72,2017-01-18
SYNTEC,451100,1712135,2251726.0,8565968.2,6.42,2017-01-19
SYNTEC,93900,1422647,482075.0,7340290.0,8.7,2017-01-20
SYNTEC,53900,1195663,287560.0,6379953.9,4.55,2017-01-23
SYNTEC,282300,795600,1533170.0,4325880.0,4.19,2017-01-24
SYNTEC,620500,197200,3327385.0,1079095.0,4.2,2017-01-25
SYNTEC,21700,807200,121990.0,4480440.0,2.02,2017-01-26
SYNTEC,235700,390800,1349835.0,2209020.0,1.67,2017-01-27
SYNTEC,76000,289400,446185.0,1707460.0,1.82,2017-01-30
SYNTEC,312700,65100,1816460.0,382400.0,1.64,2017-01-31
SYNTEC,383300,1024000,2292820.0,6145200.0,5.26,2017-02-01
SYNTEC,107800,363000,630680.0,2171975.0,2.92,2017-02-02
SYNTEC,273400,576000,1607610.0,3376435.0,6.74,2017-02-03
SYNTEC,374300,2344420,2159690.0,13363656.55,10.12,2017-02-06
SYNTEC,41600,2655962,240140.0,15259116.7,14.4,2017-02-07
SYNTEC,1800,701800,10350.0,4051185.0,12.74,2017-02-08
SYNTEC,195500,312800,1155350.0,1847480.0,2.43,2017-02-09
SYNTEC,46500,272702,274350.0,1607901.7,7.53,2017-02-10
SYNTEC,36500,353414,214660.0,2079542.6,6.46,2017-02-14
SYNTEC,152900,570200,882745.0,3273300.0,8.13,2017-02-15
SYNTEC,83300,272300,475790.0,1552395.0,9.72,2017-02-16
SYNTEC,54300,241857,312225.0,1395247.05,5.73,2017-02-17
SYNTEC,2600,204721,15180.0,1184622.9,6.86,2017-02-20
SYNTEC,276600,760529,1616745.0,4434952.45,12.1,2017-02-21
SYNTEC,30400,166000,176810.0,964200.0,7.1,2017-02-22
SYNTEC,2000,240900,11400.0,1375930.0,3.01,2017-02-23
SYNTEC,987100,1105400,5460000.0,6118175.0,9.02,2017-02-24
SYNTEC,99200,0,538975.0,0.0,1.55,2017-02-27
SYNTEC,81200,21200,449220.0,116805.0,2.55,2017-02-28
SYNTEC,1915800,161400,9942245.0,833380.0,5.61,2017-03-01
SYNTEC,205200,373200,1058300.0,1922120.0,6.3,2017-03-02
SYNTEC,138500,63200,722350.0,327425.0,1.54,2017-03-03
SYNTEC,1275400,72500,6555050.0,372030.0,8.16,2017-03-06
SYNTEC,53100,163300,269510.0,825190.0,2.02,2017-03-07
SYNTEC,188600,332100,930704.0,1648248.0,1.47,2017-03-08
SYNTEC,396500,38500,1951010.0,189212.0,1.83,2017-03-09
SYNTEC,212600,191000,1008348.0,926816.0,1.67,2017-03-10
SYNTEC,592300,450000,2730806.0,2063766.0,2.8,2017-03-13
SYNTEC,2791900,1283100,12543250.0,5748428.0,5.3,2017-03-14
SYNTEC,2245400,678178,10375794.0,3146087.88,3.09,2017-03-15
SYNTEC,3267300,795500,15604026.0,3788186.0,9.47,2017-03-16
SYNTEC,201500,906900,964456.0,4333764.0,6.18,2017-03-17
SYNTEC,208000,151800,985204.0,717342.0,2.64,2017-03-20
SYNTEC,56600,48200,264330.0,224836.0,1.14,2017-03-21
SYNTEC,20000,4057600,92500.0,18747066.0,26.74,2017-03-22
SYNTEC,52100,1166198,240802.0,5401961.84,6.21,2017-03-23
SYNTEC,10500,604900,48290.0,2776422.0,8.03,2017-03-24
SYNTEC,6100,168000,28060.0,772682.0,2.74,2017-03-27
SYNTEC,10000,116400,46200.0,541202.0,1.52,2017-03-28
SYNTEC,1000,1569891,4700.0,7431415.42,4.73,2017-03-29
SYNTEC,55000,773300,259500.0,3633724.0,10.36,2017-03-30
SYNTEC,3048900,7404308,14026550.0,34179133.6,50.89,2017-03-31
SYNTEC,91000,624900,420314.0,2883074.0,10.63,2017-04-03
SYNTEC,19200,98900,88320.0,454940.0,1.46,2017-04-04
SYNTEC,1690000,1214253,7801134.0,5587690.18,25.82,2017-04-05
SYNTEC,26000,872431,118620.0,3987027.74,6.54,2017-04-07
SYNTEC,26900,1324891,121020.0,5958301.22,8.66,2017-04-10
SYNTEC,0,1465968,0.0,6610745.84,8.87,2017-04-11
SYNTEC,65000,160700,294200.0,727842.0,1.47,2017-04-12
SYNTEC,0,261500,0.0,1182030.0,5.02,2017-04-17
SYNTEC,20100,715400,90050.0,3232174.0,6.52,2017-04-18
SYNTEC,1056300,678537,4732224.0,3032511.36,15.77,2017-04-19
SYNTEC,80600,603305,358980.0,2686474.3,3.77,2017-04-20
SYNTEC,151200,560800,668304.0,2478870.0,6.25,2017-04-21
SYNTEC,151100,199100,673636.0,881614.0,3.23,2017-04-24
SYNTEC,79600,165700,350158.0,732836.0,1.73,2017-04-25
SYNTEC,6300,19400,27846.0,85692.0,0.69,2017-04-26
SYNTEC,257000,75800,1141456.0,339714.0,1.97,2017-04-27
SYNTEC,20000,63000,90000.0,285530.0,1.46,2017-04-28
SYNTEC,11000,15400,49310.0,68828.0,0.38,2017-05-02
SYNTEC,68900,149100,316434.0,679392.0,0.61,2017-05-03
SYNTEC,11400,39800,52506.0,183150.0,0.45,2017-05-04
SYNTEC,54100,0,247530.0,0.0,0.46,2017-05-05
SYNTEC,92900,500,418196.0,2240.0,1.91,2017-05-08
SYNTEC,51700,143000,234518.0,642278.0,3.43,2017-05-09
SYNTEC,64100,348400,282040.0,1541316.0,3.39,2017-05-11
SYNTEC,15000,117500,65480.0,515200.0,1.28,2017-05-12
SYNTEC,2000,87400,8720.0,379634.0,1.85,2017-05-15
SYNTEC,3210500,59700,14397192.0,268260.0,20.97,2017-05-16
SYNTEC,99500,403200,451730.0,1826962.0,4.41,2017-05-17
SYNTEC,2500,74200,11368.0,337308.0,1.07,2017-05-18
SYNTEC,53900,362100,248234.0,1666272.0,1.72,2017-05-19
SYNTEC,175800,733200,818954.0,3404516.0,4.99,2017-05-22
SYNTEC,1292200,505200,6077314.0,2374176.0,7.36,2017-05-23
SYNTEC,40310,526100,190715.6,2487218.0,4.03,2017-05-24
SYNTEC,282200,324000,1336886.0,1527764.0,5.08,2017-05-25
SYNTEC,155800,1200,739966.0,5688.0,0.71,2017-05-26
SYNTEC,32000,42300,152960.0,201890.0,0.64,2017-05-29
SYNTEC,45610,132000,216191.48,626814.0,3.86,2017-05-30
SYNTEC,73800,90600,349712.0,427312.0,1.27,2017-05-31
SYNTEC,46400,24300,218080.0,114190.0,1.65,2017-06-01
SYNTEC,10800,95800,51092.0,453180.0,2.1,2017-06-02
SYNTEC,62000,3000100,291560.0,14103164.0,36.3,2017-06-05
SYNTEC,355000,624300,1682700.0,2938214.0,23.77,2017-06-06
SYNTEC,1535100,774100,7351288.0,3701960.0,6.14,2017-06-07
SYNTEC,893500,1803000,4381272.0,8752714.0,5.39,2017-06-08
SYNTEC,0,25300,0.0,122754.0,0.31,2017-06-09
SYNTEC,72100,83200,349964.0,403750.0,1.85,2017-06-12
SYNTEC,50500,1736500,249440.0,8513584.0,4.66,2017-06-13
SYNTEC,217900,286700,1083604.0,1431120.0,0.99,2017-06-14
SYNTEC,19200,41100,96350.0,207555.0,0.33,2017-06-15
SYNTEC,42600,11200,215130.0,56505.0,0.63,2017-06-16
SYNTEC,477600,225800,2503720.0,1178970.0,0.81,2017-06-19
SYNTEC,14800,841770,77460.0,4368745.5,6.12,2017-06-20
SYNTEC,57800,74100,300560.0,385320.0,1.16,2017-06-21
SYNTEC,1041000,48000,5464445.0,251915.0,6.9,2017-06-22
SYNTEC,0,112700,0.0,591800.0,0.67,2017-06-23
SYNTEC,59900,37500,310675.0,195775.0,0.83,2017-06-26
SYNTEC,219200,31800,1121205.0,163770.0,1.81,2017-06-27
SYNTEC,1231200,985200,6228510.0,4982065.0,13.79,2017-06-28
SYNTEC,160900,23600,820755.0,121535.0,1.81,2017-06-29
SYNTEC,222700,316600,1115860.0,1583204.0,3.98,2017-06-30
SYNTEC,138000,126000,688316.0,626014.0,2.93,2017-07-03
SYNTEC,199700,96000,1000880.0,482050.0,3.08,2017-07-04
SYNTEC,200,124600,1000.0,623000.0,2.27,2017-07-05
SYNTEC,10400,319600,51322.0,1583452.0,2.79,2017-07-06
SYNTEC,57600,16100,286848.0,80156.0,1.68,2017-07-07
SYNTEC,301100,387900,1505530.0,1939404.0,20.45,2017-07-11
SYNTEC,67900,105500,339500.0,530390.0,3.5,2017-07-12
SYNTEC,923200,951600,4661130.0,4773080.0,27.91,2017-07-13
SYNTEC,1141700,79500,5765120.0,400955.0,18.06,2017-07-14
SYNTEC,509500,271900,2598450.0,1380930.0,13.71,2017-07-17
SYNTEC,1590500,134400,8111550.0,686995.0,23.2,2017-07-18
SYNTEC,1492000,54400,7609200.0,277440.0,32.2,2017-07-19
SYNTEC,325000,77700,1657500.0,396270.0,11.47,2017-07-20
SYNTEC,48520,28800,247177.0,146870.0,0.88,2017-07-21
SYNTEC,20000,191200,99400.0,948710.0,2.53,2017-07-24
SYNTEC,19500,100,97500.0,496.0,0.28,2017-07-25
SYNTEC,19600,200,98980.0,1010.0,0.36,2017-07-26
SYNTEC,4900,71900,24500.0,359820.0,1.69,2017-07-27
SYNTEC,0,51400,0.0,255070.0,0.59,2017-07-31
SYNTEC,5600,365000,27776.0,1817240.0,16.88,2017-08-01
SYNTEC,0,24800,0.0,123504.0,0.61,2017-08-02
SYNTEC,0,27800,0.0,139000.0,0.87,2017-08-03
SYNTEC,31100,44300,155500.0,221342.0,4.27,2017-08-04
SYNTEC,262200,9700,1311000.0,48460.0,13.31,2017-08-07
SYNTEC,256500,92900,1295325.0,468805.0,4.37,2017-08-08
SYNTEC,12200,26500,61610.0,133825.0,0.61,2017-08-09
SYNTEC,0,244900,0.0,1222748.0,7.79,2017-08-10
SYNTEC,100000,236800,510000.0,1204600.0,1.14,2017-08-11
SYNTEC,22200,776100,113220.0,3957545.0,13.01,2017-08-15
SYNTEC,128400,526400,655140.0,2684640.0,13.61,2017-08-16
SYNTEC,63900,35200,325920.0,179520.0,1.21,2017-08-17
SYNTEC,79900,600,403665.0,3025.0,1.58,2017-08-18
SYNTEC,120600,4500,603590.0,22410.0,2.19,2017-08-21
SYNTEC,141700,0,706152.0,0.0,4.29,2017-08-22
SYNTEC,35705,600000,178700.25,3000000.0,15.95,2017-08-23
SYNTEC,25200,655100,128520.0,3341010.0,4.78,2017-08-24
SYNTEC,7362600,160300,38670840.0,830975.0,20.59,2017-08-25
SYNTEC,34605,297200,187187.25,1625575.0,0.99,2017-08-28
SYNTEC,351100,25100,1913825.0,136505.0,2.13,2017-08-29
SYNTEC,400500,56100,2204435.0,306530.0,1.9,2017-08-30
SYNTEC,281700,191900,1570335.0,1070520.0,2.96,2017-08-31
SYNTEC,142000,72700,802300.0,413255.0,1.35,2017-09-01
SYNTEC,242900,1800,1372385.0,10170.0,3.62,2017-09-04
SYNTEC,71700,17900,402930.0,100690.0,0.64,2017-09-05
SYNTEC,692000,131300,3925390.0,741595.0,7.67,2017-09-06
SYNTEC,336800,14100,1871115.0,79565.0,5.21,2017-09-07
SYNTEC,1226500,1075300,6687115.0,5906140.0,7.0,2017-09-08
SYNTEC,644200,1209900,3521645.0,6601785.0,8.28,2017-09-11
SYNTEC,455700,0,2484205.0,0.0,6.61,2017-09-12
SYNTEC,960600,879000,5288220.0,4834490.0,5.52,2017-09-13
SYNTEC,565500,268800,3097150.0,1469205.0,9.47,2017-09-14
SYNTEC,657500,587800,3557890.0,3178510.0,6.43,2017-09-15
SYNTEC,647200,1339900,3556325.0,7349950.0,12.48,2017-09-18
SYNTEC,284100,763200,1568370.0,4230630.0,10.03,2017-09-19
SYNTEC,229900,217400,1276260.0,1206570.0,11.18,2017-09-20
SYNTEC,74900,33400,409145.0,182030.0,1.12,2017-09-21
SYNTEC,628500,2140500,3450950.0,11769530.0,10.71,2017-09-22
SYNTEC,471200,977500,2606110.0,5422370.0,8.82,2017-09-25
SYNTEC,5248900,5204500,30480560.0,30321670.0,9.16,2017-09-26
SYNTEC,370100,472700,2156690.0,2755815.0,2.86,2017-09-27
SYNTEC,1182900,1231600,6905380.0,7203405.0,9.42,2017-09-28
SYNTEC,9455000,10728300,56377340.0,63798015.0,20.59,2017-09-29
SYNTEC,113000,1314500,683650.0,7868340.0,5.98,2017-10-02
SYNTEC,250200,450600,1489840.0,2698785.0,4.84,2017-10-03
SYNTEC,384500,912700,2294960.0,5411470.0,4.52,2017-10-04
SYNTEC,341900,175400,2010665.0,1033925.0,2.73,2017-10-05
SYNTEC,431200,57400,2529515.0,337185.0,3.06,2017-10-06
SYNTEC,322000,114400,1898150.0,669920.0,5.2,2017-10-09
SYNTEC,216000,789200,1249510.0,4583890.0,6.49,2017-10-10
SYNTEC,233800,276600,1391410.0,1645855.0,2.7,2017-10-11
SYNTEC,885900,129500,5320345.0,771700.0,6.17,2017-10-12
SYNTEC,736232,373100,4433306.8,2240105.0,8.05,2017-10-16
SYNTEC,247300,412800,1480495.0,2462265.0,6.79,2017-10-17
SYNTEC,440332,369900,2614520.2,2196260.0,7.12,2017-10-18
SYNTEC,3013700,127000,17234140.0,730550.0,8.03,2017-10-19
SYNTEC,874900,638764,4991095.0,3664642.0,12.61,2017-10-20
SYNTEC,3021300,185600,17766300.0,1088245.0,13.85,2017-10-24
SYNTEC,1993800,289100,11949745.0,1740790.0,8.76,2017-10-25
SYNTEC,2496200,1214700,15595370.0,7597365.0,8.84,2017-10-27
SYNTEC,459100,42200,2790870.0,257105.0,3.84,2017-10-30
SYNTEC,1097900,59900,6807880.0,371120.0,5.11,2017-10-31
SYNTEC,411200,241000,2529540.0,1479295.0,7.01,2017-11-01
SYNTEC,522900,278500,3223290.0,1697190.0,3.77,2017-11-02
SYNTEC,527800,242500,3265210.0,1491875.0,3.93,2017-11-03
SYNTEC,876778,91400,5516682.5,573585.0,4.12,2017-11-06
SYNTEC,1295900,217578,8181645.0,1370042.5,8.73,2017-11-07
SYNTEC,738600,354700,4698120.0,2247195.0,7.97,2017-11-08
SYNTEC,2056800,1063000,12561415.0,6457240.0,7.49,2017-11-09
SYNTEC,2313700,498400,13617100.0,2963890.0,7.04,2017-11-10
SYNTEC,306300,461700,1785550.0,2696925.0,4.2,2017-11-13
SYNTEC,2145000,552300,12689595.0,3266280.0,10.94,2017-11-14
SYNTEC,1354800,535900,7950550.0,3156400.0,10.72,2017-11-15
SYNTEC,584100,383700,3414600.0,2243430.0,9.06,2017-11-16
SYNTEC,883700,1884100,5176455.0,11022320.0,15.13,2017-11-17
SYNTEC,489400,405300,2843515.0,2355550.0,9.98,2017-11-20
SYNTEC,775700,514400,4507790.0,2983635.0,11.9,2017-11-21
SYNTEC,1368500,834900,7822985.0,4760310.0,12.77,2017-11-22
SYNTEC,300400,566900,1715970.0,3232185.0,8.28,2017-11-23
SYNTEC,578700,734508,3286590.0,4164875.2,10.89,2017-11-24
SYNTEC,496500,38900,2818575.0,219115.0,9.45,2017-11-27
SYNTEC,132500,566471,761875.0,3238177.85,14.65,2017-11-28
SYNTEC,146200,237800,843460.0,1368785.0,11.34,2017-11-29
SYNTEC,152400,319600,870010.0,1816695.0,8.75,2017-11-30
SYNTEC,183700,609900,1049930.0,3467245.0,14.78,2017-12-01
SYNTEC,509800,739500,2898925.0,4197895.0,30.58,2017-12-04
SYNTEC,992700,2522000,5508620.0,13951625.0,17.93,2017-12-06
SYNTEC,182900,207800,1012735.0,1149030.0,11.72,2017-12-07
SYNTEC,216000,388200,1209875.0,2167660.0,18.02,2017-12-08
SYNTEC,827200,1821222,4494840.0,9887491.0,16.51,2017-12-12
SYNTEC,788700,1094700,4229035.0,5874315.0,23.28,2017-12-13
SYNTEC,586800,901600,3200925.0,4913850.0,21.89,2017-12-14
SYNTEC,215300,625400,1178970.0,3436695.0,19.65,2017-12-15
SYNTEC,272300,908434,1496100.0,5001131.1,21.11,2017-12-18
SYNTEC,441700,1239200,2436220.0,6843430.0,18.31,2017-12-19
SYNTEC,379700,748900,2112960.0,4158790.0,18.56,2017-12-20
SYNTEC,163600,331700,905680.0,1841445.0,21.73,2017-12-21
SYNTEC,276401,756300,1550170.6,4230595.0,19.58,2017-12-22
SYNTEC,337400,910200,1860795.0,5021975.0,12.69,2017-12-25
SYNTEC,453600,784300,2510265.0,4335900.0,14.34,2017-12-26
SYNTEC,513000,427700,2873670.0,2397270.0,14.52,2017-12-27
SYNTEC,192100,295200,1066985.0,1640660.0,16.58,2017-12-28
SYNTEC,207100,319700,1145575.0,1768520.0,13.03,2017-12-29
SYNTEC,232400,271000,1289970.0,1507715.0,13.89,2018-01-03
SYNTEC,571000,1231500,3180935.0,6838065.0,15.99,2018-01-04
SYNTEC,3815000,3048000,22005495.0,17563795.0,15.99,2018-01-05
SYNTEC,1554000,2464901,9106845.0,14432945.85,13.49,2018-01-08
SYNTEC,1084500,1803755,6371945.0,10597429.0,14.94,2018-01-09
SYNTEC,416100,628300,2429955.0,3674995.0,17.39,2018-01-10
SYNTEC,308000,586547,1797500.0,3426987.6,19.69,2018-01-11
SYNTEC,846400,1352206,4949200.0,7917484.3,12.08,2018-01-12
SYNTEC,283100,1031821,1628595.0,5947176.05,16.07,2018-01-15
SYNTEC,333400,620400,1927375.0,3578295.0,16.17,2018-01-16
SYNTEC,330000,704300,1901205.0,4066345.0,14.87,2018-01-17
SYNTEC,518800,577100,2997815.0,3332215.0,22.99,2018-01-18
SYNTEC,716000,1818700,4015390.0,10212540.0,15.32,2018-01-19
SYNTEC,831000,1020400,4591485.0,5620765.0,15.58,2018-01-22
SYNTEC,196204,1146662,1082457.4,6352724.1,19.2,2018-01-23
SYNTEC,616400,1805979,3452080.0,10180678.45,20.39,2018-01-24
SYNTEC,217100,1287100,1216920.0,7256290.0,19.46,2018-01-25
SYNTEC,171800,420842,960170.0,2351906.0,16.69,2018-01-26
SYNTEC,228400,537600,1282595.0,3022080.0,19.05,2018-01-29
SYNTEC,358500,669316,2005285.0,3751415.4,13.17,2018-01-30
SYNTEC,5750400,2121557,33323650.0,12354902.05,24.58,2018-01-31
SYNTEC,1005900,989300,5833395.0,5732000.0,18.98,2018-02-01
SYNTEC,434700,1270320,2487835.0,7241727.15,13.87,2018-02-02
SYNTEC,398900,1592726,2216665.0,8852426.7,14.65,2018-02-05
SYNTEC,1218300,1108196,6584075.0,6012273.6,15.47,2018-02-06
SYNTEC,370500,472200,2044270.0,2602290.0,11.95,2018-02-07
SYNTEC,115000,554380,635050.0,3073781.5,25.91,2018-02-08
SYNTEC,59200,154229,324865.0,848306.6,8.53,2018-02-09
SYNTEC,178200,166000,996220.0,928195.0,11.73,2018-02-12
SYNTEC,234700,292900,1316780.0,1641965.0,18.02,2018-02-13
SYNTEC,197000,1305900,1106535.0,7336405.0,34.48,2018-02-14
SYNTEC,553300,6101000,3027565.0,33175550.0,30.7,2018-02-15
SYNTEC,81800,55400,451220.0,305770.0,6.9,2018-02-16
SYNTEC,10500,222000,57670.0,1217545.0,8.26,2018-02-19
SYNTEC,92500,186700,504240.0,1022660.0,9.28,2018-02-20
SYNTEC,126300,411723,688335.0,2243745.35,22.22,2018-02-21
SYNTEC,314500,657700,1677960.0,3494060.0,8.54,2018-02-22
SYNTEC,107300,322300,578355.0,1727660.0,8.81,2018-02-23
SYNTEC,292700,277700,1585820.0,1506715.0,9.46,2018-02-26
SYNTEC,966700,428200,5351290.0,2347840.0,6.83,2018-02-27
SYNTEC,162100,32000,865550.0,172980.0,2.02,2018-02-28
SYNTEC,100500,418776,542675.0,2226562.15,6.84,2018-03-02
SYNTEC,445300,259400,2320425.0,1354255.0,9.02,2018-03-05
SYNTEC,301700,318900,1550580.0,1645445.0,7.98,2018-03-06
SYNTEC,94300,267000,484140.0,1378755.0,9.57,2018-03-07
SYNTEC,64400,85700,335010.0,446130.0,5.38,2018-03-08
SYNTEC,660500,197900,3449655.0,1032640.0,21.75,2018-03-09
SYNTEC,174700,614400,895810.0,3153030.0,10.54,2018-03-12
SYNTEC,220400,772800,1123880.0,3940980.0,21.83,2018-03-13
SYNTEC,128500,247200,663110.0,1271815.0,13.02,2018-03-14
SYNTEC,679300,185000,3588280.0,979505.0,14.85,2018-03-15
SYNTEC,177400,150600,941880.0,800080.0,16.7,2018-03-16
SYNTEC,412600,548600,2198400.0,2918440.0,15.36,2018-03-19
SYNTEC,53700,83800,281530.0,439315.0,9.5,2018-03-20
SYNTEC,273800,137000,1471050.0,734040.0,4.48,2018-03-21
SYNTEC,169000,275200,904760.0,1470680.0,12.09,2018-03-22
SYNTEC,31200,214100,164575.0,1132385.0,11.58,2018-03-23
SYNTEC,323300,220200,1692530.0,1153830.0,13.68,2018-03-26
SYNTEC,178900,459300,935315.0,2398395.0,18.64,2018-03-27
SYNTEC,179000,436000,921180.0,2247110.0,9.63,2018-03-28
SYNTEC,410600,290200,2064707.0,1466482.0,7.52,2018-03-29
SYNTEC,152300,182300,767480.0,917935.0,7.83,2018-03-30
SYNTEC,136200,137100,687525.0,693215.0,11.26,2018-04-02
SYNTEC,123200,228800,616255.0,1143261.0,8.68,2018-04-03
SYNTEC,739400,969900,3577050.0,4682526.0,6.03,2018-04-04
SYNTEC,336800,304500,1624932.0,1470942.0,9.44,2018-04-05
SYNTEC,363800,1372200,1743806.0,6564176.0,22.93,2018-04-09
SYNTEC,271500,197500,1304822.0,947284.0,10.67,2018-04-10
SYNTEC,492500,1226600,2411420.0,6009332.0,16.8,2018-04-11
SYNTEC,148500,387400,727746.0,1896636.0,21.83,2018-04-12
SYNTEC,90600,347100,444278.0,1698018.0,17.92,2018-04-17
SYNTEC,558800,2226400,2696818.0,10731824.0,23.33,2018-04-18
SYNTEC,146300,634700,705190.0,3057850.0,16.59,2018-04-19
SYNTEC,883200,673400,4296606.0,3271218.0,26.31,2018-04-20
SYNTEC,139300,84800,677258.0,412492.0,8.32,2018-04-23
SYNTEC,229400,112800,1125006.0,551572.0,10.63,2018-04-24
SYNTEC,167000,868500,806306.0,4166946.0,16.54,2018-04-25
SYNTEC,89900,580900,431518.0,2788696.0,23.6,2018-04-26
SYNTEC,839500,3144900,3842160.0,14441070.0,12.04,2018-04-27
SYNTEC,955600,3594200,4267188.0,15810222.0,16.8,2018-04-30
SYNTEC,4470700,3018900,18829498.0,12786040.0,8.81,2018-05-02
SYNTEC,2776100,955700,12053992.0,4148974.0,13.86,2018-05-03
SYNTEC,625200,584100,2743406.0,2563974.0,6.87,2018-05-04
SYNTEC,776400,253300,3419196.0,1115020.0,14.96,2018-05-07
SYNTEC,650500,326300,2851382.0,1431290.0,13.85,2018-05-08
SYNTEC,790400,149700,3380640.0,638842.0,15.91,2018-05-09
SYNTEC,757000,639116,3183456.0,2689897.84,14.33,2018-05-10
SYNTEC,274800,86600,1157752.0,363974.0,13.17,2018-05-11
SYNTEC,257800,180794,1097982.0,770050.92,11.79,2018-05-14
SYNTEC,483800,179690,2083890.0,769778.0,15.27,2018-05-15
SYNTEC,150500,308800,638570.0,1304566.0,2.54,2018-05-16
SYNTEC,469600,544000,2058596.0,2376170.0,6.57,2018-05-17
SYNTEC,245600,358500,1068682.0,1558192.0,12.49,2018-05-18
SYNTEC,809655,649235,3613151.6,2870081.4,5.5,2018-05-21
SYNTEC,998100,837320,4544000.0,3798177.6,9.68,2018-05-22
SYNTEC,1078700,345700,5005554.0,1606978.0,9.53,2018-05-23
SYNTEC,401900,711300,1857028.0,3274542.0,7.13,2018-05-24
SYNTEC,362100,277800,1661828.0,1274536.0,6.61,2018-05-25
SYNTEC,429600,147900,1980266.0,681468.0,8.48,2018-05-28
SYNTEC,425700,1363200,1942004.0,6216818.0,16.39,2018-05-30
