Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
TASCO,1455600,2100800,27780900.0,39972240.0,12.19,2017-01-04
TASCO,8467200,6954100,168658500.0,138428420.0,11.61,2017-01-05
TASCO,3739700,4141400,78237920.0,86772990.0,7.94,2017-01-06
TASCO,2669000,2884100,56989420.0,61526530.0,6.59,2017-01-09
TASCO,2698000,2981033,59193900.0,65374832.8,5.68,2017-01-10
TASCO,4524600,6242400,105099100.0,144718350.0,5.26,2017-01-11
TASCO,2745558,3785300,64324948.8,88886200.0,4.07,2017-01-12
TASCO,1957100,2187100,45395990.0,50776030.0,4.27,2017-01-13
TASCO,2211100,2031800,52057850.0,47821390.0,4.25,2017-01-16
TASCO,2890300,1843500,67881170.0,43249550.0,10.0,2017-01-17
TASCO,3761200,2100900,87434170.0,48850780.0,9.51,2017-01-18
TASCO,4179600,2202500,95143920.0,50094620.0,15.26,2017-01-19
TASCO,2292800,1571700,53077160.0,36413880.0,8.72,2017-01-20
TASCO,616300,378430,14303550.0,8799075.0,4.4,2017-01-23
TASCO,1204500,482100,27979360.0,11160320.0,5.31,2017-01-24
TASCO,1556500,2138900,36365860.0,50019440.0,10.19,2017-01-25
TASCO,92100,832100,2125210.0,19248300.0,4.09,2017-01-26
TASCO,134000,226600,3102440.0,5241810.0,2.25,2017-01-27
TASCO,452100,558400,10540740.0,12997370.0,2.94,2017-01-30
TASCO,412500,688400,9539300.0,15920270.0,6.01,2017-01-31
TASCO,1628800,1664200,37233400.0,38181770.0,8.0,2017-02-01
TASCO,1138000,692800,26118330.0,15902870.0,4.44,2017-02-02
TASCO,2273400,2783496,52651860.0,64418848.0,21.65,2017-02-03
TASCO,7382500,6834600,180877100.0,168074860.0,8.45,2017-02-06
TASCO,5356700,4245300,133609370.0,105983200.0,10.39,2017-02-07
TASCO,3304300,2820800,82395170.0,70155970.0,9.88,2017-02-08
TASCO,2703100,2586300,68175440.0,64999870.0,10.62,2017-02-09
TASCO,514200,290500,12881020.0,7244200.0,4.94,2017-02-10
TASCO,1564500,1767200,38361400.0,43361510.0,8.44,2017-02-14
TASCO,264200,1849023,6433900.0,44963703.6,8.39,2017-02-15
TASCO,590000,603000,14507340.0,14808920.0,4.24,2017-02-16
TASCO,1521400,199900,37899660.0,4982940.0,2.77,2017-02-17
TASCO,1629115,1297600,40496323.5,32194010.0,12.06,2017-02-20
TASCO,974715,1489416,23909792.0,36660241.2,9.69,2017-02-21
TASCO,8738700,1865914,220911490.0,46981268.5,10.08,2017-02-22
TASCO,6615200,3214515,172538250.0,83967361.25,13.58,2017-02-23
TASCO,7606100,3193700,198410450.0,83156775.0,17.09,2017-02-24
TASCO,2477900,265400,64963675.0,6916325.0,8.7,2017-02-27
TASCO,841900,164800,21760850.0,4219375.0,5.56,2017-02-28
TASCO,1407000,192300,36989300.0,5067050.0,4.05,2017-03-01
TASCO,867300,1330900,23257075.0,35403225.0,7.65,2017-03-02
TASCO,1177900,377900,31391375.0,10003175.0,5.72,2017-03-03
TASCO,1175200,357078,30998750.0,9363908.5,6.32,2017-03-06
TASCO,787900,317680,20740575.0,8325255.0,4.55,2017-03-07
TASCO,1334400,513150,34653950.0,13432600.0,3.64,2017-03-08
TASCO,459200,557000,12124750.0,14862300.0,2.94,2017-03-09
TASCO,1455700,1457500,39197625.0,39211625.0,4.7,2017-03-10
TASCO,211400,792538,5615375.0,21076522.5,4.14,2017-03-13
TASCO,1084300,1391570,29796625.0,38320090.0,3.74,2017-03-14
TASCO,3407900,2581396,95115925.0,72199922.5,8.11,2017-03-15
TASCO,2379200,1284477,66105900.0,35652303.25,6.16,2017-03-16
TASCO,1096628,2157713,29865123.0,58623104.25,11.84,2017-03-17
TASCO,352400,617441,9625850.0,16854242.0,4.51,2017-03-20
TASCO,492200,390540,13350425.0,10654240.0,5.29,2017-03-21
TASCO,831000,537000,22153325.0,14335600.0,4.98,2017-03-22
TASCO,9995200,3120716,255559725.0,79758179.0,8.99,2017-03-23
TASCO,2476500,1907800,63810025.0,48580025.0,5.27,2017-03-24
TASCO,3628000,1202100,95244075.0,31361875.0,15.0,2017-03-27
TASCO,1432700,807700,37452025.0,21022350.0,11.49,2017-03-28
