Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
TC,26000,0,91600.0,0.0,0.42,2017-01-13
TC,10000,84800,34800.0,294744.0,4.27,2017-01-16
TC,1000,0,3480.0,0.0,0.12,2017-01-18
TC,108700,150000,378828.0,534000.0,2.66,2017-01-26
TC,50000,108700,177000.0,388952.0,8.01,2017-01-27
TC,100000,0,347000.0,0.0,12.49,2017-01-30
TC,0,25000,0.0,86500.0,13.24,2017-01-31
TC,15000,11000,51300.0,38236.0,4.3,2017-02-01
TC,5900,0,20060.0,0.0,3.14,2017-02-02
TC,0,57500,0.0,192100.0,14.47,2017-02-21
TC,0,17500,0.0,58150.0,1.22,2017-02-22
TC,2000,0,6520.0,0.0,2.37,2017-02-23
TC,0,20100,0.0,65230.0,14.1,2017-02-24
TC,10000,0,31400.0,0.0,1.56,2017-02-27
TC,0,23600,0.0,74104.0,9.25,2017-03-01
TC,1300,0,4322.0,0.0,0.38,2017-03-21
TC,3100,300,10696.0,1044.0,0.17,2017-04-07
TC,100,0,338.0,0.0,0.07,2017-04-11
TC,1500,0,4900.0,0.0,0.15,2017-04-12
TC,0,1500,0.0,4950.0,3.38,2017-04-24
TC,0,1700,0.0,5542.0,1.04,2017-05-03
TC,2800,0,8960.0,0.0,1.71,2017-05-04
TC,0,100,0.0,316.0,0.3,2017-05-17
TC,80000,0,285000.0,0.0,0.8,2017-05-23
TC,39300,10000,138970.0,33600.0,1.07,2017-05-24
TC,33200,88700,115932.0,311638.0,2.2,2017-05-25
TC,37000,2600,123000.0,8996.0,1.63,2017-05-26
TC,24000,0,78580.0,0.0,2.45,2017-05-29
TC,15000,19700,48440.0,63434.0,1.94,2017-05-30
TC,9000,10000,28890.0,32200.0,4.14,2017-05-31
TC,20000,17000,64300.0,56360.0,1.97,2017-06-01
TC,100,0,322.0,0.0,0.05,2017-06-02
TC,50000,0,161000.0,0.0,24.13,2017-06-06
TC,5900,0,18880.0,0.0,5.18,2017-06-07
TC,2000,21000,6400.0,67620.0,8.21,2017-06-08
TC,1100,0,3542.0,0.0,1.3,2017-06-14
TC,50000,0,161000.0,0.0,25.23,2017-06-15
TC,8000,0,25760.0,0.0,3.2,2017-06-19
TC,9500,0,30410.0,0.0,0.84,2017-06-21
TC,6100,0,19398.0,0.0,5.21,2017-06-22
TC,28800,41600,93792.0,140164.0,1.18,2017-06-23
TC,11500,25800,38410.0,87488.0,1.87,2017-06-26
TC,56400,0,184942.0,0.0,9.03,2017-06-27
TC,11000,0,35420.0,0.0,1.86,2017-06-28
TC,1000,0,3200.0,0.0,0.42,2017-06-29
TC,3000,0,9654.0,0.0,12.71,2017-06-30
TC,5000,0,16000.0,0.0,3.06,2017-07-03
TC,1000,0,3240.0,0.0,7.81,2017-07-07
TC,2000,1000,6480.0,3280.0,4.08,2017-07-12
TC,1000,0,3240.0,0.0,0.61,2017-07-13
TC,2000,0,6480.0,0.0,5.71,2017-07-18
TC,100,0,322.0,0.0,0.11,2017-07-27
TC,1000,0,3180.0,0.0,0.65,2017-07-31
TC,300,0,954.0,0.0,2.05,2017-08-03
TC,0,13900,0.0,43646.0,3.46,2017-08-04
TC,500,0,1574.0,0.0,0.74,2017-08-07
TC,1000,0,3120.0,0.0,2.29,2017-08-08
TC,5000,0,15500.0,0.0,2.02,2017-08-09
TC,12000,0,36160.0,0.0,1.47,2017-08-10
TC,3000,0,9020.0,0.0,0.44,2017-08-11
TC,18900,167000,54304.0,479062.0,6.63,2017-08-15
TC,100,0,288.0,0.0,0.05,2017-08-17
TC,0,1000,0.0,2900.0,0.62,2017-08-18
TC,17500,10000,51114.0,28836.0,41.67,2017-08-21
TC,2000,0,5840.0,0.0,40.0,2017-08-22
TC,1000,2500,2960.0,7400.0,28.69,2017-08-23
TC,0,2500,0.0,7400.0,13.16,2017-08-25
TC,400,1000,1152.0,2980.0,1.72,2017-08-28
TC,0,100,0.0,308.0,0.07,2017-08-29
TC,300,400,900.0,1224.0,0.81,2017-08-30
TC,1500,1500,4560.0,4640.0,1.57,2017-08-31
TC,1700,0,5270.0,0.0,2.49,2017-09-01
TC,0,200,0.0,620.0,1.27,2017-09-04
TC,0,56300,0.0,179964.0,6.53,2017-09-05
TC,14000,0,44520.0,0.0,14.46,2017-09-07
TC,10000,800,31600.0,2592.0,4.77,2017-09-11
TC,5900,200,18552.0,644.0,16.04,2017-09-12
TC,4000,10000,12480.0,31400.0,8.61,2017-09-13
TC,10000,10000,31200.0,31200.0,16.41,2017-09-19
TC,0,20000,0.0,63200.0,23.58,2017-09-20
TC,0,10000,0.0,32000.0,3.59,2017-09-21
TC,0,11800,0.0,37746.0,11.43,2017-09-22
TC,0,5000,0.0,16000.0,9.12,2017-09-25
TC,20000,40000,64000.0,127600.0,50.0,2017-09-27
TC,100,30400,322.0,96672.0,30.14,2017-09-28
TC,0,24500,0.0,78400.0,26.23,2017-09-29
TC,0,5000,0.0,16000.0,2.37,2017-10-02
TC,0,10000,0.0,31400.0,21.19,2017-10-04
TC,23000,0,72220.0,0.0,34.02,2017-10-20
TC,1000,0,3140.0,0.0,6.94,2017-10-24
TC,0,2500,0.0,7850.0,5.51,2017-10-25
TC,15000,0,47700.0,0.0,49.67,2017-10-27
TC,14000,0,43120.0,0.0,2.24,2017-10-30
TC,0,300,0.0,930.0,0.41,2017-11-02
TC,1000,0,3020.0,0.0,1.16,2017-11-03
TC,10000,0,30000.0,0.0,10.92,2017-11-06
TC,2000,0,6000.0,0.0,9.09,2017-11-07
TC,1000,0,3000.0,0.0,3.33,2017-11-10
TC,1200,1000,3600.0,3100.0,4.12,2017-11-13
TC,2800,0,8400.0,0.0,5.2,2017-11-14
TC,2000,0,5960.0,0.0,4.48,2017-11-16
TC,6000,0,18000.0,0.0,33.71,2017-11-20
TC,2000,15000,6000.0,44700.0,10.17,2017-11-22
TC,100,0,300.0,0.0,0.38,2017-11-23
TC,0,20000,0.0,60000.0,16.39,2017-12-07
TC,5000,0,14900.0,0.0,24.75,2017-12-21
TC,0,100,0.0,298.0,0.15,2017-12-26
TC,0,2000,0.0,6080.0,2.9,2017-12-28
TC,8000,0,24960.0,0.0,23.53,2018-01-04
TC,49300,0,153816.0,0.0,27.57,2018-01-05
TC,10000,0,30600.0,0.0,48.08,2018-02-01
TC,0,20000,0.0,62000.0,20.33,2018-02-07
TC,0,57300,0.0,171910.0,45.77,2018-02-09
TC,5000,0,15000.0,0.0,50.0,2018-02-21
TC,400,0,1216.0,0.0,16.67,2018-02-27
TC,0,2500,0.0,7540.0,9.53,2018-03-02
TC,200,0,584.0,0.0,0.33,2018-03-05
TC,0,5000,0.0,14700.0,18.94,2018-03-09
TC,2000,1000,5920.0,2960.0,50.0,2018-03-16
TC,0,200,0.0,596.0,50.0,2018-03-19
TC,0,300,0.0,894.0,18.75,2018-03-20
TC,800,0,2408.0,0.0,44.44,2018-03-27
TC,3500,0,10360.0,0.0,50.0,2018-04-18
TC,3300,0,9504.0,0.0,2.93,2018-04-24
TC,11200,0,32078.0,0.0,44.8,2018-04-25
TC,0,1000,0.0,2900.0,13.15,2018-04-30
TC,305200,0,891184.0,0.0,49.67,2018-05-02
TC,5000,9100,14200.0,25926.0,70.5,2018-05-09
TC,0,7000,0.0,19740.0,8.33,2018-05-15
TC,0,5400,0.0,15336.0,50.0,2018-05-16
TC,0,500,0.0,1420.0,1.62,2018-05-21
TC,0,4500,0.0,12780.0,10.56,2018-05-22
TC,1000,0,2860.0,0.0,11.11,2018-05-28
TC,1100,0,3168.0,0.0,7.53,2018-05-30
TC,25400,65300,73660.0,190506.0,56.83,2018-06-05
TC,0,3500,0.0,10220.0,36.46,2018-06-06
TC,0,20200,0.0,58984.0,20.04,2018-06-07
TC,301700,0,874930.0,0.0,38.14,2018-06-19
TC,200,0,580.0,0.0,0.16,2018-06-20
TC,22300,200,63898.0,572.0,30.0,2018-06-21
TC,400,0,1144.0,0.0,20.0,2018-06-25
TC,600,0,1716.0,0.0,3.0,2018-06-26
TC,0,500,0.0,1430.0,4.17,2018-06-27
TC,0,8000,0.0,23280.0,34.48,2018-07-09
TC,0,58300,0.0,172568.0,40.21,2018-07-10
TC,500,0,1500.0,0.0,1.66,2018-07-24
TC,0,1000,0.0,3080.0,1.65,2018-07-25
TC,0,700,0.0,2198.0,1.25,2018-07-31
TC,800,300,2480.0,942.0,1.25,2018-08-01
TC,0,1300,0.0,4030.0,8.33,2018-08-02
TC,5000,0,15400.0,0.0,17.99,2018-08-03
TC,200,0,612.0,0.0,0.27,2018-08-06
TC,8200,10400,25584.0,33080.0,14.44,2018-08-07
TC,6500,23000,20410.0,73400.0,17.9,2018-08-08
TC,0,24000,0.0,76600.0,12.45,2018-08-10
TC,5000,0,15700.0,0.0,2.12,2018-08-14
TC,500,13200,1580.0,42060.0,12.48,2018-08-15
TC,0,10000,0.0,31800.0,4.01,2018-08-17
TC,600,10200,1884.0,32032.0,14.05,2018-08-22
TC,2100,1300,6594.0,4108.0,1.59,2018-08-23
TC,0,1500,0.0,4824.0,0.37,2018-08-24
TC,10000,0,31800.0,0.0,40.0,2018-08-27
TC,4000,5000,12640.0,15800.0,3.1,2018-08-28
TC,5000,28000,15700.0,87920.0,58.36,2018-08-29
TC,5000,0,15800.0,0.0,10.0,2018-08-31
TC,30000,0,92600.0,0.0,23.28,2018-09-03
TC,10000,0,30800.0,0.0,8.33,2018-09-05
TC,10000,0,30800.0,0.0,9.99,2018-09-10
TC,10000,0,30600.0,0.0,7.1,2018-09-11
TC,15000,0,45600.0,0.0,17.72,2018-09-12
TC,20600,100,62412.0,308.0,14.67,2018-09-13
TC,10000,14900,30600.0,45594.0,18.57,2018-09-14
TC,20000,0,60800.0,0.0,9.08,2018-09-18
TC,11900,0,36176.0,0.0,7.92,2018-09-19
TC,6500,0,19760.0,0.0,3.72,2018-09-21
TC,84400,3500,258064.0,10710.0,37.82,2018-09-25
TC,2000,0,6120.0,0.0,25.0,2018-10-02
TC,10000,0,30200.0,0.0,31.65,2018-10-05
TC,878500,0,2600360.0,0.0,49.45,2018-10-10
TC,26200,0,77552.0,0.0,50.0,2018-10-11
TC,0,3400,0.0,10132.0,45.95,2018-10-17
TC,0,1600,0.0,4770.0,47.06,2018-10-18
TC,2000,0,5920.0,0.0,50.0,2018-10-24
TC,900,0,2664.0,0.0,23.68,2018-10-25
TC,0,2000,0.0,6220.0,7.09,2018-11-12
TC,5000,36900,16400.0,123764.0,2.31,2018-11-14
TC,0,6000,0.0,19700.0,7.75,2018-11-15
TC,0,20000,0.0,65600.0,4.45,2018-11-16
TC,0,500,0.0,1640.0,0.75,2018-11-19
TC,0,19000,0.0,61940.0,23.75,2018-11-20
TC,0,5000,0.0,16200.0,25.0,2018-11-22
