Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
TCOAT,1100,0,38500.0,0.0,15.71,2017-01-06
TCOAT,0,100,0.0,3500.0,1.79,2017-01-10
TCOAT,0,5800,0.0,213150.0,41.43,2017-02-08
TCOAT,1500,0,58100.0,0.0,21.43,2017-02-17
TCOAT,0,1000,0.0,33375.0,1.47,2017-02-28
TCOAT,0,500,0.0,16125.0,13.89,2017-03-06
TCOAT,1000,0,29700.0,0.0,38.43,2017-10-25
TCOAT,200,0,5650.0,0.0,4.55,2017-10-27
TCOAT,0,1100,0.0,31350.0,49.95,2017-11-06
TCOAT,0,200,0.0,5500.0,6.25,2017-11-14
TCOAT,0,1000,0.0,28000.0,20.0,2018-05-17
TCOAT,400,0,12000.0,0.0,2.38,2019-02-27
TCOAT,0,400,0.0,11100.0,50.0,2019-03-08
