Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
TEAM,24500,360000,36963.0,553815.0,0.97,2017-01-04
TEAM,17400,5500,26271.0,8251.0,0.12,2017-01-05
TEAM,127600,21200,194950.0,32603.0,0.4,2017-01-06
TEAM,2400,36100,3514.0,54131.0,0.49,2017-01-09
TEAM,119500,700,175520.0,1023.0,2.92,2017-01-10
TEAM,49900,80600,75451.0,127704.0,0.16,2017-01-11
TEAM,7400,40000,11148.0,59600.0,0.46,2017-01-12
TEAM,21000,24600,32310.0,36900.0,0.57,2017-01-13
TEAM,200,140300,300.0,210442.0,4.62,2017-01-16
TEAM,6100,71700,9088.0,107552.0,1.45,2017-01-17
TEAM,500,300,728.0,440.0,0.02,2017-01-18
TEAM,3700,43600,5250.0,62732.0,0.92,2017-01-19
TEAM,31700,32600,44697.0,46618.0,2.69,2017-01-20
TEAM,0,20000,0.0,29000.0,1.96,2017-01-23
TEAM,0,80000,0.0,115200.0,3.97,2017-01-24
TEAM,4400,7800,6424.0,11462.0,0.9,2017-01-25
TEAM,0,300,0.0,437.0,0.02,2017-01-26
TEAM,10100,5000,14443.0,7200.0,1.03,2017-01-27
TEAM,22700,100,32661.0,144.0,2.4,2017-01-30
TEAM,5500,0,7865.0,0.0,0.46,2017-01-31
TEAM,0,300,0.0,429.0,0.05,2017-02-01
TEAM,4800,33000,6868.0,48049.0,0.36,2017-02-02
TEAM,0,31000,0.0,44851.0,2.23,2017-02-03
TEAM,48400,70200,70788.0,103096.0,0.72,2017-02-06
TEAM,200,15400,292.0,22484.0,0.43,2017-02-07
TEAM,0,10200,0.0,14688.0,1.24,2017-02-10
TEAM,200,5000,286.0,7150.0,0.42,2017-02-14
TEAM,50000,0,70500.0,0.0,2.93,2017-02-15
TEAM,21000,0,29804.0,0.0,1.27,2017-02-16
TEAM,20100,26000,28541.0,37428.0,3.72,2017-02-17
TEAM,0,50000,0.0,71500.0,2.4,2017-02-20
TEAM,74300,87300,107428.0,125912.0,1.46,2017-02-21
TEAM,20000,0,28400.0,0.0,0.86,2017-02-22
TEAM,20000,20000,28600.0,28000.0,0.48,2017-02-23
TEAM,4300,15000,5944.0,20551.0,0.55,2017-02-24
TEAM,21900,17600,29554.0,23588.0,2.53,2017-02-27
TEAM,1700,1200,2249.0,1586.0,0.18,2017-02-28
TEAM,23600,1300,31131.0,1710.0,1.6,2017-03-01
TEAM,2600,1000,3409.0,1311.0,0.37,2017-03-02
TEAM,33000,2800,43328.0,3711.0,0.99,2017-03-03
TEAM,41300,0,53893.0,0.0,6.54,2017-03-06
TEAM,13100,900,17160.0,1187.0,0.21,2017-03-07
TEAM,5700,12500,7356.0,16373.0,0.74,2017-03-08
TEAM,10000,1600,13100.0,2120.0,0.8,2017-03-09
TEAM,600,400,768.0,528.0,0.09,2017-03-10
TEAM,27200,600,34414.0,779.0,0.45,2017-03-13
TEAM,2000,33500,2565.0,42880.0,2.08,2017-03-14
TEAM,2100,1600,2690.0,2048.0,0.6,2017-03-15
TEAM,10400,33800,13614.0,44614.0,0.62,2017-03-16
TEAM,10000,2300,13100.0,3034.0,0.62,2017-03-17
TEAM,0,41800,0.0,55588.0,1.46,2017-03-20
TEAM,3000,90600,4050.0,123616.0,1.2,2017-03-21
TEAM,20000,10400,27300.0,14244.0,0.52,2017-03-22
TEAM,0,10700,0.0,14776.0,0.23,2017-03-23
TEAM,400,0,556.0,0.0,0.02,2017-03-24
TEAM,0,700,0.0,977.0,0.05,2017-03-27
TEAM,0,900,0.0,1270.0,0.02,2017-03-28
TEAM,10000,20800,14300.0,29641.0,1.74,2017-03-29
TEAM,0,200,0.0,285.0,0.01,2017-03-31
TEAM,0,5037,0.0,7087.74,0.36,2017-04-04
TEAM,100000,0,141000.0,0.0,13.3,2017-04-05
TEAM,0,400,0.0,568.0,0.43,2017-04-10
TEAM,10000,100,14300.0,142.0,0.28,2017-04-12
TEAM,0,300,0.0,429.0,0.03,2017-04-18
TEAM,30000,200,42600.0,284.0,1.73,2017-04-19
TEAM,0,200,0.0,284.0,0.03,2017-04-28
TEAM,0,7000,0.0,10150.0,0.48,2017-05-03
TEAM,0,300,0.0,429.0,0.07,2017-05-05
TEAM,26200,0,37990.0,0.0,8.56,2017-05-08
TEAM,0,30000,0.0,41400.0,4.03,2017-05-12
TEAM,0,100,0.0,138.0,0.02,2017-05-18
TEAM,17100,0,23427.0,0.0,11.78,2017-05-25
TEAM,0,10800,0.0,15012.0,2.64,2017-05-26
TEAM,0,200,0.0,282.0,0.01,2017-06-02
TEAM,4000,0,5720.0,0.0,4.47,2017-06-05
TEAM,0,6300,0.0,8883.0,1.51,2017-06-06
