Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
THAI,495600,171900,11348100.0,3922050.0,2.41,2017-01-04
THAI,1135900,866900,26720140.0,20507070.0,2.15,2017-01-05
THAI,846300,916500,19734630.0,21425070.0,3.19,2017-01-06
THAI,1077600,318400,24913890.0,7343500.0,4.13,2017-01-09
THAI,783413,264620,18061487.0,6100552.0,10.05,2017-01-10
THAI,695100,1789300,15985200.0,40910840.0,7.23,2017-01-11
THAI,1195168,192900,27245267.2,4387070.0,5.59,2017-01-12
THAI,692000,165900,15662990.0,3752510.0,5.73,2017-01-13
THAI,147600,795100,3311310.0,17833680.0,3.77,2017-01-16
THAI,1051900,148346,23970500.0,3367236.9,6.06,2017-01-17
THAI,1581300,3108100,36091510.0,70346770.0,12.87,2017-01-18
THAI,1323800,828200,29800460.0,18652260.0,11.71,2017-01-19
THAI,1420000,3057600,32672040.0,70543180.0,5.42,2017-01-20
THAI,1543600,809100,35878680.0,18783380.0,10.4,2017-01-23
THAI,1947800,2776300,45875840.0,65611720.0,5.22,2017-01-24
THAI,367600,172200,8621200.0,4001960.0,1.66,2017-01-25
THAI,1417600,224900,32671190.0,5172070.0,6.67,2017-01-26
THAI,1694200,1785000,37028760.0,39314890.0,3.11,2017-01-27
THAI,830300,274200,18205540.0,6011710.0,3.19,2017-01-30
THAI,975100,386800,21113200.0,8364820.0,4.27,2017-01-31
THAI,374300,226300,8070270.0,4900380.0,2.03,2017-02-01
THAI,1558400,584200,33926920.0,12677900.0,17.87,2017-02-02
THAI,2374500,483500,52044110.0,10521940.0,21.2,2017-02-03
THAI,706200,514200,15471840.0,11256830.0,12.41,2017-02-06
THAI,1695700,409700,37551750.0,9049790.0,8.62,2017-02-07
THAI,908400,2826800,19989440.0,62127760.0,25.53,2017-02-08
THAI,754900,363300,16603130.0,7995100.0,15.98,2017-02-09
THAI,746500,875109,16362280.0,19164067.7,14.15,2017-02-10
THAI,338500,116700,7375750.0,2553600.0,5.74,2017-02-14
THAI,637600,528122,13749340.0,11377414.6,12.14,2017-02-15
THAI,345600,797300,7481450.0,17278190.0,13.14,2017-02-16
THAI,279700,555000,6041660.0,12018890.0,14.92,2017-02-17
THAI,213100,198200,4616280.0,4300940.0,9.2,2017-02-20
THAI,2315800,1764800,48652680.0,37192980.0,13.55,2017-02-21
THAI,673900,272600,14104000.0,5723690.0,8.24,2017-02-22
THAI,361500,296900,7524150.0,6197150.0,8.26,2017-02-23
THAI,1948500,1264100,39074860.0,25054310.0,4.06,2017-02-24
THAI,1656000,1492100,32196350.0,29100500.0,7.32,2017-02-27
THAI,414600,964900,8057220.0,18715180.0,8.41,2017-02-28
THAI,410800,425900,7761990.0,8062060.0,1.73,2017-03-01
THAI,1766785,2241300,34450886.0,43495140.0,6.82,2017-03-02
THAI,540400,1559500,10463960.0,30277940.0,12.25,2017-03-03
THAI,745765,1112000,14202541.0,21235070.0,8.74,2017-03-06
THAI,600620,1431600,11073170.0,27382147.6,6.63,2017-03-07
THAI,641545,341500,11644671.5,6258670.0,3.12,2017-03-08
THAI,768900,1017200,13807050.0,18357600.0,7.29,2017-03-09
THAI,1889004,1132300,34225102.8,20388120.0,9.08,2017-03-10
THAI,528000,963900,9443430.0,17201250.0,5.3,2017-03-13
THAI,559234,1206600,9979941.8,21513110.0,9.92,2017-03-14
THAI,500200,1181185,9076050.0,21341007.0,4.93,2017-03-15
THAI,546595,1979800,9968887.5,36101600.0,12.39,2017-03-16
THAI,1251506,1285444,22611229.2,23246076.2,10.33,2017-03-17
THAI,834100,504600,15235350.0,9248480.0,6.39,2017-03-20
THAI,386700,1530375,7039820.0,27835300.7,14.56,2017-03-21
THAI,2315600,2265800,42233590.0,41338010.0,28.98,2017-03-22
THAI,526400,1257067,9616050.0,22927579.5,18.8,2017-03-23
THAI,205500,477900,3739080.0,8675700.0,13.74,2017-03-24
THAI,1700700,2253156,31112960.0,40957833.6,28.95,2017-03-27
THAI,1614400,2060114,29644120.0,37851624.8,20.35,2017-03-28
