Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
THG,2852101,2817600,108475762.75,105026625.0,4.44,2017-12-07
THG,94601,26400,3288209.75,923175.0,0.35,2017-12-08
THG,120801,12400,3752205.5,371725.0,0.27,2017-12-12
THG,44300,25700,1370900.0,802175.0,0.25,2017-12-13
THG,209900,600,6401950.0,18200.0,3.75,2017-12-14
THG,6500,2900,195675.0,88875.0,0.08,2017-12-19
THG,1000,0,31000.0,0.0,0.03,2017-12-21
THG,74100,0,2279775.0,0.0,2.48,2017-12-22
THG,1,0,30.5,0.0,0.0,2017-12-25
THG,195901,0,6044530.0,0.0,1.5,2017-12-27
THG,53332,6500,1613240.0,195000.0,2.7,2017-12-28
THG,0,31,0.0,931.25,0.0,2017-12-29
THG,106000,31600,3222825.0,955325.0,2.55,2018-01-03
THG,96901,24600,2935180.25,747775.0,0.78,2018-01-04
THG,69301,15900,2116905.5,488925.0,2.25,2018-01-05
THG,57200,14200,1733425.0,429600.0,3.74,2018-01-08
THG,0,400,0.0,12100.0,0.03,2018-01-09
THG,71202,51000,2153860.5,1551750.0,2.21,2018-01-10
THG,9200,25700,280600.0,782250.0,1.96,2018-01-11
THG,13000,72300,393250.0,2184125.0,2.04,2018-01-12
THG,500,122400,15250.0,3717275.0,3.46,2018-01-15
THG,10600,310100,353100.0,9985225.0,0.7,2018-01-16
THG,75100,108200,2607250.0,3758050.0,0.63,2018-01-17
THG,216900,112200,7481650.0,3771000.0,2.15,2018-01-18
THG,78500,0,2668375.0,0.0,0.59,2018-01-19
THG,3400,2500,117050.0,84375.0,0.1,2018-01-22
THG,1278900,1304910,45577675.0,46954735.0,7.18,2018-01-23
THG,564500,2300,20196700.0,83375.0,4.17,2018-01-24
THG,2353900,2520200,86738175.0,92687050.0,14.56,2018-01-25
THG,8700,24300,310800.0,869225.0,0.2,2018-01-26
THG,39200,2700,1416700.0,98550.0,0.81,2018-01-29
THG,36900,29500,1300725.0,1041075.0,0.8,2018-01-30
THG,0,10600,0.0,376000.0,0.25,2018-01-31
THG,13600,10400,492750.0,374375.0,0.19,2018-02-01
THG,98100,18100,3507200.0,662150.0,1.25,2018-02-02
THG,13900,32600,489975.0,1148925.0,1.0,2018-02-05
THG,503500,22300,17495750.0,767050.0,6.66,2018-02-06
THG,64803,85000,2292831.5,3018100.0,1.56,2018-02-07
THG,0,71600,0.0,2597150.0,0.91,2018-02-08
THG,2000,500,72000.0,18125.0,0.03,2018-02-09
THG,17900,10000,656200.0,370000.0,0.81,2018-02-12
THG,0,2000,0.0,73000.0,0.06,2018-02-13
THG,270300,100900,10050475.0,3732850.0,3.82,2018-02-14
THG,77200,0,2804875.0,0.0,2.28,2018-02-15
THG,45800,22400,1661675.0,814375.0,2.58,2018-02-16
THG,39800,13000,1438700.0,471250.0,2.98,2018-02-19
THG,5300,20800,189600.0,745575.0,0.75,2018-02-20
THG,15900,10700,568350.0,382525.0,0.86,2018-02-21
THG,39100,12400,1375450.0,438375.0,1.52,2018-02-22
THG,14000,5700,496200.0,202350.0,1.09,2018-02-23
THG,11200,7200,397600.0,255625.0,0.93,2018-02-26
THG,54200,5500,1897000.0,193550.0,1.41,2018-02-27
THG,0,26600,0.0,923450.0,0.73,2018-02-28
THG,13000,13500,442250.0,459650.0,0.7,2018-03-02
THG,4000,17200,136000.0,585300.0,1.13,2018-03-05
THG,5500,11300,189750.0,389725.0,0.91,2018-03-06
THG,100,9700,3425.0,333250.0,0.79,2018-03-07
THG,1500,2400,50475.0,80750.0,0.26,2018-03-08
THG,5300,4000,180200.0,133000.0,0.36,2018-03-09
THG,30300,17700,1039800.0,604975.0,3.45,2018-03-12
THG,24796,8100,840436.0,273525.0,2.76,2018-03-13
THG,32700,28500,1109450.0,962375.0,6.28,2018-03-14
