Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
THIP,0,100,0.0,40600.0,0.44,2017-01-10
THIP,0,700,0.0,289600.0,4.93,2017-01-23
THIP,0,1200,0.0,517600.0,17.54,2017-01-25
THIP,4200,0,1767400.0,0.0,29.58,2017-02-08
THIP,22900,0,9716600.0,0.0,34.8,2017-02-14
THIP,7600,0,3263400.0,0.0,27.94,2017-02-15
THIP,6200,0,2719000.0,0.0,13.25,2017-02-16
THIP,100,0,46400.0,0.0,0.74,2017-02-20
THIP,200,0,93200.0,0.0,2.07,2017-02-21
THIP,100,0,47000.0,0.0,2.0,2017-02-22
THIP,100,0,46800.0,0.0,1.61,2017-02-24
THIP,100,0,47800.0,0.0,0.57,2017-02-27
THIP,100,0,47600.0,0.0,1.09,2017-02-28
THIP,100,200,47800.0,94800.0,4.41,2017-03-03
THIP,0,200,0.0,89200.0,0.88,2017-03-06
THIP,0,300,0.0,131400.0,1.56,2017-03-07
THIP,300,0,124200.0,0.0,3.55,2017-03-10
THIP,100,0,43200.0,0.0,1.56,2017-03-13
THIP,100,0,43000.0,0.0,1.43,2017-03-15
THIP,800,0,359800.0,0.0,18.18,2017-03-22
THIP,400,400,178800.0,178000.0,22.22,2017-03-23
THIP,0,600,0.0,267200.0,15.0,2017-03-24
THIP,100,0,44400.0,0.0,3.84,2017-03-29
THIP,7200,4200,3240000.0,1891000.0,64.77,2017-04-03
THIP,600,0,270000.0,0.0,23.08,2017-04-04
THIP,1400,0,630000.0,0.0,16.28,2017-04-05
THIP,700,0,316400.0,0.0,9.46,2017-04-07
THIP,0,2400,0.0,1056800.0,20.25,2017-05-08
THIP,0,800,0.0,353200.0,13.79,2017-05-09
THIP,0,1100,0.0,409200.0,1.62,2017-05-16
THIP,2101,2100,766265.0,755200.0,22.34,2017-05-17
THIP,0,600,0.0,220700.0,6.25,2017-05-18
THIP,0,400,0.0,149600.0,2.86,2017-05-19
THIP,100,300,38800.0,117000.0,3.5,2017-05-23
THIP,0,1800,0.0,709000.0,11.39,2017-05-24
THIP,100,0,39600.0,0.0,2.08,2017-05-25
THIP,100,0,39100.0,0.0,2.5,2017-05-30
THIP,0,500,0.0,189500.0,4.87,2017-06-02
THIP,3000,0,1152000.0,0.0,28.85,2017-06-05
THIP,100,0,38400.0,0.0,2.62,2017-06-08
THIP,3000,0,1152000.0,0.0,34.88,2017-06-13
THIP,0,300,0.0,117600.0,8.82,2017-06-19
THIP,0,200,0.0,79000.0,3.23,2017-06-21
THIP,0,500,0.0,197500.0,11.36,2017-06-22
THIP,0,2400,0.0,946300.0,26.09,2017-06-23
THIP,0,1100,0.0,436700.0,16.18,2017-06-26
THIP,0,3000,0.0,1185000.0,25.42,2017-06-28
THIP,0,1200,0.0,474000.0,11.54,2017-06-30
THIP,0,300,0.0,115900.0,18.75,2017-07-12
THIP,200,0,77600.0,0.0,14.25,2017-07-14
THIP,100,0,3900.0,0.0,0.12,2017-07-24
THIP,200,0,7450.0,0.0,0.99,2017-07-31
THIP,100,200,3700.0,7200.0,0.16,2017-08-01
THIP,12000,36400,398250.0,1193000.0,6.68,2017-08-15
THIP,500,4000,15875.0,127000.0,0.91,2017-08-16
THIP,0,22000,0.0,722675.0,20.64,2017-08-18
THIP,0,25000,0.0,818950.0,28.22,2017-08-21
THIP,0,101600,0.0,3352800.0,37.38,2017-08-23
THIP,0,10000,0.0,329650.0,15.02,2017-08-24
THIP,0,29200,0.0,964275.0,26.59,2017-08-25
THIP,0,21100,0.0,706700.0,37.61,2017-08-28
THIP,0,11000,0.0,368500.0,13.68,2017-08-29
THIP,400,23200,13600.0,777200.0,16.73,2017-08-30
THIP,500,13000,17050.0,442150.0,9.45,2017-09-01
THIP,500,12600,17000.0,426100.0,24.44,2017-09-04
THIP,1000,10000,34000.0,340000.0,23.11,2017-09-05
THIP,0,3300,0.0,112200.0,42.29,2017-09-06
THIP,0,12000,0.0,408000.0,22.99,2017-09-07
THIP,0,13000,0.0,442000.0,21.02,2017-09-08
THIP,300,400,10650.0,14100.0,0.2,2017-09-11
THIP,0,100,0.0,3600.0,0.09,2017-09-12
THIP,0,116900,0.0,4091500.0,43.42,2017-09-14
THIP,0,32000,0.0,1112500.0,23.15,2017-09-15
THIP,0,79800,0.0,2788125.0,30.2,2017-09-18
THIP,0,6800,0.0,238000.0,14.35,2017-09-19
THIP,0,10000,0.0,348000.0,6.43,2017-09-20
THIP,0,28200,0.0,983350.0,44.4,2017-09-22
THIP,1500,0,51375.0,0.0,1.02,2017-09-26
THIP,3100,0,103825.0,0.0,1.84,2017-10-09
THIP,100,3000,3475.0,103500.0,5.24,2017-10-12
THIP,100,0,3500.0,0.0,0.12,2017-10-24
THIP,0,21500,0.0,736425.0,36.55,2017-11-06
THIP,0,20300,0.0,695275.0,28.43,2017-11-07
THIP,200,5600,6800.0,191800.0,11.03,2017-11-08
THIP,400,31000,13600.0,1059900.0,22.4,2017-11-09
THIP,0,87000,0.0,2958000.0,22.11,2017-11-14
THIP,1000,50200,34000.0,1706800.0,36.83,2017-11-15
THIP,0,17900,0.0,610050.0,17.02,2017-11-16
THIP,100,0,3475.0,0.0,0.07,2017-11-17
THIP,1000,0,35500.0,0.0,3.31,2017-11-22
THIP,500,0,17500.0,0.0,1.27,2017-11-29
THIP,200,0,7000.0,0.0,0.3,2017-12-01
THIP,7000,0,243250.0,0.0,20.47,2017-12-12
THIP,0,1500,0.0,51375.0,9.86,2017-12-13
THIP,200,4700,6800.0,159850.0,10.29,2017-12-14
THIP,600,4000,20400.0,135400.0,11.71,2017-12-15
THIP,5700,5700,193425.0,193750.0,20.07,2017-12-18
THIP,0,1100,0.0,37225.0,6.18,2017-12-19
THIP,0,600,0.0,21000.0,6.0,2017-12-25
THIP,300,2000,10350.0,68625.0,4.09,2017-12-28
THIP,4100,2500,139400.0,84975.0,18.86,2018-01-03
THIP,1000,0,33750.0,0.0,1.05,2018-01-05
THIP,3600,0,120600.0,0.0,2.73,2018-01-10
THIP,200,0,6700.0,0.0,0.59,2018-01-12
THIP,100,0,3300.0,0.0,0.2,2018-01-19
THIP,0,1500,0.0,49500.0,7.81,2018-01-22
THIP,0,10,0.0,335.0,0.04,2018-02-02
THIP,0,1400,0.0,46200.0,9.59,2018-02-08
THIP,37100,0,1238200.0,0.0,43.24,2018-02-13
THIP,1000,1200,37500.0,42000.0,0.24,2018-02-14
THIP,800,0,30000.0,0.0,0.36,2018-02-15
THIP,5000,200,206400.0,8600.0,0.43,2018-02-19
THIP,800,1200,32400.0,49200.0,1.39,2018-02-20
THIP,900,0,35375.0,0.0,0.5,2018-02-21
THIP,1000,1800,37750.0,67950.0,4.5,2018-02-27
THIP,0,1800,0.0,67050.0,3.38,2018-02-28
THIP,5300,1000,194775.0,37000.0,8.44,2018-03-02
THIP,0,8000,0.0,304000.0,7.37,2018-03-07
THIP,400,0,15100.0,0.0,2.7,2018-03-09
THIP,0,9000,0.0,345625.0,21.32,2018-03-12
THIP,600,8800,22650.0,332900.0,27.16,2018-03-13
