Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
TK,12600,0,137830.0,0.0,1.0,2017-01-04
TK,0,5000,0.0,55500.0,0.82,2017-01-06
TK,0,5800,0.0,64440.0,0.43,2017-01-10
TK,0,1700,0.0,19040.0,0.22,2017-01-11
TK,4500,0,49350.0,0.0,0.53,2017-01-13
TK,2300,0,25300.0,0.0,0.49,2017-01-16
TK,700,0,7790.0,0.0,0.1,2017-01-17
TK,3400,0,38420.0,0.0,0.09,2017-01-18
TK,0,3400,0.0,38760.0,0.24,2017-01-19
TK,4600,1400,51830.0,15960.0,0.58,2017-01-20
TK,35100,0,414430.0,0.0,0.57,2017-01-23
TK,9100,500,109250.0,5950.0,0.07,2017-01-24
TK,12100,5800,144900.0,70180.0,0.67,2017-01-25
TK,6400,0,75370.0,0.0,0.23,2017-01-26
TK,0,100,0.0,1170.0,0.01,2017-01-27
TK,10400,0,122890.0,0.0,1.37,2017-01-30
TK,11300,0,133490.0,0.0,1.8,2017-01-31
TK,7800,13200,92210.0,155760.0,3.87,2017-02-01
TK,9200,0,108060.0,0.0,2.38,2017-02-02
TK,3700,400,43660.0,4720.0,0.81,2017-02-03
TK,10200,250000,122230.0,3001000.0,7.95,2017-02-06
TK,7800,40000,93010.0,480000.0,2.27,2017-02-07
TK,264200,230000,3310320.0,2873840.0,1.74,2017-02-08
TK,60900,11000,759610.0,138600.0,0.96,2017-02-09
TK,11300,19000,140990.0,235980.0,1.06,2017-02-10
TK,23500,0,292680.0,0.0,0.6,2017-02-14
TK,208800,230000,2665120.0,2933650.0,3.56,2017-02-15
TK,500,14500,6200.0,180540.0,0.83,2017-02-16
TK,1500,6800,18090.0,83990.0,0.22,2017-02-17
TK,48600,300,589390.0,3630.0,3.18,2017-02-20
TK,8400,13600,100970.0,161930.0,0.82,2017-02-21
TK,1000,48300,11780.0,567580.0,2.52,2017-02-22
TK,0,110900,0.0,1298960.0,20.51,2017-02-23
TK,0,60500,0.0,714740.0,17.08,2017-02-24
TK,1000,20800,11800.0,245440.0,2.02,2017-02-27
TK,221900,121100,2706890.0,1473310.0,4.13,2017-02-28
TK,800,34600,10000.0,428440.0,0.46,2017-03-01
TK,7100,52600,87830.0,650690.0,2.3,2017-03-02
TK,100,220400,1230.0,2709140.0,14.53,2017-03-03
TK,0,11000,0.0,135750.0,0.46,2017-03-06
TK,47200,256400,580360.0,3131320.0,10.27,2017-03-07
TK,121100,185500,1404760.0,2161660.0,6.4,2017-03-08
TK,0,10500,0.0,121130.0,2.08,2017-03-09
TK,4200,15800,48180.0,180020.0,2.66,2017-03-10
TK,4300,16400,47950.0,182890.0,1.64,2017-03-13
TK,1800,23600,20280.0,266770.0,2.5,2017-03-14
TK,900,17400,10170.0,196450.0,3.04,2017-03-15
TK,100,52300,1130.0,591090.0,7.2,2017-03-16
TK,5700,12100,64410.0,136110.0,3.96,2017-03-17
TK,6800,60200,76840.0,679790.0,13.07,2017-03-20
TK,10700,85000,121180.0,954350.0,11.66,2017-03-21
TK,2800,900,31640.0,10170.0,1.17,2017-03-22
TK,1500,10900,16800.0,122150.0,3.76,2017-03-23
TK,13300,0,150290.0,0.0,0.86,2017-03-24
TK,800,0,8960.0,0.0,0.06,2017-03-28
TK,2500,1700,28250.0,19210.0,1.14,2017-03-29
