Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
TKN,969400,1045792,27549825.0,29655068.25,11.13,2017-01-04
TKN,475100,425114,13618525.0,12200824.0,5.36,2017-01-05
TKN,56300,1203214,1590825.0,34029377.5,12.81,2017-01-06
TKN,766501,368732,21457078.25,10265437.0,11.12,2017-01-09
TKN,265700,314232,7430000.0,8763321.0,11.34,2017-01-10
TKN,477101,670134,13316828.25,18679978.25,13.02,2017-01-11
TKN,1059901,1031134,29225327.75,28436415.0,17.49,2017-01-12
TKN,30800,354078,853650.0,9819520.75,6.16,2017-01-13
TKN,833101,1764378,22955177.75,48545420.0,24.44,2017-01-16
TKN,342200,975400,9365225.0,26732000.0,18.45,2017-01-17
TKN,360100,178400,9899575.0,4905050.0,6.94,2017-01-18
TKN,1471302,2294100,39528304.0,61392825.0,15.68,2017-01-19
TKN,121800,65500,3279225.0,1759375.0,3.16,2017-01-20
TKN,34200,439995,928800.0,11844165.0,9.22,2017-01-23
TKN,162200,365500,4417025.0,9876900.0,13.71,2017-01-24
TKN,47400,79700,1267650.0,2136075.0,1.96,2017-01-25
TKN,426100,726305,11090025.0,19078707.5,11.04,2017-01-26
TKN,1114400,76600,29024675.0,2007675.0,23.13,2017-01-27
TKN,407100,157800,11031600.0,4294150.0,6.07,2017-01-30
TKN,145800,299400,3933900.0,8084200.0,7.22,2017-01-31
TKN,5100,124800,136400.0,3312025.0,1.94,2017-02-01
TKN,36301,76200,958251.75,2016375.0,1.89,2017-02-02
TKN,1207200,501666,31306325.0,12904283.75,9.77,2017-02-03
TKN,474202,1472152,12626402.0,38882065.0,11.75,2017-02-06
TKN,203900,438689,5473550.0,11777698.5,6.76,2017-02-07
TKN,230502,224982,6123228.0,5932383.25,7.5,2017-02-08
TKN,13200,458300,344625.0,11883600.0,6.73,2017-02-09
TKN,6802,237547,176927.0,6140047.0,4.75,2017-02-10
TKN,13100,263544,340600.0,6834749.75,4.78,2017-02-14
TKN,1,284224,25.75,7338093.0,5.16,2017-02-15
TKN,13200,190400,343175.0,4915575.0,2.55,2017-02-16
TKN,84802,42200,2184626.5,1089350.0,3.65,2017-02-17
TKN,100,299600,2575.0,7712175.0,6.75,2017-02-20
TKN,700700,1115300,17792875.0,28409675.0,20.56,2017-02-21
TKN,440800,297900,11265775.0,7594275.0,14.84,2017-02-22
TKN,830100,38100,21400000.0,975850.0,17.46,2017-02-23
TKN,626300,218700,16183250.0,5658100.0,33.72,2017-02-24
TKN,352400,48500,9078850.0,1247975.0,12.83,2017-02-27
TKN,803700,797000,22192500.0,21948275.0,3.92,2017-02-28
TKN,1365601,568800,38570853.5,16083600.0,6.18,2017-03-01
TKN,941382,296000,26730711.75,8430625.0,3.2,2017-03-02
TKN,1299600,443311,37733975.0,12885394.0,8.7,2017-03-03
TKN,671044,538200,19309661.75,15432475.0,9.4,2017-03-06
TKN,2003900,269800,54019875.0,7233125.0,1.95,2017-03-07
TKN,608112,177000,16089926.25,4616075.0,3.78,2017-03-08
TKN,918500,103500,24347075.0,2734925.0,6.53,2017-03-09
TKN,823331,73000,21672587.0,1915650.0,11.31,2017-03-10
TKN,650400,351000,17036875.0,9164425.0,18.27,2017-03-13
TKN,476576,78300,12639333.0,2063100.0,6.39,2017-03-14
TKN,661700,158600,17694750.0,4229800.0,7.39,2017-03-15
TKN,611562,814700,16583064.5,22044550.0,9.76,2017-03-16
TKN,1536500,4473691,42171650.0,122974138.75,15.67,2017-03-17
TKN,505802,319400,13841805.0,8703875.0,15.24,2017-03-20
TKN,63900,328300,1740025.0,8864575.0,9.29,2017-03-21
TKN,255500,11900,6941700.0,321300.0,17.36,2017-03-22
TKN,223901,54700,5977601.75,1462750.0,4.25,2017-03-23
TKN,285500,4700,7548200.0,124100.0,3.6,2017-03-24
TKN,167200,20800,4389000.0,546075.0,5.32,2017-03-27
TKN,133601,28800,3530451.25,756000.0,6.26,2017-03-28
TKN,51300,17900,1359450.0,472075.0,3.49,2017-03-29
TKN,69200,101320,1833800.0,2683455.0,2.48,2017-03-30
TKN,55000,2000,1469275.0,53250.0,2.69,2017-03-31
TKN,205300,147000,5514775.0,3956475.0,2.01,2017-04-03
TKN,39100,65800,1048325.0,1767000.0,1.96,2017-04-04
TKN,3800,86800,102050.0,2322550.0,1.77,2017-04-05
TKN,56000,110600,1484175.0,2931575.0,5.18,2017-04-07
TKN,75400,579870,1975525.0,15187112.5,6.68,2017-04-10
TKN,301500,297200,7711075.0,7646000.0,6.39,2017-04-11
TKN,277000,332600,7171525.0,8581600.0,5.31,2017-04-12
TKN,46000,1138100,1173000.0,28947675.0,17.76,2017-04-17
TKN,600200,735900,15161925.0,18654175.0,13.16,2017-04-18
TKN,54900,143600,1398575.0,3625850.0,4.33,2017-04-19
TKN,108634,185900,2743025.5,4693950.0,5.01,2017-04-20
TKN,1750600,2275923,41868735.0,54557269.3,6.35,2017-04-21
TKN,3488300,2855900,80265200.0,65742460.0,8.21,2017-04-24
TKN,1011100,173400,23297060.0,3954490.0,2.24,2017-04-25
TKN,1176900,1116700,26860750.0,25463110.0,6.19,2017-04-26
TKN,987900,1367300,23017090.0,31894160.0,9.64,2017-04-27
TKN,572500,1952700,13637040.0,46088360.0,13.57,2017-04-28
TKN,29400,231000,689310.0,5425630.0,6.9,2017-05-02
TKN,9300,176600,216160.0,4103590.0,4.49,2017-05-03
TKN,265500,223800,6323210.0,5222380.0,1.59,2017-05-04
TKN,9500,902400,227890.0,21478000.0,4.62,2017-05-05
TKN,11801,84100,278413.8,1986010.0,1.28,2017-05-08
TKN,8020700,11546100,171145010.0,246257890.0,8.39,2017-05-09
TKN,2032300,5114630,41176010.0,105009464.9,5.88,2017-05-11
TKN,2062100,3620500,42008310.0,73154380.0,4.43,2017-05-12
TKN,604800,1747300,11929790.0,34432650.0,3.43,2017-05-15
TKN,1044500,1556400,21189500.0,31298900.0,4.33,2017-05-16
TKN,265005,829400,5355493.0,16589790.0,2.85,2017-05-17
TKN,403900,1210000,8085770.0,24188870.0,7.43,2017-05-18
TKN,163805,752400,3281691.0,15013740.0,6.69,2017-05-19
TKN,80800,573200,1616600.0,11475270.0,5.01,2017-05-22
TKN,1264476,874000,25624972.8,17774120.0,5.07,2017-05-23
TKN,3895900,3074300,80674390.0,63482730.0,16.88,2017-05-24
TKN,3410376,3715200,72428558.4,79222190.0,9.58,2017-05-25
TKN,1488400,1418100,32477890.0,30973450.0,4.96,2017-05-26
TKN,2384745,49700,53279312.5,1109680.0,7.93,2017-05-29
TKN,2160500,460600,48216610.0,10279600.0,10.46,2017-05-30
TKN,4677903,1071207,106720768.4,24484971.2,10.16,2017-05-31
TKN,996665,124400,22766881.5,2831470.0,8.42,2017-06-01
TKN,1393800,49100,31763890.0,1116710.0,10.43,2017-06-02
