Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
TMT,1300,47300,21060.0,766260.0,3.93,2017-01-04
TMT,19900,5100,326570.0,83640.0,1.83,2017-01-05
TMT,107200,145800,1863590.0,2526860.0,0.95,2017-01-06
TMT,31800,2000,547550.0,34630.0,1.22,2017-01-09
TMT,81800,35600,1418250.0,615580.0,8.81,2017-01-10
TMT,113800,2400,1997540.0,42200.0,6.8,2017-01-11
TMT,59900,15900,1032300.0,276700.0,3.95,2017-01-12
TMT,113300,14400,1958810.0,248570.0,11.99,2017-01-13
TMT,2900,43200,50110.0,743900.0,7.15,2017-01-16
TMT,158000,192300,2697750.0,3271010.0,20.31,2017-01-17
TMT,108300,32400,1851590.0,553150.0,22.95,2017-01-18
TMT,158000,89400,2686710.0,1519680.0,31.78,2017-01-19
TMT,14200,24500,239380.0,410960.0,1.39,2017-01-20
TMT,400,8200,6800.0,139700.0,1.8,2017-01-23
TMT,85000,0,1449540.0,0.0,10.19,2017-01-24
TMT,2300,13100,38890.0,220590.0,2.96,2017-01-25
TMT,4300,15200,72870.0,257150.0,4.33,2017-01-26
TMT,2100,6400,35490.0,108090.0,2.22,2017-01-27
TMT,8800,3500,149170.0,59230.0,1.71,2017-01-30
TMT,15600,800,265210.0,13600.0,4.3,2017-01-31
TMT,0,18600,0.0,314220.0,2.45,2017-02-01
TMT,701000,26400,12042040.0,452420.0,43.23,2017-02-02
TMT,2800,10500,48180.0,180600.0,2.61,2017-02-03
TMT,15000,2700,259500.0,46710.0,1.86,2017-02-06
TMT,800600,36000,14109990.0,632620.0,22.85,2017-02-07
TMT,1900,76600,33510.0,1359000.0,4.3,2017-02-08
TMT,24600,22500,430840.0,396500.0,6.05,2017-02-09
TMT,1400,31300,24290.0,542210.0,3.54,2017-02-10
TMT,9700,6700,169750.0,117250.0,2.09,2017-02-14
TMT,0,7200,0.0,126180.0,0.3,2017-02-15
TMT,0,1700,0.0,29940.0,0.23,2017-02-16
TMT,4500,400,79650.0,7080.0,0.6,2017-02-17
TMT,1016500,1089100,18413980.0,19742180.0,16.12,2017-02-20
TMT,42300,3100,780770.0,58290.0,0.18,2017-02-21
TMT,34100,5200,631600.0,96220.0,0.97,2017-02-22
TMT,130400,9000,2444200.0,167400.0,2.89,2017-02-23
TMT,31100,38200,578830.0,714460.0,1.95,2017-02-24
TMT,45300,52600,831920.0,964790.0,2.35,2017-02-27
TMT,55600,77400,1017050.0,1413140.0,4.36,2017-02-28
TMT,65500,80100,1194160.0,1455100.0,1.43,2017-03-01
TMT,234000,52100,4247890.0,947170.0,1.97,2017-03-02
TMT,936800,690100,15515470.0,11347640.0,14.34,2017-03-03
TMT,120900,183400,1936230.0,2915570.0,5.15,2017-03-06
TMT,363700,62500,5512340.0,948680.0,9.03,2017-03-07
TMT,384900,53200,5764540.0,797980.0,9.07,2017-03-08
TMT,0,31700,0.0,480640.0,4.84,2017-03-09
TMT,94200,59600,1418240.0,896340.0,17.98,2017-03-10
TMT,7000,93200,105000.0,1398330.0,10.26,2017-03-13
TMT,1000,1900,15100.0,28690.0,0.71,2017-03-14
TMT,85300,230100,1339860.0,3653650.0,5.33,2017-03-15
TMT,16400,68200,261080.0,1082380.0,9.41,2017-03-16
TMT,106400,42500,1703860.0,680420.0,15.8,2017-03-17
TMT,1300,34800,20810.0,553870.0,9.19,2017-03-20
TMT,0,11300,0.0,179520.0,1.94,2017-03-21
TMT,94200,13200,1481090.0,207100.0,8.12,2017-03-22
TMT,1400,27900,22260.0,441270.0,4.44,2017-03-23
TMT,90000,30000,1431000.0,474910.0,13.66,2017-03-24
TMT,127600,1140200,1975880.0,17548870.0,28.0,2017-03-27
TMT,107700,93200,1651460.0,1423490.0,15.98,2017-03-28
TMT,30800,1212000,466130.0,18368400.0,26.9,2017-03-29
TMT,9800,962100,147770.0,14507690.0,23.46,2017-03-30
TMT,0,1400,0.0,21140.0,0.29,2017-03-31
TMT,100,20300,1530.0,309640.0,2.84,2017-04-03
TMT,0,13200,0.0,201900.0,2.12,2017-04-04
TMT,0,33100,0.0,503620.0,11.86,2017-04-05
TMT,900,2300,13680.0,34960.0,0.72,2017-04-07
TMT,0,1600,0.0,24310.0,0.31,2017-04-10
TMT,100,1000,1500.0,15100.0,0.18,2017-04-11
TMT,600,123000,9060.0,1854840.0,10.32,2017-04-12
TMT,4000,33000,59600.0,495240.0,2.61,2017-04-17
TMT,1500,35100,22650.0,529290.0,5.45,2017-04-18
TMT,200,39700,3000.0,591450.0,3.49,2017-04-19
TMT,112100,13300,1671930.0,198040.0,14.0,2017-04-20
TMT,122900,10900,1871590.0,164980.0,13.47,2017-04-21
TMT,147400,9400,2213670.0,141010.0,15.95,2017-04-24
TMT,266600,11600,3982170.0,172330.0,32.26,2017-04-25
TMT,0,62800,0.0,932010.0,23.43,2017-04-26
TMT,7500,97200,111010.0,1435510.0,16.17,2017-04-27
TMT,7900,1200,116210.0,17740.0,0.92,2017-04-28
TMT,6700,103800,98660.0,1526350.0,26.42,2017-05-02
TMT,4800,100,71520.0,1490.0,6.05,2017-05-03
TMT,4300,3400,64070.0,50660.0,5.35,2017-05-04
TMT,200,4500,2980.0,67100.0,1.11,2017-05-05
TMT,5900,14300,87910.0,212670.0,11.14,2017-05-08
TMT,0,10000,0.0,149000.0,4.29,2017-05-09
TMT,11400,1800,166470.0,26060.0,0.71,2017-05-11
TMT,1400,3700,20160.0,53560.0,0.43,2017-05-12
TMT,15600,9900,224800.0,142770.0,2.35,2017-05-15
TMT,30200,17800,433130.0,254170.0,2.98,2017-05-16
TMT,29400,9400,410510.0,131030.0,1.8,2017-05-17
TMT,60200,11300,837950.0,157870.0,3.22,2017-05-18
TMT,19000,3700,266360.0,51800.0,3.76,2017-05-19
TMT,50700,5700,710430.0,80030.0,4.14,2017-05-22
TMT,18800,36100,266920.0,513750.0,3.47,2017-05-23
TMT,10300,2500,147430.0,35840.0,2.37,2017-05-24
TMT,9900,52000,143380.0,749540.0,11.23,2017-05-25
TMT,11400,8400,163020.0,119770.0,6.36,2017-05-26
TMT,3900,37500,56190.0,545740.0,7.52,2017-05-29
TMT,22100,20600,318240.0,298500.0,10.09,2017-05-30
TMT,6600,29000,94590.0,416680.0,9.19,2017-05-31
TMT,200,3500,2870.0,50280.0,0.86,2017-06-01
TMT,12900,4200,183440.0,59910.0,2.37,2017-06-02
TMT,16500,48300,233590.0,684040.0,8.08,2017-06-05
TMT,4800,12300,69440.0,177870.0,0.67,2017-06-06
TMT,19800,177300,282390.0,2529280.0,11.32,2017-06-07
TMT,8100,193800,114360.0,2738490.0,10.5,2017-06-08
TMT,106600,158000,1523750.0,2247570.0,16.69,2017-06-09
TMT,13900,75500,197770.0,1079110.0,10.7,2017-06-12
TMT,15800,53400,223720.0,755540.0,15.73,2017-06-13
TMT,16000,14400,228110.0,203280.0,4.44,2017-06-14
TMT,10000,8100,144100.0,116630.0,2.04,2017-06-15
TMT,20300,102100,289900.0,1455230.0,12.2,2017-06-16
TMT,15400,129700,218760.0,1837690.0,0.35,2017-06-19
TMT,9200,72000,130640.0,1022300.0,12.02,2017-06-20
TMT,5700,107000,80940.0,1516360.0,16.14,2017-06-21
TMT,69200,90600,982640.0,1285740.0,18.16,2017-06-22
TMT,50200,181300,727880.0,2604670.0,0.52,2017-06-23
TMT,7000,71100,105630.0,1067170.0,1.07,2017-06-26
TMT,17300,16000,261260.0,242440.0,1.28,2017-06-27
TMT,8500,2000,127500.0,30000.0,1.0,2017-06-28
TMT,13200,55000,196980.0,804500.0,3.08,2017-06-29
TMT,9700,12000,141040.0,175220.0,1.47,2017-06-30
TMT,13300,222200,191770.0,3198680.0,28.26,2017-07-03
TMT,2800,10100,40320.0,145450.0,7.92,2017-07-04
TMT,17100,16700,244880.0,239390.0,3.81,2017-07-05
TMT,334900,25000,4847410.0,361960.0,29.05,2017-07-06
TMT,1400,3000,20310.0,43500.0,1.76,2017-07-07
TMT,161200,9200,2342510.0,134010.0,21.85,2017-07-11
TMT,15900,19700,232520.0,294150.0,1.15,2017-07-12
TMT,1556100,16300,23683420.0,247430.0,33.32,2017-07-13
TMT,19100,1100,288410.0,16720.0,3.08,2017-07-14
TMT,1400,84100,21000.0,1254760.0,11.44,2017-07-17
TMT,1300,44200,19370.0,654590.0,10.5,2017-07-18
TMT,0,35800,0.0,533570.0,13.3,2017-07-19
TMT,0,105100,0.0,1562640.0,20.13,2017-07-20
TMT,0,20600,0.0,305280.0,7.93,2017-07-21
TMT,0,18500,0.0,274300.0,3.34,2017-07-24
TMT,0,8700,0.0,128770.0,3.22,2017-07-25
TMT,1500,168700,22050.0,2481320.0,24.61,2017-07-26
TMT,0,25600,0.0,378390.0,5.08,2017-07-27
TMT,68100,22800,958440.0,326820.0,1.68,2017-07-31
TMT,10700,0,152970.0,0.0,2.02,2017-08-01
