Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
TNL,1400,0,33500.0,0.0,50.0,2017-01-17
TNL,0,3000,0.0,70200.0,50.0,2017-03-27
TNL,1000,0,20100.0,0.0,4.13,2017-08-28
TNL,1000,1000,20100.0,20500.0,7.63,2017-09-28
TNL,20000,0,420000.0,0.0,40.49,2017-10-05
TNL,0,1000,0.0,20500.0,11.11,2017-10-12
TNL,2900,0,59680.0,0.0,37.18,2017-10-18
TNL,8200,0,168920.0,0.0,48.81,2017-10-27
TNL,100,0,2060.0,0.0,24.63,2018-01-04
TNL,200,0,4060.0,0.0,10.0,2018-01-10
TNL,1500,0,30750.0,0.0,50.0,2018-01-12
TNL,100,0,2060.0,0.0,25.0,2018-01-23
TNL,1200,0,24720.0,0.0,26.09,2018-01-30
TNL,1000,0,20600.0,0.0,15.15,2018-03-02
TNL,6500,0,133900.0,0.0,48.51,2018-03-05
TNL,6300,0,129780.0,0.0,43.15,2018-03-06
TNL,2000,0,41200.0,0.0,50.0,2018-03-07
TNL,4000,0,82400.0,0.0,50.0,2018-03-08
TNL,2700,0,55620.0,0.0,49.98,2018-03-09
TNL,8100,0,166860.0,0.0,50.0,2018-03-12
TNL,4400,0,90640.0,0.0,44.0,2018-03-14
TNL,14000,0,288400.0,0.0,50.0,2018-03-15
TNL,2800,0,57680.0,0.0,50.0,2018-03-16
TNL,4600,0,94760.0,0.0,50.0,2018-03-19
TNL,3000,0,61800.0,0.0,50.0,2018-03-20
TNL,11400,0,234840.0,0.0,49.57,2018-03-23
TNL,8000,0,164800.0,0.0,50.0,2018-03-26
TNL,2600,0,53560.0,0.0,50.0,2018-03-28
TNL,17000,0,350200.0,0.0,36.64,2018-04-03
TNL,11000,0,218900.0,0.0,48.67,2018-05-28
TNL,100,0,1960.0,0.0,8.33,2018-05-30
TNL,3700,0,72890.0,0.0,43.02,2018-06-04
TNL,62600,0,1226960.0,0.0,34.1,2018-06-11
TNL,1800,0,32760.0,0.0,25.0,2018-07-26
TNL,100,0,1820.0,0.0,16.67,2018-08-02
TNL,0,400,0.0,7580.0,50.0,2018-09-05
TNL,500,0,9100.0,0.0,3.38,2018-10-19
TNL,35700,0,649740.0,0.0,49.58,2018-11-13
TNL,17300,0,314860.0,0.0,45.77,2018-12-24
TNL,300,0,5460.0,0.0,30.0,2018-12-25
TNL,79500,0,1446900.0,0.0,49.63,2019-02-08
TNL,49600,0,902720.0,0.0,49.7,2019-02-11
TNL,17600,0,320320.0,0.0,47.06,2019-02-12
TNL,300,300,5460.0,5460.0,100.0,2019-02-13
TNL,134800,0,2561200.0,0.0,49.93,2019-04-30
TNL,2500,0,47500.0,0.0,46.3,2019-05-02
TNL,5000,0,95000.0,0.0,50.0,2019-05-03
TNL,2800,0,53200.0,0.0,50.0,2019-05-07
TNL,100,0,1900.0,0.0,50.0,2019-05-08
TNL,200,0,3800.0,0.0,50.0,2019-05-10
TNL,2200,0,41800.0,0.0,45.83,2019-05-14
TNL,5800,0,110200.0,0.0,40.28,2019-05-15
TNL,1200,0,22800.0,0.0,50.0,2019-05-17
TNL,12600,0,239400.0,0.0,50.0,2019-05-21
