Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
TNPC,8500,0,15810.0,0.0,0.05,2017-01-12
TNPC,0,8500,0.0,15725.0,0.43,2017-01-13
TNPC,10000,0,18000.0,0.0,0.37,2017-01-31
TNPC,12800,110000,23808.0,196500.0,0.87,2017-02-01
TNPC,0,12800,0.0,23808.0,0.27,2017-02-02
TNPC,0,9000,0.0,16200.0,5.28,2017-02-21
TNPC,10000,10000,16900.0,17100.0,4.23,2017-03-02
TNPC,0,10000,0.0,17000.0,1.25,2017-03-08
TNPC,10000,0,16700.0,0.0,0.54,2017-03-09
TNPC,49900,7000,89321.0,12460.0,1.56,2017-04-18
TNPC,0,20000,0.0,36000.0,2.53,2017-05-02
TNPC,0,31300,0.0,56966.0,2.08,2017-05-03
TNPC,0,8300,0.0,14276.0,2.59,2017-05-12
TNPC,0,41600,0.0,66349.0,6.34,2017-05-15
TNPC,0,49000,0.0,82810.0,43.59,2017-05-25
TNPC,20000,0,34500.0,0.0,2.28,2017-07-20
TNPC,0,20000,0.0,35600.0,0.41,2017-07-21
TNPC,10000,10000,17900.0,17900.0,0.83,2017-07-26
TNPC,10000,0,18800.0,0.0,0.19,2017-08-02
TNPC,16000,0,29760.0,0.0,2.3,2017-08-03
TNPC,0,16000,0.0,29280.0,3.21,2017-08-07
TNPC,18000,10000,33480.0,18800.0,0.29,2017-08-08
TNPC,25000,0,49500.0,0.0,0.25,2017-08-09
TNPC,16000,0,29920.0,0.0,0.63,2017-08-10
TNPC,0,29000,0.0,51330.0,5.23,2017-08-15
TNPC,15000,0,27750.0,0.0,1.21,2017-08-17
TNPC,0,800,0.0,1496.0,0.07,2017-08-21
TNPC,16000,10000,30560.0,19300.0,3.34,2017-08-23
TNPC,10000,0,19200.0,0.0,1.54,2017-08-24
TNPC,15000,0,29100.0,0.0,2.03,2017-08-25
TNPC,13000,0,25350.0,0.0,2.06,2017-08-28
TNPC,20000,0,39950.0,0.0,0.5,2017-08-29
TNPC,10000,0,20400.0,0.0,0.47,2017-08-30
TNPC,0,44000,0.0,88000.0,6.67,2017-09-01
TNPC,0,7000,0.0,13730.0,1.38,2017-09-04
TNPC,3000,78000,5550.0,144300.0,14.13,2017-09-06
TNPC,0,26666,0.0,47966.46,3.71,2017-09-29
TNPC,500,0,910.0,0.0,0.02,2017-11-30
TNPC,5000,0,9000.0,0.0,0.8,2017-12-12
TNPC,0,3000,0.0,5370.0,0.61,2017-12-13
TNPC,0,1900,0.0,3439.0,0.52,2017-12-15
TNPC,10000,0,18200.0,0.0,48.54,2017-12-27
TNPC,100,0,173.0,0.0,0.0,2018-01-24
TNPC,0,100,0.0,187.0,0.0,2018-02-01
TNPC,0,10000,0.0,17600.0,5.46,2018-02-05
TNPC,10000,0,17300.0,0.0,3.3,2018-02-07
TNPC,2500,0,4375.0,0.0,0.92,2018-02-22
TNPC,0,100,0.0,177.0,0.96,2018-02-27
TNPC,0,2400,0.0,4248.0,2.58,2018-02-28
TNPC,5000,0,8400.0,0.0,1.83,2018-03-02
TNPC,0,13000,0.0,20020.0,11.21,2018-04-02
TNPC,0,78,0.0,120.12,21.91,2018-04-17
TNPC,0,5100,0.0,7805.0,41.8,2018-05-09
TNPC,26467,0,44417.87,0.0,0.19,2018-05-16
TNPC,500,21600,825.0,35856.0,0.78,2018-05-17
TNPC,0,500,0.0,830.0,0.1,2018-05-28
TNPC,0,4800,0.0,8016.0,5.52,2018-06-07
TNPC,0,34,0.0,59.16,0.01,2018-08-07
TNPC,1000,0,1470.0,0.0,0.51,2018-08-23
TNPC,0,400,0.0,604.0,0.07,2018-08-24
TNPC,0,600,0.0,912.0,0.15,2018-08-27
TNPC,400,0,596.0,0.0,0.14,2018-10-04
TNPC,0,400,0.0,596.0,2.67,2018-11-01
TNPC,400,0,492.0,0.0,0.97,2019-01-02
TNPC,0,3226,0.0,3970.98,17.74,2019-03-27
