Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
TNR,1,100000,30.75,3075000.0,1.74,2017-01-04
TNR,18801,0,582230.75,0.0,0.29,2017-01-05
TNR,5400,500,167175.0,15625.0,0.16,2017-01-06
TNR,8000,0,240750.0,0.0,0.08,2017-01-09
TNR,60700,50000,1797225.0,1475000.0,1.16,2017-01-10
TNR,28801,0,849329.5,0.0,0.59,2017-01-11
TNR,176600,65500,5439200.0,2012375.0,2.91,2017-01-13
TNR,162800,336000,5237775.0,10749500.0,2.48,2017-01-16
TNR,50001,12000,1612531.75,381000.0,0.98,2017-01-17
TNR,1400,3000,44600.0,95250.0,0.09,2017-01-18
TNR,1000,1100,31500.0,34925.0,0.09,2017-01-20
TNR,107700,900,3392950.0,28725.0,2.04,2017-01-23
TNR,2900,26000,92325.0,828750.0,0.77,2017-01-24
TNR,14200,46600,450350.0,1470300.0,2.23,2017-01-25
TNR,409600,96403,13447025.0,3198746.75,2.71,2017-01-26
TNR,6100,76000,196725.0,2477525.0,1.88,2017-01-27
TNR,1,110300,33.5,3696375.0,1.26,2017-01-30
TNR,0,21200,0.0,718675.0,0.51,2017-01-31
TNR,56600,30700,1911500.0,1059825.0,1.63,2017-02-01
TNR,17900,18400,604100.0,619950.0,1.08,2017-02-02
TNR,35300,15400,1191700.0,521450.0,4.09,2017-02-03
TNR,88200,18100,2938175.0,604525.0,2.41,2017-02-06
TNR,130200,31300,4304075.0,1035775.0,3.07,2017-02-07
TNR,801,38500,25908.0,1246550.0,1.32,2017-02-08
TNR,3000,27500,97500.0,898825.0,1.1,2017-02-09
TNR,2000,87000,64875.0,2845825.0,1.46,2017-02-10
TNR,64000,61000,2032000.0,1968800.0,2.9,2017-02-14
TNR,99601,106400,3087656.5,3328825.0,2.56,2017-02-15
TNR,56402,85200,1682786.5,2568225.0,2.17,2017-02-16
TNR,46102,10300,1400160.0,310100.0,2.03,2017-02-17
TNR,164100,10000,4719375.0,293100.0,1.92,2017-02-20
TNR,179300,8600,5134900.0,246050.0,6.82,2017-02-21
TNR,192900,93000,5747225.0,2715750.0,7.0,2017-02-22
TNR,42700,166200,1281000.0,4989900.0,10.66,2017-02-23
TNR,124600,119200,3614900.0,3467050.0,5.77,2017-02-24
TNR,132500,110800,3691225.0,3120050.0,2.07,2017-02-27
TNR,32200,40000,912850.0,1121050.0,1.37,2017-02-28
TNR,71100,45100,2045575.0,1304525.0,2.58,2017-03-01
TNR,63100,53100,1833625.0,1539775.0,4.96,2017-03-02
TNR,2000,32507,58200.0,941453.0,2.95,2017-03-03
TNR,2300,49300,66300.0,1410050.0,5.11,2017-03-06
TNR,1400,25300,39650.0,712625.0,3.07,2017-03-07
TNR,2100,54900,58275.0,1518125.0,2.15,2017-03-08
TNR,0,22200,0.0,621000.0,3.9,2017-03-09
TNR,0,43900,0.0,1212725.0,4.93,2017-03-10
TNR,34500,18400,899075.0,488525.0,1.3,2017-03-13
TNR,41800,72300,1106200.0,1922950.0,1.25,2017-03-14
TNR,91000,7100,2401400.0,186675.0,1.83,2017-03-15
TNR,131900,49200,3589900.0,1333375.0,1.96,2017-03-16
TNR,70500,33300,1923950.0,911225.0,3.2,2017-03-17
TNR,4300,34800,118250.0,947600.0,4.65,2017-03-20
TNR,0,39700,0.0,1107375.0,0.76,2017-03-21
TNR,5600,85800,157550.0,2412650.0,2.13,2017-03-22
TNR,3300,71100,92400.0,1981925.0,9.32,2017-03-23
TNR,3100,8000,86800.0,225000.0,1.32,2017-03-24
TNR,3200,24900,88800.0,684800.0,3.66,2017-03-27
TNR,1000,3000,27750.0,82500.0,1.88,2017-03-28
TNR,1200,2900,33100.0,79750.0,3.35,2017-03-29
TNR,18200,3800,506875.0,105450.0,4.96,2017-03-30
TNR,0,14000,0.0,384100.0,1.43,2017-03-31
TNR,9300,300,255500.0,8250.0,4.27,2017-04-03
TNR,19900,3100,548075.0,85250.0,5.2,2017-04-04
TNR,50400,4600,1378750.0,124625.0,5.93,2017-04-05
TNR,6200,0,170450.0,0.0,4.48,2017-04-07
TNR,13500,3100,368675.0,83700.0,2.93,2017-04-10
TNR,700,20800,19275.0,571475.0,3.03,2017-04-11
TNR,0,18600,0.0,522150.0,1.67,2017-04-12
TNR,100,40200,2775.0,1126025.0,7.14,2017-04-17
TNR,3000,19600,83250.0,546100.0,2.04,2017-04-18
TNR,3100,77600,89400.0,2240000.0,1.42,2017-04-19
TNR,0,7400,0.0,211000.0,0.76,2017-04-20
TNR,0,3000,0.0,84750.0,0.66,2017-04-24
TNR,0,4100,0.0,115775.0,0.31,2017-04-25
TNR,3000,300,85500.0,8550.0,0.44,2017-04-26
TNR,2900,50300,84100.0,1465775.0,1.35,2017-04-27
TNR,13000,6700,373900.0,193700.0,1.48,2017-04-28
TNR,4100,14100,117175.0,401850.0,10.21,2017-05-02
TNR,49200,10900,1382050.0,306625.0,1.77,2017-05-03
TNR,300,400,8400.0,11125.0,0.08,2017-05-04
TNR,4000,1100,109000.0,30425.0,0.39,2017-05-05
TNR,7000,0,189000.0,0.0,0.65,2017-05-08
TNR,127900,5100,2914080.0,111600.0,0.57,2017-05-09
TNR,81900,29100,1529040.0,545840.0,0.31,2017-05-11
TNR,65975,48100,1299120.0,921550.0,0.55,2017-05-12
TNR,40500,9400,766430.0,181040.0,0.85,2017-05-15
TNR,58200,4100,1108840.0,78060.0,1.06,2017-05-16
TNR,5400,57400,101140.0,1069770.0,1.45,2017-05-17
TNR,43000,2500,816000.0,47300.0,1.02,2017-05-18
TNR,2500,0,48000.0,0.0,0.07,2017-05-19
TNR,15000,5000,286500.0,97500.0,0.39,2017-05-22
TNR,156600,82300,3167270.0,1663440.0,3.42,2017-05-23
TNR,65900,80100,1332090.0,1612690.0,6.6,2017-05-24
TNR,43800,38600,900850.0,791940.0,3.1,2017-05-25
TNR,5400,74200,109200.0,1509190.0,3.42,2017-05-26
TNR,0,13600,0.0,275120.0,4.47,2017-05-29
TNR,0,65500,0.0,1317880.0,9.34,2017-05-30
TNR,0,33000,0.0,667420.0,3.2,2017-05-31
TNR,0,33200,0.0,672180.0,2.56,2017-06-01
TNR,42000,67200,876600.0,1398380.0,1.68,2017-06-02
TNR,1000,1900,21000.0,39710.0,0.15,2017-06-05
TNR,87600,1000,1832450.0,20900.0,5.35,2017-06-06
TNR,0,28500,0.0,601160.0,1.94,2017-06-07
TNR,10400,19100,217320.0,401140.0,2.52,2017-06-08
TNR,0,30000,0.0,619630.0,2.55,2017-06-12
TNR,2800,0,59080.0,0.0,0.12,2017-06-13
TNR,0,1800,0.0,38050.0,0.56,2017-06-14
TNR,12000,600,250900.0,12670.0,1.39,2017-06-15
TNR,2000,400,41700.0,8350.0,0.66,2017-06-16
TNR,2000,0,41200.0,0.0,0.92,2017-06-21
TNR,1000,100,20000.0,2050.0,0.05,2017-06-22
TNR,2500,0,50500.0,0.0,0.31,2017-06-23
TNR,1000,0,20300.0,0.0,0.76,2017-06-26
TNR,0,5000,0.0,101500.0,1.87,2017-06-27
TNR,1400,6000,28110.0,120600.0,1.05,2017-06-28
TNR,28600,7000,572010.0,140700.0,32.01,2017-06-29
TNR,1500,0,29850.0,0.0,0.18,2017-06-30
TNR,0,200,0.0,3990.0,0.05,2017-07-03
TNR,10000,0,198000.0,0.0,0.83,2017-07-05
TNR,0,200,0.0,3960.0,0.06,2017-07-11
TNR,1200,0,23640.0,0.0,0.37,2017-07-14
TNR,0,700,0.0,14280.0,0.27,2017-07-18
