Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
TOG,2000,0,16465.0,0.0,3.1,2017-01-19
TOG,0,2200,0.0,18580.0,0.79,2017-01-26
TOG,0,3100,0.0,26205.0,0.94,2017-02-01
TOG,11500,0,98325.0,0.0,5.28,2017-02-09
TOG,5900,200,50445.0,1720.0,3.44,2017-02-14
TOG,5900,0,50545.0,0.0,5.3,2017-02-15
TOG,85500,0,780810.0,0.0,2.92,2017-02-16
TOG,36300,84600,361030.0,831400.0,2.15,2017-02-17
TOG,6200,12200,61160.0,121680.0,0.74,2017-02-20
TOG,8200,2200,78020.0,21450.0,0.76,2017-02-21
TOG,0,5200,0.0,48240.0,3.57,2017-02-22
TOG,4000,0,37800.0,0.0,1.59,2017-02-23
TOG,100,1400,930.0,13020.0,2.82,2017-03-03
TOG,0,6000,0.0,55800.0,7.63,2017-03-06
TOG,0,6600,0.0,62370.0,6.06,2017-03-07
TOG,5000,0,46750.0,0.0,2.42,2017-03-13
TOG,0,6700,0.0,66665.0,10.88,2017-03-27
TOG,0,3300,0.0,32340.0,3.86,2017-03-29
TOG,5600,0,54320.0,0.0,7.98,2017-04-10
TOG,4800,0,46560.0,0.0,6.45,2017-04-11
TOG,100,0,955.0,0.0,0.05,2017-04-17
TOG,100,0,930.0,0.0,0.04,2017-04-18
TOG,100,0,900.0,0.0,0.02,2017-04-19
TOG,20000,13300,186000.0,123690.0,33.84,2017-04-21
TOG,5000,413500,45000.0,3765455.0,40.08,2017-04-24
TOG,0,328300,0.0,2977605.0,38.02,2017-04-25
TOG,0,264200,0.0,2377800.0,44.64,2017-04-26
TOG,0,271000,0.0,2439000.0,50.0,2017-04-27
TOG,77200,273500,694400.0,2461500.0,62.07,2017-04-28
TOG,12800,91300,115200.0,821705.0,46.39,2017-05-02
TOG,0,7500,0.0,67880.0,35.71,2017-05-03
TOG,40000,180900,360000.0,1628100.0,60.22,2017-05-04
TOG,100,0,900.0,0.0,0.19,2017-05-05
TOG,100,0,870.0,0.0,0.01,2017-05-09
