Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
TPCORP,5000,0,90000.0,0.0,24.51,2017-02-01
TPCORP,2000,0,37000.0,0.0,16.95,2017-02-21
TPCORP,2100,0,38850.0,0.0,10.5,2017-02-22
TPCORP,0,5000,0.0,94000.0,8.22,2017-02-24
TPCORP,200,0,3780.0,0.0,1.06,2017-03-06
TPCORP,6000,0,111900.0,0.0,4.13,2017-03-21
TPCORP,2000,2700,37800.0,51030.0,13.82,2017-03-28
TPCORP,0,3300,0.0,63030.0,9.54,2017-03-31
TPCORP,300,0,5790.0,0.0,1.15,2017-04-05
TPCORP,2600,1100,50420.0,21400.0,9.89,2017-04-07
TPCORP,100,1500,1930.0,28950.0,3.43,2017-04-11
TPCORP,100,0,1980.0,0.0,1.06,2017-04-20
TPCORP,0,200,0.0,4020.0,0.39,2017-04-27
TPCORP,200,0,4000.0,0.0,0.69,2017-04-28
TPCORP,100,0,2010.0,0.0,0.42,2017-05-02
TPCORP,0,300,0.0,6030.0,0.8,2017-05-03
TPCORP,600,0,11760.0,0.0,2.36,2017-05-04
TPCORP,500,0,10000.0,0.0,4.77,2017-05-05
TPCORP,0,100,0.0,1980.0,0.52,2017-05-16
TPCORP,0,500,0.0,9850.0,0.41,2017-05-22
TPCORP,5,0,98.5,0.0,0.03,2017-06-01
TPCORP,0,2000,0.0,39800.0,3.89,2017-06-23
TPCORP,0,4200,0.0,84000.0,20.0,2017-07-11
TPCORP,0,1100,0.0,22220.0,3.44,2017-07-12
TPCORP,1900,1900,38380.0,38950.0,19.79,2017-07-13
TPCORP,0,1100,0.0,22370.0,5.34,2017-07-14
TPCORP,6000,0,111600.0,0.0,10.24,2017-08-18
TPCORP,3000,800,56480.0,15120.0,17.12,2017-08-21
TPCORP,500,0,9500.0,0.0,25.0,2017-08-24
TPCORP,100,0,1920.0,0.0,1.35,2017-09-01
TPCORP,1300,0,24820.0,0.0,15.85,2017-09-04
TPCORP,300,0,5760.0,0.0,10.71,2017-09-06
TPCORP,3700,0,72000.0,0.0,41.11,2017-09-07
TPCORP,200,0,3860.0,0.0,1.61,2017-09-11
TPCORP,200,0,3870.0,0.0,2.78,2017-09-12
TPCORP,2200,0,42040.0,0.0,19.64,2017-09-14
TPCORP,100,0,1930.0,0.0,0.41,2017-09-18
TPCORP,1000,0,19400.0,0.0,14.71,2017-09-26
TPCORP,100,0,1920.0,0.0,0.51,2017-10-09
TPCORP,0,1900,0.0,36670.0,5.43,2017-10-25
TPCORP,300,0,5760.0,0.0,2.24,2017-10-27
TPCORP,100,0,1910.0,0.0,2.94,2017-11-13
TPCORP,300,0,5760.0,0.0,0.65,2017-11-14
TPCORP,5200,0,96200.0,0.0,11.45,2017-11-15
TPCORP,200,0,3800.0,0.0,3.33,2017-11-21
TPCORP,1700,0,31960.0,0.0,9.14,2017-11-23
TPCORP,1000,0,18900.0,0.0,5.68,2017-11-30
TPCORP,100,0,1860.0,0.0,1.04,2017-12-07
TPCORP,300,0,5670.0,0.0,25.0,2017-12-22
TPCORP,0,2000,0.0,37200.0,14.88,2018-01-22
TPCORP,0,500,0.0,9300.0,2.16,2018-01-24
TPCORP,0,4200,0.0,80220.0,13.46,2018-01-25
TPCORP,0,1,0.0,19.1,50.0,2018-01-31
TPCORP,100,0,1900.0,0.0,0.45,2018-02-05
TPCORP,0,300,0.0,5550.0,0.93,2018-02-09
TPCORP,300,0,5580.0,0.0,25.0,2018-02-16
TPCORP,0,1600,0.0,30240.0,17.39,2018-02-19
TPCORP,100,0,1860.0,0.0,1.28,2018-02-22
TPCORP,2500,0,45750.0,0.0,10.68,2018-02-23
TPCORP,0,2500,0.0,46770.0,14.04,2018-02-27
TPCORP,2800,2300,52920.0,44160.0,33.12,2018-02-28
TPCORP,10000,300,192000.0,5760.0,41.87,2018-03-02
TPCORP,300,0,5670.0,0.0,7.5,2018-03-05
TPCORP,100,0,1850.0,0.0,1.14,2018-03-09
TPCORP,500,0,9200.0,0.0,0.44,2018-03-15
TPCORP,0,804,0.0,14864.8,50.0,2018-03-22
TPCORP,0,100,0.0,1810.0,1.04,2018-04-05
TPCORP,0,300,0.0,5280.0,1.09,2018-05-02
TPCORP,4000,0,67200.0,0.0,12.41,2018-05-03
TPCORP,3500,0,54950.0,0.0,10.67,2018-05-31
TPCORP,10000,0,155000.0,0.0,26.74,2018-06-06
TPCORP,4900,0,72520.0,0.0,15.88,2018-06-07
TPCORP,0,600,0.0,9120.0,13.04,2018-06-18
TPCORP,8000,100,118400.0,1500.0,36.16,2018-06-20
TPCORP,0,1900,0.0,28880.0,19.0,2018-06-27
TPCORP,19600,500,284200.0,7450.0,35.64,2018-07-11
TPCORP,30400,0,440800.0,0.0,44.19,2018-07-12
TPCORP,15700,0,227570.0,0.0,43.13,2018-07-13
TPCORP,7900,0,114550.0,0.0,49.38,2018-07-17
TPCORP,16700,0,245490.0,0.0,44.41,2018-07-24
TPCORP,4700,0,69090.0,0.0,35.07,2018-08-20
TPCORP,1000,0,14700.0,0.0,16.66,2018-08-28
TPCORP,1100,0,16170.0,0.0,13.75,2018-08-29
TPCORP,11200,0,164640.0,0.0,43.08,2018-09-07
TPCORP,200,0,2940.0,0.0,14.29,2018-09-11
TPCORP,0,100,0.0,1520.0,25.0,2018-09-24
TPCORP,11500,0,170200.0,0.0,47.92,2018-09-27
TPCORP,203600,0,2992920.0,0.0,49.95,2018-10-11
TPCORP,100,0,1480.0,0.0,25.0,2019-01-09
