Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
TPIPP,40151356,34569489,273374816.0,236404973.25,5.29,2017-04-05
TPIPP,13590700,12319600,91411085.0,83372555.0,6.17,2017-04-07
TPIPP,14170098,7856000,93187957.8,51499350.0,5.79,2017-04-10
TPIPP,11102100,675900,71202760.0,4304845.0,3.37,2017-04-11
TPIPP,12994100,338500,85236315.0,2208925.0,11.51,2017-04-12
TPIPP,283000,100,1838950.0,650.0,0.5,2017-04-17
TPIPP,659200,10000,4253765.0,65000.0,2.01,2017-04-18
TPIPP,123800,186000,804700.0,1211500.0,0.39,2017-04-19
TPIPP,14663100,14743418,99409930.0,100149942.4,12.15,2017-04-20
TPIPP,1963100,41500,13221560.0,280700.0,2.71,2017-04-21
TPIPP,54200,29000,360400.0,194100.0,0.24,2017-04-24
TPIPP,1151900,262700,7540440.0,1707820.0,2.77,2017-04-25
TPIPP,4330600,5000000,28748560.0,32987500.0,17.2,2017-04-26
TPIPP,1326000,2000,8752850.0,13200.0,10.36,2017-04-27
TPIPP,1742200,500,11573130.0,3325.0,5.55,2017-04-28
TPIPP,6400,30000,42240.0,198000.0,0.19,2017-05-02
TPIPP,327200,1501100,2159520.0,9907260.0,8.43,2017-05-03
TPIPP,3058300,2797700,20468325.0,18829555.0,4.52,2017-05-04
TPIPP,2458500,3148400,16662985.0,21497320.0,3.68,2017-05-05
TPIPP,800000,837000,5476250.0,5735525.0,2.53,2017-05-08
TPIPP,2709500,10200,18411700.0,69360.0,2.23,2017-05-09
TPIPP,1243700,160000,8315890.0,1056000.0,1.09,2017-05-11
TPIPP,585300,100000,3886910.0,670000.0,1.37,2017-05-12
TPIPP,70200,252000,463320.0,1650600.0,0.74,2017-05-15
TPIPP,0,700,0.0,4655.0,0.0,2017-05-16
TPIPP,1633403,119702,10906099.95,801983.75,3.35,2017-05-17
TPIPP,527177,1525000,3558448.6,10396625.0,2.17,2017-05-18
TPIPP,612900,198000,4075785.0,1321375.0,1.87,2017-05-19
TPIPP,250000,2200,1650000.0,14630.0,1.08,2017-05-22
TPIPP,1129214,0,7456273.1,0.0,1.67,2017-05-23
TPIPP,1523200,32000,10056610.0,211200.0,3.86,2017-05-24
TPIPP,475900,0,3169280.0,0.0,1.3,2017-05-25
TPIPP,163200,1102300,1093705.0,7380295.0,3.39,2017-05-26
TPIPP,1576100,435500,10482035.0,2894265.0,6.65,2017-05-29
TPIPP,3231300,149300,21624710.0,993490.0,15.43,2017-05-30
TPIPP,6116100,494966,41197045.0,3339490.15,9.11,2017-05-31
TPIPP,510300,144500,3400250.0,968150.0,4.51,2017-06-01
TPIPP,896600,228100,6002085.0,1526055.0,4.01,2017-06-02
TPIPP,13100,150000,87770.0,997500.0,2.28,2017-06-05
TPIPP,510000,1197200,3417000.0,8046750.0,2.17,2017-06-06
TPIPP,519600,240400,3482245.0,1612130.0,4.06,2017-06-07
TPIPP,1050000,418600,7087500.0,2827295.0,1.53,2017-06-08
TPIPP,11671000,4807800,80257395.0,33194785.0,3.67,2017-06-09
TPIPP,7114795,3291720,49640104.5,23174994.0,3.55,2017-06-12
TPIPP,7062200,1000000,49680345.0,7000000.0,8.46,2017-06-13
TPIPP,120014,3900,847485.1,27300.0,0.29,2017-06-14
TPIPP,1725800,521125,12124165.0,3649908.75,2.9,2017-06-15
TPIPP,12000,950609,84000.0,6641550.75,2.61,2017-06-16
TPIPP,3808200,3805300,26543935.0,26506590.0,9.65,2017-06-19
TPIPP,10000,15400,70000.0,107300.0,0.08,2017-06-20
TPIPP,920700,1555900,6444900.0,10891055.0,5.04,2017-06-21
TPIPP,15672600,18376400,112169125.0,131074055.0,11.07,2017-06-22
TPIPP,1356100,1526700,9734800.0,10983275.0,3.56,2017-06-23
TPIPP,453600,173100,3274100.0,1246315.0,1.27,2017-06-26
TPIPP,2580200,1154100,18599940.0,8361290.0,3.89,2017-06-27
TPIPP,1050000,1823400,7507500.0,13045950.0,4.26,2017-06-28
TPIPP,2000,10000,14500.0,72000.0,0.01,2017-06-29
TPIPP,5325000,71000,38573980.0,510030.0,8.15,2017-06-30
TPIPP,8003600,2000000,57460740.0,14300000.0,35.54,2017-07-03
TPIPP,500000,118300,3575000.0,845845.0,2.43,2017-07-04
TPIPP,2576700,2109000,18293985.0,14973400.0,4.92,2017-07-05
TPIPP,2129200,2010000,15060900.0,14270500.0,8.26,2017-07-06
TPIPP,5247400,30200,37499050.0,214920.0,11.68,2017-07-07
TPIPP,4272300,130,30151725.0,916.5,4.33,2017-07-11
TPIPP,6528500,29397,46588210.0,210073.7,9.32,2017-07-12
TPIPP,287400,59500,2041230.0,422380.0,0.82,2017-07-13
TPIPP,1075600,268000,7584100.0,1889445.0,2.44,2017-07-14
TPIPP,167100,302700,1178280.0,2134035.0,2.12,2017-07-17
TPIPP,165900,21500,1162425.0,150190.0,0.33,2017-07-18
TPIPP,1376800,530400,9666690.0,3712770.0,5.92,2017-07-19
TPIPP,1136000,1290600,8106400.0,9291260.0,0.7,2017-07-20
TPIPP,1661600,90000,12263085.0,661500.0,1.38,2017-07-21
TPIPP,2647000,2684800,19851030.0,20101970.0,2.82,2017-07-24
TPIPP,6561300,1074100,49364135.0,8162960.0,7.06,2017-07-25
TPIPP,14455800,11611200,109380830.0,87865680.0,14.3,2017-07-26
TPIPP,2745000,41000,20359500.0,303400.0,1.92,2017-07-27
TPIPP,5016200,740100,37141435.0,5469380.0,10.3,2017-07-31
TPIPP,1938100,1159000,14433505.0,8611480.0,4.63,2017-08-01
TPIPP,213000,985800,1576850.0,7321130.0,3.32,2017-08-02
TPIPP,161000,931500,1199450.0,6931520.0,3.44,2017-08-03
TPIPP,21000,750200,157250.0,5630975.0,1.79,2017-08-04
TPIPP,401900,995000,3014260.0,7457505.0,4.72,2017-08-07
TPIPP,669000,823800,5047550.0,6228935.0,2.31,2017-08-08
TPIPP,1216800,86400,9092905.0,646560.0,2.79,2017-08-09
TPIPP,3051200,13000,22423215.0,95550.0,4.78,2017-08-10
TPIPP,539000,121800,3871655.0,884875.0,0.41,2017-08-11
TPIPP,2010600,211900,14582690.0,1535925.0,3.06,2017-08-15
TPIPP,6394900,347300,46530270.0,2532140.0,16.8,2017-08-16
TPIPP,108400,450500,785905.0,3265475.0,3.46,2017-08-17
TPIPP,1139100,165300,8384210.0,1213505.0,3.02,2017-08-18
TPIPP,758600,152100,5608375.0,1125540.0,5.23,2017-08-21
TPIPP,822400,57700,6047415.0,424095.0,3.76,2017-08-22
TPIPP,427900,810800,3163795.0,6001210.0,2.54,2017-08-23
TPIPP,1460000,2344800,10752415.0,17234830.0,11.7,2017-08-24
TPIPP,114300,140100,840105.0,1032680.0,2.05,2017-08-25
TPIPP,798800,773400,5916310.0,5721835.0,5.88,2017-08-28
TPIPP,1555100,1821600,11667430.0,13653590.0,3.06,2017-08-29
TPIPP,1236200,671200,9249285.0,5019655.0,6.22,2017-08-30
TPIPP,1299400,12700,9577415.0,94045.0,2.34,2017-08-31
TPIPP,341000,273800,2520450.0,2012475.0,1.45,2017-09-01
TPIPP,192600,1023000,1416520.0,7535115.0,1.05,2017-09-04
TPIPP,3313700,426000,24677005.0,3167450.0,3.03,2017-09-05
TPIPP,3469600,3438600,26130005.0,25808305.0,5.72,2017-09-06
TPIPP,4707700,6558100,35798615.0,49693470.0,4.89,2017-09-07
TPIPP,3585900,3832200,27401540.0,29129290.0,2.38,2017-09-08
TPIPP,184300,882600,1381900.0,6619500.0,2.2,2017-09-11
TPIPP,62900,327300,468400.0,2427170.0,1.9,2017-09-12
TPIPP,222100,251700,1649715.0,1863865.0,1.38,2017-09-13
TPIPP,436600,46600,3230840.0,344310.0,2.79,2017-09-14
TPIPP,7846400,318300,58053980.0,2346385.0,16.42,2017-09-15
TPIPP,3260300,1413500,24122630.0,10452895.0,19.3,2017-09-18
TPIPP,2103500,245400,15488800.0,1805935.0,2.57,2017-09-19
TPIPP,4104000,277119,30170240.0,2036099.65,8.94,2017-09-20
TPIPP,3355570,2048000,24822653.0,15151220.0,7.15,2017-09-21
TPIPP,129100,283300,951090.0,2084410.0,0.98,2017-09-22
TPIPP,833300,222200,6167195.0,1644280.0,2.15,2017-09-25
TPIPP,716000,311205,5310655.0,2307372.0,1.93,2017-09-26
TPIPP,2306400,1199900,17424495.0,9043090.0,1.31,2017-09-27
TPIPP,545700,2543600,4129565.0,19197145.0,4.77,2017-09-28
TPIPP,3439600,2757300,25976030.0,20792710.0,12.99,2017-09-29
TPIPP,1421900,1053700,10792175.0,7997770.0,4.2,2017-10-02
TPIPP,748400,1511628,5748195.0,11856125.6,1.11,2017-10-03
TPIPP,446900,715917,3524375.0,5655677.6,1.02,2017-10-04
TPIPP,428800,1374100,3429500.0,10969770.0,2.65,2017-10-05
TPIPP,3505000,1783034,27440915.0,13959318.5,2.62,2017-10-06
TPIPP,1108300,562400,8696095.0,4381690.0,2.42,2017-10-09
TPIPP,3593500,3208300,27744745.0,24861415.0,7.77,2017-10-10
TPIPP,2579000,2554200,20086685.0,19835730.0,6.04,2017-10-11
TPIPP,1397400,2235200,10811995.0,17271355.0,5.9,2017-10-12
TPIPP,916666,372300,7191840.85,2905540.0,1.89,2017-10-16
TPIPP,783800,711300,6159400.0,5585375.0,4.82,2017-10-17
TPIPP,6701821,1193200,52429136.95,9332410.0,27.0,2017-10-18
TPIPP,4786700,1209900,37411045.0,9393620.0,8.39,2017-10-19
TPIPP,6927201,3416442,54003207.75,26559760.8,26.11,2017-10-20
TPIPP,4156841,3292600,32636735.95,25821725.0,21.53,2017-10-24
TPIPP,4082200,444100,32055245.0,3483395.0,12.25,2017-10-25
TPIPP,5475100,118100,43386325.0,938895.0,8.23,2017-10-27
TPIPP,5500163,560300,43792908.45,4466775.0,6.14,2017-10-30
TPIPP,4677300,709400,37060020.0,5619095.0,13.83,2017-10-31
TPIPP,5116466,3190200,40742467.9,25466465.0,11.0,2017-11-01
TPIPP,28512200,25203293,233195975.0,206817142.6,15.89,2017-11-02
TPIPP,9319267,12297200,77420574.45,102031125.0,12.92,2017-11-03
TPIPP,8143500,3638900,68319705.0,30545475.0,12.06,2017-11-06
TPIPP,12858674,698500,107851109.0,5862190.0,23.61,2017-11-07
TPIPP,6237000,410700,51109900.0,3399765.0,6.62,2017-11-08
TPIPP,15487174,873600,128819772.9,7252415.0,13.3,2017-11-09
TPIPP,6124800,236700,50255475.0,1937765.0,7.78,2017-11-10
TPIPP,6598486,2129400,54336453.8,17547030.0,19.64,2017-11-13
TPIPP,2246100,2454600,18431010.0,20347315.0,8.02,2017-11-14
TPIPP,352901,1071400,2880208.15,8748760.0,4.39,2017-11-15
TPIPP,611600,1115300,4989635.0,9110550.0,2.82,2017-11-16
TPIPP,133100,699300,1091790.0,5730105.0,4.29,2017-11-17
TPIPP,3471800,432000,28363240.0,3507110.0,6.34,2017-11-20
TPIPP,3737000,1767726,30227105.0,14276871.7,13.85,2017-11-21
TPIPP,1350200,1111778,10945325.0,8997550.1,13.66,2017-11-22
TPIPP,2710300,1724615,21833555.0,13900474.25,9.35,2017-11-23
TPIPP,7523600,4973014,59577795.0,39508040.6,13.3,2017-11-24
TPIPP,2337900,1438548,18477780.0,11340699.4,13.92,2017-11-27
TPIPP,2360900,2052421,18778695.0,16307864.85,6.67,2017-11-28
TPIPP,11284700,18800700,88425560.0,148016920.0,17.35,2017-11-29
TPIPP,2303200,3147000,17910230.0,24344515.0,4.39,2017-11-30
TPIPP,5283400,3009041,41278660.0,23496847.75,19.45,2017-12-01
TPIPP,5312600,3799370,41246270.0,29553359.0,16.74,2017-12-04
TPIPP,4535201,4508609,35622167.85,35300253.85,25.64,2017-12-06
TPIPP,2845000,3221617,22454300.0,25396261.75,20.09,2017-12-07
TPIPP,4806500,1806282,38218385.0,14310154.6,15.91,2017-12-08
TPIPP,1697003,2743833,13333503.55,21572870.75,15.11,2017-12-12
