Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
TPOLY,57900,200,226132.0,772.0,0.55,2017-01-04
TPOLY,92100,5600,357168.0,21688.0,1.46,2017-01-05
TPOLY,5900,247500,23246.0,972050.0,1.38,2017-01-06
TPOLY,62000,500,246114.0,2000.0,0.69,2017-01-09
TPOLY,80000,50000,316542.0,197000.0,1.45,2017-01-10
TPOLY,111900,50200,439988.0,197780.0,1.4,2017-01-11
TPOLY,5400,28100,21062.0,109034.0,0.52,2017-01-12
TPOLY,15000,182600,57000.0,698986.0,1.51,2017-01-13
TPOLY,700,181600,2602.0,674088.0,1.47,2017-01-16
TPOLY,35500,160250,131350.0,593341.2,3.97,2017-01-17
TPOLY,120000,251100,433400.0,915720.0,2.24,2017-01-18
TPOLY,0,124600,0.0,443216.0,0.68,2017-01-19
TPOLY,3800,49200,13984.0,180516.0,1.19,2017-01-20
TPOLY,10000,70900,37200.0,266302.0,0.56,2017-01-23
TPOLY,14800,24000,55940.0,91524.0,0.34,2017-01-24
TPOLY,400000,121200,1530000.0,461662.0,5.93,2017-01-25
TPOLY,100000,114000,374000.0,422236.0,4.93,2017-01-26
TPOLY,37600,77900,141606.0,287174.0,1.34,2017-01-27
TPOLY,77200,0,291196.0,0.0,2.97,2017-01-30
TPOLY,7500,47400,28380.0,179324.0,1.45,2017-01-31
TPOLY,0,57900,0.0,218042.0,1.46,2017-02-01
TPOLY,0,199000,0.0,755142.0,3.58,2017-02-02
TPOLY,7200,62900,27504.0,241400.0,0.4,2017-02-03
TPOLY,2300,78850,8648.0,295376.0,0.59,2017-02-06
TPOLY,35000,72300,130200.0,268464.0,4.04,2017-02-07
TPOLY,0,3100,0.0,11546.0,0.28,2017-02-08
TPOLY,0,1100,0.0,4048.0,0.07,2017-02-09
TPOLY,13300,201500,49672.0,756398.0,1.91,2017-02-10
TPOLY,20000,9700,76000.0,36814.0,0.53,2017-02-14
TPOLY,50000,72400,185000.0,268334.0,2.18,2017-02-15
TPOLY,5600,33100,21056.0,124092.0,0.66,2017-02-16
TPOLY,6000,32700,22780.0,123670.0,0.65,2017-02-17
TPOLY,0,25800,0.0,97772.0,1.25,2017-02-20
TPOLY,0,36300,0.0,135948.0,0.86,2017-02-21
TPOLY,0,44000,0.0,163128.0,2.64,2017-02-22
TPOLY,30000,70500,110400.0,259456.0,2.61,2017-02-23
TPOLY,0,69100,0.0,254536.0,4.46,2017-02-24
TPOLY,20800,388900,80706.0,1517018.0,0.55,2017-02-27
TPOLY,5600,20400,22146.0,81006.0,0.09,2017-02-28
TPOLY,294200,239000,1290982.0,1026200.0,0.55,2017-03-01
TPOLY,168300,39000,755468.0,177000.0,0.67,2017-03-02
TPOLY,1058300,958800,4925330.0,4497346.0,4.92,2017-03-03
TPOLY,134300,57800,598828.0,260450.0,1.17,2017-03-06
TPOLY,203100,245000,950026.0,1160812.0,0.69,2017-03-07
TPOLY,368600,328600,1763956.0,1572390.0,1.43,2017-03-08
TPOLY,265500,20900,1273142.0,99920.0,1.88,2017-03-09
TPOLY,361600,60000,1696218.0,282400.0,1.65,2017-03-10
TPOLY,756600,163000,3438146.0,737560.0,4.42,2017-03-13
TPOLY,396700,97200,1823466.0,446720.0,4.44,2017-03-14
TPOLY,162500,101700,759904.0,476188.0,2.43,2017-03-15
TPOLY,241600,79500,1156712.0,380312.0,2.63,2017-03-16
TPOLY,86900,111600,417120.0,535448.0,2.94,2017-03-17
TPOLY,1165800,496200,5843685.0,2463512.0,4.1,2017-03-20
TPOLY,255900,584300,1292135.0,2957545.0,4.47,2017-03-21
TPOLY,240400,390100,1239160.0,2016297.0,1.29,2017-03-22
TPOLY,484300,336400,2533630.0,1751285.0,2.48,2017-03-23
TPOLY,30000,370900,152500.0,1887108.0,1.76,2017-03-24
TPOLY,105200,145500,518672.0,723181.0,1.19,2017-03-27
TPOLY,343400,152000,1697332.0,751850.0,1.3,2017-03-28
TPOLY,285500,51300,1424832.0,256474.0,3.36,2017-03-29
TPOLY,86400,30000,437430.0,154500.0,0.78,2017-03-30
TPOLY,176100,132400,860982.0,648900.0,1.23,2017-03-31
TPOLY,369200,10800,1758160.0,51578.0,1.37,2017-04-03
TPOLY,5500,515900,25960.0,2437960.0,1.91,2017-04-04
TPOLY,233700,435100,1135714.0,2113742.0,2.93,2017-04-05
TPOLY,460110,218100,2091671.4,941686.0,1.0,2017-04-07
TPOLY,770600,20500,3287922.0,88560.0,2.82,2017-04-10
TPOLY,488000,17400,2116420.0,75590.0,2.48,2017-04-11
TPOLY,387900,1046500,1740928.0,4692260.0,4.47,2017-04-12
TPOLY,96000,167200,427520.0,742806.0,2.06,2017-04-17
TPOLY,339500,171200,1512338.0,763076.0,7.62,2017-04-18
TPOLY,251800,108800,1123416.0,487632.0,3.72,2017-04-19
