Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
TR,7800,6200,326250.0,259925.0,13.81,2017-01-04
TR,4930,2100,209100.0,88225.0,2.81,2017-01-05
TR,9400,0,403250.0,0.0,14.55,2017-01-06
TR,11500,2600,495975.0,111825.0,24.82,2017-01-09
TR,12000,4600,530600.0,205325.0,6.46,2017-01-10
TR,30000,500,1337500.0,22125.0,30.5,2017-01-11
TR,3600,0,160975.0,0.0,9.84,2017-01-13
TR,20000,0,890750.0,0.0,24.81,2017-01-16
TR,2000,100,89000.0,4450.0,6.0,2017-01-17
TR,0,7,0.0,311.5,0.04,2017-01-18
TR,6200,0,273950.0,0.0,17.03,2017-01-19
TR,20000,4,882500.0,176.0,34.85,2017-01-20
TR,7300,0,320850.0,0.0,15.21,2017-01-23
TR,10000,3819,437500.0,168032.75,35.73,2017-01-24
TR,0,2900,0.0,128900.0,4.15,2017-01-25
TR,0,300,0.0,13200.0,1.58,2017-01-30
TR,7700,14000,340725.0,619625.0,16.74,2017-02-06
TR,200,0,9300.0,0.0,0.07,2017-02-14
TR,0,200,0.0,9100.0,0.04,2017-02-15
TR,1000,0,48500.0,0.0,0.22,2017-02-16
TR,10300,8500,507050.0,421250.0,3.58,2017-02-17
TR,800,0,38800.0,0.0,0.34,2017-02-20
TR,0,900,0.0,42525.0,0.73,2017-02-21
TR,1000,900,46500.0,42075.0,2.1,2017-02-22
TR,26900,0,1266625.0,0.0,38.09,2017-02-23
TR,2500,0,113875.0,0.0,1.87,2017-02-27
TR,11400,0,517150.0,0.0,6.78,2017-02-28
TR,2000,0,90000.0,0.0,2.67,2017-03-01
TR,0,2300,0.0,104650.0,15.75,2017-03-03
TR,1000,7900,45250.0,357475.0,18.62,2017-03-06
TR,6300,0,288225.0,0.0,31.5,2017-03-07
TR,28500,20000,1339600.0,932500.0,15.07,2017-03-08
TR,11300,13400,532925.0,630650.0,15.46,2017-03-09
TR,12100,0,574025.0,0.0,15.12,2017-03-10
TR,9400,0,443225.0,0.0,9.81,2017-03-13
TR,500,0,23125.0,0.0,1.55,2017-03-14
TR,9500,0,445275.0,0.0,23.06,2017-03-15
TR,0,800,0.0,37400.0,3.28,2017-03-21
TR,2400,0,112375.0,0.0,9.76,2017-03-23
TR,0,5200,0.0,241900.0,10.0,2017-03-24
TR,0,11200,0.0,518900.0,18.01,2017-03-27
TR,200,6600,9500.0,316800.0,2.54,2017-03-29
TR,4900,10700,231100.0,502475.0,28.57,2017-03-30
TR,300,9900,14150.0,462825.0,8.49,2017-03-31
TR,200,0,9450.0,0.0,2.08,2017-04-03
TR,5000,0,237100.0,0.0,21.55,2017-04-04
