Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
TRC,608900,498500,901952.0,735386.0,0.72,2017-01-04
TRC,460250,478700,697839.0,725520.0,0.39,2017-01-05
TRC,110000,505100,167200.0,767732.0,0.93,2017-01-06
TRC,554900,158000,834679.0,237032.0,1.47,2017-01-09
TRC,200700,300000,303057.0,453000.0,1.35,2017-01-10
TRC,191400,152200,287600.0,227500.0,0.58,2017-01-11
TRC,67500,40000,100600.0,60000.0,0.48,2017-01-12
TRC,18800,349200,28577.0,524636.0,0.34,2017-01-13
TRC,676200,1388500,1062576.0,2178472.0,0.65,2017-01-16
TRC,2200,1890525,3464.0,2991075.13,1.22,2017-01-17
TRC,218000,0,340320.0,0.0,0.39,2017-01-18
TRC,313600,29200,482809.0,45058.0,0.64,2017-01-19
TRC,200200,687675,316186.0,1085394.5,0.62,2017-01-20
TRC,1598900,2055150,2571060.0,3322896.0,1.75,2017-01-23
TRC,200000,1000,322000.0,1590.0,0.34,2017-01-24
TRC,260000,0,409700.0,0.0,0.41,2017-01-25
TRC,20200,321525,32117.0,507810.0,0.6,2017-01-26
TRC,0,52500,0.0,83783.0,0.08,2017-01-27
TRC,21018300,16370700,34680042.0,26908867.0,9.65,2017-01-30
TRC,933900,146150,1523935.0,238473.0,0.8,2017-01-31
TRC,7637400,7631500,12520528.0,12500080.0,12.53,2017-02-01
TRC,201200,222200,331968.0,366608.0,0.32,2017-02-02
TRC,747900,460600,1231756.0,769202.0,1.05,2017-02-03
TRC,1005000,1118800,1628100.0,1811956.0,4.01,2017-02-06
TRC,2256100,2030000,3566553.0,3267900.0,3.14,2017-02-07
TRC,1578900,570200,2556382.0,913370.0,0.72,2017-02-08
TRC,205000,104500,330030.0,167500.0,0.71,2017-02-09
TRC,34000,72112,54060.0,115379.2,0.3,2017-02-10
TRC,25000,601400,39500.0,951899.0,2.12,2017-02-14
TRC,6158800,5950900,9492390.0,9237750.0,13.02,2017-02-15
TRC,8000,28000,12480.0,44240.0,0.08,2017-02-16
TRC,0,204000,0.0,322350.0,0.2,2017-02-17
TRC,12537600,12136300,20842697.0,20142813.0,4.81,2017-02-20
TRC,4836000,3252100,8151940.0,5412853.0,3.79,2017-02-21
TRC,1704200,2366125,2821214.0,3930738.25,4.4,2017-02-22
TRC,1720000,4639200,2841000.0,7703212.0,4.03,2017-02-23
TRC,2391400,5100300,4007670.0,8591504.0,7.39,2017-02-24
TRC,738400,463300,1203292.0,757782.0,2.57,2017-02-27
TRC,576500,3486900,950709.0,5760285.0,3.97,2017-02-28
TRC,318500,18800,525475.0,31020.0,0.79,2017-03-01
TRC,449900,137900,746436.0,229702.0,0.96,2017-03-02
TRC,48600,591300,80576.0,977453.0,2.87,2017-03-03
TRC,567500,133500,925941.0,218190.0,2.04,2017-03-06
TRC,8620800,7709900,13692373.0,12293663.0,12.21,2017-03-07
TRC,4400,73700,6908.0,116522.0,0.13,2017-03-08
TRC,67600,4100,106124.0,6423.0,0.17,2017-03-09
TRC,8850600,8864800,13574269.0,13665436.0,18.68,2017-03-10
TRC,545200,667900,824093.0,1015710.0,3.55,2017-03-13
TRC,169800,53800,257183.0,82205.0,0.49,2017-03-14
TRC,37000,58700,56612.0,90501.0,0.29,2017-03-15
TRC,0,65800,0.0,100732.0,0.27,2017-03-16
TRC,40900,66300,62577.0,102102.0,0.31,2017-03-17
TRC,563600,9100,867968.0,14104.0,2.59,2017-03-20
TRC,46400,17000,71920.0,26350.0,0.41,2017-03-21
TRC,87700,215700,135885.0,334326.0,2.28,2017-03-22
TRC,55600,1043000,87848.0,1637940.0,2.63,2017-03-23
TRC,70100,36700,110057.0,57619.0,0.44,2017-03-24
TRC,457300,30100,717388.0,47222.0,2.75,2017-03-27
TRC,255300,1329500,409287.0,2127195.0,1.52,2017-03-28
TRC,2000,0,3200.0,0.0,0.0,2017-03-29
TRC,2900,50900,4582.0,80422.0,0.3,2017-03-30
TRC,1059000,1800,1662781.0,2826.0,1.43,2017-03-31
