Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
TSC,2000,0,22000.0,0.0,3.62,2017-01-19
TSC,0,2000,0.0,22800.0,0.52,2017-01-23
TSC,100,100,1100.0,1090.0,0.2,2017-01-27
TSC,1000,0,10900.0,0.0,2.66,2017-01-30
TSC,5000,0,54000.0,0.0,7.96,2017-01-31
TSC,2000,0,21400.0,0.0,9.8,2017-02-07
TSC,3000,0,31800.0,0.0,8.72,2017-02-09
TSC,200,0,2200.0,0.0,3.12,2017-03-14
TSC,0,500,0.0,5550.0,2.98,2017-05-05
TSC,3500,0,38500.0,0.0,12.48,2017-05-22
TSC,0,2000,0.0,21400.0,50.0,2017-05-29
TSC,0,1500,0.0,15750.0,44.12,2017-06-09
TSC,0,200,0.0,2150.0,0.4,2017-08-09
TSC,0,100,0.0,1060.0,4.55,2017-08-30
TSC,100,0,1080.0,0.0,0.54,2017-10-27
TSC,100,0,1090.0,0.0,0.27,2017-10-30
TSC,3300,45000,41910.0,574000.0,45.74,2017-12-18
TSC,1000,0,12600.0,0.0,4.42,2017-12-20
TSC,1000,0,12700.0,0.0,29.41,2017-12-21
TSC,2000,0,25510.0,0.0,7.69,2017-12-25
TSC,1,0,14.0,0.0,0.01,2017-12-27
TSC,0,1000,0.0,12800.0,31.25,2017-12-28
TSC,0,2800,0.0,36040.0,6.31,2017-12-29
TSC,2000,2000,26200.0,26400.0,2.17,2018-01-05
TSC,2000,0,27000.0,0.0,1.92,2018-01-08
TSC,0,1,0.0,13.5,0.0,2018-01-15
TSC,1000,3500,13600.0,47950.0,4.76,2018-01-22
TSC,0,3000,0.0,40900.0,4.31,2018-01-23
TSC,2300,0,31740.0,0.0,4.51,2018-01-24
TSC,3000,0,38700.0,0.0,1.88,2018-01-26
TSC,0,500,0.0,6370.0,0.97,2018-01-29
TSC,2000,0,22800.0,0.0,6.85,2018-02-02
TSC,500,0,6000.0,0.0,0.78,2018-02-07
TSC,1100,15600,13610.0,193400.0,29.72,2018-02-09
TSC,500,0,6240.0,0.0,13.16,2018-02-15
TSC,1000,0,12600.0,0.0,7.04,2018-02-22
TSC,0,2000,0.0,24200.0,43.48,2018-02-26
TSC,1000,0,12400.0,0.0,13.16,2018-03-14
TSC,300,0,3600.0,0.0,2.59,2018-03-22
TSC,0,100000,0.0,1168080.0,31.67,2018-04-19
TSC,800,0,10690.0,0.0,1.75,2018-05-16
TSC,0,800,0.0,10720.0,3.33,2018-05-18
TSC,0,1000,0.0,13200.0,1.27,2018-05-22
TSC,0,100,0.0,1250.0,0.36,2018-05-23
TSC,1000,0,12400.0,0.0,11.61,2018-05-24
TSC,0,500,0.0,6150.0,50.0,2018-05-28
TSC,0,100,0.0,1220.0,1.09,2018-05-31
TSC,0,300,0.0,3640.0,6.25,2018-06-01
TSC,0,100,0.0,1210.0,0.79,2018-06-04
TSC,0,100,0.0,1210.0,12.5,2018-06-05
TSC,4000,0,49620.0,0.0,38.46,2018-06-06
TSC,0,400,0.0,4960.0,4.76,2018-06-07
TSC,0,700,0.0,8680.0,8.14,2018-06-14
TSC,1000,1000,11500.0,11790.0,4.2,2018-07-06
TSC,300,0,3780.0,0.0,1.49,2018-08-08
TSC,0,300,0.0,3900.0,37.5,2018-08-10
TSC,1200,0,14160.0,0.0,3.08,2018-11-19
TSC,0,1200,0.0,15360.0,7.06,2018-11-21
TSC,800,0,10370.0,0.0,12.9,2018-12-18
TSC,2700,0,34530.0,0.0,28.72,2018-12-19
TSC,200,0,2540.0,0.0,25.0,2018-12-20
TSC,0,700,0.0,9450.0,3.27,2018-12-27
TSC,0,3000,0.0,39900.0,32.61,2019-01-07
TSC,500,0,6650.0,0.0,0.68,2019-01-14
TSC,0,4000,0.0,53600.0,12.58,2019-01-18
TSC,0,500,0.0,6250.0,10.87,2019-02-07
TSC,400,0,5120.0,0.0,6.9,2019-02-14
TSC,0,1000,0.0,12700.0,6.17,2019-02-25
TSC,200,0,2580.0,0.0,4.55,2019-03-01
TSC,200,0,2500.0,0.0,0.68,2019-03-12
TSC,200,0,2560.0,0.0,0.55,2019-03-20
TSC,7800,0,100620.0,0.0,41.94,2019-04-04
TSC,1800,0,23040.0,0.0,13.24,2019-04-26
TSC,100,0,1260.0,0.0,2.78,2019-05-02
TSC,100,0,1260.0,0.0,25.0,2019-05-07
TSC,200,0,2520.0,0.0,0.39,2019-05-08
TSC,1000,1200,13700.0,16300.0,2.15,2019-05-13
TSC,300,0,4030.0,0.0,50.0,2019-05-16
TSC,100,0,1350.0,0.0,0.48,2019-05-17
