Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
TSE,156700,13700,953115.0,83650.0,1.88,2017-01-04
TSE,178200,276500,1108370.0,1766980.0,1.61,2017-01-05
TSE,100,287600,640.0,1830450.0,3.43,2017-01-06
TSE,172900,104000,1080680.0,651980.0,3.33,2017-01-09
TSE,85700,95600,526940.0,592935.0,2.72,2017-01-10
TSE,319100,76100,1951175.0,469000.0,5.63,2017-01-11
TSE,206200,384700,1235685.0,2339670.0,2.63,2017-01-12
TSE,212800,252100,1266670.0,1499400.0,4.24,2017-01-13
TSE,114400,123800,691135.0,746460.0,2.23,2017-01-16
TSE,71500,102200,433915.0,615905.0,1.96,2017-01-17
TSE,70201,294700,404296.05,1710780.0,1.97,2017-01-18
TSE,223600,32000,1266400.0,181865.0,2.22,2017-01-19
TSE,10100,99400,58530.0,574005.0,1.01,2017-01-20
TSE,142600,259300,841985.0,1518830.0,1.43,2017-01-23
TSE,600,564900,3630.0,3390325.0,2.0,2017-01-24
TSE,246600,71200,1432875.0,417090.0,5.0,2017-01-25
TSE,184300,102300,1050515.0,587345.0,5.42,2017-01-26
TSE,19600,91600,112950.0,526850.0,3.61,2017-01-27
TSE,19200,71800,111360.0,415860.0,4.11,2017-01-30
TSE,36400,94300,208295.0,542155.0,7.67,2017-01-31
TSE,646500,699100,3578270.0,3870405.0,11.63,2017-02-01
TSE,213000,42000,1184065.0,237165.0,1.56,2017-02-02
TSE,37300,43600,213450.0,246340.0,1.1,2017-02-03
TSE,40900,65200,231595.0,369160.0,2.15,2017-02-06
TSE,189200,63600,1048405.0,355200.0,3.46,2017-02-07
TSE,1022600,922400,5437835.0,4948935.0,10.53,2017-02-08
TSE,70800,31800,387470.0,173315.0,3.99,2017-02-09
TSE,71700,44300,390765.0,241435.0,6.83,2017-02-10
TSE,135700,128400,726205.0,692855.0,7.36,2017-02-14
TSE,66900,79800,353340.0,421350.0,2.43,2017-02-15
TSE,7800,53200,40960.0,282285.0,2.18,2017-02-16
TSE,10500,38200,56010.0,203340.0,3.05,2017-02-17
TSE,314000,429200,1774150.0,2395495.0,5.51,2017-02-20
TSE,422400,218900,2409445.0,1256190.0,2.57,2017-02-21
TSE,118700,163300,677840.0,935405.0,1.17,2017-02-22
TSE,7000,116800,39550.0,658695.0,2.76,2017-02-23
TSE,21000,85900,116415.0,476820.0,2.12,2017-02-24
TSE,0,75700,0.0,415210.0,1.48,2017-02-27
TSE,0,38900,0.0,214320.0,0.7,2017-02-28
TSE,58000,24800,328895.0,140095.0,0.35,2017-03-01
TSE,104700,0,592655.0,0.0,0.78,2017-03-02
TSE,24400,129400,141300.0,742550.0,1.88,2017-03-03
TSE,100,9300,580.0,53010.0,0.09,2017-03-06
TSE,25700,15200,143920.0,85120.0,1.14,2017-03-07
TSE,22800,26000,126815.0,144195.0,0.6,2017-03-08
TSE,2400,0,13320.0,0.0,0.13,2017-03-09
TSE,17800,900,97900.0,4995.0,0.77,2017-03-10
TSE,0,18400,0.0,100160.0,0.59,2017-03-13
TSE,46300,26200,251855.0,142160.0,1.63,2017-03-14
TSE,27900,19600,150650.0,105725.0,1.7,2017-03-15
TSE,28700,0,155950.0,0.0,1.94,2017-03-16
TSE,0,8800,0.0,48400.0,0.88,2017-03-17
TSE,2900,11800,15960.0,66185.0,0.24,2017-03-20
TSE,0,5300,0.0,29680.0,0.45,2017-03-21
TSE,27800,96000,157570.0,538020.0,1.65,2017-03-22
TSE,23100,14500,132810.0,82250.0,0.65,2017-03-23
TSE,1001100,11200,5606160.0,62910.0,16.58,2017-03-24
TSE,6000,5800,33300.0,32190.0,0.39,2017-03-27
TSE,50100,2200,279165.0,12210.0,2.12,2017-03-28
TSE,6200,13600,34410.0,76130.0,0.86,2017-03-29
