Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
TSTE,0,1300,0.0,9900.0,50.0,2017-01-10
TSTE,1200,0,9840.0,0.0,30.0,2017-01-18
TSTE,800,0,6345.0,0.0,14.16,2017-01-23
TSTE,300,0,2370.0,0.0,16.67,2017-01-27
TSTE,0,1500,0.0,12075.0,50.0,2017-02-02
TSTE,200,8021,1580.0,61397.55,47.68,2017-02-03
TSTE,700,0,5390.0,0.0,6.03,2017-02-28
TSTE,0,1800,0.0,13410.0,4.48,2017-03-06
TSTE,100,0,750.0,0.0,0.42,2017-03-10
TSTE,200,0,1525.0,0.0,0.85,2017-04-04
TSTE,0,20,0.0,144.0,45.45,2017-05-03
TSTE,0,700,0.0,5180.0,26.84,2017-05-11
TSTE,100,0,775.0,0.0,25.0,2017-05-23
TSTE,0,600,0.0,4770.0,1.97,2017-06-07
TSTE,0,100,0.0,765.0,48.08,2017-06-22
TSTE,0,900,0.0,6910.0,50.0,2017-06-26
TSTE,0,6000,0.0,45650.0,23.47,2017-07-14
TSTE,0,1200,0.0,9845.0,8.57,2017-09-08
TSTE,0,500,0.0,4200.0,6.91,2017-09-11
TSTE,0,1400,0.0,12180.0,22.58,2017-09-12
TSTE,0,300,0.0,2550.0,21.43,2017-09-13
TSTE,0,200,0.0,1700.0,20.75,2017-09-19
TSTE,0,200,0.0,1700.0,3.7,2017-09-25
TSTE,0,200,0.0,1720.0,25.0,2017-10-19
TSTE,0,100,0.0,850.0,1.11,2017-11-15
TSTE,0,100,0.0,870.0,5.0,2017-11-17
TSTE,1000,0,7800.0,0.0,50.0,2018-01-30
TSTE,0,1000,0.0,7290.0,42.77,2018-01-31
TSTE,0,2640,0.0,19008.0,48.18,2018-05-23
TSTE,0,100,0.0,725.0,16.67,2018-06-19
TSTE,0,5300,0.0,36040.0,50.0,2018-10-25
